/tmp/tmp.2qBckPI0ND ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k6.mat
  Evaluating with: datasets/N2dataset100k6.mat
Gen 0 Train time: 8.455169808864593 minutes:
 Average MSE:        0.8802544148339063
 Average Error:      1.0485102802576172
 Structure           |Error               |MSE                 |weights&biases
 [10, 13, 18, 12, 4] |2.682352930560368   |1.31876325385242    |710       
 [9, 5, 6, 0, 0]     |0.557864623801108   |0.4947815357707315  |120       
 [2, 14, 0, 0, 0]    |2.9992839444378174  |2.81615808537049    |63        
 [17, 3, 7, 19, 0]   |0.7094495918585483  |0.5229518771115361  |305       
 [20, 12, 7, 18, 0]  |0.7889139805438047  |0.44793910261411163 |566       
 [19, 0, 0, 0, 0]    |0.4487079695675533  |0.4154541562549697  |77        
 [1, 0, 0, 0, 0]     |3.420997835761423   |3.4039355378737746  |5         
 [6, 9, 1, 0, 0]     |0.9773126777718056  |0.8905209597426857  |93        
 [8, 5, 0, 0, 0]     |0.48354671040551084 |0.4486073109143118  |75        
 [13, 1, 7, 0, 0]    |0.48097716896862824 |0.4462234355833926  |75        
 [14, 20, 2, 8, 15]  |1.0358527967724562  |0.5922804907787935  |559       
 [9, 0, 0, 0, 0]     |0.6397301953086951  |0.6164927222811785  |37        
 [2, 10, 0, 0, 0]    |0.8274739793035285  |0.7894824954874521  |47        
 [7, 1, 0, 0, 0]     |0.5262141589160912  |0.5101517732758966  |31        
 [5, 2, 0, 0, 0]     |1.449750868668202   |1.4069042552571263  |30        
 [16, 2, 11, 0, 0]   |0.4255084459186359  |0.37475961629502896 |127       
 [14, 15, 10, 10, 0] |0.7885061313441999  |0.45583923035261364 |548       
 [6, 4, 18, 0, 0]    |0.5293409177465979  |0.4533355960212915  |155       
 [7, 3, 0, 0, 0]     |0.7867815553047955  |0.7491585501560669  |49        
 [15, 20, 12, 0, 0]  |0.6588604898587835  |0.350903694906176   |630       
 [11, 0, 0, 0, 0]    |0.5474405144628366  |0.5233517532798885  |45        
 [5, 18, 0, 0, 0]    |1.2568833673013236  |1.090498726394221   |142       
 [5, 17, 0, 0, 0]    |0.8631852840868046  |0.7541787174415975  |135       
 [10, 11, 4, 0, 0]   |0.5309029950845062  |0.4329314152420471  |204       
 [2, 12, 0, 0, 0]    |1.79691787268641    |1.7007560785898561  |55        
Gen 1 Train time: 8.860776468118031 minutes:
 Average MSE:        0.8694124649959512
 Average Error:      1.0780639697413674
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 11, 0, 0]   |0.5835638873246739  |0.5139643656785335  |127       
 [19, 0, 0, 0, 0]    |0.4210144239863237  |0.3898129833909202  |77        
 [13, 1, 7, 0, 0]    |0.5620995281580184  |0.5214841759169546  |75        
 [14, 8, 9, 5, 0]    |0.6470530388966967  |0.47982826939736334 |299       
 [14, 11, 10, 0, 0]  |0.9675756667098742  |0.6900704061825211  |338       
 [17, 3, 7, 19, 5]   |2.1093514497141355  |1.426723462699348   |391       
