/tmp/tmp.f4bWQXJgjs ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k0.mat
  Evaluating with: datasets/N3dataset100k0.mat
Gen 0 Train time: 8.545929531256357 minutes:
 Average MSE:        1.0443030768246115
 Average Error:      1.489354233258789
 Structure           |Error               |MSE                 |weights&biases
 [5, 3, 8, 17, 4]    |3.7822327446646917  |2.8159917495507463  |295       
 [8, 8, 9, 0, 0]     |0.648171243250891   |0.5376215778195915  |187       
 [9, 17, 15, 0, 0]   |0.9125513340091834  |0.5629801333095806  |483       
 [17, 0, 0, 0, 0]    |0.304829719305574   |0.28450570990864155 |69        
 [8, 2, 17, 13, 15]  |1.9791243118537911  |1.1384349634689117  |553       
 [3, 12, 4, 20, 11]  |2.272981879143133   |1.4464214965022966  |452       
 [14, 9, 4, 0, 0]    |0.4944639945336447  |0.39602381033228495 |222       
 [6, 0, 0, 0, 0]     |0.7301611450938279  |0.712133402187968   |25        
 [1, 0, 0, 0, 0]     |3.4671357749521334  |3.4498433631327643  |5         
 [13, 17, 8, 20, 1]  |6.862270763112164   |3.6767837975658297  |624       
 [6, 0, 0, 0, 0]     |1.257407615824914   |1.2263621111739522  |25        
 [19, 16, 8, 1, 0]   |0.5956217227765368  |0.3526957446974574  |524       
 [20, 18, 0, 0, 0]   |0.41275209605320046 |0.2613465125405824  |457       
 [5, 18, 2, 14, 0]   |0.4936140146274212  |0.39692758752507873 |218       
 [11, 3, 0, 0, 0]    |0.36138231663023973 |0.3359413014961147  |73        
 [8, 11, 13, 12, 0]  |0.6929737829158295  |0.43746301591982995 |460       
 [16, 8, 14, 0, 0]   |0.5028323631342598  |0.3633101366609862  |325       
 [15, 5, 13, 7, 15]  |0.6452558848578263  |0.4168168675677391  |437       
 [17, 15, 4, 20, 0]  |0.5330677281363266  |0.32138779746555673 |506       
 [17, 2, 18, 4, 16]  |0.4807497484333942  |0.3511968390134511  |314       
 [20, 4, 0, 0, 0]    |0.2737279011099965  |0.23583550548248927 |149       
 [14, 0, 0, 0, 0]    |0.36456301316253426 |0.3443640601437196  |57        
 [8, 1, 0, 0, 0]     |1.2349481314752346  |1.1924726045496479  |35        
 [10, 20, 6, 18, 3]  |6.3411461634795145  |3.611270086531742   |563       
 [10, 18, 1, 0, 0]   |1.5898904389334592  |1.2394467460683356  |249       
Gen 1 Train time: 8.638081443309783 minutes:
 Average MSE:        0.623675662710824
 Average Error:      0.889543799614203
 Structure           |Error               |MSE                 |weights&biases
 [20, 4, 0, 0, 0]    |0.40858010475639756 |0.35201999922029314 |149       
 [17, 0, 0, 0, 0]    |0.40470183921561975 |0.37771902401665663 |69        
 [11, 3, 0, 0, 0]    |0.4258821697508058  |0.39590041849353463 |73        
 [17, 5, 16, 2, 8]   |0.46459224465563503 |0.3428044361878319  |304       
 [9, 11, 0, 0, 0]    |0.3638610575749265  |0.31349144932102835 |149       
 [14, 13, 5, 0, 0]   |0.4534279135504941  |0.33156912214008943 |313       
 [7, 14, 6, 17, 20]  |2.3782334022930236  |1.1541428463859809  |723       
 [20, 11, 0, 0, 0]   |0.3932024302545253  |0.2904189596766701  |303       
 [14, 8, 5, 6, 0]    |0.43695240560088294 |0.34029887564690176 |250       
 [17, 17, 0, 0, 0]   |0.4639719115974369  |0.31888292050107114 |375       
 [18, 8, 4, 1, 0]    |1.3325611775819894  |1.0388380073528523  |249       
 [13, 11, 1, 7, 0]   |0.42529367727737183 |0.3389253699989333  |227       
 [11, 9, 1, 7, 0]    |0.4358465757891036  |0.3666069491974429  |173       
 [20, 5, 10, 0, 0]   |0.42246014776552093 |0.3336508602120046  |236       
 [17, 20, 2, 0, 0]   |0.6562511853789185  |0.4159410819054835  |456       
 [20, 11, 3, 0, 0]   |0.38289544784918644 |0.2749974898473898  |331       
 [4, 4, 16, 0, 0]    |1.4169953743347414  |1.2455020433387558  |129       
 [18, 6, 7, 0, 0]    |0.5181162385362709  |0.41372421967381445 |225       
 [11, 6, 7, 6, 0]    |0.4834816141268286  |0.392294678223695   |209       
 [19, 10, 2, 10, 0]  |0.4495253571244328  |0.3264224052161139  |320       
 [19, 2, 0, 0, 0]    |0.3907699890748331  |0.3535833079604121  |100       
