/tmp/tmp.uoEEDBskdc ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k3.mat
  Evaluating with: datasets/N3dataset100k3.mat
Gen 0 Train time: 8.53347065448761 minutes:
 Average MSE:        0.7834279443565929
 Average Error:      1.202944285543129
 Structure           |Error               |MSE                 |weights&biases
 [8, 1, 19, 4, 0]    |1.200780635094487   |1.0273389079746367  |156       
 [17, 3, 9, 17, 0]   |0.4229145373282305  |0.3043474934690814  |329       
 [8, 14, 13, 0, 0]   |0.4842427534476877  |0.33818271883572887 |359       
 [10, 0, 0, 0, 0]    |0.7088954631998942  |0.6804185156670963  |41        
 [5, 20, 19, 0, 0]   |1.0375239386678479  |0.5962096251361508  |554       
 [8, 0, 0, 0, 0]     |0.6399513594349803  |0.6191776165147637  |33        
 [6, 17, 11, 0, 0]   |0.7562231020282681  |0.5345025178651837  |347       
 [11, 0, 0, 0, 0]    |0.7229721703168289  |0.6911595742582994  |45        
 [15, 2, 0, 0, 0]    |0.41836339925817534 |0.3861980925851002  |80        
 [15, 20, 0, 0, 0]   |0.4594653762637587  |0.31233102035472177 |386       
 [15, 18, 15, 9, 0]  |0.8076394796893475  |0.3732004857100075  |772       
 [14, 12, 9, 12, 20] |0.7451338593986432  |0.3555137332449866  |740       
 [17, 15, 11, 18, 1] |7.564797700207436   |3.630990969369088   |734       
 [6, 4, 20, 8, 1]    |5.027700401141814   |3.6326510657421798  |325       
 [13, 11, 0, 0, 0]   |0.36913319623766233 |0.3007133677133797  |205       
 [1, 13, 5, 0, 0]    |1.6417809835544876  |1.4781356802099037  |105       
 [4, 15, 15, 17, 0]  |2.2750739251410135  |1.2275404661323823  |617       
 [16, 0, 0, 0, 0]    |0.40230199765605557 |0.37698411245522206 |65        
 [9, 14, 0, 0, 0]    |0.5025125936958492  |0.41889517168064766 |182       
 [16, 19, 4, 0, 0]   |0.5607536378655769  |0.35541341488255146 |456       
 [11, 20, 0, 0, 0]   |0.48073961044325225 |0.3582839301689604  |294       
 [4, 17, 10, 13, 0]  |0.8667093794624803  |0.5615516288978442  |434       
 [9, 15, 11, 8, 0]   |0.5956864562310339  |0.3767999644998485  |458       
 [15, 19, 17, 5, 19] |0.8875663561709191  |0.3561967640144911  |913       
 [15, 6, 16, 15, 0]  |0.49474482664249664 |0.2929617715325604  |524       
Gen 1 Train time: 8.548778708775838 minutes:
 Average MSE:        0.5267940473812551
 Average Error:      0.7960674481614379
 Structure           |Error               |MSE                 |weights&biases
 [13, 11, 0, 0, 0]   |0.5477272896255277  |0.4462045666187338  |205       
 [16, 0, 0, 0, 0]    |0.3166365911018465  |0.2967098472362754  |65        
 [15, 2, 0, 0, 0]    |0.30676346997279447 |0.2831783736061725  |80        
 [12, 18, 6, 4, 0]   |0.5450333326029915  |0.3591883682522333  |417       
 [19, 11, 0, 0, 0]   |0.39519260261408745 |0.29600408284279833 |289       
 [9, 20, 0, 0, 0]    |0.4211120155599311  |0.3286189485760465  |248       
 [16, 11, 12, 3, 0]  |0.7132548723646607  |0.46770549857273264 |422       
 [15, 10, 0, 0, 0]   |0.378920900578421   |0.3053099462137248  |216       
 [10, 8, 6, 4, 6]    |0.4228988734836795  |0.33366352689108447 |237       
 [16, 3, 8, 8, 0]    |0.40517143876065426 |0.3277693904195963  |212       
 [12, 10, 8, 8, 0]   |0.4879493011699742  |0.3490487193359983  |335       
 [10, 11, 16, 16, 0] |0.8441664523134894  |0.4486978375179703  |632       
 [11, 20, 4, 0, 0]   |0.6292058369978925  |0.4381049300447559  |362       
