/tmp/tmp.BecIpCSo1x ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k6.mat
  Evaluating with: datasets/N3dataset100k6.mat
Gen 0 Train time: 8.862239933013916 minutes:
 Average MSE:        0.7886118086314713
 Average Error:      1.1319960250216377
 Structure           |Error               |MSE                 |weights&biases
 [19, 11, 0, 0, 0]   |0.41672300861574235 |0.31213061972531275 |289       
 [3, 18, 5, 0, 0]    |1.2218643402431448  |1.0185477518328736  |182       
 [17, 13, 3, 2, 0]   |0.4705917423970304  |0.3356238132014044  |338       
 [2, 3, 9, 10, 3]    |3.592803377352645   |2.9770497186696483  |188       
 [6, 13, 6, 15, 7]   |1.7118621174115713  |1.1270253583751253  |418       
 [15, 20, 18, 16, 0] |1.144288388812259   |0.39486274689160095 |1064      
 [9, 0, 0, 0, 0]     |0.5547239448527707  |0.5345742273612994  |37        
 [15, 18, 19, 0, 0]  |0.6900603625408223  |0.3379098269466244  |714       
 [9, 12, 0, 0, 0]    |0.49831279668242157 |0.424634154655308   |160       
 [20, 5, 10, 17, 15] |0.49604021707778173 |0.2468194274352707  |698       
 [15, 16, 9, 1, 2]   |3.672739686289818   |2.2931763114611226  |471       
 [11, 7, 6, 20, 0]   |0.6251682909459044  |0.45124971542257397 |326       
 [14, 12, 15, 0, 0]  |0.7462340334975248  |0.4839779117667657  |433       
 [19, 15, 8, 17, 0]  |0.6321986335004228  |0.3280623357285858  |656       
 [2, 15, 10, 0, 0]   |2.2423153950220587  |1.7959048515573073  |222       
 [15, 2, 0, 0, 0]    |0.370056560560558   |0.3416052601410671  |80        
 [8, 11, 2, 10, 0]   |0.5107024335019599  |0.42317554741924407 |188       
 [3, 18, 12, 1, 18]  |2.7406454573319112  |1.8798527720340672  |377       
 [18, 18, 9, 12, 0]  |0.6783209590007849  |0.33684421949348503 |700       
 [16, 0, 0, 0, 0]    |0.4549257153893206  |0.42629608614502124 |65        
 [6, 7, 11, 13, 8]   |2.6045678688750744  |1.6909098826865496  |432       
 [15, 6, 7, 4, 0]    |0.38061920402909294 |0.303323353829515   |227       
 [18, 16, 14, 10, 0] |0.7563939700458819  |0.35480287900266666 |757       
 [6, 16, 7, 0, 0]    |0.6226383930134336  |0.48152874182658884 |257       
 [6, 7, 5, 0, 0]     |0.46510372855100374 |0.4154077021777491  |113       
Gen 1 Train time: 8.812435241540273 minutes:
 Average MSE:        0.5261732447512588
 Average Error:      0.6933552665496876
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 0, 0, 0]    |0.3443864950963967  |0.31790880309828473 |80        
 [15, 6, 7, 4, 0]    |0.3831841294338571  |0.3053673961895955  |227       
 [19, 11, 0, 0, 0]   |0.4277213671972963  |0.32036852454229187 |289       
 [15, 4, 4, 2, 0]    |0.39973810052875747 |0.34682127304605315 |142       
 [16, 10, 16, 2, 0]  |0.5632672203617104  |0.36604422229938194 |431       
 [15, 10, 10, 0, 0]  |0.36968110599623155 |0.2668377400035739  |326       
 [19, 13, 4, 9, 0]   |0.7681694237055141  |0.5007015988706177  |428       
 [15, 11, 9, 8, 0]   |0.6682490553456806  |0.43994993722016795 |418       
 [7, 4, 4, 2, 0]     |0.5012072912612671  |0.45990491910681663 |86        
 [18, 6, 9, 11, 8]   |0.7250769522020433  |0.4641824982956667  |446       
 [17, 7, 0, 0, 0]    |0.3884793237459249  |0.32286683015321505 |185       
 [13, 11, 9, 19, 0]  |0.5674813433842049  |0.34042943805113773 |511       
 [13, 6, 8, 0, 0]    |0.39411037622906137 |0.3265656540164053  |188       
 [15, 9, 11, 2, 0]   |1.3619749189053862  |0.9830805616177983  |326       
 [15, 4, 4, 12, 0]   |0.390011154521406   |0.31867613620033675 |202       
 [13, 13, 2, 1, 0]   |0.5517007444591884  |0.42794974465993024 |254       
 [8, 13, 9, 5, 18]   |0.5921341768004916  |0.379833598907566   |444       
 [13, 9, 3, 0, 0]    |0.37113017865022674 |0.30415969832542294 |199       
 [17, 15, 10, 16, 0] |0.6974402812101201  |0.3554614809779335  |674       
 [13, 14, 4, 0, 0]   |0.44853557516556813 |0.3322833267066071  |300       
 [13, 10, 11, 10, 0] |0.7699338557050533  |0.5003483768370891  |431       
 [13, 6, 8, 9, 8]    |0.5273344463326936  |0.37197809579779195 |349       
 [2, 5, 3, 10, 0]    |3.9427953929394666  |3.6034436667511045  |90        
 [19, 14, 4, 9, 0]   |0.5701236800710888  |0.3628005810722489  |452       
 [13, 17, 3, 0, 0]   |0.6100150744935575  |0.43636701603443573 |335       
Gen 2 Train time: 8.850944968064626 minutes:
 Average MSE:        0.5825112804211549
 Average Error:      0.8181140113893821
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 0, 0, 0]    |0.4356152042175548  |0.4021235157477774  |80        
 [15, 10, 10, 0, 0]  |0.41827594914788413 |0.30191374987286734 |326       
 [13, 9, 3, 0, 0]    |0.4565550077042686  |0.37416960786464637 |199       
 [16, 7, 10, 2, 0]   |0.4745240353878372  |0.36151815834976864 |272       
 [15, 7, 4, 0, 0]    |0.5227174522868737  |0.4305403612752162  |194       
 [16, 9, 5, 4, 0]    |0.4007093197368441  |0.3028495889068906  |280       
 [15, 11, 8, 8, 0]   |0.49602364894310624 |0.33316024981743564 |398       
 [16, 10, 7, 14, 0]  |0.46833756448400293 |0.30710488295878174 |422       
 [13, 14, 3, 1, 0]   |2.3311938472706975  |1.7513387879798696  |286       
 [14, 8, 9, 0, 0]    |0.44034764505196644 |0.3419158032195715  |253       
 [9, 13, 2, 1, 0]    |1.2930100374615578  |1.0692664607592843  |190       
 [15, 11, 2, 0, 0]   |0.4975119533603385  |0.38823839970441776 |248       
 [18, 10, 10, 0, 0]  |0.520532918810542   |0.36135220891001707 |365       
 [15, 5, 6, 3, 5]    |0.43203726360974026 |0.35090370562560197 |208       
 [14, 7, 4, 6, 0]    |0.39270284468611755 |0.31641454510974315 |216       
 [13, 5, 7, 7, 4]    |0.584708553811674   |0.4581119215591681  |244       
 [13, 13, 7, 10, 0]  |0.4859580575663723  |0.3225061864596828  |410       
 [16, 10, 2, 0, 0]   |0.4034766523862203  |0.31643524493842107 |243       
 [17, 12, 7, 5, 0]   |0.34522193417231933 |0.23048539488323816 |404       
 [13, 9, 9, 20, 3]   |3.767895404226704   |2.2356155351315916  |522       
 [15, 18, 19, 1, 7]  |2.147210053997788   |1.028569858143173   |736       
 [10, 9, 5, 8, 0]    |0.40005361648656523 |0.3159546148380145  |236       
 [17, 8, 10, 6, 4]   |0.5652795330419351  |0.3850296550962412  |384       
 [13, 8, 6, 0, 0]    |0.4454670275197491  |0.3603670991933615  |212       
 [10, 5, 6, 1, 0]    |1.7274847593658844  |1.5168964741840885  |130       
Increasing Epochs
Gen 3 Train time: 10.243959331512452 minutes:
 Average MSE:        0.8391678952819426
 Average Error:      1.101550927675182
 Structure           |Error               |MSE                 |weights&biases
 [17, 12, 7, 5, 0]   |0.490238687761427   |0.32730497790251073 |404       
 [14, 7, 4, 6, 0]    |0.4308684450789102  |0.3471659166634125  |216       
 [10, 9, 5, 8, 0]    |0.4752783668190602  |0.3753656688520392  |236       
 [2, 8, 8, 2, 3]     |2.888559985948311   |2.5288334341599485  |133       
 [16, 1, 7, 0, 0]    |0.32456829204262094 |0.29752431928424256 |87        
 [14, 11, 9, 4, 0]   |0.4218936682329335  |0.2943452244453835  |360       
 [16, 10, 6, 6, 0]   |0.48460886344878923 |0.34735318914376123 |333       
 [14, 8, 3, 4, 2]    |3.6845486481502103  |2.9628393090357132  |218       
 [16, 9, 7, 4, 3]    |2.310228495515029   |1.6742184099483155  |322       
 [14, 16, 8, 12, 0]  |0.5325190887057869  |0.3106350480814038  |539       
 [12, 7, 5, 1, 0]    |0.4091403883764262  |0.3434557715028312  |175       
 [14, 1, 5, 3, 0]    |0.4119463644556565  |0.3768673080723453  |89        
 [13, 9, 5, 0, 0]    |0.35574389560762393 |0.28520581502004605 |221       
 [16, 10, 18, 2, 0]  |2.4218388982811474  |1.5334607771908764  |457       
 [13, 10, 8, 4, 0]   |0.560406225426183   |0.4118511193733451  |308       
 [20, 9, 7, 7, 0]    |0.38264604044336054 |0.260893006234992   |383       
 [16, 6, 1, 0, 0]    |0.41508561970721275 |0.35406652227069807 |159       
