/tmp/tmp.IsvnV94VOP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k0.mat
  Evaluating with: datasets/N5dataset100k0.mat
Gen 0 Train time: 8.556550538539886 minutes:
 Average MSE:        0.7428463535467368
 Average Error:      0.9363781532915609
 Structure           |Error               |MSE                 |weights&biases
 [5, 0, 0, 0, 0]     |2.043937878834929   |2.001462733357037   |21        
 [19, 19, 16, 0, 0]  |0.38075313531015215 |0.17558991121011008 |774       
 [11, 3, 20, 13, 7]  |1.7311975730458895  |1.0210315173222226  |528       
 [13, 8, 2, 8, 0]    |0.42425781228117426 |0.34665890655481707 |202       
 [4, 13, 0, 0, 0]    |0.9202514363897706  |0.8402058599043496  |91        
 [9, 18, 0, 0, 0]    |0.4319299487660835  |0.3445583387822321  |226       
 [18, 15, 12, 8, 4]  |1.770174866242548   |0.9003950533445282  |676       
 [17, 1, 6, 18, 13]  |0.5408468247917981  |0.33870722978486434 |468       
 [6, 14, 7, 11, 16]  |0.5762987039894847  |0.34330734983282163 |518       
 [3, 2, 5, 1, 0]     |3.1540238046509432  |3.0303527623436564  |40        
 [15, 18, 10, 16, 0] |0.46846580811215704 |0.22894072274348995 |716       
 [2, 11, 0, 0, 0]    |2.0075637436773697  |1.907745005350833   |51        
 [9, 20, 9, 0, 0]    |0.4585590903737225  |0.29949243575106993 |426       
 [20, 14, 0, 0, 0]   |0.3142667322699217  |0.21729200435060783 |369       
 [10, 0, 0, 0, 0]    |0.44686234171979516 |0.428911492659347   |41        
 [10, 12, 7, 14, 0]  |1.3680146859026847  |0.9355324509246083  |380       
 [18, 0, 0, 0, 0]    |0.2709565319506908  |0.2518814170022724  |73        
 [7, 6, 16, 0, 0]    |0.4310109259761292  |0.3535883700438377  |198       
 [7, 0, 0, 0, 0]     |0.5671597379888714  |0.5509483074649555  |29        
 [8, 1, 19, 2, 19]   |1.9927331729567608  |1.651208014702417   |188       
 [13, 3, 10, 14, 8]  |0.474058469061705   |0.3165023500067958  |404       
 [3, 12, 1, 13, 0]   |1.3107218119417237  |1.1741893410151127  |110       
 [8, 16, 7, 0, 0]    |0.40891520805736514 |0.3044502889939027  |295       
 [6, 13, 10, 9, 18]  |0.5259657180048966  |0.30436755565114193 |547       
 [14, 13, 0, 0, 0]   |0.3905278699924524  |0.303839419571396   |251       
Gen 1 Train time: 8.72327572107315 minutes:
 Average MSE:        0.5231228711870071
 Average Error:      0.7177730248148841
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.2646530758870984  |0.2460217190135258  |73        
 [20, 14, 0, 0, 0]   |0.27099723903618883 |0.18737437723149722 |369       
 [19, 19, 16, 0, 0]  |0.4522758537163901  |0.2085736652748719  |774       
 [20, 7, 0, 0, 0]    |0.23630625450317574 |0.19059078682990133 |215       
 [13, 14, 13, 6, 8]  |0.48987238014890583 |0.2745531614014462  |579       
 [18, 15, 0, 0, 0]   |0.3185041443357725  |0.22332664756011372 |355       
 [13, 8, 2, 8, 0]    |0.34172034442940136 |0.279217960207938   |202       
 [13, 3, 8, 0, 0]    |0.26130870118763755 |0.23129697053177786 |122       
 [17, 14, 6, 0, 0]   |0.3306678554360716  |0.2216532920784136  |400       
 [17, 2, 16, 12, 1]  |5.14998403439468    |3.614644876021566   |354       
 [14, 8, 8, 0, 0]    |0.32679579280500337 |0.2562966311173559  |243       
 [15, 17, 5, 0, 0]   |0.35891949447420374 |0.23748349206521896 |413       
 [19, 7, 19, 0, 0]   |0.3956361116416795  |0.2735528608808123  |369       
 [12, 10, 5, 11, 0]  |0.3109077167568185  |0.23055654282697385 |299       
 [12, 8, 7, 15, 15]  |0.5155842974721906  |0.28896362517295876 |579       
 [20, 14, 19, 0, 0]  |0.3788182964543047  |0.1959886327233431  |659       
 [14, 7, 8, 0, 0]    |0.26513064234494554 |0.2127723243976855  |220       
 [13, 8, 4, 0, 0]    |0.32289358555206327 |0.2664862939480245  |192       
 [15, 17, 1, 0, 0]   |0.33178757649705726 |0.23686608383114915 |337       
 [11, 14, 6, 4, 0]   |0.37561054126727933 |0.27166041501198357 |324       
 [14, 15, 4, 0, 0]   |0.41745878771999084 |0.298325695430666   |336       
 [12, 11, 13, 10, 9] |0.47561906662711034 |0.2652352727068634  |584       
 [9, 3, 8, 0, 0]     |0.3561584866634856  |0.3229107014961047  |98        
 [16, 2, 5, 7, 4]    |2.6667536672923453  |2.236387582521453   |176       
 [5, 14, 4, 6, 8]    |2.3299616737283046  |1.8073321693935323  |254       
Gen 2 Train time: 8.672218946615855 minutes:
 Average MSE:        0.2746905258037756
 Average Error:      0.38752848951481167
 Structure           |Error               |MSE                 |weights&biases
 [20, 7, 0, 0, 0]    |0.257346610519626   |0.20756070587325276 |215       
 [13, 3, 8, 0, 0]    |0.4113115857554461  |0.3640717790776615  |122       
 [18, 0, 0, 0, 0]    |0.3000125007190443  |0.2788918696865373  |73        
 [14, 8, 5, 4, 0]    |0.3027869298840846  |0.23913526554189665 |236       
 [20, 7, 16, 0, 0]   |0.32924390036190854 |0.2315506904064893  |352       
 [17, 15, 12, 19, 0] |0.5161812251320812  |0.23662057652344096 |780       
 [20, 11, 0, 0, 0]   |0.26922488292805763 |0.19884925525111233 |303       
 [15, 12, 6, 6, 0]   |0.49405247932860885 |0.3433127176263541  |364       
 [16, 12, 3, 6, 0]   |0.297357641927549   |0.215494544985662   |322       
 [15, 17, 11, 2, 0]  |1.2300132860975825  |0.7153559493053601  |542       
 [13, 6, 5, 4, 0]    |0.3672015605963557  |0.3045730344275926  |187       
 [14, 8, 6, 0, 0]    |0.29999710506409866 |0.24003213850716382 |223       
 [19, 11, 3, 0, 0]   |0.28417971667203384 |0.20697682763515038 |317       
 [17, 7, 4, 0, 0]    |0.29996567260776164 |0.24217680134211875 |214       
 [15, 13, 5, 5, 0]   |0.37055460628470555 |0.25878583280441897 |359       
 [16, 8, 13, 8, 8]   |0.407122517755728   |0.2484183366980393  |494       
 [14, 13, 3, 0, 0]   |0.4519110257204412  |0.34052390023233403 |283       
 [13, 5, 6, 0, 0]    |0.28292439532424707 |0.2430287399192969  |152       
 [14, 2, 4, 0, 0]    |0.25521193941328807 |0.23347951309559783 |89        
 [17, 11, 11, 4, 0]  |0.3812910654113566  |0.2470431541870844  |434       
 [15, 17, 1, 0, 0]   |0.35028496015068444 |0.25007152953654566 |337       
 [13, 16, 4, 2, 0]   |0.40896800951224327 |0.28992925259005675 |344       
 [16, 8, 14, 10, 0]  |0.41231208980457834 |0.2574384241819309  |471       
 [15, 13, 18, 6, 0]  |0.432933338739192   |0.23150090065733503 |626       
 [16, 4, 2, 0, 0]    |0.27582319215959283 |0.2424414050019587  |129       
Increasing Epochs
Gen 3 Train time: 10.349681965510051 minutes:
 Average MSE:        0.4821555295373194
 Average Error:      0.7150375264746701
 Structure           |Error               |MSE                 |weights&biases
 [14, 2, 4, 0, 0]    |1.0057257809132862  |0.9200837788982289  |89        
 [20, 7, 0, 0, 0]    |0.3170948075426484  |0.2557501027482     |215       
 [20, 11, 0, 0, 0]   |0.23953806740693112 |0.17692260013309108 |303       
 [18, 10, 7, 4, 4]   |0.4407942422091745  |0.30204565927962557 |378       
 [17, 14, 2, 1, 0]   |0.41433443582223806 |0.29550136724241344 |338       
 [5, 4, 10, 7, 12]   |1.513423934352688   |1.1495546311557567  |275       
 [14, 6, 7, 0, 0]    |0.3179354744499271  |0.26318269574923786 |189       
 [17, 7, 4, 0, 0]    |0.2439017325205669  |0.19691366985471373 |214       
 [17, 8, 11, 2, 0]   |1.2654232463214645  |0.917967445225015   |321       
 [12, 6, 19, 17, 17] |0.7286415403132985  |0.29300272134173533 |911       
 [17, 3, 20, 0, 0]   |0.30523790730668005 |0.2484127051015564  |206       
 [15, 11, 6, 3, 0]   |0.29374203288879175 |0.2137275222044567  |318       
 [14, 12, 5, 3, 0]   |0.32244072281966    |0.23672977816756294 |309       
 [17, 10, 3, 10, 0]  |0.2731087298887729  |0.19931171253857943 |315       
 [15, 20, 20, 18, 5] |0.9242386887288493  |0.26111746392136875 |1264      
 [15, 2, 4, 18, 15]  |0.45386159574630996 |0.2808420176264492  |480       
 [17, 5, 12, 0, 0]   |0.29974925876355135 |0.23911540967655318 |226       
 [17, 8, 3, 0, 0]    |0.282161038309106   |0.22508496784395562 |226       
 [19, 11, 17, 7, 2]  |4.231152180663271   |2.2625089199514727  |626       
 [16, 3, 3, 19, 0]   |0.2940020706536674  |0.2390294605784658  |207       
 [16, 10, 8, 7, 4]   |0.40063880878230745 |0.2669497117566463  |406       
 [15, 15, 10, 7, 0]  |0.35678039246873516 |0.21000271209089152 |530       
 [14, 12, 3, 2, 0]   |0.45807122889382595 |0.3489835176154196  |272       
 [4, 8, 3, 3, 0]     |1.2769493794532658  |1.1612232043608035  |95        
 [18, 12, 2, 1, 0]   |1.2169908646477343  |0.8899244633707839  |313       
Increasing Epochs
Gen 4 Train time: 11.73947496811549 minutes:
 Average MSE:        0.44308896016031585
 Average Error:      0.6158496625533201
 Structure           |Error               |MSE                 |weights&biases
 [20, 11, 0, 0, 0]   |0.24246662708213118 |0.17908563166286087 |303       
 [17, 7, 4, 0, 0]    |0.24869179729496865 |0.20078092091448102 |214       
 [17, 10, 3, 10, 0]  |0.3194344938002498  |0.23311973963319027 |315       
 [14, 12, 5, 3, 0]   |0.34304034658657845 |0.25185362580701043 |309       
 [15, 5, 5, 12, 0]   |0.3964298667859547  |0.31184277817273426 |240       
 [17, 7, 12, 5, 4]   |0.2982252860929304  |0.2066133546013053  |367       
 [17, 5, 12, 0, 0]   |0.23450223886719962 |0.187066680825493   |226       
 [17, 4, 8, 10, 0]   |0.25574353594630644 |0.19640426854500703 |264       
 [15, 5, 5, 10, 0]   |0.3118833867108477  |0.24879502318803884 |226       
 [16, 5, 4, 9, 8]    |0.3176203113677029  |0.2374261624043456  |291       
 [16, 11, 6, 4, 15]  |0.4259591740992978  |0.2782008976804774  |426       
 [17, 8, 4, 0, 0]    |0.28795945323712585 |0.22742481104293866 |236       
 [10, 18, 8, 3, 9]   |0.4609443491580929  |0.29303068135242505 |453       
 [16, 10, 5, 2, 0]   |0.34191853775577563 |0.2563573872838151  |288       
 [15, 11, 6, 3, 0]   |0.3400334554616294  |0.2474092903481317  |318       
 [15, 7, 5, 11, 8]   |0.3913161563666131  |0.2708366352937268  |368       
 [20, 9, 16, 0, 0]   |0.23398595367449065 |0.1528200501715012  |426       
 [2, 10, 3, 10, 0]   |2.613535646559955   |2.317998177022814   |120       
 [16, 15, 12, 14, 3] |1.8728126876832634  |0.9061426018720959  |726       
 [16, 10, 11, 4, 0]  |0.4242729999323946  |0.2866830114967354  |392       
 [16, 9, 9, 2, 0]    |0.34679657109251216 |0.2533414940835229  |314       
 [6, 12, 3, 3, 16]   |1.2386142656800418  |0.9801920344827331  |234       
 [18, 9, 5, 2, 2]    |0.800623309999568   |0.5954935525575816  |296       
 [17, 10, 3, 2, 0]   |0.29116133430521324 |0.2211580328992257  |275       
 [16, 9, 15, 4, 2]   |2.358269778292159   |1.5371471606657043  |428       
Gen 5 Train time: 11.766260735193889 minutes:
 Average MSE:        0.4100858985505691
 Average Error:      0.5742556910651307
 Structure           |Error               |MSE                 |weights&biases
 [20, 9, 16, 0, 0]   |0.25794026346046406 |0.16846500135694165 |426       
 [17, 5, 12, 0, 0]   |0.36345280617763265 |0.2899328825890834  |226       
 [20, 11, 0, 0, 0]   |0.22137103913126283 |0.16350444946494547 |303       
 [17, 7, 8, 0, 0]    |0.31623310970702734 |0.24628259347293838 |250       
 [17, 9, 4, 5, 0]    |0.3060855095240128  |0.2304109619975776  |284       
 [15, 11, 7, 3, 0]   |0.45943569970785997 |0.3293098156816622  |333       
 [17, 16, 3, 1, 10]  |0.38442559382113173 |0.2513258378708552  |425       
 [17, 5, 11, 20, 0]  |0.32460960124953314 |0.20328790659559431 |468       
 [16, 9, 4, 11, 4]   |1.306800563787478   |0.9218081403285904  |349       
 [18, 11, 6, 2, 0]   |0.2981517984731984  |0.20968423319769638 |352       
 [17, 8, 9, 1, 0]    |0.3350573799116965  |0.25121315465403493 |288       
 [16, 9, 9, 19, 0]   |0.38520830718608073 |0.23340712481706993 |501       
 [17, 6, 4, 5, 4]    |0.3062686188996704  |0.24067862958782937 |241       
 [16, 9, 5, 2, 0]    |0.24750625337435547 |0.18969847688728717 |266       
 [17, 8, 11, 4, 2]   |0.38724545141457073 |0.27152622653521247 |355       
 [20, 18, 16, 0, 0]  |0.4320364163213163  |0.2022510771444616  |759       
 [14, 13, 6, 2, 5]   |0.4424776842249406  |0.30994350286467076 |356       
 [16, 5, 9, 5, 0]    |0.31630723846182085 |0.2480707567253529  |243       
 [17, 7, 12, 5, 4]   |1.2147544492163818  |0.841593598777697   |367       
 [18, 3, 11, 1, 0]   |0.2696738036166502  |0.22774192816423802 |169       
 [14, 12, 10, 2, 5]  |1.3697981209996344  |0.9228056519180587  |395       
 [15, 5, 16, 11, 0]  |0.3550334401972926  |0.23327359280963028 |420       
 [6, 7, 9, 6, 0]     |2.331647427199819   |1.897571798485186   |206       
 [16, 8, 8, 7, 4]    |0.37267756468697294 |0.26105043023917673 |356       
 [19, 8, 14, 3, 2]   |1.352194135877465   |0.9073096915984369  |399       
Gen 6 Train time: 11.778006021181742 minutes:
 Average MSE:        0.7653971546601938
 Average Error:      1.0389449881842543
 Structure           |Error               |MSE                 |weights&biases
 [20, 11, 0, 0, 0]   |0.3077921819049575  |0.2273350274249008  |303       
 [16, 9, 5, 2, 0]    |0.3091939481284603  |0.23697833983217248 |266       
 [20, 9, 16, 0, 0]   |0.2674259584184699  |0.17466026375038696 |426       
 [18, 7, 2, 3, 2]    |1.7685050986724473  |1.4150071905009558  |223       
 [19, 9, 4, 0, 0]    |0.36409691119318227 |0.2746287187327984  |282       
 [16, 3, 9, 13, 2]   |4.8275047713628165  |3.5906373576470942  |296       
 [17, 8, 7, 1, 0]    |2.139234378249986   |1.6363170215261618  |268       
 [17, 20, 8, 2, 0]   |0.4408839374129054  |0.24196223501915295 |600       
 [1, 4, 13, 6, 9]    |2.412423542964413   |1.9110099304134462  |233       
 [6, 10, 15, 6, 11]  |0.6095276631102373  |0.3933439163697912  |438       
 [19, 14, 10, 3, 0]  |0.5529590515270826  |0.32743316270671574 |524       
 [18, 8, 8, 6, 0]    |0.33750478204650114 |0.240466233691805   |339       
 [10, 18, 8, 18, 19] |0.6031472124484079  |0.2396456323561087  |923       
 [17, 6, 8, 3, 2]    |2.0399129639178004  |1.5839268981980372  |253       
 [19, 2, 11, 1, 0]   |2.585510611126111   |2.238761960651167   |144       
 [17, 9, 7, 12, 0]   |0.3413759819637031  |0.23066915542022265 |392       
 [17, 7, 8, 11, 0]   |0.2798502112330674  |0.19681309069109645 |352       
 [18, 12, 16, 6, 0]  |0.43376827701429016 |0.23829525393991835 |599       
 [19, 7, 6, 1, 0]    |0.2995456057321127  |0.23235507070544575 |254       
 [7, 18, 10, 17, 10] |0.5535122551393435  |0.26594350342307305 |733       
 [18, 8, 5, 3, 0]    |0.3257490243211765  |0.24792523298800972 |273       
 [17, 9, 8, 3, 1]    |3.153166531862809   |2.2759719595346484  |326       
 [19, 8, 12, 0, 0]   |0.2594281200317395  |0.1850229127549466  |338       
 [17, 9, 4, 3, 0]    |0.29517664791497705 |0.22488158698823996 |272       
 [14, 8, 12, 11, 0]  |0.4664290369093533  |0.3049372112385495  |425       
Result:  [19, 8, 12]
Fold 0
Fold 0 Train time: 19.328691001733144 minutes, MSE: 0.017619581880450586
Fold 1
Fold 1 Train time: 19.43767129977544 minutes, MSE: 0.010706068999735707
Fold 2
Fold 2 Train time: 19.417921336491904 minutes, MSE: 0.021799339232129344
Fold 3
Fold 3 Train time: 19.26805388132731 minutes, MSE: 0.017020361158056094
Fold 4
Fold 4 Train time: 19.243208718299865 minutes, MSE: 0.010355451109312117
Total Time: 168.28683908780417 minutes
CellsPerSensor: 5
 Resulting Network Architecture: [19, 8, 12]
 MSE after 5-Fold CV: 0.01550016047593677
 Weights and Biases: 338
 Objective Function Value: 0.021733402812593235
~/workspace/SolarCellResearch
