/tmp/tmp.mMAxGgwNoZ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k4.mat
  Evaluating with: datasets/N5dataset100k4.mat
Gen 0 Train time: 8.328295834859212 minutes:
 Average MSE:        0.935208928157263
 Average Error:      1.1465308456772465
 Structure           |Error               |MSE                 |weights&biases
 [6, 16, 8, 0, 0]    |0.37628569648437066 |0.2858161254178195  |275       
 [6, 0, 0, 0, 0]     |0.5911369080062556  |0.5765416857442818  |25        
 [1, 8, 5, 16, 4]    |4.505564377389064   |3.5690989222925977  |233       
 [7, 1, 5, 0, 0]     |0.31390986759465206 |0.3000970429430492  |45        
 [20, 18, 15, 2, 15] |0.5095448252270663  |0.22531914685497484 |816       
 [8, 3, 0, 0, 0]     |0.2680639177848763  |0.2537185168856092  |55        
 [11, 12, 17, 4, 0]  |0.541458797907624   |0.33672513511026464 |475       
 [3, 0, 0, 0, 0]     |2.4261291044630444  |2.394793548526449   |13        
 [16, 10, 2, 0, 0]   |0.265335150031587   |0.20809479977207576 |243       
 [7, 2, 9, 1, 6]     |1.888624973589985   |1.7209028004321645  |93        
 [14, 18, 15, 0, 0]  |0.3729933401923277  |0.20205916787267975 |613       
 [12, 10, 0, 0, 0]   |0.2983484729268484  |0.24995031936141934 |177       
 [17, 2, 16, 0, 0]   |0.2343390946954235  |0.20129453606285314 |152       
 [7, 12, 4, 0, 0]    |0.28467996560981973 |0.2392156919274405  |174       
 [19, 2, 10, 14, 0]  |0.3038414960741879  |0.22599348489082374 |296       
 [5, 12, 0, 0, 0]    |1.1834951195671155  |1.070870668247268   |100       
 [1, 12, 7, 17, 6]   |5.219498308605872   |3.6088937603725064  |369       
 [2, 9, 11, 1, 12]   |2.2590024622659217  |1.8643702480476878  |192       
 [2, 18, 5, 10, 0]   |1.6562836957400362  |1.321247485585549   |226       
 [19, 4, 13, 0, 0]   |0.24459755554769236 |0.19708088525673512 |216       
 [15, 0, 0, 0, 0]    |0.2605222415343394  |0.24510537931404533 |61        
 [2, 10, 6, 15, 0]   |1.471834672280499   |1.1776367769982108  |223       
 [3, 1, 15, 0, 0]    |1.471028276240444   |1.3867483136333667  |59        
 [4, 0, 0, 0, 0]     |1.3055202101204606  |1.2835139497431711  |17        
 [10, 20, 14, 0, 0]  |0.4112326120516537  |0.23513481263853953 |559       
Gen 1 Train time: 8.527256886164347 minutes:
 Average MSE:        0.4352368347385982
 Average Error:      0.6312538580162381
 Structure           |Error               |MSE                 |weights&biases
 [17, 2, 16, 0, 0]   |0.2508821621281016  |0.2155048371150338  |152       
 [19, 4, 13, 0, 0]   |0.3172951708901423  |0.25565592030016615 |216       
 [15, 0, 0, 0, 0]    |0.3161318902977324  |0.29742422922642675 |61        
 [9, 13, 4, 0, 0]    |0.29212643374074365 |0.2349062975542525  |218       
 [10, 9, 8, 7, 0]    |0.6107874286268379  |0.4616232080417134  |280       
 [14, 3, 5, 7, 0]    |0.30114461846441526 |0.2573895276926389  |157       
 [17, 6, 9, 0, 0]    |0.2814241543224429  |0.223154192174843   |232       
 [18, 3, 15, 0, 0]   |0.28086948613273327 |0.23296543601458267 |187       
 [11, 15, 10, 0, 0]  |0.5681590903436513  |0.38699101207080444 |384       
 [7, 9, 7, 0, 0]     |0.30906438077151877 |0.2604861277058833  |171       
 [11, 15, 7, 16, 0]  |0.4783150400158799  |0.2989479849636557  |470       
 [16, 7, 7, 12, 0]   |0.2792775130501612  |0.200378075171807   |332       
 [10, 6, 0, 0, 0]    |0.38670905404644174 |0.3488606685448167  |103       
 [16, 10, 2, 13, 0]  |0.3828468418631164  |0.28561222052589275 |293       
 [7, 7, 18, 0, 0]    |1.284618657544787   |1.010516826870643   |240       
 [11, 1, 3, 0, 0]    |0.3454899428910931  |0.32700109971371694 |55        
 [13, 14, 8, 0, 0]   |0.2858541639366762  |0.19863754150019272 |364       
 [7, 7, 5, 0, 0]     |0.42412815679580823 |0.3750411173234315  |123       
 [16, 6, 5, 7, 0]    |0.262139339038713   |0.2072397199849505  |235       
 [15, 19, 0, 0, 0]   |0.3977283675207523  |0.2749994997607673  |369       
 [12, 11, 9, 18, 0]  |0.43238592411294435 |0.2659527156603201  |486       
 [18, 7, 8, 0, 0]    |0.2552685929324589  |0.19682525338641746 |260       
 [10, 3, 8, 0, 0]    |0.2910360927685655  |0.2622890892656558  |104       
 [18, 2, 12, 17, 7]  |2.5804232550462043  |1.5919400629646492  |483       
 [8, 12, 13, 18, 4]  |4.167240693124031   |2.2105782049316924  |634       
Increasing Epochs
Gen 2 Train time: 9.951198716958364 minutes:
 Average MSE:        0.37833396913252043
 Average Error:      0.503877286041451
 Structure           |Error               |MSE                 |weights&biases
