/tmp/tmp.4DsmZmTjvK ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k5.mat
  Evaluating with: datasets/N5dataset100k5.mat
Gen 0 Train time: 8.358316600322723 minutes:
 Average MSE:        0.6565420852573535
 Average Error:      0.9306925361153401
 Structure           |Error               |MSE                 |weights&biases
 [14, 12, 12, 9, 0]  |0.45720080823662396 |0.27592323686055176 |505       
 [1, 0, 0, 0, 0]     |3.0408428356057864  |3.02567656869142    |5         
 [2, 13, 8, 10, 13]  |1.7737553631389136  |1.18423734076893    |404       
 [4, 17, 17, 16, 6]  |6.4569426720770915  |2.901291362208684   |800       
 [5, 0, 0, 0, 0]     |1.312389916004349   |1.285117094661179   |21        
 [19, 5, 0, 0, 0]    |0.26386947959891355 |0.22418118475878046 |163       
 [7, 15, 1, 0, 0]    |0.3835650126425648  |0.3271795592120567  |159       
 [17, 1, 15, 19, 0]  |0.44019704385484476 |0.28836367778828953 |423       
 [15, 4, 7, 12, 0]   |0.3424153737864877  |0.2658745399878775  |253       
 [7, 0, 0, 0, 0]     |0.7077506848811604  |0.687520668031075   |29        
 [9, 0, 0, 0, 0]     |0.5330128430787944  |0.513651756709584   |37        
 [14, 18, 9, 11, 0]  |0.5308368869480629  |0.2898764486793717  |605       
 [5, 17, 17, 0, 0]   |1.0881727119140796  |0.7001223863372334  |441       
 [18, 20, 0, 0, 0]   |0.4253417176615444  |0.2698571884539758  |455       
 [19, 4, 16, 2, 0]   |0.3637598816499106  |0.282165558109232   |254       
 [17, 0, 0, 0, 0]    |0.27059978300041476 |0.25255799709765897 |69        
 [15, 0, 0, 0, 0]    |0.3225601700369856  |0.3034721041968974  |61        
 [18, 13, 16, 19, 17]|0.7250711651229325  |0.2170808378506321  |1206      
 [9, 11, 9, 0, 0]    |0.6865787713228666  |0.5320412170479376  |255       
 [16, 4, 20, 9, 0]   |0.37351687779154624 |0.2466482399289184  |415       
 [17, 19, 7, 12, 0]  |0.3785750939080779  |0.19922093836474813 |642       
 [15, 4, 1, 0, 0]    |1.0312475888736992  |0.9183004269772874  |116       
 [20, 9, 11, 0, 0]   |0.3157431141518619  |0.21787662300939742 |371       
 [7, 0, 0, 0, 0]     |0.7365606734259474  |0.7155071652445754  |29        
 [14, 0, 0, 0, 0]    |0.30680693417003635 |0.2898080104575417  |57        
Gen 1 Train time: 8.415153261025747 minutes:
 Average MSE:        0.571792212078149
 Average Error:      0.6806473022847734
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 0, 0, 0]    |0.21797524099990004 |0.1851898440460618  |163       
 [17, 0, 0, 0, 0]    |0.2954520131568336  |0.27575324656208877 |69        
 [14, 0, 0, 0, 0]    |0.2985940100770259  |0.28205013106712656 |57        
 [18, 1, 0, 0, 0]    |0.9939235764388172  |0.9221061239494922  |75        
 [15, 0, 0, 0, 0]    |0.26898582033621754 |0.2530681109425279  |61        
 [15, 2, 4, 6, 10]   |0.285698693127538   |0.23391030617770442 |200       
 [16, 9, 0, 0, 0]    |0.31623712368322693 |0.25608062174380386 |211       
 [18, 2, 8, 1, 0]    |2.0084449802581354  |1.7689051236720719  |127       
 [11, 8, 1, 0, 0]    |1.0395831222444658  |0.9037701487048299  |140       
 [5, 8, 2, 1, 7]     |1.1470282521598079  |1.0316654820319775  |106       
 [17, 11, 9, 7, 0]   |0.35408096121650345 |0.2291840954804706  |435       
 [17, 20, 0, 0, 0]   |0.29671675964788635 |0.19263130258304098 |432       
 [18, 5, 17, 1, 10]  |0.2768785975050523  |0.20511670994854234 |300       
 [17, 3, 0, 0, 0]    |0.22814802004334178 |0.20458726926486165 |109       
 [17, 2, 1, 1, 0]    |2.4495385152816405  |2.229772685905719   |94        
 [19, 5, 6, 0, 0]    |0.22689243456920996 |0.185763813822546   |200       
 [19, 5, 6, 9, 0]    |0.46260676021681574 |0.3545599216766494  |266       
 [17, 3, 9, 0, 0]    |0.2651934294795979  |0.22802596003757455 |151       
 [14, 8, 13, 1, 0]   |2.18902205835228    |1.6297960681029153  |295       
 [12, 17, 4, 6, 0]   |0.2936107357913522  |0.20361986773656024 |366       
 [17, 12, 14, 6, 0]  |0.4168291254032749  |0.24145336928560082 |546       
 [17, 2, 6, 5, 0]    |0.2624839487093173  |0.22682752623947922 |146       
 [11, 6, 6, 5, 17]   |0.33348986832182975 |0.24656175390532642 |302       
