/tmp/tmp.hhcXLJhTCi ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k1.mat
  Evaluating with: datasets/N6dataset100k1.mat
Gen 0 Train time: 8.406248529752096 minutes:
 Average MSE:        0.7745187296498958
 Average Error:      1.0335614853346333
 Structure           |Error               |MSE                 |weights&biases
 [12, 5, 0, 0, 0]    |0.26707843774641243 |0.2399768330172946  |107       
 [20, 6, 0, 0, 0]    |0.25776308838470274 |0.21252101997161313 |193       
 [4, 14, 17, 16, 11] |1.290688082382255   |0.5661905896460802  |824       
 [2, 3, 8, 0, 0]     |1.9544141778029422  |1.8479750928517333  |56        
 [17, 18, 0, 0, 0]   |0.2610352931594462  |0.176030208763986   |394       
 [17, 14, 8, 12, 4]  |0.45387524557797937 |0.2520991268809211  |588       
 [2, 19, 19, 6, 16]  |4.002666880367011   |2.0036306484044273  |692       
 [2, 6, 9, 13, 19]   |3.3227577606866894  |2.0093174533173643  |503       
 [10, 18, 6, 19, 0]  |0.3733264345548862  |0.22756893342931822 |495       
 [13, 4, 0, 0, 0]    |0.2522251553686306  |0.22822275834747047 |100       
 [5, 0, 0, 0, 0]     |0.7427171773738248  |0.7272827453959485  |21        
 [6, 15, 10, 0, 0]   |0.4758659410151548  |0.3546516989171335  |294       
 [7, 1, 1, 0, 0]     |1.018442555136886   |0.985382442821316   |33        
 [5, 0, 0, 0, 0]     |2.3961690934315008  |2.346374218603335   |21        
 [17, 2, 4, 0, 0]    |0.2300750393760744  |0.20734944579089806 |104       
 [12, 6, 6, 3, 19]   |0.31651837206261907 |0.24089985012891094 |273       
 [14, 19, 17, 13, 12]|0.8544716865271639  |0.2895949919746568  |1082      
 [14, 0, 0, 0, 0]    |0.2976804915992529  |0.2811872269307655  |57        
 [11, 9, 0, 0, 0]    |0.2321433201009138  |0.199607899547878   |151       
 [4, 1, 1, 2, 19]    |1.175861700571276   |1.063963665112286   |100       
 [15, 14, 18, 10, 0] |0.4708714893150746  |0.22465933997433618 |740       
 [12, 12, 17, 0, 0]  |0.4260042578477367  |0.2768426629903357  |431       
 [2, 9, 0, 0, 0]     |3.345913836430328   |3.205088974099487   |43        
 [17, 0, 0, 0, 0]    |0.26817806407802874 |0.25029774221574586 |69        
 [6, 16, 2, 8, 0]    |1.1522935524690514  |0.9462526721141528  |197       
