/tmp/tmp.XI2DenxEA2 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k6.mat
  Evaluating with: datasets/N6dataset100k6.mat
Gen 0 Train time: 8.544802021980285 minutes:
 Average MSE:        0.7689089411162441
 Average Error:      1.1239801989129492
 Structure           |Error               |MSE                 |weights&biases
 [12, 19, 7, 20, 0]  |0.5581279135644021  |0.3050843122121889  |604       
 [14, 16, 8, 18, 0]  |0.4266444604555902  |0.2343817089302152  |599       
 [8, 2, 10, 18, 7]   |3.4852968680535974  |2.31070627626848    |411       
 [18, 14, 17, 0, 0]  |0.3609727185243221  |0.19949763537891196 |593       
 [18, 3, 14, 0, 0]   |0.20871046215169328 |0.1739813210084391  |182       
 [17, 12, 2, 0, 0]   |0.32005502976795686 |0.23805290741603063 |296       
 [3, 18, 1, 0, 0]    |2.048205975808155   |1.8495905240595527  |102       
 [16, 20, 15, 0, 0]  |0.44028169147072904 |0.21452252187761106 |719       
 [18, 0, 0, 0, 0]    |0.2693773476583634  |0.25041340597336115 |73        
 [7, 11, 19, 12, 18] |1.1720571944078453  |0.5110747031495622  |830       
 [6, 13, 0, 0, 0]    |1.8629316252607777  |1.647322742053478   |123       
 [18, 4, 0, 0, 0]    |0.22123990672566224 |0.19330082680658767 |135       
 [3, 19, 18, 12, 0]  |3.6931282294495142  |1.8598091177001699  |686       
 [2, 16, 20, 2, 17]  |4.344580779727776   |2.6219787234588723  |505       
 [15, 0, 0, 0, 0]    |0.256329661270836   |0.24116090236751514 |61        
 [5, 5, 0, 0, 0]     |0.7065028374768859  |0.6713745771249225  |51        
 [5, 3, 8, 0, 0]     |0.8613937647786037  |0.7999520066012693  |74        
 [7, 15, 0, 0, 0]    |0.5004564848925313  |0.42774218889927795 |157       
 [13, 13, 0, 0, 0]   |0.2981423118676031  |0.23570262080344645 |235       
 [9, 20, 3, 18, 9]   |1.6110826329676358  |0.9360432426540658  |543       
 [7, 13, 3, 0, 0]    |1.4026166739980075  |1.1821555921565308  |171       
 [5, 7, 2, 0, 0]     |0.46027175020930816 |0.42658731751543855 |76        
 [12, 8, 2, 16, 0]   |0.3627913868642861  |0.29027477582628053 |223       
 [9, 5, 0, 0, 0]     |0.2828998053101107  |0.26036716036551033 |83        
 [4, 14, 13, 17, 0]  |1.9454074601615288  |1.1416464172983853  |533       
Gen 1 Train time: 8.277565125624339 minutes:
 Average MSE:        0.30874335883837567
 Average Error:      0.3798590280108955
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 14, 0, 0]   |0.23106672399595057 |0.19261753084849714 |182       
 [18, 4, 0, 0, 0]    |0.23195717695278062 |0.20266467633388144 |135       
 [15, 0, 0, 0, 0]    |0.25132003336140113 |0.2364477280076883  |61        
 [11, 7, 1, 8, 0]    |0.31095646679796324 |0.2676427112939606  |150       
 [18, 8, 1, 0, 0]    |0.36020788359593925 |0.28994212068629893 |217       
 [10, 13, 1, 0, 0]   |0.4369024941433712  |0.3616619893931575  |189       
 [14, 4, 1, 8, 0]    |0.25943702690409237 |0.22735530231756645 |132       
 [14, 15, 4, 9, 0]   |0.3536283783293626  |0.2403861486324303  |386       
 [12, 3, 0, 0, 0]    |0.2539847624841158  |0.23469206073602566 |79        
 [15, 1, 1, 8, 0]    |0.3172342423387879  |0.29051070789082833 |88        
 [15, 4, 1, 8, 0]    |0.24260784512718142 |0.21112414675353192 |139       
 [13, 11, 1, 12, 0]  |0.33396786519157107 |0.26218353567243946 |242       
 [16, 9, 0, 0, 0]    |0.2874165482043936  |0.23274246712845023 |211       
 [18, 2, 0, 0, 0]    |0.2513216821445976  |0.22854513558732484 |95        
 [15, 17, 8, 0, 0]   |0.3256014500663741  |0.20350164484762034 |470       
 [8, 8, 1, 0, 0]     |0.39081750891914663 |0.3511595652179709  |107       
 [7, 4, 8, 8, 12]    |0.429970235861081   |0.3230205641722953  |286       
 [14, 16, 8, 18, 0]  |0.3592789558030164  |0.19737374664106197 |599       
 [6, 13, 1, 8, 7]    |1.315859335408958   |1.0666148471953019  |210       
 [12, 3, 8, 0, 0]    |0.2368501430692036  |0.2109091840375874  |116       
 [16, 7, 0, 0, 0]    |0.24555081182673608 |0.20612935294353213 |175       
 [14, 8, 17, 2, 7]   |0.37898082106830716 |0.2591703583602282  |380       
 [13, 11, 1, 8, 0]   |0.28419837991934643 |0.22580516262292952 |230       
 [10, 7, 0, 0, 0]    |1.122717072129158   |1.0007519872821353  |115       
 [18, 16, 0, 0, 0]   |0.28464185662955194 |0.19563129635664805 |375       
Increasing Epochs
Gen 2 Train time: 10.120617079734803 minutes:
 Average MSE:        0.7220870582585508
 Average Error:      1.0567303806575192
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 14, 0, 0]   |0.21493598732483113 |0.17917092713755872 |182       
 [18, 4, 0, 0, 0]    |0.2346541241277922  |0.20502104199367116 |135       
 [12, 3, 8, 0, 0]    |0.24373357435489373 |0.21703870904876515 |116       
 [4, 6, 17, 10, 7]   |5.412621178566712   |3.5350713454303913  |426       
 [15, 7, 1, 4, 0]    |0.2594572334579278  |0.2171507657619692  |178       
 [1, 11, 17, 13, 1]  |5.705554342697026   |3.5340345364163284  |479       
 [18, 10, 7, 0, 0]   |0.2952864287198257  |0.2125008163684056  |329       
 [14, 14, 5, 4, 0]   |0.319305544779486   |0.22366479160733127 |356       
 [14, 14, 5, 15, 0]  |0.4837581953481183  |0.3137464530896633  |433       
 [15, 10, 3, 9, 0]   |0.28721398267492565 |0.21620510605090737 |284       
 [16, 9, 4, 9, 1]    |4.7583188186017695  |3.5321064339951405  |298       
 [11, 8, 1, 0, 0]    |1.0250204378989134  |0.8911099591395105  |140       
 [16, 9, 9, 5, 0]    |0.2998512131483605  |0.21193643513781132 |347       
 [13, 4, 4, 4, 6]    |0.33211082893973065 |0.2796304011509795  |172       
 [16, 6, 1, 4, 0]    |0.2545772787850712  |0.21477789321581353 |170       
 [15, 9, 4, 0, 0]    |0.2573110013880132  |0.20362610130832923 |234       
 [18, 11, 16, 9, 3]  |2.6296633831675784  |1.3838311479235024  |642       
 [16, 4, 1, 4, 0]    |0.21472185316182218 |0.18779359942854565 |134       
 [17, 10, 1, 4, 0]   |0.2871808561598386  |0.22254118333684708 |255       
 [14, 6, 1, 10, 0]   |0.21683728901262506 |0.18293799166609337 |170       
 [18, 9, 0, 0, 0]    |0.2779633143719415  |0.2197496936086451  |235       
 [7, 4, 11, 4, 0]    |1.1338840880357939  |0.9652665336994343  |161       
 [15, 15, 19, 2, 8]  |0.4918252309936633  |0.2536926339841009  |662       
 [17, 4, 1, 4, 0]    |0.2955553444454944  |0.2566866576660346  |141       
 [18, 20, 7, 16, 12] |0.486917986275826   |0.19288529829798845 |926       
Increasing Epochs
Gen 3 Train time: 11.59969511826833 minutes:
 Average MSE:        0.3087592790945702
 Average Error:      0.41510911168718
 Structure           |Error               |MSE                 |weights&biases
 [16, 4, 1, 4, 0]    |0.23839614210775578 |0.20849889732720772 |134       
 [18, 3, 14, 0, 0]   |0.20059873841457038 |0.16721937722809133 |182       
 [14, 6, 1, 10, 0]   |0.27412266850804295 |0.23126765085174936 |170       
 [15, 8, 2, 10, 0]   |0.2638559969931508  |0.20922358992693896 |232       
 [17, 4, 2, 5, 0]    |0.2409692296066093  |0.20657617846643186 |154       
 [15, 11, 3, 4, 0]   |0.2895817438388746  |0.21929933417775826 |278       
 [16, 13, 10, 3, 4]  |0.323591905091101   |0.20366636100361962 |463       
 [15, 8, 3, 5, 0]    |0.25730617014287116 |0.2052577895932362  |226       
 [17, 6, 1, 2, 0]    |0.2565926730785169  |0.2158297490198699  |173       
 [17, 13, 4, 10, 6]  |0.34032461969622885 |0.21398371755286433 |464       
 [18, 7, 1, 2, 0]    |0.2851474517764038  |0.2329925365621531  |202       
 [17, 7, 5, 3, 0]    |0.23219672018973095 |0.18283515311552093 |239       
 [16, 13, 16, 9, 12] |0.4527840349891186  |0.2077665861995722  |779       
 [15, 9, 1, 5, 0]    |0.25887632618509676 |0.20879448494914338 |215       
 [15, 3, 11, 7, 0]   |0.29364183801948207 |0.233541732407775   |229       
 [18, 12, 7, 10, 0]  |0.26636409509551623 |0.16748003521466898 |464       
 [9, 19, 1, 4, 19]   |1.5281687555399357  |1.066167162981642   |360       
 [15, 10, 3, 4, 0]   |0.26851007813952665 |0.20724226022735048 |259       
 [16, 9, 10, 2, 0]   |0.4093993141874756  |0.2955065487115067  |326       
 [15, 7, 16, 5, 3]   |1.3440679359385006  |0.9081922337562119  |392       
 [14, 5, 3, 7, 3]    |1.189240536025313   |0.982470361960905   |191       
 [16, 10, 3, 2, 0]   |0.3582747614159094  |0.2756963784257439  |262       
 [15, 3, 11, 0, 0]   |0.2992070461314482  |0.25778754990700364 |149       
 [17, 7, 2, 0, 0]    |0.2195817176000459  |0.18049885837888824 |196       
 [15, 7, 3, 4, 3]    |0.28692729346827445 |0.2311874494184006  |216       
Gen 4 Train time: 11.505219304561615 minutes:
 Average MSE:        0.45333175798729974
 Average Error:      0.6045932626072028
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 14, 0, 0]   |0.231836067493081   |0.1932588566189452  |182       
 [17, 7, 2, 0, 0]    |0.24336521200192218 |0.2000491817606307  |196       
 [17, 7, 5, 3, 0]    |0.26573705260899433 |0.20924531002217606 |239       
 [14, 3, 20, 14, 0]  |0.34582635152160085 |0.2148492833992445  |476       
 [18, 8, 9, 5, 3]    |1.2814455087957979  |0.8949286759976525  |359       
 [14, 6, 2, 4, 0]    |0.24665457419249123 |0.20955555281609337 |163       
 [16, 6, 11, 17, 0]  |0.36055189576800983 |0.23012805188849    |449       
 [16, 7, 2, 5, 0]    |0.28750723453567933 |0.23445133120796618 |204       
 [17, 6, 3, 4, 0]    |0.29590107790839437 |0.2420211701314628  |201       
 [16, 8, 2, 3, 0]    |0.2364170694636033  |0.19068016368767776 |215       
 [16, 20, 3, 3, 2]   |1.3918358572200182  |0.8664279155032247  |474       
 [17, 10, 5, 8, 0]   |0.35325711655030523 |0.2506847484096748  |343       
 [18, 7, 3, 3, 0]    |0.3158291608605315  |0.25169082194301307 |227       
 [15, 5, 7, 3, 2]    |1.101027156184346   |0.8996437048448941  |202       
 [17, 6, 8, 3, 0]    |0.2585660140849605  |0.2021785130234246  |246       
 [15, 9, 2, 8, 0]    |0.2775657460428097  |0.21790470360769004 |242       
 [16, 6, 2, 7, 0]    |0.2749012984873673  |0.22665116527026882 |193       
 [17, 7, 2, 1, 0]    |0.8890933127209301  |0.729385350382697   |198       
 [17, 9, 3, 8, 3]    |1.043380525538435   |0.7683314580075773  |306       
 [17, 3, 13, 0, 0]   |0.2544647771723757  |0.21446840388952682 |171       
 [16, 7, 2, 5, 18]   |0.3646472459935776  |0.26346760966060934 |325       
 [17, 3, 7, 0, 0]    |0.28047921684561994 |0.2435932019837534  |141       
 [16, 3, 12, 10, 2]  |3.992985605927488   |2.952166251018184   |302       
 [15, 4, 2, 5, 0]    |0.2306868289551215  |0.20054949455017054 |140       
 [16, 7, 2, 16, 0]   |0.2908696583066075  |0.2269830300574454  |248       
Result:  [15, 4, 2, 5]
Fold 0
Fold 0 Train time: 20.138109668095908 minutes, MSE: 0.010622277287504997
Fold 1
Fold 1 Train time: 20.265127233664195 minutes, MSE: 0.011972191016481346
Fold 2
Fold 2 Train time: 20.32857463359833 minutes, MSE: 0.009884305071954468
Fold 3
Fold 3 Train time: 20.212662490208945 minutes, MSE: 0.012142238214970536
Fold 4
Fold 4 Train time: 20.147425432999928 minutes, MSE: 0.011559083106248171
Total Time: 151.14541671276092 minutes
CellsPerSensor: 6
 Resulting Network Architecture: [15, 4, 2, 5]
 MSE after 5-Fold CV: 0.011236018939431902
 Weights and Biases: 140
 Objective Function Value: 0.01292449818949209
~/workspace/SolarCellResearch
