/tmp/tmp.Dm01TOimmv ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k3.mat
  Evaluating with: datasets/N7dataset100k3.mat
Gen 0 Train time: 8.385811841487884 minutes:
 Average MSE:        1.0010047997403968
 Average Error:      1.2231189274790102
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.2754160267142173  |0.25705312585350976 |69        
 [20, 1, 9, 16, 18]  |0.4143741731166434  |0.2310812465713065  |584       
 [1, 15, 3, 0, 0]    |3.182257784624983   |2.922942867310214   |85        
 [1, 0, 0, 0, 0]     |3.5056554754192466  |3.4881709457923065  |5         
 [11, 8, 16, 0, 0]   |0.330021819945913   |0.24694330437149978 |290       
 [2, 4, 3, 0, 0]     |3.093641071090964   |2.9812680715460464  |37        
 [18, 9, 3, 0, 0]    |0.26957492681797596 |0.20806413495343534 |259       
 [9, 0, 0, 0, 0]     |1.547178340603826   |1.4909788439688563  |37        
 [18, 20, 15, 0, 0]  |0.5340620492705893  |0.24851719277128073 |765       
 [7, 17, 20, 3, 9]   |0.6999801287955909  |0.3742978785841128  |626       
 [7, 0, 0, 0, 0]     |0.5261453311902019  |0.5111062374203968  |29        
 [12, 3, 6, 17, 10]  |0.3298631150170221  |0.21913276202394813 |409       
 [12, 1, 2, 15, 2]   |3.9743834766040194  |3.479433996420716   |133       
 [19, 0, 0, 0, 0]    |0.30800555416845904 |0.28517921745902197 |77        
 [4, 16, 18, 0, 0]   |1.9178223104345284  |1.2638850233119219  |417       
 [8, 0, 0, 0, 0]     |0.5805205772024808  |0.5616760430782817  |33        
 [20, 4, 14, 15, 1]  |5.4211172122608895  |3.4325448399794305  |457       
 [9, 14, 0, 0, 0]    |0.389292217768252   |0.3245145145450292  |182       
 [15, 14, 0, 0, 0]   |0.2992229491519795  |0.22524505545222837 |284       
 [7, 14, 0, 0, 0]    |0.5146178960443623  |0.443822485854669   |148       
 [15, 13, 9, 6, 14]  |0.39129100501389574 |0.22530421181375018 |552       
 [9, 11, 0, 0, 0]    |0.2462789244564616  |0.21218631496222104 |149       
 [15, 11, 3, 20, 9]  |0.3847800864945224  |0.22512863887837065 |536       
 [9, 4, 4, 12, 0]    |1.1482587314148496  |0.9784815461013852  |160       
 [18, 11, 7, 11, 0]  |0.294212003353384   |0.18816149448598202 |447       
Gen 1 Train time: 8.79232053756714 minutes:
 Average MSE:        0.5186648241034674
 Average Error:      0.7344205742622989
 Structure           |Error               |MSE                 |weights&biases
 [9, 11, 0, 0, 0]    |0.2608829891363946  |0.2247687260424381  |149       
 [18, 9, 3, 0, 0]    |0.232994475075021   |0.17983050010488352 |259       
 [17, 0, 0, 0, 0]    |0.3457290219259359  |0.32267812024081766 |69        
 [6, 13, 9, 6, 14]   |0.4859116536280162  |0.3231209866362975  |408       
 [16, 5, 13, 8, 9]   |0.39563086398554476 |0.2615123774445999  |414       
 [16, 7, 18, 1, 0]   |2.1493909916738914  |1.5421607883835573  |332       
 [11, 7, 3, 1, 5]    |0.2906230751803188  |0.24740511958178288 |161       
 [15, 12, 11, 9, 5]  |1.4840777258075029  |0.8613912358309083  |544       
 [18, 10, 5, 6, 0]   |0.3082829465650373  |0.21898823763492947 |342       
 [15, 13, 9, 6, 14]  |0.35223268326577334 |0.20281454483069225 |552       
 [14, 10, 2, 0, 0]   |0.2533376963437274  |0.2039191041417563  |217       
 [13, 5, 2, 0, 0]    |0.2880882317283116  |0.25449133630434895 |124       
 [17, 12, 2, 0, 0]   |0.21291487751594684 |0.15836340913481767 |296       
 [17, 11, 3, 14, 7]  |1.2737640176084837  |0.8089455338131103  |454       
 [8, 13, 0, 0, 0]    |0.3998125263180841  |0.34240551568687394 |155       
 [16, 11, 5, 3, 7]   |0.28988369229800987 |0.20448196512430544 |349       
 [17, 7, 5, 1, 7]    |0.24020248781991674 |0.1880075773136359  |245       
 [13, 11, 13, 3, 11] |0.313736935282786   |0.20064854576091123 |447       
 [13, 7, 0, 0, 0]    |0.3707029086293095  |0.3206662800853469  |145       
 [20, 4, 17, 15, 4]  |2.648924556136232   |1.5010332882011224  |568       
 [10, 3, 16, 9, 7]   |1.1054665735224378  |0.7728019168692581  |358       
 [17, 7, 0, 0, 0]    |0.37294005339229935 |0.30995207599438046 |185       
 [12, 6, 11, 9, 5]   |2.1554874061436435  |1.511370526358453   |355       
 [9, 8, 2, 6, 0]     |1.8958540369900607  |1.6317766917749918  |150       
 [15, 9, 10, 0, 0]   |0.23364193058478944 |0.17308619929246513 |300       
Gen 2 Train time: 9.050738064448039 minutes:
 Average MSE:        0.43726614503846145
 Average Error:      0.6435351613899857
 Structure           |Error               |MSE                 |weights&biases
 [17, 12, 2, 0, 0]   |0.24863515128842487 |0.18493169969222578 |296       
 [18, 9, 3, 0, 0]    |0.2410817467930062  |0.1860724426104347  |259       
 [15, 9, 10, 0, 0]   |0.28143342695778506 |0.2084910105992245  |300       
 [14, 7, 2, 1, 3]    |1.0433558082505325  |0.8749769438180843  |176       
 [15, 8, 3, 1, 3]    |1.0605123368244354  |0.8562029224318379  |214       
 [19, 10, 10, 2, 14] |0.3926832882196217  |0.2513894686780084  |446       
 [13, 11, 2, 14, 0]  |0.26109365395290945 |0.19851787974746227 |274       
 [17, 12, 4, 2, 4]   |0.3428803622884983  |0.24259213790271375 |346       
 [12, 12, 5, 3, 7]   |1.1294503460108545  |0.8275639406275719  |311       
 [20, 8, 9, 6, 8]    |0.2710997509374661  |0.17564885109141043 |434       
 [18, 5, 2, 10, 0]   |0.22506372085688936 |0.18389842477597168 |202       
 [17, 12, 7, 6, 7]   |0.27382091806784514 |0.17234086845852303 |463       
 [16, 7, 5, 3, 7]    |0.351115810467737   |0.2704578093784823  |261       
 [13, 6, 1, 0, 0]    |0.24731748764788708 |0.21673445322587997 |132       
 [6, 19, 7, 15, 15]  |1.0962762915752815  |0.5626594308783579  |667       
 [17, 9, 3, 2, 4]    |0.27643632409975993 |0.21144829528337952 |268       
 [16, 10, 12, 18, 4] |4.364945651907112   |2.244775998653995   |665       
 [18, 10, 4, 3, 0]   |0.28372874471233    |0.20872522154228626 |307       
 [13, 8, 8, 11, 6]   |0.3878641601862064  |0.25973325854312035 |401       
