/tmp/tmp.5I6jKdRvBp ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k4.mat
  Evaluating with: datasets/N7dataset100k4.mat
Gen 0 Train time: 8.4539195895195 minutes:
 Average MSE:        0.7520171478725228
 Average Error:      0.946185792901233
 Structure           |Error               |MSE                 |weights&biases
 [3, 14, 0, 0, 0]    |0.4152650000434218  |0.38333790962232966 |80        
 [15, 9, 8, 7, 19]   |0.34719180246438586 |0.20974182551937542 |504       
 [5, 19, 3, 0, 0]    |1.1940422847217804  |0.9844663401129846  |193       
 [19, 17, 5, 12, 15] |0.37012587036443284 |0.1713731148987999  |770       
 [2, 3, 18, 13, 0]   |3.598463464988917   |2.540871008727194   |348       
 [3, 14, 7, 6, 11]   |1.6224866665318047  |1.1935832911981286  |307       
 [3, 13, 19, 4, 16]  |1.7209949982928088  |1.0396692263166987  |504       
 [18, 0, 0, 0, 0]    |0.2083994665622611  |0.19372831709321037 |73        
 [20, 19, 14, 19, 13]|0.7870389617178779  |0.2149225549758628  |1298      
 [4, 10, 0, 0, 0]    |0.4622315747946875  |0.4296908555932708  |73        
 [18, 11, 0, 0, 0]   |0.21968286784944466 |0.16686498236855285 |275       
 [16, 1, 6, 5, 0]    |0.26041969502644224 |0.2314339549931017  |118       
 [18, 20, 1, 2, 15]  |0.34864745764040866 |0.20727807756479089 |520       
 [2, 15, 0, 0, 0]    |1.2898504676619835  |1.2062619677994841  |67        
 [5, 14, 7, 0, 0]    |0.5647033426371274  |0.4568250687912353  |212       
 [10, 8, 2, 0, 0]    |0.2855279220579926  |0.24847440068230822 |139       
 [4, 16, 0, 0, 0]    |0.6548804016476247  |0.5872511759808866  |109       
 [2, 0, 0, 0, 0]     |2.9731690513691555  |2.946530582824703   |9         
 [15, 2, 20, 0, 0]   |0.22889537778372485 |0.1954422684142267  |158       
 [14, 18, 0, 0, 0]   |0.2734252716598012  |0.19637544345239136 |331       
 [1, 10, 3, 0, 0]    |3.1447700264699363  |2.961632877208185   |60        
 [16, 17, 5, 0, 0]   |0.2663824488441521  |0.17276513203057714 |433       
 [11, 4, 6, 0, 0]    |0.41578850625354546 |0.36950960423005397 |118       
 [4, 19, 0, 0, 0]    |1.1376594092661727  |1.0019749496877084  |127       
 [6, 14, 18, 9, 0]   |0.8646024858809368  |0.4904237667270106  |567       
Gen 1 Train time: 8.71025228103002 minutes:
 Average MSE:        0.5979373359067375
 Average Error:      0.9147505335265029
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.24988045994719993 |0.2322890829741439  |73        
 [18, 11, 0, 0, 0]   |0.26307718325207224 |0.19982609465482062 |275       
 [15, 2, 20, 0, 0]   |0.21561296447814157 |0.18410108270923917 |158       
 [9, 12, 4, 4, 10]   |0.31059278676076496 |0.23474097844721128 |280       
 [13, 0, 0, 0, 0]    |0.4360275601453656  |0.4135198229332878  |53        
 [7, 13, 1, 13, 0]   |0.344406561433795   |0.2879603578058435  |179       
 [13, 5, 4, 3, 0]    |0.35118448649302025 |0.30166335827559376 |152       
 [17, 11, 11, 1, 8]  |0.30332027220825597 |0.19969461033745256 |418       
 [17, 14, 3, 0, 0]   |0.2820337579683303  |0.19834873570541317 |352       
 [17, 1, 10, 0, 0]   |0.21561893764427864 |0.19510008281770563 |100       
 [16, 19, 1, 1, 8]   |0.3483598478550511  |0.2293469657275852  |418       
 [16, 9, 0, 0, 0]    |0.2513873238917406  |0.20356693563021544 |211       
 [3, 10, 19, 9, 15]  |5.256149127335561   |2.8731203052664234  |604       
 [18, 10, 1, 1, 8]   |0.3104375689659924  |0.23415488896147396 |282       
 [17, 7, 10, 18, 0]  |0.3174960848644285  |0.1976436154899525  |474       
 [17, 14, 10, 0, 0]  |0.34488252262011143 |0.2168495607962007  |464       
 [9, 8, 19, 7, 20]   |0.45729205229905645 |0.25121829211987334 |599       
 [16, 10, 13, 0, 0]  |0.295568795026922   |0.20314126396716992 |375       
 [1, 17, 19, 4, 2]   |5.63634834849616    |3.51569208240265    |472       
 [13, 3, 17, 0, 0]   |0.2896048537805016  |0.2450635147104237  |167       
 [9, 12, 4, 11, 10]  |0.33845398074392513 |0.2303012265231791  |385       
 [17, 11, 5, 12, 1]  |5.235871804899898   |3.5237767837674     |396       
 [17, 11, 4, 4, 8]   |0.28358041855555155 |0.19666381463650998 |366       
 [15, 9, 8, 7, 19]   |0.33717562169897236 |0.2036909567386087  |504       
 [17, 1, 8, 0, 0]    |0.19440001679747645 |0.17695898427005838 |94        
Gen 2 Train time: 8.842964903513591 minutes:
 Average MSE:        0.32344867268770733
 Average Error:      0.4394005678637148
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 8, 0, 0]    |0.21367788016944977 |0.19450729099039835 |94        
 [15, 2, 20, 0, 0]   |0.21382118808030462 |0.18257117482260982 |158       
 [17, 1, 10, 0, 0]   |0.18049596048771577 |0.1633194988536253  |100       
 [13, 11, 2, 2, 5]   |0.27797413982520486 |0.2177893011979039  |244       
 [15, 2, 13, 0, 0]   |0.22434890526975496 |0.19699974864940167 |130       
 [15, 3, 7, 2, 0]    |1.0035385614626868  |0.8724345129478573  |140       
 [14, 11, 3, 6, 17]  |0.29376742398256006 |0.1961320936422732  |404       
 [14, 4, 12, 2, 0]   |0.2842024045084375  |0.23478886799534798 |191       
 [17, 11, 8, 3, 8]   |0.3400504273842549  |0.22499854205965156 |413       
 [18, 6, 14, 0, 0]   |0.24929680862400194 |0.18822615445590812 |281       
 [18, 12, 2, 19, 4]  |2.438687801459812   |1.554975995227386   |450       
 [16, 5, 15, 9, 0]   |0.29219183297377954 |0.20041907489785654 |377       
 [16, 6, 10, 0, 0]   |0.22710798226990483 |0.18026456857925566 |231       
 [16, 20, 15, 0, 0]  |0.32066819114521666 |0.1562421294889957  |719       
 [16, 7, 12, 2, 4]   |1.1712567170635133  |0.8624977743936505  |306       
 [18, 6, 4, 0, 0]    |0.25650597165864325 |0.20979942298740623 |201       
 [15, 8, 4, 4, 4]    |0.31759185185031136 |0.24635339587704547 |254       
 [18, 9, 4, 18, 0]   |0.28426542339293553 |0.1955680481256291  |374       
 [11, 8, 11, 2, 5]   |0.5495050056904559  |0.41822429659700244 |273       
 [17, 12, 12, 0, 0]  |0.3150981697727006  |0.20374806198484277 |436       
 [14, 3, 19, 7, 0]   |0.32417579615573366 |0.23752810406429425 |311       
 [15, 3, 6, 2, 5]    |0.21847855670863403 |0.1876705198059516  |152       
 [16, 5, 9, 4, 10]   |0.33255983669937367 |0.24934059267847797 |288       
