/tmp/tmp.NPcogm6Z5Z ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k4.mat
  Evaluating with: datasets/N8dataset100k4.mat
Gen 0 Train time: 8.144849201043447 minutes:
 Average MSE:        0.8333116617932261
 Average Error:      1.0167650576733196
 Structure           |Error               |MSE                 |weights&biases
 [1, 18, 2, 0, 0]    |3.518715873797307   |3.2481841413924286  |80        
 [4, 18, 19, 0, 0]   |0.8962253089732437  |0.5529081215677663  |483       
 [15, 19, 2, 18, 0]  |0.2929186504386903  |0.18454529356201071 |462       
 [19, 3, 2, 7, 16]   |0.23769228950631002 |0.17767871294998172 |291       
 [5, 1, 0, 0, 0]     |0.5203480615209404  |0.5085166390285641  |23        
 [9, 10, 16, 19, 5]  |4.510414002924018   |2.1692661832451625  |732       
 [10, 0, 0, 0, 0]    |0.5864083956931344  |0.5628518602322259  |41        
 [16, 2, 20, 0, 0]   |0.1966069206165103  |0.167035507337114   |163       
 [7, 0, 0, 0, 0]     |0.824620063616593   |0.8010495067266575  |29        
 [14, 14, 0, 0, 0]   |0.3778972939533283  |0.28934578175969816 |267       
 [17, 0, 0, 0, 0]    |0.2137076804949598  |0.19945907994357395 |69        
 [7, 17, 1, 0, 0]    |0.8647560002662396  |0.7244750955680163  |177       
 [20, 0, 0, 0, 0]    |0.21665323943862344 |0.1997962506413367  |81        
 [7, 11, 0, 0, 0]    |0.3506884466120352  |0.3107218729351363  |121       
 [2, 6, 14, 4, 0]    |1.441795476331585   |1.195888226992043   |187       
 [12, 12, 0, 0, 0]   |0.2541267456600858  |0.207023671380355   |205       
 [9, 0, 0, 0, 0]     |0.5295253150644403  |0.5102909091907897  |37        
 [4, 5, 14, 0, 0]    |2.157043823683094   |1.8827598094570845  |136       
 [13, 1, 20, 0, 0]   |0.20371341266501417 |0.18176491317031507 |114       
 [13, 2, 13, 15, 0]  |0.2502609423234461  |0.1795590535226796  |332       
 [6, 17, 10, 0, 0]   |0.35914065431562314 |0.25871164624174003 |328       
 [3, 9, 0, 0, 0]     |2.5141186447226502  |2.37957595742293    |55        
 [2, 0, 0, 0, 0]     |3.5566296575629135  |3.524763602986021   |9         
 [19, 9, 17, 0, 0]   |0.28074241833947683 |0.18354091051463345 |425       
 [9, 5, 3, 6, 0]     |0.2643771233127278  |0.2330787970623908  |126       
Gen 1 Train time: 8.643537247180939 minutes:
 Average MSE:        0.6051244935322224
 Average Error:      0.7567076417845121
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 20, 0, 0]   |0.2630057698683713  |0.22344738458236382 |163       
 [13, 1, 20, 0, 0]   |0.2395870847640737  |0.2137734825074177  |114       
 [17, 0, 0, 0, 0]    |0.22388532494779909 |0.20895814705175875 |69        
 [19, 9, 17, 0, 0]   |0.2791362381982752  |0.18249083846884023 |425       
 [1, 1, 10, 0, 0]    |3.0646170128102646  |2.9562530546506656  |36        
 [13, 7, 10, 0, 0]   |0.23342686068675533 |0.18583678668995668 |228       
 [11, 4, 8, 11, 0]   |0.27435893400563305 |0.21755185311432101 |232       
 [17, 1, 10, 0, 0]   |0.18921674683530068 |0.17121039265561727 |100       
 [2, 11, 10, 15, 1]  |4.962034968156773   |3.524772631334323   |342       
 [8, 19, 2, 9, 0]    |0.22573809370896192 |0.17197952858246968 |272       
 [13, 2, 13, 15, 20] |0.4305576024376767  |0.2232028766160231  |657       
