/tmp/tmp.YSTu0muA4E ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k7.mat
  Evaluating with: datasets/N8dataset100k7.mat
Gen 0 Train time: 8.151529602209727 minutes:
 Average MSE:        1.4295826471341453
 Average Error:      1.7623489194114257
 Structure           |Error               |MSE                 |weights&biases
 [18, 15, 0, 0, 0]   |0.259939532628696   |0.18226269711928983 |355       
 [1, 7, 0, 0, 0]     |1.8456245534230211  |1.8000559208363374  |25        
 [3, 18, 20, 13, 11] |2.5329571871175958  |1.0298235417039059  |900       
 [1, 11, 1, 0, 0]    |3.011562147329821   |2.8963720308328105  |39        
 [1, 17, 2, 17, 6]   |3.1116118028940263  |2.450129441765267   |239       
 [3, 6, 16, 4, 0]    |1.476299984389637   |1.187130376979652   |218       
 [9, 13, 0, 0, 0]    |0.32388652687335645 |0.27297855220566036 |171       
 [19, 0, 0, 0, 0]    |0.20211058944455493 |0.18713214407314144 |77        
 [2, 6, 15, 5, 2]    |4.409615595123517   |3.524672481933402   |224       
 [1, 16, 5, 13, 16]  |4.603379443118868   |2.9677102483216724  |439       
 [13, 0, 0, 0, 0]    |0.41084894974726854 |0.3896409320896536  |53        
 [10, 0, 0, 0, 0]    |0.45493973820101813 |0.43666441309616266 |41        
 [17, 1, 18, 0, 0]   |0.1770049863272008  |0.15636263665717612 |124       
 [4, 17, 0, 0, 0]    |1.8757657198680464  |1.6719940565914022  |115       
 [2, 10, 0, 0, 0]    |3.70202525159425    |3.532055638107397   |47        
 [18, 17, 1, 18, 5]  |3.166085088450227   |1.8598499953146779  |532       
 [2, 20, 2, 9, 2]    |4.130250545061477   |3.5266135273759454  |158       
 [4, 7, 9, 8, 0]     |1.4514056212970923  |1.178841858740762   |208       
 [9, 8, 3, 1, 6]     |1.0648021499809825  |0.9100907194265432  |157       
 [1, 13, 0, 0, 0]    |1.9998863019437445  |1.9157138674709457  |43        
 [17, 10, 8, 0, 0]   |0.23510876997960584 |0.16936366350170795 |328       
 [9, 2, 17, 4, 0]    |0.33503765318770123 |0.28124971019045464 |175       
 [5, 2, 3, 0, 0]     |0.6188470911931346  |0.5945817496684984  |40        
 [2, 0, 0, 0, 0]     |2.3892521390284043  |2.367845344846632   |9         
 [19, 0, 0, 0, 0]    |0.27047561708239287 |0.2504306295045432  |77        
Gen 1 Train time: 8.434504993756612 minutes:
 Average MSE:        0.3533896448349419
 Average Error:      0.465534429548061
 Structure           |Error               |MSE                 |weights&biases
 [17, 1, 18, 0, 0]   |0.23475565013253216 |0.20737840886040299 |124       
 [19, 0, 0, 0, 0]    |0.17876252075368534 |0.1655144041709578  |77        
 [17, 10, 8, 0, 0]   |0.23052626702020315 |0.16606259783206415 |328       
 [18, 8, 9, 0, 0]    |0.175852549314794   |0.13066618382694042 |297       
 [18, 1, 9, 0, 0]    |0.20406639620826156 |0.18446235643462225 |101       
 [1, 13, 8, 9, 8]    |4.316795404899272   |3.1629758924586704  |311       
 [13, 12, 4, 0, 0]   |0.2428994908675196  |0.1865403817823408  |264       
 [20, 7, 2, 9, 16]   |0.23622491219232916 |0.15412814533373095 |427       
 [9, 8, 9, 2, 0]     |1.0156623483876013  |0.8224570304320157  |211       
 [18, 3, 9, 0, 0]    |0.18339418462439444 |0.15674775396202983 |157       
 [18, 1, 17, 0, 0]   |0.1831711101284272  |0.16164793733131883 |125       
 [18, 5, 9, 2, 0]    |0.22725063066223686 |0.18128194169420686 |226       
 [13, 7, 9, 0, 0]    |0.3011752628816119  |0.2419406296434266  |219       
 [18, 1, 9, 14, 0]   |0.23888058753912386 |0.18678604050009695 |246       
 [14, 19, 9, 2, 0]   |0.4069159357742897  |0.23951274203806533 |530       
 [18, 11, 9, 0, 0]   |0.2615901299031818  |0.17871259289265118 |381       
 [9, 2, 17, 4, 0]    |1.0307990590242329  |0.8653115071001849  |175       
 [18, 8, 9, 0, 0]    |0.28161993613317976 |0.2092560073055111  |297       
 [18, 8, 19, 0, 0]   |0.23065383663556394 |0.15507642251280598 |397       
 [18, 5, 4, 0, 0]    |0.17840408188941637 |0.14931394465681677 |178       
 [15, 5, 4, 0, 0]    |0.20106249442777327 |0.17236525094770208 |154       
 [18, 10, 8, 10, 0]  |0.3054661104257069  |0.1981132508074496  |433       
 [14, 9, 9, 2, 0]    |0.2310273153295299  |0.1728693231765722  |290       
 [18, 13, 10, 0, 0]  |0.2606033918343734  |0.16583605503830423 |452       
 [13, 6, 13, 2, 0]   |0.2808011317122859  |0.2197843201346587  |245       
Gen 2 Train time: 8.574463780721029 minutes:
 Average MSE:        0.6379158653549001
 Average Error:      0.8326262649749353
 Structure           |Error               |MSE                 |weights&biases
 [18, 8, 9, 0, 0]    |0.20286426545657482 |0.15073707776971101 |297       
 [18, 5, 4, 0, 0]    |0.18349679108438705 |0.15357624903257908 |178       
 [19, 0, 0, 0, 0]    |0.20720823827580276 |0.19185200540324282 |77        
 [18, 13, 10, 1, 2]  |3.440808487758852   |2.174299338194399   |459       
 [18, 5, 14, 0, 0]   |0.22150665253283724 |0.1728549188062321  |248       
