/tmp/tmp.A95vDjnZZX ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k7.mat
  Evaluating with: datasets/N9dataset100k7.mat
Gen 0 Train time: 8.146570932865142 minutes:
 Average MSE:        0.5680079501850904
 Average Error:      0.6564777701149435
 Structure           |Error               |MSE                 |weights&biases
 [15, 12, 2, 18, 8]  |0.2679327543026473  |0.16612425496616415 |478       
 [8, 3, 17, 13, 0]   |0.2393872998025824  |0.1658498302043625  |367       
 [7, 5, 20, 0, 0]    |1.8959181294270924  |1.5491450873486101  |202       
 [8, 3, 19, 7, 0]    |1.179299127991674   |0.8957627425659898  |275       
 [13, 2, 9, 14, 18]  |0.41937079645497827 |0.24857770288335831 |523       
 [7, 11, 1, 0, 0]    |1.8338109857581122  |1.6215724187107377  |123       
 [6, 0, 0, 0, 0]     |0.5633168921946454  |0.5494085485704334  |25        
 [13, 3, 13, 5, 0]   |0.26740933286549956 |0.21697465865364948 |209       
 [12, 0, 0, 0, 0]    |0.24215962760169665 |0.23057982777715277 |49        
 [16, 5, 0, 0, 0]    |0.16811125165631258 |0.14629512309052187 |139       
 [7, 1, 20, 0, 0]    |0.3598739856492802  |0.3289000582527276  |90        
 [7, 1, 0, 0, 0]     |0.26569160642536027 |0.2575815224007161  |31        
 [5, 12, 0, 0, 0]    |1.791190858243149   |1.6207365113823453  |100       
 [10, 4, 0, 0, 0]    |0.21764961073731423 |0.20111692986121038 |79        
 [14, 0, 0, 0, 0]    |0.8936252559804145  |0.8441131170352408  |57        
 [17, 11, 0, 0, 0]   |0.20588835913195838 |0.15859187461020458 |261       
 [5, 0, 0, 0, 0]     |1.6556617827555578  |1.621255416587123   |21        
 [2, 3, 5, 0, 0]     |1.5047924533084363  |1.4443436312110502  |41        
 [12, 8, 16, 0, 0]   |0.30086898895861514 |0.22266645123704568 |301       
 [8, 7, 0, 0, 0]     |0.6440177183305343  |0.585652282367773   |95        
 [15, 9, 12, 1, 14]  |0.2824187194882275  |0.1960541292139749  |365       
 [20, 14, 0, 0, 0]   |0.2836611519870146  |0.1961305284414289  |369       
 [8, 10, 0, 0, 0]    |0.30390485682265866 |0.26819509482641124 |125       
 [16, 5, 16, 14, 0]  |0.3874933486114958  |0.2392953788883861  |482       
 [13, 1, 1, 0, 0]    |0.23848935838832663 |0.22527563354064065 |57        
Gen 1 Train time: 8.616315241654714 minutes:
 Average MSE:        0.394382867875451
 Average Error:      0.48406361952763527
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 0, 0, 0]    |0.21673195240651455 |0.18860621964662874 |139       
 [17, 11, 0, 0, 0]   |0.1793261487502859  |0.1381315107704007  |261       
 [10, 4, 0, 0, 0]    |0.24902832658519017 |0.2301121160824655  |79        
 [16, 4, 18, 18, 8]  |0.3667697173138961  |0.18050061371525983 |709       
 [10, 18, 17, 3, 0]  |0.5623683196800646  |0.30586903138596494 |609       
 [11, 6, 1, 0, 0]    |0.9242373443967282  |0.8246581236616102  |114       
 [8, 2, 7, 0, 0]     |0.2441598718578832  |0.2274256162223743  |71        
 [13, 2, 7, 3, 0]    |0.18542408782760084 |0.16511555601301303 |116       
 [12, 3, 5, 0, 0]    |0.1650681622449812  |0.14921056453100173 |101       
 [13, 5, 0, 0, 0]    |0.19183465542358466 |0.17099491707261638 |115       
 [13, 2, 7, 3, 3]    |2.564315036682022   |2.2562212502160985  |128       
 [10, 1, 10, 13, 0]  |0.2624625877852847  |0.21105284432379023 |218       
 [12, 6, 15, 7, 7]   |0.2657917415207372  |0.17905859085971512 |395       
 [16, 9, 18, 1, 16]  |0.23998054768400426 |0.15317144793266335 |449       
 [7, 19, 6, 10, 7]   |0.5449789297360266  |0.34818959090704793 |448       
 [15, 4, 1, 3, 0]    |0.3140903057657703  |0.2774610443301807  |124       
 [9, 4, 9, 7, 0]     |0.27802075399715276 |0.22991180194376604 |190       
 [9, 3, 0, 0, 0]     |1.6275384560939248  |1.5312260031223315  |61        
 [11, 3, 15, 9, 11]  |0.38162694922595997 |0.2570944581329703  |395       
 [11, 14, 0, 0, 0]   |0.6814742102088079  |0.549087828481585   |216       
 [11, 2, 9, 7, 0]    |0.2176642329889161  |0.18511063248841972 |162       
 [12, 7, 0, 0, 0]    |0.2596113648574999  |0.22682658033104547 |135       
 [10, 5, 18, 0, 0]   |0.20172101054055624 |0.16318517628474982 |212       
 [15, 14, 4, 16, 10] |0.2985390591723842  |0.16548834605822207 |590       
 [5, 2, 5, 9, 11]    |0.6788267154451052  |0.5458618323723553  |218       
Gen 2 Train time: 8.940735526879628 minutes:
 Average MSE:        0.6813743132869409
 Average Error:      0.9117103753128109
 Structure           |Error               |MSE                 |weights&biases
 [12, 3, 5, 0, 0]    |0.3412591028889544  |0.30847537587432167 |101       
 [17, 11, 0, 0, 0]   |0.303760968611265   |0.23398127824505238 |261       
 [13, 2, 7, 3, 0]    |0.22184028741341325 |0.19754327947083467 |116       
 [14, 6, 12, 10, 8]  |1.072320571169088   |0.6885447670561724  |443       
 [12, 3, 10, 5, 6]   |0.7867528732845493  |0.6358191630176148  |213       
 [14, 8, 10, 1, 8]   |0.295833776104382   |0.22180480301010946 |288       
 [15, 6, 13, 2, 8]   |0.24865676559376654 |0.18550345256710893 |293       
 [9, 3, 4, 0, 0]     |0.3420492472291232  |0.3163833858129353  |78        
 [13, 3, 14, 16, 4]  |3.3964006843115038  |2.16564069050447    |450       
 [11, 5, 12, 7, 4]   |2.0075264545699     |1.49765918314454    |293       
 [15, 7, 1, 2, 0]    |0.1950796482977727  |0.1642530009757604  |172       
 [13, 7, 4, 0, 0]    |0.3703177042971567  |0.3111768180688932  |174       
 [15, 9, 8, 4, 4]    |0.6681670361983252  |0.4803611402198449  |330       
 [12, 16, 8, 5, 19]  |0.3557619792374403  |0.2034177832214441  |559       
 [11, 1, 7, 2, 0]    |2.3196156681946642  |2.1455619763330867  |78        
 [15, 4, 4, 2, 0]    |0.24559809903641733 |0.21308613127652834 |142       
 [15, 7, 3, 0, 0]    |0.20508671361351696 |0.17044844624534802 |185       
 [14, 6, 12, 1, 10]  |0.20328900764573749 |0.1567463117216792  |260       
 [14, 10, 6, 9, 1]   |4.873826579646523   |3.493413623774444   |333       
 [9, 12, 12, 5, 4]   |2.2240861588724545  |1.4953288005485912  |397       
 [12, 3, 7, 4, 0]    |0.25596463626440497 |0.22252496450732026 |140       
 [15, 5, 3, 0, 0]    |0.20492539442670518 |0.17691085882823837 |147       
 [13, 5, 4, 2, 0]    |0.19863064491846247 |0.17164820189482285 |146       
 [11, 4, 13, 3, 4]   |1.2618004980425521  |1.0238189124442105  |209       
 [14, 4, 8, 5, 6]    |0.19420888295218966 |0.15430548341015157 |230       
Increasing Epochs
Gen 3 Train time: 10.47769337495168 minutes:
 Average MSE:        0.6437773497016793
 Average Error:      0.8142956991149921
 Structure           |Error               |MSE                 |weights&biases
 [14, 4, 8, 5, 6]    |0.22857826699630726 |0.18161311393054494 |230       
 [15, 7, 1, 2, 0]    |0.17853260179715366 |0.15032073244478847 |172       
 [13, 5, 4, 2, 0]    |0.20065022827487244 |0.17339344040948804 |146       
 [14, 5, 4, 1, 0]    |1.7393241244964397  |1.5000472439350616  |148       
 [14, 5, 9, 2, 4]    |1.8650695197219445  |1.5148225878751198  |208       
 [10, 4, 11, 11, 5]  |0.2765292057342857  |0.19940071472705342 |327       
 [15, 7, 7, 2, 5]    |0.2888128407385963  |0.22492766652829577 |250       
 [14, 3, 8, 4, 3]    |2.226094608373327   |1.8705803933102676  |174       
 [14, 10, 4, 1, 0]   |1.1309562388998413  |0.8869767614913645  |243       
 [14, 4, 4, 0, 0]    |0.16807293187555658 |0.14802749055493072 |127       
 [14, 6, 9, 3, 7]    |0.19578068632829226 |0.1508061271078283  |261       
 [18, 1, 3, 12, 10]  |0.2012930660575915  |0.15397063250950455 |268       
 [15, 6, 8, 1, 14]   |0.25533404369263263 |0.19905330698611046 |249       
 [14, 4, 5, 2, 0]    |0.18093099119672745 |0.15697957391934653 |142       
 [14, 3, 8, 4, 5]    |0.23606907798953433 |0.1960019220464409  |186       
 [12, 9, 8, 3, 2]    |3.6451482007027587  |2.779850149697166   |271       
 [15, 6, 5, 4, 3]    |1.0115267409390796  |0.8125813994895197  |219       
 [14, 5, 6, 4, 3]    |1.8922841279309663  |1.5492712090984322  |200       
 [14, 11, 11, 4, 14] |0.2760202413485593  |0.17216859517756963 |472       
 [7, 13, 14, 3, 4]   |2.3805393031800786  |1.6166030419124524  |387       
 [14, 4, 6, 3, 0]    |0.1742077204253823  |0.1488960457249508  |157       
 [14, 5, 10, 3, 8]   |0.2517306009042864  |0.19585203910951432 |251       
 [15, 4, 4, 0, 0]    |0.18084314844835334 |0.15816362088451566 |134       
 [14, 3, 8, 4, 5]    |0.9456399795178936  |0.7851399053529626  |186       
 [15, 6, 13, 2, 9]   |0.22742398230434654 |0.16898602831875245 |297       
Increasing Epochs
Gen 4 Train time: 11.87255650361379 minutes:
 Average MSE:        0.546001627336958
 Average Error:      0.6964811323670184
 Structure           |Error               |MSE                 |weights&biases
 [14, 4, 4, 0, 0]    |0.20583602224621614 |0.18128671582570005 |127       
 [14, 4, 6, 3, 0]    |0.20129327490360324 |0.17204617907281375 |157       
 [15, 7, 1, 2, 0]    |0.20698513975435318 |0.17427717682853666 |172       
 [16, 3, 4, 7, 5]    |0.2212455878194523  |0.18186658005615697 |196       
 [15, 4, 5, 2, 0]    |0.19941541365732107 |0.17181016144194777 |149       
 [17, 4, 8, 7, 3]    |0.24939709967540474 |0.19345528567237932 |254       
 [20, 3, 7, 8, 17]   |0.227033970547651   |0.15433100150646725 |386       
 [14, 5, 5, 3, 0]    |1.0029286768078212  |0.8469821970253794  |169       
 [15, 5, 7, 2, 7]    |0.19274597266510107 |0.15592468748418434 |212       
 [15, 6, 9, 2, 11]   |0.22494321157486324 |0.17188883802877764 |269       
 [14, 12, 7, 12, 8]  |0.24198930125989734 |0.14358016430747905 |522       
 [17, 3, 4, 6, 5]    |0.2111373077743497  |0.1742530703010131  |192       
 [14, 4, 6, 13, 0]   |0.2634430933613255  |0.2078543055504956  |237       
 [16, 2, 4, 7, 5]    |0.23200654143083357 |0.19475952006849523 |175       
 [12, 4, 8, 6, 3]    |0.7404946248914237  |0.602036680746903   |207       
 [18, 1, 3, 12, 10]  |0.21721912335707855 |0.16615259766017224 |268       
 [14, 5, 4, 1, 0]    |0.9452134312687     |0.8151814733872614  |148       
 [15, 6, 15, 4, 3]   |1.2118026143096152  |0.8720652890637641  |329       
 [14, 4, 7, 4, 3]    |1.0032381256614618  |0.8312978657796354  |188       
 [15, 5, 9, 1, 1]    |3.425357396013348   |2.82414542799708    |193       
 [14, 4, 6, 3, 3]    |0.23999997513879157 |0.20268211581713635 |169       
 [15, 6, 7, 3, 3]    |0.23964954462306487 |0.19040961602764722 |230       
 [15, 6, 3, 1, 0]    |0.9896786411529209  |0.836628634404124   |168       
 [1, 3, 9, 20, 5]    |4.2569747300462994  |2.981894243430788   |356       
 [14, 5, 9, 4, 7]    |0.2619994892345632  |0.20323085593961462 |254       
Result:  [15, 5, 7, 2, 7]
Fold 0
Fold 0 Train time: 21.230582189559936 minutes, MSE: 0.020077682055685168
Fold 1
Fold 1 Train time: 21.007757409413657 minutes, MSE: 0.005589134903929993
Fold 2
Fold 2 Train time: 20.657305280367535 minutes, MSE: 0.004652406790248244
Fold 3
Fold 3 Train time: 20.59434494972229 minutes, MSE: 0.010251425861898159
Fold 4
Fold 4 Train time: 20.679044731458028 minutes, MSE: 0.005173236313939589
Total Time: 152.22911433776218 minutes
CellsPerSensor: 9
 Resulting Network Architecture: [15, 5, 7, 2, 7]
 MSE after 5-Fold CV: 0.00914877718514023
 Weights and Biases: 212
 Objective Function Value: 0.011309241568465559
~/workspace/SolarCellResearch
