/tmp/tmp.aXDSpJtSAI ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k0.mat
  Evaluating with: datasets/N10dataset100k0.mat
Gen 0 Train time: 8.613639458020527 minutes:
 Average MSE:        1.120736500538565
 Average Error:      1.4970451428127913
 Structure           |Error               |MSE                 |weights&biases
 [3, 8, 8, 16, 0]    |2.9958469031303423  |2.27783849302098    |274       
 [1, 15, 19, 3, 0]   |4.360316841262809   |2.9198864388963743  |401       
 [5, 0, 0, 0, 0]     |2.905019893776282   |2.844650572437293   |21        
 [11, 18, 16, 8, 17] |0.41839924428430464 |0.17705069545151883 |860       
 [15, 17, 0, 0, 0]   |0.19171964782672202 |0.13714436599255406 |335       
 [11, 0, 0, 0, 0]    |0.9328942796402346  |0.891844582152568   |45        
 [3, 17, 1, 0, 0]    |1.0472286067737357  |0.9504186118720831  |97        
 [5, 13, 5, 18, 11]  |2.5485425112101248  |1.5581849207783383  |492       
 [17, 2, 7, 12, 0]   |0.18804498316945437 |0.15136304253054844 |217       
 [4, 16, 10, 7, 9]   |2.5022946371393724  |1.642481430627538   |421       
 [2, 18, 18, 4, 0]   |3.787413907072335   |2.336568592732653   |483       
 [16, 3, 20, 20, 9]  |0.8970629556589264  |0.4038833280418279  |798       
 [8, 14, 8, 18, 9]   |2.993160812418177   |1.6214648303223815  |613       
 [12, 8, 11, 19, 19] |0.42172669266975693 |0.17721389627623785 |867       
 [3, 0, 0, 0, 0]     |2.3768232521991757  |2.3461245239931303  |13        
 [2, 0, 0, 0, 0]     |3.5175182073491507  |3.4860025765518166  |9         
 [2, 6, 9, 13, 0]    |2.21824959052153    |1.7607122455134552  |231       
 [15, 2, 5, 0, 0]    |0.15332194791514503 |0.139009175998682   |98        
 [12, 12, 0, 0, 0]   |0.29424731744102045 |0.2397077875145849  |205       
 [13, 12, 9, 20, 0]  |0.25321288455912183 |0.14682341054738784 |545       
 [7, 14, 9, 0, 0]    |0.39893997591111596 |0.3021159757324937  |278       
 [16, 13, 19, 16, 0] |0.3490667850254029  |0.1459498785257793  |872       
 [13, 0, 0, 0, 0]    |0.3785753633667985  |0.35903330783529486 |53        
 [17, 3, 0, 0, 0]    |0.15753447739381396 |0.14126595768372113 |109       
 [7, 19, 5, 0, 0]    |1.1389668526049253  |0.8616738724348773  |279       
Gen 1 Train time: 8.540453183650971 minutes:
 Average MSE:        0.4573342007496407
 Average Error:      0.6024096308178702
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 5, 0, 0]    |0.2994111416937612  |0.2714607833883585  |98        
 [17, 3, 0, 0, 0]    |0.16805613372897762 |0.15070104696192538 |109       
 [17, 2, 7, 12, 0]   |0.1681976212073369  |0.13538730607559596 |217       
 [1, 1, 17, 17, 4]   |5.289911818006282   |3.4687752444563644  |422       
 [15, 7, 4, 6, 0]    |0.25271905884628443 |0.20159856787759384 |226       
 [14, 10, 19, 0, 0]  |0.2304258825615381  |0.15124926842186576 |421       
 [17, 3, 16, 0, 0]   |0.15001807285302715 |0.12455604465994433 |186       
 [16, 3, 3, 0, 0]    |0.1708532408006837  |0.15229279442649074 |115       
 [14, 7, 9, 1, 0]    |2.72609370109522    |2.163808158669359   |231       
 [15, 10, 3, 0, 0]   |0.22460612231256136 |0.1763284238374381  |242       
