/tmp/tmp.XtZ6BBj01V ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k2.mat
  Evaluating with: datasets/N10dataset100k2.mat
Gen 0 Train time: 8.003056840101879 minutes:
 Average MSE:        0.9377461772452041
 Average Error:      1.0750001543552936
 Structure           |Error               |MSE                 |weights&biases
 [8, 17, 17, 0, 0]   |0.5523697792782252  |0.3346943448830918  |501       
 [3, 0, 0, 0, 0]     |2.935326948489015   |2.8974146619510197  |13        
 [15, 19, 12, 0, 0]  |0.23667015245378298 |0.12962781851718835 |602       
 [17, 9, 17, 0, 0]   |0.2039987932737438  |0.13660780436742753 |401       
 [5, 5, 1, 15, 0]    |2.4860574020903483  |2.256236326859176   |97        
 [1, 5, 0, 0, 0]     |3.082088004224758   |3.0240811423614504  |19        
 [7, 0, 0, 0, 0]     |0.7603180427500437  |0.7385854649584164  |29        
 [4, 11, 16, 0, 0]   |0.4293153724989009  |0.3257700560267451  |276       
 [16, 0, 0, 0, 0]    |0.22849413745419817 |0.21411442178081322 |65        
 [6, 0, 0, 0, 0]     |1.7934414661997578  |1.7491612386272497  |25        
 [7, 0, 0, 0, 0]     |1.2702916615714723  |1.2339822347251685  |29        
 [17, 0, 0, 0, 0]    |0.21118219220927184 |0.1971019743463164  |69        
 [5, 16, 11, 18, 0]  |0.42990181492346824 |0.2522843552561991  |533       
 [8, 0, 0, 0, 0]     |0.5843271385482496  |0.5653590379597541  |33        
 [18, 14, 12, 19, 10]|0.548531396258232   |0.21044924723771188 |958       
 [11, 0, 0, 0, 0]    |0.33044733058212983 |0.31590681591498604 |45        
 [14, 10, 15, 11, 0] |0.3140668591044286  |0.18210908767105613 |545       
 [19, 14, 12, 0, 0]  |0.2471471870529326  |0.14547206254138217 |530       
 [5, 8, 0, 0, 0]     |0.32958900746372505 |0.30669275436474625 |72        
 [2, 1, 8, 16, 0]    |2.202349936027779   |1.8285529987940137  |186       
