/tmp/tmp.r72HTns5K7 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k7.mat
  Evaluating with: datasets/N10dataset100k7.mat
Gen 0 Train time: 8.59337712128957 minutes:
 Average MSE:        0.8057352168670647
 Average Error:      1.1159252517340317
 Structure           |Error               |MSE                 |weights&biases
 [20, 18, 20, 0, 0]  |0.3445236805653469  |0.14888330736109406 |839       
 [13, 20, 0, 0, 0]   |0.21500895136044418 |0.15303699070667362 |340       
 [5, 10, 18, 0, 0]   |1.2996807442881622  |0.970560686644834   |292       
 [19, 9, 2, 0, 0]    |0.15214607560754267 |0.11731247287098508 |260       
 [18, 0, 0, 0, 0]    |0.22731218172782255 |0.21130959280915768 |73        
 [17, 19, 14, 5, 0]  |0.3552387786212734  |0.1671330462234591  |754       
 [7, 13, 6, 4, 0]    |0.4487858933243827  |0.35232213795242295 |242       
 [14, 11, 18, 0, 0]  |0.2653876675220191  |0.1705778265541715  |442       
 [12, 3, 1, 16, 2]   |4.051195060549976   |3.4938766729178226  |148       
 [4, 0, 0, 0, 0]     |2.3823479044889013  |2.3421902969014745  |17        
 [6, 15, 12, 10, 15] |0.8273102540986877  |0.44238466250868325 |626       
 [14, 0, 0, 0, 0]    |0.3550330110668319  |0.3353620766830686  |57        
 [4, 0, 0, 0, 0]     |2.3950792840405253  |2.3547070723043433  |17        
 [19, 18, 18, 1, 0]  |3.444898016163001   |1.5791619589425587  |780       
 [15, 0, 0, 0, 0]    |0.4134300956678678  |0.3889646420271491  |61        
 [8, 14, 5, 0, 0]    |0.26248485177104536 |0.2083445860870894  |231       
 [16, 18, 12, 8, 3]  |3.040100584912633   |1.4842218111607774  |717       
 [18, 1, 1, 0, 0]    |0.18554347639969146 |0.17179282220135053 |77        
 [18, 12, 0, 0, 0]   |0.17995174479220916 |0.13397975821740368 |295       
 [14, 13, 0, 0, 0]   |0.23397951540213355 |0.18204129746938352 |251       
 [17, 8, 0, 0, 0]    |0.15673515412159858 |0.12781162042840455 |204       
 [18, 13, 19, 18, 20]|0.6426286890848416  |0.1703009372213777  |1328      
 [4, 3, 7, 1, 0]     |2.3912908409850373  |2.2408008425594668  |65        
 [2, 19, 9, 14, 6]   |3.310886376002612   |2.048721501627638   |480       
 [11, 20, 11, 20, 0] |0.3171524607862087  |0.14758180129582327 |765       
Gen 1 Train time: 8.697657489776612 minutes:
 Average MSE:        0.23661002499771214
 Average Error:      0.3591026170652464
 Structure           |Error               |MSE                 |weights&biases
 [19, 9, 2, 0, 0]    |0.2136821148031958  |0.16475993347686382 |260       
 [17, 8, 0, 0, 0]    |0.17163986500529455 |0.13996585130748432 |204       
 [18, 12, 0, 0, 0]   |0.21121366297109245 |0.15725524378635702 |295       
 [18, 14, 8, 3, 0]   |0.3099692847738604  |0.19353787140902007 |471       
 [16, 7, 1, 0, 0]    |0.9979820384120102  |0.8360891770986321  |177       
 [17, 4, 10, 0, 0]   |0.18153725879720706 |0.151027345321945   |184       
 [18, 4, 0, 0, 0]    |0.16175222030201983 |0.14132548862874303 |135       
 [10, 14, 0, 0, 0]   |0.47232989910514156 |0.3870979184295703  |199       
 [16, 15, 1, 0, 0]   |0.262975120239112   |0.19076826665337993 |321       
 [16, 19, 16, 10, 0] |0.5208935037045194  |0.21779311825675304 |872       
 [12, 11, 3, 2, 0]   |0.2410032256949903  |0.19225263569671172 |226       
