/tmp/tmp.wEybhtJyR4 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k5.mat
  Evaluating with: datasets/N2dataset100k5.mat
Gen 0 Train time: 8.533025169372559 minutes:
 Average MSE:        0.9288661992637148
 Average Error:      1.2960346972862675
 Structure           |Error               |MSE                 |weights&biases
 [4, 20, 13, 6, 0]   |1.921317178351501   |1.193644200724521   |476       
 [16, 7, 0, 0, 0]    |0.5490494693823854  |0.46090343182265137 |175       
 [15, 12, 8, 15, 9]  |0.8856397650763336  |0.4716844775253298  |630       
 [11, 19, 8, 4, 0]   |0.8447438077105478  |0.5322074703852401  |462       
 [6, 19, 15, 16, 0]  |1.7769128612934653  |0.861463588617562   |724       
 [17, 0, 0, 0, 0]    |0.5120067070165262  |0.47786952003750693 |69        
 [20, 0, 0, 0, 0]    |0.4701195897787966  |0.43354131991853323 |81        
 [2, 17, 3, 16, 4]   |5.205186715334348   |4.061919209929889   |248       
 [18, 19, 5, 6, 0]   |0.8190773196162972  |0.46880105408864636 |558       
 [19, 20, 7, 13, 7]  |1.2278695080072595  |0.5440471082872314  |814       
 [10, 0, 0, 0, 0]    |0.6295763514794045  |0.6042857216761865  |41        
 [19, 10, 12, 9, 0]  |0.8092636085921037  |0.4830521935365204  |516       
 [20, 17, 3, 2, 0]   |0.7540181744257665  |0.46564170813380007 |482       
 [5, 15, 8, 0, 0]    |1.8435380908269419  |1.4472809667557964  |242       
 [12, 7, 0, 0, 0]    |0.5426217087729032  |0.47409722098223617 |135       
 [20, 16, 1, 0, 0]   |1.868032709167783   |1.2335372435379435  |415       
 [4, 16, 0, 0, 0]    |1.6718138895714858  |1.4991663671747872  |109       
 [6, 11, 10, 0, 0]   |0.5761972847571738  |0.45964300418140863 |226       
 [3, 14, 11, 0, 0]   |2.0693276180009286  |1.6245384298902412  |242       
 [17, 0, 0, 0, 0]    |0.4918348656769773  |0.4590426023290016  |69        
 [6, 11, 7, 15, 15]  |1.1723222824085944  |0.6729977035132686  |555       
 [3, 0, 0, 0, 0]     |2.448215901200554   |2.4165950751794627  |13        
 [4, 19, 13, 18, 0]  |1.5691909535229747  |0.8290790026216763  |638       
 [13, 11, 11, 19, 0] |0.9530869302652618  |0.5373803426973967  |573       
 [15, 15, 9, 0, 0]   |0.7899041419203763  |0.5092360180460374  |439       
Gen 1 Train time: 8.562560741106669 minutes:
 Average MSE:        0.8697498715523315
 Average Error:      1.2674905159624135
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.5545799446094172  |0.5114301263205047  |81        
 [17, 0, 0, 0, 0]    |0.47310056054631466 |0.4415573755178282  |69        
 [17, 0, 0, 0, 0]    |0.5686130832338817  |0.5307017612237092  |69        
 [1, 16, 11, 5, 16]  |3.5125780490989396  |2.3663537179816845  |395       
 [12, 15, 8, 3, 0]   |0.9294888147034625  |0.62931679176413    |390       
 [20, 7, 8, 0, 0]    |0.5023926827783634  |0.3797002214702109  |280       
 [15, 4, 15, 0, 0]   |0.512549337225225   |0.419639904856029   |200       
 [13, 6, 4, 8, 8]    |0.7141596074099589  |0.5440855400035227  |272       
 [17, 4, 0, 0, 0]    |0.5750522462316757  |0.5059616620316577  |128       
 [14, 7, 0, 0, 0]    |0.4755646465064184  |0.40728078114272626 |155       
 [10, 16, 11, 20, 5] |2.8449190205924633  |1.3519318957818038  |744       
 [12, 6, 5, 0, 0]    |0.5728449870752296  |0.49059314127663106 |155       
 [8, 3, 8, 1, 13]    |0.7244012964019425  |0.6348225529256664  |132       
 [13, 13, 9, 7, 4]   |2.101208336919829   |1.334441133730176   |454       
 [10, 6, 19, 12, 3]  |5.277993823667529   |3.1630794667987177  |512       
 [17, 4, 5, 0, 0]    |0.6500020565254054  |0.5572285766591378  |154       
 [14, 13, 4, 2, 0]   |1.634495934505942   |1.2036209357255698  |306       
 [6, 1, 6, 16, 19]   |2.3750926994280857  |1.4521372955016134  |492       
 [18, 15, 7, 9, 5]   |1.126166437898382   |0.631169603183632   |579       
 [11, 13, 4, 8, 8]   |0.8273511277497995  |0.5737703246785364  |366       
 [10, 0, 0, 0, 0]    |0.6025873292655417  |0.5783808719665128  |41        
 [20, 5, 0, 0, 0]    |0.6101977715364149  |0.5142878459351972  |171       
 [12, 17, 2, 1, 0]   |1.6340635883114203  |1.2129675908366229  |298       
 [14, 10, 4, 2, 0]   |0.6228716296124833  |0.4855782484353847  |249       
 [4, 14, 12, 6, 11]  |1.264987887226204   |0.823709423061079   |429       
Increasing Epochs
Gen 2 Train time: 9.493311123053234 minutes:
 Average MSE:        0.6070942887564574
 Average Error:      0.7424180821589355
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.46786297942928756 |0.436669001322233   |69        
 [14, 7, 0, 0, 0]    |0.5516562455941194  |0.47244678148043173 |155       
 [20, 7, 8, 0, 0]    |0.5859863872905019  |0.44287898422853933 |280       
 [17, 2, 3, 0, 0]    |0.5938063804311803  |0.5372982320826278  |100       
 [14, 10, 4, 2, 0]   |0.7361877584389726  |0.5739172331299964  |249       
 [17, 7, 6, 4, 4]    |0.6962668077597112  |0.5272806404423622  |278       
 [20, 4, 8, 0, 0]    |0.5106663472394637  |0.42103519809840034 |193       
 [15, 0, 0, 0, 0]    |0.4526194040039667  |0.42583485406049865 |61        
 [18, 6, 12, 0, 0]   |0.7519449008543472  |0.57689660198946    |265       
 [13, 2, 8, 0, 0]    |0.46897686388274834 |0.42434781463426763 |100       
 [17, 5, 0, 0, 0]    |0.6508538075339341  |0.5618781722225256  |147       
 [17, 2, 3, 16, 0]   |0.6389784551283642  |0.5353232324522764  |177       
 [15, 8, 4, 2, 0]    |0.6523331795375542  |0.5224636661569069  |222       
 [14, 5, 10, 4, 4]   |1.5976737228581634  |1.2492565920822254  |246       
 [18, 2, 8, 0, 0]    |0.47286079866568315 |0.41729819017614334 |125       
 [12, 3, 5, 4, 4]    |0.714901523655993   |0.6190244704025822  |144       
 [4, 5, 1, 17, 12]   |3.5023675030296086  |2.579096565648876   |306       
 [14, 10, 4, 5, 4]   |0.7087016588657407  |0.5302956316117264  |290       
 [17, 2, 0, 0, 0]    |0.5055407615936108  |0.4620294674461681  |90        
 [16, 6, 0, 0, 0]    |0.4948897879795382  |0.4229843104535349  |157       
 [11, 3, 3, 0, 0]    |0.5286755987151952  |0.48559503188320213 |85        
