/tmp/tmp.q3nJVrkOv8 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k7.mat
  Evaluating with: datasets/N2dataset100k7.mat
Gen 0 Train time: 8.46180268128713 minutes:
 Average MSE:        1.0898933782530287
 Average Error:      1.5337618207394885
 Structure           |Error               |MSE                 |weights&biases
 [13, 15, 3, 0, 0]   |0.6311185447672915  |0.4670768069505204  |301       
 [1, 16, 18, 9, 0]   |5.6606799995874795  |3.3586665203843964  |522       
 [10, 5, 0, 0, 0]    |0.7436217001442391  |0.6789397824407134  |91        
 [1, 4, 3, 6, 0]     |3.6276305103054916  |3.4266382658876218  |57        
 [12, 0, 0, 0, 0]    |0.5849371526126508  |0.5569661187773406  |49        
 [1, 14, 16, 14, 17] |7.468589621197852   |3.4168059283024164  |782       
 [5, 0, 0, 0, 0]     |0.7947148560701991  |0.7781998584890275  |21        
 [17, 3, 0, 0, 0]    |0.4425099930504     |0.39681217081522646 |109       
 [6, 7, 8, 3, 3]     |3.6391645018618326  |3.057978640983189   |174       
 [6, 14, 4, 2, 10]   |0.9855155542908103  |0.785377826484533   |227       
 [3, 0, 0, 0, 0]     |1.6022892428425028  |1.5815942913235035  |13        
 [6, 10, 11, 0, 0]   |0.6506790932847843  |0.5216602826025116  |221       
 [2, 15, 20, 0, 0]   |3.0676783694544962  |2.0728428945484283  |392       
 [14, 0, 0, 0, 0]    |0.4911844134250092  |0.46396988388653815 |57        
 [8, 2, 0, 0, 0]     |0.4870230016904379  |0.4655927632108562  |45        
 [16, 17, 4, 1, 0]   |1.3644719148022963  |0.900115201825131   |416       
 [8, 5, 13, 14, 0]   |0.6673943555273533  |0.4665574243605053  |358       
 [13, 20, 0, 0, 0]   |0.683696595417889   |0.48663494639228827 |340       
 [5, 10, 4, 12, 0]   |0.7867485555700069  |0.6493089866878368  |192       
 [17, 1, 18, 0, 0]   |0.4587125226288491  |0.405217395250798   |124       
 [14, 9, 18, 6, 0]   |0.7273011520823387  |0.45094285818162694 |478       
 [18, 7, 15, 12, 8]  |0.8618718799806382  |0.4673631733218997  |612       
 [12, 15, 0, 0, 0]   |0.46569484169797853 |0.3637731916179435  |247       
 [16, 4, 2, 10, 11]  |0.8020820335807508  |0.600769232886176   |289       
 [16, 6, 12, 13, 0]  |0.6487351126136242  |0.42753001071468333 |417       
Gen 1 Train time: 8.443436471621196 minutes:
 Average MSE:        0.7281104353769728
 Average Error:      0.9807874840823719
 Structure           |Error               |MSE                 |weights&biases
 [17, 3, 0, 0, 0]    |0.5523402857036016  |0.4953003350000853  |109       
 [17, 1, 18, 0, 0]   |0.6663514452827564  |0.5886414337058724  |124       
 [12, 15, 0, 0, 0]   |0.4904298374345427  |0.3830947033420989  |247       
 [8, 10, 6, 0, 0]    |0.5833793458515828  |0.4838803443532096  |187       
 [11, 7, 16, 10, 0]  |0.8113204419003203  |0.5298866393016672  |426       
 [15, 11, 8, 6, 4]   |0.6667079407769585  |0.4451236372630496  |404       
