/tmp/tmp.jGBAz3Mgo2 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k0.mat
  Evaluating with: datasets/N3dataset100k0.mat
Gen 0 Train time: 8.434278806050619 minutes:
 Average MSE:        0.8280518988467985
 Average Error:      1.1426158704022646
 Structure           |Error               |MSE                 |weights&biases
 [7, 0, 0, 0, 0]     |1.2967951632750851  |1.2597281726460767  |29        
 [14, 0, 0, 0, 0]    |0.3936840526688782  |0.3718716213552003  |57        
 [14, 0, 0, 0, 0]    |0.7468980748032624  |0.7055154918804356  |57        
 [9, 0, 0, 0, 0]     |0.6323747690287207  |0.6094044735098478  |37        
 [7, 16, 13, 0, 0]   |0.5372691141775735  |0.36595087851926167 |384       
 [1, 0, 0, 0, 0]     |3.1055743667740927  |3.0900852500011347  |5         
 [5, 14, 4, 3, 0]    |1.5919558608462845  |1.3323753962638374  |178       
 [6, 0, 0, 0, 0]     |0.7092138139917424  |0.6917032625335646  |25        
 [11, 1, 17, 1, 0]   |1.3578276760364876  |1.2298425163226097  |99        
 [13, 9, 2, 20, 9]   |0.6493814549686309  |0.41655574828891007 |444       
 [15, 18, 8, 0, 0]   |0.5451057847850956  |0.33261307462742923 |494       
 [3, 18, 20, 13, 7]  |4.439833658137224   |1.9167229124924667  |840       
 [10, 13, 7, 4, 6]   |0.5817177511091586  |0.41404943146370526 |340       
 [14, 0, 0, 0, 0]    |0.4355323062462973  |0.4114012334977768  |57        
 [9, 15, 4, 13, 0]   |0.5124475713376337  |0.37211331047757423 |320       
 [8, 14, 0, 0, 0]    |0.5081065998956056  |0.43082038705700165 |165       
 [19, 1, 8, 7, 0]    |0.4176243285334758  |0.35445531698586596 |164       
 [15, 17, 11, 5, 0]  |0.5994454881999804  |0.3352930888968316  |581       
 [13, 13, 3, 20, 0]  |0.5654494930228149  |0.3929258737733969  |364       
 [15, 16, 14, 0, 0]  |0.5339336266912547  |0.30682315419720685 |554       
 [5, 4, 20, 19, 15]  |1.5490566328661737  |0.659446865244181   |854       
 [4, 18, 0, 0, 0]    |1.1665598555902417  |1.033611647950715   |121       
 [17, 10, 12, 19, 0] |0.5814126958657637  |0.3096556348194225  |630       
 [11, 0, 0, 0, 0]    |0.3838800317845507  |0.3669883437120408  |45        
 [12, 13, 14, 3, 2]  |4.724316589420591   |2.9913443846534675  |457       
Gen 1 Train time: 8.883359062671662 minutes:
 Average MSE:        0.9123013594436132
 Average Error:      1.2646861458992291
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.3869856710585506  |0.3699573270374667  |45        
 [14, 0, 0, 0, 0]    |0.5490570522959549  |0.518636035342624   |57        
 [19, 1, 8, 7, 0]    |0.45120317740672383 |0.3829550970709564  |164       
 [15, 9, 4, 0, 0]    |0.39673280399621536 |0.3139591921957917  |234       
 [12, 14, 10, 9, 3]  |4.789897464875841   |2.9023159017834397  |501       
 [12, 2, 4, 8, 17]   |0.5479690844087359  |0.41208056240171037 |285       
 [14, 16, 4, 4, 0]   |0.47178217619955864 |0.32425083162663004 |375       
 [14, 5, 6, 10, 0]   |0.4341870437076699  |0.3435990473468369  |234       
 [6, 17, 7, 0, 0]    |0.721040200005655   |0.5498771510955203  |271       
 [13, 8, 7, 20, 0]   |0.6358542085327572  |0.42836228816090555 |395       
 [14, 7, 2, 10, 0]   |0.44810554763666244 |0.3654132124179731  |204       
 [15, 10, 7, 20, 5]  |3.08108291627635    |1.7723053050418396  |553       
 [16, 5, 5, 14, 5]   |0.5617767857988991  |0.4046832218184332  |328       
 [9, 7, 4, 2, 3]     |2.6616831464061352  |2.28635462980903    |152       
 [13, 1, 9, 1, 0]    |2.4546927172730757  |2.2591792584151604  |83        
 [8, 16, 9, 7, 0]    |0.520766443093764   |0.3494294408928241  |399       
 [13, 0, 0, 0, 0]    |0.4633923717214815  |0.43947206327742033 |53        
 [12, 3, 14, 13, 6]  |1.5728267875326913  |1.0365257564325503  |417       
 [14, 5, 1, 10, 5]   |2.9016587067608555  |2.3661934893914607  |204       
 [16, 14, 12, 12, 0] |1.0565843172176714  |0.5599215260934314  |635       
 [16, 7, 6, 14, 0]   |0.3999216271649452  |0.2880887509899976  |328       
 [11, 16, 1, 9, 5]   |0.6169825532922749  |0.4498169610662826  |316       
 [12, 16, 9, 17, 0]  |0.6452772192663545  |0.3594877213471456  |585       
 [11, 12, 3, 17, 5]  |4.374656263158559   |2.991658596943271   |380       
 [12, 15, 7, 0, 0]   |0.4730373623933403  |0.3330106180916254  |351       
Increasing Epochs
Gen 2 Train time: 10.394415636857351 minutes:
 Average MSE:        0.7249639618777433
 Average Error:      0.9759483143709073
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.5751405014352353  |0.5498328710723114  |45        
 [15, 9, 4, 0, 0]    |0.3697141471433753  |0.29257765884566855 |234       
 [16, 7, 6, 14, 0]   |0.7375220161966413  |0.5312835866865546  |328       
 [14, 5, 6, 10, 0]   |0.4267126301835163  |0.3376840818876082  |234       
 [12, 9, 7, 13, 9]   |0.6145129540358933  |0.3867699258510186  |463       
 [12, 16, 9, 17, 0]  |0.7063459240076884  |0.39350945473181953 |585       
 [11, 12, 6, 9, 0]   |0.48959392842418936 |0.35268536070903017 |328       
 [14, 8, 5, 15, 0]   |0.5697906117388077  |0.416659335016573   |313       
 [14, 4, 3, 7, 0]    |0.37210825628959765 |0.3193171544535153  |153       
 [11, 11, 6, 7, 3]   |1.5525417181916605  |1.1341612671503356  |314       
 [17, 9, 6, 6, 0]    |0.38353784087759835 |0.27794917920703377 |322       
 [18, 17, 1, 17, 17] |0.8770130019153066  |0.413030655957924   |753       
 [17, 4, 5, 9, 0]    |0.37361023579242436 |0.30223749140556727 |212       
 [13, 8, 4, 0, 0]    |0.3845232006739639  |0.3173496386106279  |192       
 [13, 9, 6, 4, 0]    |0.6000746556814491  |0.4636148178876941  |258       
 [17, 5, 6, 4, 0]    |0.42862769184366123 |0.34743885439503586 |210       
 [19, 20, 4, 4, 9]   |0.6576440598641341  |0.3551939017618727  |616       
 [13, 10, 6, 4, 9]   |0.49961511031053674 |0.35990424955369543 |328       
 [3, 1, 17, 8, 12]   |1.8255213418267318  |1.336247901603731   |312       
 [10, 10, 12, 10, 3] |2.5068595979241772  |1.6161242000122087  |439       
 [13, 11, 4, 10, 3]  |3.2388737882535317  |2.3331649025506627  |328       
 [17, 1, 4, 4, 2]    |4.102015004202587   |3.6747250642632094  |110       
 [15, 8, 12, 2, 2]   |1.2916560715831953  |0.9416940653541174  |316       
 [17, 1, 4, 4, 0]    |0.3703143869332523  |0.3344048348088698  |102       
 [16, 8, 5, 7, 0]    |0.44483918394352506 |0.3365385931668951  |279       
Gen 3 Train time: 10.306455051898956 minutes:
 Average MSE:        0.5532148120699373
 Average Error:      0.7040585328439732
 Structure           |Error               |MSE                 |weights&biases
 [15, 9, 4, 0, 0]    |0.45325816257134377 |0.35869120260195436 |234       
 [17, 1, 4, 4, 0]    |0.42043866280095665 |0.37966853717341    |102       
 [14, 4, 3, 7, 0]    |0.3721618622557131  |0.3193631553263054  |153       
 [13, 8, 5, 8, 0]    |0.4043422997225421  |0.31395880899730116 |253       
 [16, 4, 4, 8, 0]    |0.4623988251972168  |0.38430164446959714 |185       
 [15, 2, 5, 4, 13]   |0.4359400347658999  |0.358706569439528   |195       
 [12, 5, 3, 2, 5]    |0.5062175860766152  |0.43657779716332606 |148       
 [16, 7, 5, 5, 0]    |0.4186983981733496  |0.32837322654913875 |243       
 [17, 4, 5, 9, 0]    |0.3666310674317142  |0.2965915905833797  |212       
