/tmp/tmp.SCryJreogQ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k1.mat
  Evaluating with: datasets/N3dataset100k1.mat
Gen 0 Train time: 8.889062507947285 minutes:
 Average MSE:        0.8208859792281638
 Average Error:      0.9948356637154205
 Structure           |Error               |MSE                 |weights&biases
 [8, 14, 11, 0, 0]   |0.6523090768896522  |0.47036947077382124 |327       
 [1, 12, 10, 0, 0]   |4.381019568871502   |3.703511692374055   |168       
 [6, 11, 8, 0, 0]    |0.5550553628834197  |0.4544408952535147  |200       
 [14, 0, 0, 0, 0]    |0.42292846873511497 |0.3994957233334547  |57        
 [16, 14, 0, 0, 0]   |0.41935272092695725 |0.3103536276988942  |301       
 [13, 3, 9, 2, 0]    |0.41394911827962566 |0.3598700750124669  |140       
 [8, 6, 15, 0, 0]    |0.4591748006996246  |0.3763166589345447  |199       
 [10, 20, 18, 3, 12] |0.8395722988066554  |0.39817539297586896 |746       
 [1, 7, 4, 0, 0]     |3.908805705334611   |3.7033280233114176  |54        
 [12, 2, 14, 14, 0]  |0.5800784833340503  |0.41744942969658405 |329       
 [2, 14, 8, 3, 14]   |3.184548374738597   |2.4407624778194386  |266       
 [7, 7, 0, 0, 0]     |1.0672599380579293  |0.9802913637557464  |85        
 [9, 18, 4, 15, 7]   |0.6075575956907102  |0.37669919527325213 |478       
 [17, 12, 0, 0, 0]   |0.411791083944328   |0.31122500612155296 |280       
 [12, 8, 2, 2, 19]   |0.45365757659685196 |0.3565030078162656  |241       
 [6, 3, 16, 0, 0]    |0.6490073351240989  |0.5756178691009044  |120       
 [20, 9, 0, 0, 0]    |0.3783537289028272  |0.2920221188216379  |259       
 [20, 2, 5, 9, 0]    |0.3996090711268263  |0.3334479386038046  |181       
 [16, 1, 4, 4, 8]    |0.4999058002447036  |0.4337288985329061  |142       
 [11, 7, 3, 3, 0]    |0.39947537692364066 |0.3414332260543603  |157       
 [18, 13, 0, 0, 0]   |0.5557559044530616  |0.4055844758791813  |315       
 [4, 11, 13, 0, 0]   |1.5910971499425994  |1.2553617896943594  |237       
 [3, 7, 3, 0, 0]     |1.2452022063673256  |1.1668384729125758  |65        
 [18, 9, 4, 16, 0]   |0.38322138333062766 |0.26683029219304844 |362       
 [12, 0, 0, 0, 0]    |0.41220346268017044 |0.3924923587604402  |49        
Gen 1 Train time: 9.324050776163737 minutes:
 Average MSE:        0.4049227551586799
 Average Error:      0.5315073306688362
 Structure           |Error               |MSE                 |weights&biases
 [20, 9, 0, 0, 0]    |0.5027425220083077  |0.3880282531490677  |259       
 [18, 9, 4, 16, 0]   |0.5023370184646828  |0.3497684086711648  |362       
 [11, 7, 3, 3, 0]    |0.4070036379618274  |0.34786766131953756 |157       
 [14, 17, 9, 2, 6]   |0.7616797969579331  |0.4601379120740373  |504       
 [9, 18, 4, 15, 7]   |0.6974264452353688  |0.4324198768081756  |478       
 [12, 10, 0, 0, 0]   |0.4970509112340094  |0.4164192053105862  |177       
 [10, 4, 0, 0, 0]    |0.4429903771419146  |0.4093407946241152  |79        
 [11, 12, 4, 2, 7]   |0.5922481743371844  |0.4530152368944778  |268       
 [17, 12, 2, 8, 0]   |0.4746541290160857  |0.3426078125596936  |326       
 [15, 13, 8, 5, 12]  |0.6182361566570017  |0.37685877493679176 |495       
 [12, 1, 7, 7, 0]    |1.0166629549708854  |0.8954092981249859  |127       
 [16, 2, 20, 16, 0]  |0.5360176696378617  |0.32674077720800476 |495       
 [15, 8, 7, 7, 15]   |0.565114458534072   |0.36834805474031285 |428       
 [13, 4, 15, 1, 10]  |0.5712081789520537  |0.45978258195064237 |217       
 [13, 10, 4, 12, 0]  |0.5154518275051639  |0.38338658904836714 |296       
 [12, 5, 9, 9, 0]    |0.5727295035464083  |0.4438175411671712  |255       
 [9, 7, 7, 4, 0]     |0.5074019979267121  |0.4196007167666056  |190       
 [10, 3, 8, 0, 0]    |0.4556119142411146  |0.41060898292059295 |104       
 [17, 3, 7, 6, 0]    |0.38056595082720535 |0.3153425439274115  |188       
 [17, 7, 2, 2, 4]    |0.43645626215345795 |0.351668218140787   |216       
 [19, 7, 3, 5, 0]    |0.35582287905512705 |0.27794773051945304 |247       
 [14, 11, 1, 1, 10]  |0.5571883538338144  |0.43307171613063034 |252       
 [16, 2, 10, 12, 0]  |0.4666664132859949  |0.3609049704673187  |257       
 [18, 5, 2, 2, 4]    |0.48579159876713984 |0.4041474242125845  |184       
 [13, 12, 0, 0, 0]   |0.3686241344695771  |0.29582779729448405 |220       
Gen 2 Train time: 9.388839316368102 minutes:
 Average MSE:        0.6996399016042293
 Average Error:      0.8843014378491819
 Structure           |Error               |MSE                 |weights&biases
 [19, 7, 3, 5, 0]    |0.4136278818132679  |0.3231015704635303  |247       
 [13, 12, 0, 0, 0]   |0.3875675471361424  |0.3110302420569632  |220       
 [17, 3, 7, 6, 0]    |0.33319335441074066 |0.2760889138169307  |188       
 [11, 8, 6, 1, 4]    |1.1852581863451452  |0.9675004679851231  |203       
 [1, 7, 0, 0, 0]     |3.368079468097761   |3.2849212897348607  |25        
 [16, 9, 2, 3, 0]    |0.4496130822471743  |0.3558066252175343  |234       
 [11, 7, 20, 0, 0]   |0.4430108955019679  |0.32884758125397207 |298       
 [12, 6, 9, 2, 5]    |0.5067100501690521  |0.4074584428890736  |218       
 [15, 7, 6, 9, 0]    |0.4750482907096292  |0.35975256062022026 |278       
 [12, 7, 6, 6, 0]    |0.4421876886602735  |0.3534473117779655  |224       
 [13, 3, 9, 6, 0]    |0.5544641769596731  |0.4612786007520396  |184       
 [18, 6, 6, 11, 0]   |0.5608876158792884  |0.41593148919085615 |299       
 [17, 7, 3, 1, 5]    |0.40647873590269384 |0.32588078275646276 |221       
 [15, 6, 12, 14, 0]  |0.541718163538029   |0.35522303958958884 |422       
 [14, 7, 5, 5, 0]    |0.45161658515275727 |0.36134513596841955 |223       
 [18, 9, 4, 4, 8]    |0.5003868366780413  |0.3583038869800199  |334       
 [16, 2, 15, 14, 0]  |0.4836991148503515  |0.33544669109139813 |366       
 [14, 7, 8, 8, 8]    |0.5024717586863202  |0.3491632007181085  |364       
 [20, 5, 5, 6, 0]    |0.41938869520388744 |0.33056329817400915 |238       
 [13, 8, 7, 11, 0]   |0.4473771995348139  |0.3268175570248574  |314       
