/tmp/tmp.MttCsuN3mQ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k2.mat
  Evaluating with: datasets/N4dataset100k2.mat
Gen 0 Train time: 8.472579995791117 minutes:
 Average MSE:        0.6760173560083232
 Average Error:      0.8492715688912168
 Structure           |Error               |MSE                 |weights&biases
 [17, 12, 6, 0, 0]   |0.4691432655668009  |0.3299391330321987  |352       
 [18, 10, 19, 0, 0]  |0.4370305795190696  |0.2723268961225309  |473       
 [12, 0, 0, 0, 0]    |0.47723518676357085 |0.4544143392644139  |49        
 [16, 20, 8, 19, 0]  |0.7278262228715603  |0.34483371483573144 |747       
 [15, 17, 17, 0, 0]  |0.46069159327119624 |0.2426763891843881  |641       
 [11, 3, 11, 9, 0]   |0.48850797027989695 |0.38774805548392566 |231       
 [7, 7, 0, 0, 0]     |0.5303888135375178  |0.48716864074332406 |85        
 [14, 8, 3, 0, 0]    |0.34069025568998196 |0.28089297458123386 |193       
 [2, 4, 19, 0, 0]    |1.3663250970492724  |1.196169926938767   |133       
 [7, 20, 0, 0, 0]    |1.1811954158062983  |0.9651487831639475  |202       
 [18, 0, 0, 0, 0]    |0.32658555157185776 |0.3035941998156303  |73        
 [14, 15, 0, 0, 0]   |0.3715574174126759  |0.27997586634650395 |283       
 [1, 0, 0, 0, 0]     |3.557243632913553   |3.5395018062776984  |5         
 [12, 11, 2, 8, 0]   |0.5052925690602302  |0.3990703057256259  |236       
 [18, 6, 1, 10, 15]  |0.4335067916730124  |0.2976467745523731  |376       
 [14, 7, 0, 0, 0]    |0.4953111880853787  |0.42419201905375914 |155       
 [12, 0, 0, 0, 0]    |0.4984752656963014  |0.47463874161746666 |49        
 [16, 7, 8, 17, 11]  |0.5071060756562368  |0.27998056888136846 |594       
 [6, 0, 0, 0, 0]     |1.3557352871625847  |1.3222620636562468  |25        
 [17, 8, 15, 19, 10] |0.6282888593932975  |0.2698861026342234  |845       
 [14, 0, 0, 0, 0]    |0.36059921626608993 |0.3406198811031649  |57        
 [10, 0, 0, 0, 0]    |0.36932703900591224 |0.35449085051524154 |41        
 [15, 20, 4, 13, 12] |0.7240455910163109  |0.36135265365253694 |695       
 [2, 16, 17, 1, 0]   |4.301955600644915   |2.9923819533240534  |363       
 [14, 1, 0, 0, 0]    |0.31772473636689647 |0.29952125970172827 |59        
Gen 1 Train time: 8.667976494630178 minutes:
 Average MSE:        0.47761476275789005
 Average Error:      0.6192127296909918
 Structure           |Error               |MSE                 |weights&biases
 [14, 1, 0, 0, 0]    |0.2991957709803234  |0.28205387860632825 |59        
 [18, 0, 0, 0, 0]    |0.34208202490227746 |0.31799973428606104 |73        
 [14, 8, 3, 0, 0]    |0.32858523471782863 |0.2709126029931176  |193       
 [16, 4, 0, 0, 0]    |0.31951937815984466 |0.28310501979762054 |121       
 [9, 12, 6, 5, 4]    |0.44047935149534173 |0.3299244104978635  |289       
 [19, 13, 13, 19, 14]|0.7549164892320687  |0.2615452040084184  |1060      
 [18, 3, 1, 5, 8]    |0.3697550093336337  |0.30822827140594977 |182       
 [17, 10, 7, 9, 6]   |0.42903424354843656 |0.2743862369026899  |447       
 [12, 1, 0, 0, 0]    |0.3950517721299399  |0.3754092728111186  |51        
 [9, 4, 1, 4, 11]    |0.5462094754004916  |0.4715393505209716  |147       
 [15, 11, 4, 9, 6]   |0.43662833604747203 |0.29829482516916034 |381       
 [15, 13, 10, 2, 0]  |0.512896150811877   |0.33767145279902355 |418       
 [4, 1, 4, 4, 17]    |1.2696396415740807  |1.0949767316573533  |148       
 [16, 3, 9, 5, 8]    |0.49266838108591016 |0.38677235605595267 |242       
 [13, 8, 0, 0, 0]    |0.331484399255336   |0.2824723719646304  |160       
 [3, 14, 18, 3, 16]  |3.0338541764098803  |1.8904857688889234  |473       
 [15, 11, 2, 9, 11]  |0.4491300163745494  |0.3028726483215145  |394       
 [13, 1, 0, 0, 0]    |0.3218097882186816  |0.30458818501503815 |55        
 [18, 3, 1, 5, 18]   |0.41398131726705706 |0.32176480050467104 |252       
 [11, 1, 0, 0, 0]    |0.37947200942465886 |0.3620494619303615  |47        
 [2, 4, 0, 0, 0]     |1.8430916999960003  |1.8011843725600027  |23        
 [15, 9, 9, 0, 0]    |0.3900079079146474  |0.2921206832316312  |289       
 [13, 5, 16, 5, 0]   |0.43077324507090636 |0.32040372401119593 |296       
 [11, 10, 0, 0, 0]   |0.5036318007350373  |0.42745347283902496 |164       
 [13, 9, 6, 5, 0]    |0.4464206221885154  |0.34215423216862784 |266       
Gen 2 Train time: 8.791444436709087 minutes:
 Average MSE:        0.8081035709449972
 Average Error:      1.19693663634094
 Structure           |Error               |MSE                 |weights&biases
 [14, 1, 0, 0, 0]    |0.3087057946175178  |0.2910190422639554  |59        
 [16, 4, 0, 0, 0]    |0.34878555336364586 |0.30903584489558333 |121       
 [13, 1, 0, 0, 0]    |0.28945258327548373 |0.27396257110701433 |55        
 [15, 6, 7, 5, 6]    |0.419516584591773   |0.3192910468235221  |273       
 [12, 3, 1, 3, 6]    |0.7883723455404843  |0.702026040436715   |116       
 [14, 5, 5, 2, 0]    |0.3477105436836788  |0.2957073736016871  |162       
 [16, 7, 5, 11, 15]  |1.481515691851586   |0.9268770817012573  |469       
 [17, 12, 9, 14, 10] |0.5778055371975197  |0.2912661258955031  |685       
 [14, 3, 8, 3, 0]    |0.41912513831801945 |0.360744349670575   |150       
 [15, 12, 7, 1, 0]   |1.2823816082340012  |0.9145885202799107  |338       
 [16, 14, 2, 9, 16]  |0.5921351733380523  |0.35203652772536487 |520       
 [12, 7, 3, 3, 2]    |2.5445614099469394  |2.1381870586797773  |174       
 [11, 9, 11, 5, 2]   |3.0061343892673857  |2.169843396290072   |326       
 [13, 20, 0, 0, 0]   |0.39447473927465426 |0.280775412495217   |340       
 [14, 9, 5, 0, 0]    |0.3612531256967841  |0.2861679544675357  |233       
 [11, 9, 0, 0, 0]    |0.32544401772490134 |0.2798322896831621  |151       
 [13, 5, 0, 0, 0]    |0.36956922527650743 |0.3294214952413555  |115       
 [14, 9, 3, 3, 0]    |0.2994500132941204  |0.23959440225807738 |223       
 [17, 7, 3, 7, 7]    |0.39119063437519597 |0.2918368744772878  |293       
 [3, 11, 19, 18, 20] |4.865256777621957   |1.71621192841206    |1042      
 [16, 1, 5, 0, 0]    |0.29562044157408573 |0.2726193062816912  |81        
 [16, 1, 0, 0, 0]    |0.3177523261934736  |0.2971604506697346  |67        
 [12, 13, 8, 4, 2]   |2.3277335131166716  |1.6142897118162374  |366       
