/tmp/tmp.FO7Jk0wgvz ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k3.mat
  Evaluating with: datasets/N4dataset100k3.mat
Gen 0 Train time: 8.791540348529816 minutes:
 Average MSE:        0.9329884540837936
 Average Error:      1.2580880907755851
 Structure           |Error               |MSE                 |weights&biases
 [4, 0, 0, 0, 0]     |2.454963463047781   |2.413581824704873   |17        
 [13, 19, 7, 13, 8]  |1.8091766452894114  |0.9257712081256727  |670       
 [5, 0, 0, 0, 0]     |1.3684002011660936  |1.3399634281025026  |21        
 [9, 1, 13, 19, 19]  |2.2361784733223122  |1.0787126832468519  |729       
 [12, 17, 5, 0, 0]   |0.4261751054599293  |0.2994209094812871  |353       
 [4, 20, 20, 0, 0]   |0.6767235044740255  |0.3892659462976448  |553       
 [16, 9, 16, 12, 12] |0.5876223030201095  |0.2820500111466796  |734       
 [16, 14, 11, 7, 0]  |0.6148010587157391  |0.3572010304197685  |543       
 [17, 1, 14, 4, 4]   |3.3941191943271916  |2.8293423099219224  |182       
 [9, 11, 17, 8, 6]   |1.3171081534721887  |0.7629510079501215  |546       
 [13, 20, 5, 8, 6]   |0.5675099159710809  |0.3330385410858335  |533       
 [11, 13, 15, 0, 0]  |0.5130615494275402  |0.3387952075679153  |415       
 [5, 6, 1, 0, 0]     |1.1182062851129664  |1.0530870205503882  |60        
 [1, 2, 13, 20, 5]   |4.72641616542129    |3.053129815819506   |437       
 [1, 12, 5, 7, 0]    |3.4077191468653654  |2.9566095679544353  |142       
 [16, 17, 11, 3, 7]  |0.5906093690257026  |0.32187228381717137 |607       
 [1, 20, 0, 0, 0]    |2.166403431773436   |2.032097250004013   |64        
 [20, 0, 0, 0, 0]    |0.2884315407103596  |0.26598974725674224 |81        
 [8, 14, 18, 0, 0]   |0.48778944564956633 |0.314468480116551   |439       
 [16, 8, 0, 0, 0]    |0.28158131335869757 |0.23215871711866182 |193       
 [15, 9, 18, 5, 0]   |0.4352491685939963  |0.27203171763940737 |470       
 [16, 19, 0, 0, 0]   |0.3406410125378973  |0.23040282121376446 |391       
 [4, 18, 6, 20, 0]   |0.8194119368622683  |0.5620478186361006  |377       
 [20, 0, 0, 0, 0]    |0.3007077745824681  |0.2773108126882993  |81        
 [7, 8, 2, 7, 15]    |0.523196111202209   |0.4034111912287222  |260       
Gen 1 Train time: 8.740268250306448 minutes:
 Average MSE:        0.40353175456292467
 Average Error:      0.5930424950365861
 Structure           |Error               |MSE                 |weights&biases
 [16, 8, 0, 0, 0]    |0.31543284168363867 |0.2600686920196352  |193       
 [20, 0, 0, 0, 0]    |0.36262871550410886 |0.3344139137745507  |81        
 [20, 0, 0, 0, 0]    |0.2725767781231479  |0.25136858521946365 |81        
 [14, 4, 1, 4, 8]    |0.39286322536483265 |0.33343952821852735 |164       
 [9, 0, 0, 0, 0]     |0.6426243918255834  |0.619281790395514   |37        
 [12, 10, 10, 0, 0]  |0.37241264542044733 |0.2795000583552859  |287       
 [18, 10, 0, 0, 0]   |0.3257390667276     |0.25242057683766267 |255       
 [5, 6, 1, 0, 0]     |1.2385449273491265  |1.1664176858280872  |60        
 [16, 17, 17, 0, 0]  |0.5934113757269812  |0.30639890928722424 |661       
 [13, 11, 17, 3, 0]  |0.4314313632437227  |0.27372075171911375 |455       
 [16, 8, 11, 0, 0]   |0.30420349232537386 |0.2264891090536842  |295       
 [18, 8, 6, 2, 4]    |0.3378847487334689  |0.25257414704147135 |291       
 [18, 14, 6, 2, 4]   |1.5507625695868827  |0.9977493268985368  |441       
 [9, 9, 5, 13, 19]   |0.5751592368714407  |0.33820321280814436 |531       
 [16, 14, 11, 7, 0]  |0.38417725011036563 |0.22320799168744604 |543       
 [16, 9, 3, 0, 0]    |0.28407037911147076 |0.22457776096851245 |235       
 [18, 15, 15, 9, 20] |0.6776651466328397  |0.26365812474794326 |944       
 [12, 19, 17, 18, 20]|1.5153858760158385  |0.3936355137585231  |1348      
 [14, 11, 8, 0, 0]   |0.3224927913103735  |0.23605876622598151 |312       
 [16, 14, 9, 3, 0]   |0.4893432997819058  |0.3104628621757108  |455       
 [6, 13, 3, 19, 0]   |1.2133679467535246  |0.9478110794357905  |247       
 [6, 17, 11, 0, 0]   |0.6310380288884783  |0.44602104115164404 |347       
 [18, 4, 0, 0, 0]    |0.30504737955605493 |0.2665247493368644  |135       
 [13, 4, 17, 3, 18]  |0.5207244334465766  |0.37623764687492234 |325       
 [6, 13, 12, 3, 19]  |0.7670744658208706  |0.5080520402528765  |412       
Gen 2 Train time: 8.782031873861948 minutes:
 Average MSE:        0.3648215961532365
 Average Error:      0.4913889171347619
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.29264040219298654 |0.269871132764185   |81        
 [16, 9, 3, 0, 0]    |0.40416911638269704 |0.3195243217323641  |235       
 [16, 8, 11, 0, 0]   |0.4401551257413126  |0.3277093944994364  |295       
 [17, 4, 6, 0, 0]    |0.3194830040023635  |0.2722454575408813  |160       
 [15, 5, 3, 7, 10]   |0.41346205808738345 |0.3181636115830636  |262       
 [13, 12, 1, 9, 13]  |0.483655473543364   |0.33009246814905635 |382       
 [16, 13, 14, 14, 0] |0.5575113850747246  |0.2796343689853523  |690       
 [11, 11, 8, 2, 10]  |0.4580314054011553  |0.33259906398155825 |320       
 [20, 5, 0, 0, 0]    |0.3623913558480854  |0.30543125274839705 |171       
 [18, 5, 2, 0, 0]    |0.36670959798005875 |0.3112418456324728  |164       
 [17, 12, 6, 4, 0]   |0.45196542122409944 |0.30970049186905063 |378       
 [16, 4, 9, 2, 9]    |0.32645960934591456 |0.2625144775515761  |218       
 [8, 5, 8, 17, 13]   |0.7216254856099913  |0.4298800801070505  |518       
 [16, 9, 7, 0, 0]    |0.4303491350612514  |0.32557629298791846 |279       
 [18, 10, 3, 1, 2]   |1.2588354488559164  |0.9438264705011601  |288       
 [19, 5, 0, 0, 0]    |0.3039044163956684  |0.2581945142900384  |163       
 [16, 7, 1, 2, 4]    |1.1089190166718303  |0.9115449989715485  |196       
 [15, 7, 14, 2, 4]   |0.5041546860423918  |0.36755873820549717 |316       
 [19, 9, 8, 10, 15]  |0.6054816207065189  |0.33630692444612176 |588       
 [11, 3, 2, 0, 0]    |0.3303945513980865  |0.30499261115265314 |80        
 [19, 4, 3, 4, 6]    |0.3742633673664828  |0.30489264785620457 |205       
 [20, 15, 0, 0, 0]   |0.27439326393089547 |0.18559415867370893 |391       
 [8, 3, 4, 8, 19]    |0.635696776423769   |0.47187856881270507 |298       
 [17, 6, 9, 2, 12]   |0.4074377483378905  |0.30456610469896256 |291       
 [11, 13, 7, 0, 0]   |0.45263345674420863 |0.3369999060899477  |295       
Increasing Epochs
Gen 3 Train time: 10.14685805241267 minutes:
 Average MSE:        0.46671543089219464
 Average Error:      0.5858831689231819
 Structure           |Error               |MSE                 |weights&biases
 [20, 15, 0, 0, 0]   |0.4222037000073388  |0.2855702044913291  |391       
 [20, 0, 0, 0, 0]    |0.26140363809279266 |0.2410647859698428  |81        
 [19, 5, 0, 0, 0]    |0.278279784959047   |0.23642405321511334 |163       
