/tmp/tmp.TldtuWAIjR ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k4.mat
  Evaluating with: datasets/N4dataset100k4.mat
Gen 0 Train time: 8.195860687891642 minutes:
 Average MSE:        0.6886111424993944
 Average Error:      0.793934558013345
 Structure           |Error               |MSE                 |weights&biases
 [4, 4, 0, 0, 0]     |1.352228845878962   |1.3031106683041487  |37        
 [2, 12, 0, 0, 0]    |1.2740841987615397  |1.2059017713700118  |55        
 [19, 10, 18, 0, 0]  |0.4488786874391097  |0.2794302384539096  |474       
 [9, 11, 7, 4, 0]    |0.47105638395476185 |0.36393591629697947 |258       
 [17, 0, 0, 0, 0]    |0.3126382908704967  |0.2917936580834839  |69        
 [8, 5, 1, 0, 0]     |0.33352119669551256 |0.30880389198307123 |77        
 [18, 8, 14, 4, 0]   |0.3766429402545855  |0.2532298642474859  |397       
 [9, 0, 0, 0, 0]     |0.6169594084872873  |0.5945490584382669  |37        
 [5, 9, 4, 4, 0]     |0.6812883866917191  |0.5958480541302118  |134       
 [12, 18, 9, 0, 0]   |0.551996044919003   |0.3516164255318712  |451       
 [20, 15, 6, 0, 0]   |0.4368985272603418  |0.27088678473015465 |478       
 [9, 0, 0, 0, 0]     |1.1960822820255137  |1.1526359511018236  |37        
 [7, 0, 0, 0, 0]     |0.5563756468578348  |0.5404724637859581  |29        
 [4, 0, 0, 0, 0]     |3.7265646639788814  |3.6637485147744515  |17        
 [19, 20, 12, 6, 0]  |0.5797343148112994  |0.2620590658895116  |794       
 [3, 18, 1, 8, 0]    |0.9517866972267346  |0.8399488122238153  |125       
 [12, 17, 17, 0, 0]  |0.5672042541519436  |0.31725931740866326 |581       
 [10, 20, 0, 0, 0]   |0.4072254659296274  |0.31055685807417277 |271       
 [15, 5, 20, 0, 0]   |0.3243806443526168  |0.248618018035838   |266       
 [11, 4, 1, 20, 0]   |0.4183947205490862  |0.3611976424328101  |147       
 [2, 8, 0, 0, 0]     |1.5120235547383636  |1.4541897260156316  |39        
 [7, 3, 0, 0, 0]     |0.41609912579681346 |0.39620173566777017 |49        
 [16, 13, 6, 2, 12]  |0.3935588553326359  |0.2596230121373598  |416       
 [9, 7, 2, 8, 14]    |1.3688961378710132  |1.036660694192968   |278       
 [9, 0, 0, 0, 0]     |0.5738446754979458  |0.553000419174492   |37        
Gen 1 Train time: 8.653995335102081 minutes:
 Average MSE:        0.4783519518887124
 Average Error:      0.5888792876988017
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.33647709824744254 |0.31404305302963254 |69        
 [15, 5, 20, 0, 0]   |0.4442179858869304  |0.34046604552343895 |266       
 [8, 5, 1, 0, 0]     |1.2232082755611857  |1.1325561311895997  |77        
 [13, 7, 9, 0, 0]    |0.3165402980517495  |0.25428369609579243 |219       
 [8, 4, 1, 0, 0]     |0.3403985984503871  |0.31833913581256634 |67        
 [7, 3, 3, 0, 0]     |0.3254316308622992  |0.30617364127345886 |61        
 [15, 5, 20, 2, 0]   |1.2793483744136878  |0.957289778814624   |290       
 [8, 3, 1, 0, 0]     |1.0286835433127326  |0.9716883742681484  |57        
 [11, 5, 2, 2, 0]    |0.3868139109537716  |0.3451377894944922  |114       
 [8, 3, 6, 2, 0]     |0.4943060004176211  |0.4508590484319499  |92        
 [14, 4, 7, 2, 0]    |0.6057537728808262  |0.5182582074901095  |156       
 [9, 8, 4, 2, 0]     |0.39667606406748335 |0.3393798522131383  |156       
 [13, 17, 3, 1, 6]   |0.48526767830153644 |0.34059723586651874 |354       
 [16, 13, 15, 2, 12] |0.4795390591593416  |0.27391705706134895 |560       
 [13, 6, 7, 1, 0]    |1.297038392647927   |1.0812129426819828  |182       
 [15, 6, 8, 12, 0]   |0.3584734677750033  |0.26082629472574204 |318       
 [11, 19, 5, 0, 0]   |0.35594698986960627 |0.2466035077061816  |367       
 [9, 4, 1, 16, 0]    |0.4917170956289455  |0.4356780452396232  |121       
 [12, 11, 5, 5, 6]   |1.3453567072820525  |0.9847762586085274  |312       
 [14, 2, 1, 10, 0]   |0.4301997919923415  |0.38693229651504746 |106       
