/tmp/tmp.K8UKDJfl8l ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k0.mat
  Evaluating with: datasets/N5dataset100k0.mat
Gen 0 Train time: 8.584850450356802 minutes:
 Average MSE:        0.7144742293894072
 Average Error:      1.0705627444615313
 Structure           |Error               |MSE                 |weights&biases
 [19, 14, 1, 10, 18] |0.5021685810289567  |0.2786442509760415  |589       
 [2, 9, 19, 12, 17]  |3.5704063612228216  |1.7694688485513441  |702       
 [20, 5, 0, 0, 0]    |0.3215531446367266  |0.27101192731747326 |171       
 [3, 15, 2, 0, 0]    |0.7302100187571678  |0.6580837413343722  |104       
 [14, 0, 0, 0, 0]    |0.313780811909765   |0.29639549401097653 |57        
 [14, 16, 12, 13, 0] |0.40862500155662046 |0.20930611989627393 |669       
 [14, 14, 19, 4, 12] |0.5939221211240687  |0.2978971228447841  |690       
 [15, 11, 10, 14, 5] |0.5131844106567797  |0.28848273944349234 |576       
 [1, 1, 19, 19, 0]   |4.060947724734833   |2.6075638016590204  |443       
 [11, 1, 0, 0, 0]    |1.023039822266685   |0.9760694016577374  |47        
 [6, 9, 9, 12, 9]    |0.6306705266724362  |0.4152096533419245  |418       
 [2, 10, 0, 0, 0]    |1.9048683227480312  |1.8174108608030042  |47        
 [4, 19, 14, 12, 0]  |1.9613408574181863  |1.0981515423464276  |580       
 [13, 16, 0, 0, 0]   |0.47460003809982093 |0.35869499249011255 |280       
 [16, 5, 0, 0, 0]    |0.27048871767529625 |0.23538686350277369 |139       
 [10, 12, 19, 19, 0] |0.9924423414916194  |0.44193769767619473 |809       
 [12, 2, 0, 0, 0]    |0.2581691456085989  |0.2419219063977613  |65        
 [20, 0, 0, 0, 0]    |0.2692401515669508  |0.2482915692586321  |81        
 [14, 17, 19, 11, 0] |0.5365541599313448  |0.22456551871958647 |871       
 [18, 11, 15, 5, 19] |0.4653164035390719  |0.24122198567281555 |657       
 [10, 0, 0, 0, 0]    |0.527294424583053   |0.506112548773877   |41        
 [15, 0, 0, 0, 0]    |0.28134040144431144 |0.26469158796672027 |61        
 [5, 15, 19, 1, 0]   |5.569851697904975   |3.6196177575774158  |431       
 [10, 15, 3, 0, 0]   |0.2965856535415308  |0.2316751230988879  |247       
 [10, 2, 8, 0, 0]    |0.2874677714186365  |0.2640426794175278  |85        
Gen 1 Train time: 8.475986468791962 minutes:
 Average MSE:        0.2615206286686679
 Average Error:      0.34140341862761586
 Structure           |Error               |MSE                 |weights&biases
 [12, 2, 0, 0, 0]    |0.2769332114057437  |0.25950510193693843 |65        
 [20, 0, 0, 0, 0]    |0.2916807220559064  |0.268986121795965   |81        
 [16, 5, 0, 0, 0]    |0.24673701292575156 |0.2147174643060549  |139       
 [17, 8, 6, 7, 0]    |0.3292049756569806  |0.2424221391321717  |306       
 [13, 1, 0, 0, 0]    |0.2799815906782144  |0.2649984172773215  |55        
 [16, 3, 0, 0, 0]    |0.3091169911569425  |0.27886277568412526 |103       
 [16, 5, 10, 15, 0]  |0.3518178321592516  |0.24204254569528816 |374       
 [17, 20, 2, 19, 7]  |0.5959875082896273  |0.30865362936267565 |658       
 [13, 1, 4, 0, 0]    |0.2750754000467095  |0.25750657199108895 |66        
 [18, 17, 0, 0, 0]   |0.3684435392362979  |0.24821305797370088 |395       
 [17, 3, 0, 0, 0]    |0.2914648280026994  |0.261365376900912   |109       
 [9, 6, 5, 6, 5]     |0.3849870098324191  |0.3155160628427211  |199       
 [17, 2, 6, 7, 0]    |0.28191984166044143 |0.23975624972549756 |162       
 [17, 8, 6, 7, 16]   |0.4492599309960761  |0.288473039548346   |443       
 [13, 4, 4, 0, 0]    |0.2961116861174468  |0.2626275059683398  |120       
 [17, 8, 8, 3, 10]   |0.37148068068060236 |0.26309017897807513 |345       
 [19, 8, 8, 3, 10]   |0.357040457274867   |0.2473610724710879  |367       
 [16, 8, 1, 5, 9]    |0.33357842286568795 |0.25541201561014665 |267       
 [15, 0, 0, 0, 0]    |0.24479142373913915 |0.23030546035163893 |61        
 [10, 1, 4, 0, 0]    |0.3309227546141973  |0.3135268424935066  |54        
 [19, 13, 8, 8, 19]  |0.4433729891514368  |0.2219409549407838  |692       
 [20, 10, 19, 0, 0]  |0.30582411597266373 |0.185677287296524   |499       
 [17, 8, 0, 0, 0]    |0.2654251720729492  |0.21644424019140235 |204       
 [12, 9, 4, 0, 0]    |0.451592951440635   |0.3704732432514334  |198       
 [15, 9, 10, 6, 0]   |0.40233441765771044 |0.2801383609909507  |362       
Gen 2 Train time: 8.789365355173747 minutes:
 Average MSE:        0.41362976211478214
 Average Error:      0.5413652968831889
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.3281259182112219  |0.3087084894259598  |61        
 [16, 5, 0, 0, 0]    |0.34649361625937797 |0.30152845655076843 |139       
 [17, 8, 0, 0, 0]    |0.34362437692271214 |0.28021274920315087 |204       
 [16, 2, 0, 0, 0]    |0.22975371351085497 |0.21103160824657335 |85        
 [14, 4, 5, 8, 0]    |0.2613060831766662  |0.21738988635237896 |184       
 [4, 9, 10, 3, 5]    |0.4301050611501783  |0.3465508312831504  |216       
 [16, 11, 6, 6, 5]   |1.7928784930241417  |1.2138807088419048  |390       
 [2, 2, 15, 7, 15]   |2.72584746670518    |2.0092858827345923  |305       
 [16, 4, 1, 3, 5]    |0.32654486241322705 |0.2802178519416024  |153       
 [17, 11, 0, 0, 0]   |0.27624083817990497 |0.21278304686845745 |261       
 [16, 7, 10, 11, 0]  |0.3700564766883744  |0.25306734363627104 |380       
 [13, 7, 3, 15, 15]  |0.41522245774814454 |0.2577047163962458  |477       
 [13, 3, 7, 10, 0]   |0.3149261149325961  |0.25783969524268746 |200       
 [13, 5, 4, 3, 0]    |0.27802776030814363 |0.23882258782539748 |152       
 [20, 4, 14, 4, 10]  |0.3289988337939285  |0.23534539617837275 |335       
 [15, 9, 6, 2, 5]    |1.1826421448729072  |0.8902535592841175  |284       
 [17, 7, 5, 8, 0]    |0.3016448826892853  |0.2293502796469696  |274       
 [18, 6, 19, 10, 12] |0.4962114357041224  |0.260083339854005   |646       
 [18, 2, 0, 0, 0]    |0.3204473090753634  |0.29140610979631154 |95        
 [16, 2, 16, 6, 0]   |0.3147404867557248  |0.2478313433566816  |239       
 [14, 5, 1, 3, 5]    |1.0003825238188362  |0.856742776687814   |155       
 [18, 5, 10, 0, 0]   |0.21171830259879357 |0.1699079177082401  |220       
 [13, 3, 2, 0, 0]    |0.2995203211813527  |0.2731940273429112  |92        
 [17, 6, 3, 4, 0]    |0.2711234986777985  |0.22175528005494774 |201       
 [17, 4, 5, 8, 9]    |0.367549443680886   |0.2758501684100443  |287       
Gen 3 Train time: 8.923409454027812 minutes:
 Average MSE:        0.8604890040755471
 Average Error:      1.233975371405968
 Structure           |Error               |MSE                 |weights&biases
 [18, 5, 10, 0, 0]   |0.28395325674897054 |0.2278778262837149  |220       
 [16, 2, 0, 0, 0]    |0.2709458858958539  |0.24886712460337734 |85        
 [14, 4, 5, 8, 0]    |0.2895376409813978  |0.24087673008793747 |184       
 [16, 1, 0, 0, 0]    |0.31933491988374446 |0.2986404846945418  |67        
 [18, 6, 8, 4, 0]    |0.3031302502515183  |0.23256333161063497 |265       
 [15, 4, 1, 0, 0]    |0.4077844151878976  |0.3631219181716724  |116       
