/tmp/tmp.74QDdqSQIe ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k2.mat
  Evaluating with: datasets/N5dataset100k2.mat
Gen 0 Train time: 8.484674688180288 minutes:
 Average MSE:        0.5938309597536808
 Average Error:      0.7232936428002436
 Structure           |Error               |MSE                 |weights&biases
 [6, 17, 9, 3, 12]   |1.7180248436645096  |1.1632005309616908  |390       
 [14, 4, 13, 0, 0]   |0.31369128320893735 |0.26175509842419215 |181       
 [14, 9, 17, 4, 15]  |0.5657211938918207  |0.339713075772435   |510       
 [9, 0, 0, 0, 0]     |0.6199345708283013  |0.5974161513850914  |37        
 [16, 16, 15, 0, 0]  |0.3826643170118368  |0.21190925656743337 |591       
 [17, 5, 17, 0, 0]   |0.3213451521965751  |0.24752603934782544 |261       
 [13, 20, 0, 0, 0]   |0.40176732780510493 |0.2859660605873108  |340       
 [8, 0, 0, 0, 0]     |0.4909149537674739  |0.4749791472488979  |33        
 [18, 19, 14, 0, 0]  |0.45748034067554394 |0.2249175549455967  |710       
 [13, 17, 6, 0, 0]   |0.32579434147858655 |0.22014057684217395 |392       
 [18, 4, 0, 0, 0]    |0.3188447983671696  |0.2785797736923591  |135       
 [7, 0, 0, 0, 0]     |0.5946929933782602  |0.5776945650705716  |29        
 [3, 8, 0, 0, 0]     |0.6970455244943081  |0.663050213115519   |50        
 [5, 12, 15, 7, 0]   |0.8197557808493974  |0.5484008335566023  |402       
 [1, 13, 0, 0, 0]    |2.6220861904499726  |2.5117262275694983  |43        
 [18, 13, 0, 0, 0]   |0.2610007171316142  |0.19047541953889727 |315       
 [14, 0, 0, 0, 0]    |0.3623714212194713  |0.3422938953918309  |57        
 [16, 1, 10, 0, 0]   |0.32502198527010784 |0.29527077804910606 |96        
 [13, 3, 0, 0, 0]    |0.31031472709456986 |0.28502788886704816 |85        
 [3, 20, 14, 11, 0]  |1.8697993591916449  |1.0680463415489734  |560       
 [12, 0, 0, 0, 0]    |0.3039069560702465  |0.2893744687542012  |49        
 [3, 0, 0, 0, 0]     |3.1002142485203903  |3.06017229987832    |13        
 [18, 12, 0, 0, 0]   |0.26177562021801126 |0.19490021808078892 |295       
 [12, 9, 9, 0, 0]    |0.3711610707568595  |0.28819465042600917 |253       
 [14, 8, 0, 0, 0]    |0.26701135246536933 |0.22504292821964786 |171       
Gen 1 Train time: 9.003223152955373 minutes:
 Average MSE:        0.3089378505559066
 Average Error:      0.42672485785166536
 Structure           |Error               |MSE                 |weights&biases
 [18, 13, 0, 0, 0]   |0.35181910436326114 |0.25675366811961214 |315       
 [18, 12, 0, 0, 0]   |0.27053682957327024 |0.20142321519018108 |295       
 [14, 8, 0, 0, 0]    |0.3063942938684603  |0.2582357208609416  |171       
 [16, 8, 0, 0, 0]    |0.25816578419671704 |0.21285303540968026 |193       
 [13, 7, 11, 0, 0]   |0.3752133775741036  |0.29604008605362975 |237       
 [12, 13, 8, 14, 0]  |0.42473620724314354 |0.26866581594553807 |458       
 [13, 19, 3, 0, 0]   |0.3059505524227596  |0.2115419862864052  |369       
 [14, 5, 2, 13, 7]   |1.1633000197694132  |0.8844943181823032  |274       
 [14, 8, 14, 0, 0]   |0.35426024226922365 |0.2616562948200368  |303       
 [11, 0, 0, 0, 0]    |1.0988191668427174  |1.0504683564915827  |45        
 [13, 9, 1, 16, 14]  |0.5482971097801673  |0.3461309982829352  |460       
 [10, 19, 20, 10, 9] |0.8197054103834042  |0.3144877171090063  |958       
 [12, 5, 5, 16, 0]   |0.39905779575551065 |0.3126568483306376  |244       
 [16, 5, 0, 0, 0]    |0.24830577416644206 |0.21608264430766272 |139       
 [18, 17, 9, 0, 0]   |0.39737708833296054 |0.22949601707055328 |549       
 [18, 7, 2, 0, 0]    |0.23856294782441753 |0.19415041771506764 |206       
