/tmp/tmp.PGVo3L9Mmj ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k6.mat
  Evaluating with: datasets/N5dataset100k6.mat
Gen 0 Train time: 8.239153218269347 minutes:
 Average MSE:        1.159627877515415
 Average Error:      1.4302123821265451
 Structure           |Error               |MSE                 |weights&biases
 [14, 2, 19, 20, 0]  |1.5864644389323428  |0.9153103572174004  |550       
 [9, 0, 0, 0, 0]     |0.5457447147982989  |0.525921157643996   |37        
 [11, 4, 9, 18, 0]   |0.3360807875378332  |0.24282756202965414 |325       
 [15, 0, 0, 0, 0]    |0.3442627650876997  |0.32389040998405705 |61        
 [14, 0, 0, 0, 0]    |0.3005623879812427  |0.28390944916172184 |57        
 [1, 7, 1, 5, 0]     |2.1717284651475564  |2.084488243185448   |41        
 [4, 4, 20, 0, 0]    |1.3933376576760472  |1.1956644565708856  |153       
 [18, 16, 9, 10, 11] |0.6095282507929354  |0.28965347613144043 |744       
 [2, 0, 0, 0, 0]     |3.010407526410161   |2.9834354152342657  |9         
 [2, 1, 0, 0, 0]     |3.010613042316634   |2.977677774918451   |11        
 [19, 9, 0, 0, 0]    |0.2771551465367942  |0.21649716338154165 |247       
 [13, 16, 5, 0, 0]   |0.3560012883514492  |0.24986839264015162 |354       
 [4, 4, 19, 12, 1]   |5.212131867221084   |3.5572542160325624  |382       
 [17, 16, 20, 0, 0]  |0.42801117855990023 |0.21254406113128727 |700       
 [11, 11, 13, 0, 0]  |0.39548472052876155 |0.28290528316472124 |335       
 [1, 13, 3, 6, 16]   |3.759112130346091   |3.004715217577096   |224       
 [13, 0, 0, 0, 0]    |0.3357974182659193  |0.31846355972655604 |53        
 [13, 12, 10, 3, 5]  |0.44569924996791604 |0.29995857960267847 |396       
 [1, 7, 10, 11, 0]   |3.4360973633935146  |2.730094816689257   |230       
 [12, 15, 7, 17, 10] |0.5422653080110155  |0.2774818095452981  |670       
 [9, 2, 0, 0, 0]     |0.2821421580158695  |0.26838192259682503 |50        
 [6, 0, 0, 0, 0]     |2.13161370612818    |2.0789839762022635  |25        
 [20, 0, 0, 0, 0]    |0.33446052355796535 |0.30843738486241634 |81        
 [2, 6, 13, 0, 0]    |2.7742306601368147  |2.438476524678597   |129       
 [16, 12, 10, 16, 4] |1.736376797461604   |0.9238557279768088  |631       
Gen 1 Train time: 8.60611978371938 minutes:
 Average MSE:        0.5520607705192341
 Average Error:      0.7737190302650575
 Structure           |Error               |MSE                 |weights&biases
 [19, 9, 0, 0, 0]    |0.32230013102065935 |0.25176174787073136 |247       
 [9, 2, 0, 0, 0]     |0.28762778309088466 |0.2736000105799584  |50        
 [14, 0, 0, 0, 0]    |0.3135385852687622  |0.29616668816244274 |57        
 [14, 11, 0, 0, 0]   |0.2767822315927235  |0.22234517783746166 |219       
 [10, 2, 10, 0, 0]   |0.25475842357876916 |0.2321342197106655  |93        
 [14, 9, 5, 5, 6]    |0.33160009757801867 |0.2456553942656318  |300       
 [7, 19, 11, 3, 20]  |0.7127245831212528  |0.41951323163710336 |530       
 [19, 8, 10, 0, 0]   |0.29762560841210906 |0.21655322258424103 |318       
 [15, 10, 7, 0, 0]   |0.38007263694474447 |0.2843945072592673  |290       
 [16, 5, 0, 0, 0]    |0.3767972760333804  |0.3278995506509682  |139       
 [14, 5, 0, 0, 0]    |0.30831238510891584 |0.2726294388692722  |123       
 [11, 7, 5, 2, 3]    |2.2759433523323063  |1.8972294292144927  |182       
 [1, 20, 12, 14, 7]  |4.497545588668474   |2.4931122341362553  |590       
 [15, 2, 15, 13, 13] |1.5436136461662482  |0.9122202563808791  |526       
 [13, 2, 5, 9, 0]    |0.37892839455473115 |0.32745389110986056 |146       
 [11, 8, 7, 9, 5]    |0.3584658687916385  |0.2602996454468323  |320       
 [12, 2, 5, 9, 0]    |0.26141811411764104 |0.22703883799533248 |141       
 [16, 5, 17, 0, 0]   |0.3424623619588868  |0.265911024794571   |253       
