/tmp/tmp.4l70rnLLR2 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k1.mat
  Evaluating with: datasets/N6dataset100k1.mat
Gen 0 Train time: 8.442927134037017 minutes:
 Average MSE:        0.8674696113596251
 Average Error:      1.1930294897544622
 Structure           |Error               |MSE                 |weights&biases
 [7, 20, 6, 0, 0]    |0.3814060318592943  |0.2786243637279943  |314       
 [20, 5, 2, 12, 6]   |0.27152313150076707 |0.2015519842855305  |298       
 [1, 10, 8, 13, 0]   |3.265469554903807   |2.5635770466846566  |242       
 [9, 15, 7, 3, 15]   |0.41175206180045015 |0.2790584830310756  |389       
 [10, 4, 20, 12, 0]  |0.38367934121080044 |0.24735069681962737 |439       
 [12, 17, 2, 14, 14] |0.46737364969818507 |0.2669680649117042  |560       
 [2, 14, 13, 14, 0]  |2.8095523337658235  |1.7842981753254752  |454       
 [3, 11, 0, 0, 0]    |1.9176659046262197  |1.7969823248534254  |65        
 [10, 6, 17, 10, 19] |0.5873751908125893  |0.31471384024672683 |624       
 [4, 9, 15, 0, 0]    |2.838969458197221   |2.2715016201973115  |223       
 [11, 2, 0, 0, 0]    |0.35970554703587976 |0.33875792673191235 |60        
 [12, 2, 13, 0, 0]   |0.4529019655386229  |0.4037014785899869  |115       
 [3, 12, 3, 0, 0]    |0.8840466138204525  |0.7999184554727312  |100       
 [3, 11, 15, 0, 0]   |0.5697587496168015  |0.44417251086196624 |249       
 [7, 3, 16, 0, 0]    |0.3307001662481829  |0.29155017639814196 |126       
 [4, 11, 10, 18, 0]  |1.56072695895887    |1.0420101790548224  |404       
 [20, 0, 0, 0, 0]    |0.23038855264879224 |0.21246286983377013 |81        
 [13, 0, 0, 0, 0]    |0.9897195940687524  |0.9386302809768985  |53        
 [12, 2, 16, 18, 0]  |0.3644728083010351  |0.23591037092396583 |435       
 [2, 13, 12, 19, 9]  |5.637067657530103   |2.942807363929704   |650       
 [9, 19, 15, 0, 0]   |0.5193758129863989  |0.30479143740824655 |533       
 [8, 19, 0, 0, 0]    |0.45358498542367093 |0.3658350873864194  |215       
 [10, 0, 0, 0, 0]    |1.0423655553258035  |1.0004928240559203  |41        
 [7, 0, 0, 0, 0]     |0.4282575031002289  |0.4160163895429204  |29        
 [2, 13, 18, 0, 0]   |2.6678981148827963  |1.9450563327396915  |316       
Gen 1 Train time: 8.783715931574504 minutes:
 Average MSE:        0.5439738057056764
 Average Error:      0.6778589290954415
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.2674160951458637  |0.24660943593426654 |81        
 [20, 5, 2, 12, 6]   |0.2751771057465082  |0.204264334263548   |298       
 [7, 3, 16, 0, 0]    |0.44577961069268013 |0.393005923179998   |126       
 [20, 3, 1, 18, 3]   |2.2226283803909443  |1.776580502525352   |224       
 [5, 7, 16, 0, 0]    |0.4539531488130985  |0.3709228154185902  |202       
 [9, 5, 10, 3, 10]   |1.1291487958143795  |0.9052574241339759  |221       
 [14, 3, 1, 6, 3]    |2.4659410832048803  |2.169666594829417   |128       
 [16, 1, 16, 0, 0]   |0.2633419918041105  |0.23496898730513757 |114       
 [15, 8, 4, 2, 8]    |0.26699750456989696 |0.20752240550449183 |252       
 [16, 1, 0, 0, 0]    |0.242276007266867   |0.226575359395008   |67        
 [12, 10, 1, 7, 12]  |0.39649027188731367 |0.29372721773717025 |300       
 [12, 2, 7, 0, 0]    |0.2100036764873606  |0.1917370759869199  |91        
 [10, 11, 8, 9, 0]   |0.3321217210368676  |0.2368676464521618  |338       
 [9, 8, 4, 2, 8]     |0.35379160992899256 |0.29374383185019026 |186       
 [14, 3, 15, 3, 10]  |0.2852613640656607  |0.223052200475498   |246       
 [14, 20, 15, 16, 12]|0.6457540375411241  |0.20860002959472707 |1130      
 [15, 2, 10, 6, 0]   |0.2591692792263388  |0.216476378650691   |180       
 [8, 11, 8, 15, 0]   |0.5025580984032074  |0.3471341317069213  |370       
 [10, 3, 16, 9, 0]   |0.3434791986816753  |0.2570129705945772  |290       
 [10, 3, 15, 0, 0]   |0.35147032998498307 |0.3058593323244029  |139       
 [14, 5, 2, 12, 6]   |0.9304932542435888  |0.7246688750475668  |250       
 [14, 0, 0, 0, 0]    |0.26279719139364516 |0.24823666843661635 |57        
 [20, 3, 2, 12, 18]  |0.30004890836733833 |0.19714618103173906 |420       
 [20, 3, 1, 6, 3]    |3.408755341102457   |2.893153900302253   |164       
 [12, 10, 8, 7, 7]   |0.3316192215862544  |0.22655491996069116 |381       
Gen 2 Train time: 9.100369878609975 minutes:
 Average MSE:        0.5433020153454795
 Average Error:      0.7667032420305402
 Structure           |Error               |MSE                 |weights&biases
 [12, 2, 7, 0, 0]    |0.24016242036758137 |0.21927254328803633 |91        
 [16, 1, 0, 0, 0]    |0.28641310311335744 |0.26785215963158726 |67        
 [15, 2, 10, 6, 0]   |0.2301708573266146  |0.19225486065991512 |180       
 [12, 5, 7, 4, 4]    |0.3600338460579612  |0.2947707819165967  |200       
 [11, 15, 11, 8, 1]  |5.5016963982083755  |3.3503220673378187  |496       
 [16, 7, 5, 10, 13]  |0.3652204132835394  |0.23900896061337149 |424       
 [17, 6, 1, 3, 16]   |0.3065281664436981  |0.23800927611785241 |253       
 [10, 5, 16, 2, 5]   |0.3479258956396817  |0.2747851483369818  |236       
 [17, 3, 1, 6, 3]    |1.0804076108557583  |0.9336425595003195  |146       
 [15, 1, 5, 3, 0]    |0.2910258171752282  |0.2651808330284408  |93        
 [10, 12, 13, 3, 0]  |0.3392251860006495  |0.23268000774821268 |377       
 [18, 3, 6, 9, 9]    |0.31937401952776934 |0.23707176257609502 |298       
 [15, 4, 2, 1, 4]    |1.1284995017416886  |0.9859879710037319  |135       
 [15, 6, 4, 5, 0]    |0.3471260182157821  |0.2842027463067685  |200       
 [7, 8, 10, 17, 18]  |0.6088214481241403  |0.3008238977091785  |705       
 [13, 3, 13, 8, 0]   |0.6073406605307108  |0.47110917142316416 |254       
 [8, 5, 16, 5, 0]    |0.33238996318438335 |0.2573170205063415  |256       
 [11, 16, 12, 16, 6] |1.8916480187123854  |0.8971326165637151  |746       
 [15, 5, 5, 3, 0]    |0.27619172684400584 |0.2313878454024048  |177       
 [14, 11, 4, 4, 4]   |1.2041156565638986  |0.8920308181906659  |300       
 [20, 3, 2, 12, 18]  |0.3326233732101612  |0.2185491295638932  |420       
 [13, 6, 10, 1, 4]   |0.3132030595568213  |0.25210652911530473 |217       
 [17, 2, 8, 2, 5]    |0.3563844248963271  |0.3067429171819257  |150       
 [18, 6, 3, 7, 13]   |0.2515152251351572  |0.17991841983671664 |335       
 [13, 3, 11, 2, 5]   |1.8495382400478297  |1.5603903400779506  |170       
Increasing Epochs
Gen 3 Train time: 10.621663550535837 minutes:
 Average MSE:        0.7814367475814654
 Average Error:      1.0132805942224405
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 10, 6, 0]   |0.23300715771028865 |0.1946239378810124  |180       
 [12, 2, 7, 0, 0]    |0.2321324126726892  |0.2119410040439424  |91        
 [18, 6, 3, 7, 13]   |0.2871931020230149  |0.20544016401479898 |335       
 [17, 5, 6, 14, 10]  |0.31587581736826587 |0.20425090270466634 |436       
 [14, 4, 8, 2, 2]    |2.7188812159827265  |2.2961193941464595  |169       
 [17, 16, 4, 5, 7]   |0.3750088836820803  |0.23158563425352136 |482       
 [1, 6, 15, 4, 4]    |4.368774270387045   |3.54480262859357    |209       
 [11, 4, 12, 14, 3]  |5.188697539234638   |3.5768506618463904  |372       
 [16, 9, 4, 6, 9]    |0.3391141006485969  |0.24040779585928368 |344       
 [5, 8, 11, 14, 11]  |0.8606984895746687  |0.518398502725944   |507       
 [15, 4, 8, 5, 0]    |0.23291922688078842 |0.19069813403044922 |200       
 [12, 4, 7, 2, 2]    |2.085062964840315   |1.7982231774915998  |148       
 [15, 5, 5, 3, 0]    |0.2486314981416533  |0.20829844293874347 |177       
 [15, 3, 7, 5, 5]    |0.29902103230817073 |0.2455532708949515  |197       
 [18, 7, 10, 8, 9]   |0.2982613340045062  |0.1909420658631436  |446       
 [14, 5, 9, 19, 7]   |0.360759973044154   |0.2168515119477714  |509       
 [13, 7, 7, 2, 0]    |0.30181508519081884 |0.24415774911239815 |212       
 [12, 20, 7, 19, 0]  |0.42529496999484817 |0.22993185334856364 |615       
 [16, 2, 10, 6, 0]   |0.2961044256360781  |0.24609365661371768 |185       
 [15, 6, 6, 2, 10]   |0.2710618637675811  |0.21365169047450042 |238       
 [13, 9, 9, 4, 0]    |0.2548192217263953  |0.1887747224348483  |300       
 [17, 4, 6, 6, 5]    |1.14917088034741    |0.9075929523447297  |236       
 [13, 4, 9, 1, 2]    |3.4115402118724343  |2.915857265907115   |157       
 [10, 11, 11, 12, 12]|0.4336707057686605  |0.23895745024666706 |596       
 [11, 7, 10, 2, 0]   |0.34449847275318646 |0.27591411981785197 |222       
Increasing Epochs
Gen 4 Train time: 11.702398240566254 minutes:
 Average MSE:        0.4389154872517907
 Average Error:      0.5721373286319414
 Structure           |Error               |MSE                 |weights&biases
 [12, 2, 7, 0, 0]    |0.2276250011780013  |0.2078256575189814  |91        
 [15, 4, 8, 5, 0]    |0.24105043403733542 |0.19735540338916202 |200       
 [15, 2, 10, 6, 0]   |0.2790171788643104  |0.23305473797736925 |180       
 [17, 5, 6, 6, 7]    |0.2580072721416491  |0.19577925433151794 |276       
 [16, 11, 7, 12, 7]  |0.3494261122300581  |0.208991196568392   |514       
 [15, 4, 8, 5, 3]    |1.1144406692865514  |0.8979441890876823  |216       
 [12, 16, 15, 8, 8]  |0.5069173718289068  |0.2497219291991807  |708       
 [12, 10, 10, 8, 13] |0.33209469658195595 |0.20243526550375543 |495       
 [15, 5, 7, 4, 4]    |0.27267921799743927 |0.21795662577335656 |224       
 [15, 3, 9, 7, 3]    |0.2605033306326508  |0.20760051803695898 |227       
 [16, 5, 7, 10, 5]   |0.3053696550771856  |0.2226326328284499  |316       
 [15, 5, 10, 7, 5]   |0.30278136131043504 |0.22251866043467708 |308       
 [14, 2, 9, 3, 0]    |0.33870594290014033 |0.2965252294988595  |133       
 [15, 5, 9, 4, 5]    |0.28407217807124713 |0.22123563473068683 |250       
