/tmp/tmp.EA7QwfL9fW ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k5.mat
  Evaluating with: datasets/N6dataset100k5.mat
Gen 0 Train time: 8.441893708705901 minutes:
 Average MSE:        0.8381683346029695
 Average Error:      1.258047903427852
 Structure           |Error               |MSE                 |weights&biases
 [17, 13, 0, 0, 0]   |0.26246093212639987 |0.1946303738274155  |299       
 [11, 16, 13, 18, 18]|0.662832135187369   |0.22987180141295677 |1059      
 [6, 0, 0, 0, 0]     |1.8456498760629148  |1.8000806182580245  |25        
 [4, 7, 0, 0, 0]     |0.9747281865841309  |0.9225657518935121  |55        
 [9, 13, 20, 14, 1]  |7.311006625012074   |3.460388858073651   |748       
 [8, 18, 0, 0, 0]    |0.49079998330733976 |0.3998288892960914  |205       
 [10, 6, 18, 19, 0]  |0.4405456917985924  |0.24105235899201904 |603       
 [14, 3, 10, 0, 0]   |0.27277800894100673 |0.23761656672553463 |138       
 [13, 7, 3, 18, 20]  |0.4857730337584148  |0.2576859269832289  |634       
 [3, 13, 12, 8, 15]  |2.6857690673829477  |1.6552749335157686  |484       
 [18, 6, 9, 7, 13]   |0.3074778479990503  |0.20222947058089552 |419       
 [14, 0, 0, 0, 0]    |0.2730372761625645  |0.257909391779148   |57        
 [8, 20, 0, 0, 0]    |0.2976905237361095  |0.2377107113742567  |225       
 [11, 5, 0, 0, 0]    |0.2509321364322459  |0.22727995278227692 |99        
 [6, 20, 5, 10, 0]   |1.289326433083978   |0.9232270689352984  |334       
 [11, 20, 8, 16, 4]  |4.243378134179651   |2.197586432023483   |658       
 [1, 19, 0, 0, 0]    |1.343556419422085   |1.2640491033425416  |61        
 [17, 8, 0, 0, 0]    |0.22765671312732969 |0.18564548310351753 |204       
 [10, 15, 0, 0, 0]   |0.25919616018261027 |0.20989032875108307 |211       
 [9, 0, 0, 0, 0]     |0.643190862676016   |0.6198276848354468  |37        
 [12, 4, 13, 3, 0]   |0.2686155607918322  |0.22014385419451007 |199       
 [5, 0, 0, 0, 0]     |1.1476127846019528  |1.1237642026645986  |21        
 [14, 2, 5, 14, 0]   |0.2654468711117288  |0.22039352795464082 |186       
 [13, 14, 14, 7, 12] |0.435759177970193   |0.22544804801245383 |659       
 [1, 14, 17, 1, 7]   |4.765977144057758   |3.440107025761884   |326       
Gen 1 Train time: 8.702211558818817 minutes:
 Average MSE:        0.6018124858786074
 Average Error:      0.8791480665442865
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 0, 0, 0]    |0.244457143941782   |0.19934560225243889 |204       
 [11, 5, 0, 0, 0]    |0.22679224805891504 |0.20541542491563006 |99        
 [10, 15, 0, 0, 0]   |0.8550698053496109  |0.6924133537453357  |211       
 [14, 3, 8, 7, 0]    |0.27576214500291674 |0.22804402460597592 |190       
 [4, 1, 20, 16, 1]   |5.224874488934694   |3.4605612133468737  |412       
 [15, 9, 7, 2, 0]    |1.0381894547865773  |0.786217574239576   |278       
 [14, 2, 5, 2, 0]    |0.9387624114385991  |0.8477301995249917  |102       
 [11, 2, 7, 17, 0]   |0.26151636333450384 |0.207368386487357   |232       
 [16, 6, 5, 14, 0]   |0.2803877167591942  |0.21106652076164995 |284       
 [13, 6, 8, 11, 10]  |0.3724700128374256  |0.24743713064114062 |409       
 [15, 11, 7, 4, 6]   |0.3086700503260231  |0.21235786799739306 |374       
 [15, 8, 2, 9, 10]   |0.36675406455664367 |0.2639320014217947  |329       
 [11, 11, 16, 19, 9] |0.5671913854442505  |0.23762570965178353 |870       
 [15, 11, 7, 4, 2]   |3.0441471590565636  |2.145174246338218   |350       
 [13, 4, 0, 0, 0]    |0.31310577167774456 |0.283309818017047   |100       
 [17, 11, 15, 0, 0]  |0.33287284154198726 |0.21331299769196477 |445       
 [6, 15, 13, 15, 13] |3.6996102181011676  |1.725000719598362   |763       
 [10, 13, 0, 0, 0]   |0.4171644896498815  |0.34601447298250787 |187       
 [10, 15, 19, 0, 0]  |0.45603657695761984 |0.27139437434967945 |519       
 [12, 8, 0, 0, 0]    |0.23504687772192534 |0.2025091303986429  |149       
 [14, 2, 5, 0, 0]    |0.33437975274319215 |0.30468465733022726 |93        
 [2, 4, 4, 10, 9]    |1.3041210570537844  |1.0709319967583701  |197       
 [11, 10, 0, 0, 0]   |0.2654185117950201  |0.22527184434534084 |164       
 [15, 6, 13, 4, 7]   |0.34019330031457995 |0.24432858675890237 |331       
 [10, 11, 7, 2, 0]   |0.2757078162225657  |0.21386429280398062 |254       
Gen 2 Train time: 8.73978975613912 minutes:
 Average MSE:        0.4493208106715837
 Average Error:      0.5828608139424933
