/tmp/tmp.aTzH4S2AQG ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k7.mat
  Evaluating with: datasets/N6dataset100k7.mat
Gen 0 Train time: 8.5519211490949 minutes:
 Average MSE:        0.5685262973674063
 Average Error:      0.8360597145597437
 Structure           |Error               |MSE                 |weights&biases
 [18, 9, 0, 0, 0]    |0.22706021921711964 |0.17950719042336521 |235       
 [14, 0, 0, 0, 0]    |0.274668480430131   |0.2594502176562167  |57        
 [5, 9, 0, 0, 0]     |0.5311186865170718  |0.49077487096060873 |79        
 [17, 0, 0, 0, 0]    |0.309423152579024   |0.2887928837359114  |69        
 [14, 3, 11, 12, 16] |0.38669432700283113 |0.23454196526415996 |500       
 [18, 0, 0, 0, 0]    |0.2934385491212906  |0.2727807188247161  |73        
 [12, 16, 20, 0, 0]  |0.4436123409787085  |0.2422453547502475  |605       
 [5, 0, 0, 0, 0]     |1.3107736904299245  |1.2835344559276802  |21        
 [7, 5, 17, 0, 0]    |0.41072336374720403 |0.34272209735313947 |181       
 [20, 3, 17, 20, 6]  |1.7825845015957353  |0.8994824635180827  |684       
 [4, 17, 11, 0, 0]   |1.3009756813731814  |0.9570635417679043  |307       
 [5, 0, 0, 0, 0]     |1.232563994031565   |1.2069500380011866  |21        
 [1, 5, 0, 0, 0]     |2.2947345942654915  |2.251546225717919   |19        
 [10, 9, 4, 4, 0]    |0.27838285255925194 |0.22929223692326164 |194       
 [19, 17, 7, 18, 0]  |0.4395569060604079  |0.22135487609675453 |686       
 [18, 10, 2, 2, 0]   |0.4200765064887561  |0.3190784039505917  |275       
 [20, 11, 9, 2, 0]   |0.2665970767835485  |0.17481677804975979 |422       
 [20, 16, 7, 13, 9]  |0.5407123671523828  |0.25414055207769576 |755       
 [19, 16, 18, 4, 2]  |4.7211966422285165  |2.181608160970364   |772       
 [11, 3, 20, 13, 0]  |0.35906654572897345 |0.23217879325876237 |436       
 [11, 17, 16, 20, 19]|0.9407502359787043  |0.26051949111019895 |1284      
 [9, 6, 4, 0, 0]     |0.2641692328324732  |0.23429709135101356 |120       
 [10, 14, 16, 3, 0]  |1.0876284558140734  |0.6736797679538294  |479       
 [12, 4, 0, 0, 0]    |0.26173494106911543 |0.23849117710257137 |93        
 [13, 13, 15, 8, 5]  |0.5232495200081072  |0.28430808143921993 |610       
Gen 1 Train time: 8.842676119009655 minutes:
 Average MSE:        0.3899246998522275
 Average Error:      0.5592213195147367
 Structure           |Error               |MSE                 |weights&biases
 [18, 9, 0, 0, 0]    |0.2750950845560413  |0.21748215472615842 |235       
 [12, 4, 0, 0, 0]    |0.2728184073661188  |0.24859035955315215 |93        
 [9, 6, 4, 0, 0]     |0.3460530572970521  |0.30692152870520895 |120       
 [14, 5, 2, 2, 0]    |0.2772881953487977  |0.24154538420489105 |138       
 [18, 15, 11, 3, 0]  |0.3651892220007808  |0.2096450024385555  |555       
 [12, 6, 8, 8, 8]    |0.35503149199000866 |0.2570335176779982  |323       
 [14, 5, 2, 20, 0]   |0.29098894550184085 |0.23587105497526956 |210       
 [14, 8, 2, 0, 0]    |0.4445186272713676  |0.37018095742356016 |183       
 [9, 6, 11, 0, 0]    |0.3186298913269815  |0.26720875689554424 |176       
 [10, 20, 4, 3, 17]  |0.5191386092708753  |0.336020079097067   |435       
 [19, 13, 4, 7, 5]   |0.3664058275714498  |0.23269801445131258 |454       
 [5, 3, 13, 14, 20]  |3.2084651004324716  |1.7573248144960367  |602       
 [19, 10, 5, 1, 0]   |1.2007365562190837  |0.8719136940776673  |320       
 [15, 18, 0, 0, 0]   |0.2868082786825769  |0.2017065612157071  |352       
 [16, 5, 0, 0, 0]    |0.20062374721543877 |0.1745884080011979  |139       
 [12, 5, 2, 2, 0]    |0.2729283114779908  |0.24158204962292035 |122       
 [16, 18, 8, 6, 16]  |0.46208815181707497 |0.2320042470339753  |689       
 [13, 13, 4, 7, 5]   |1.0729961580115517  |0.7501027236513234  |358       
 [20, 11, 9, 2, 0]   |0.31426974675540004 |0.20607737049907246 |422       
 [9, 4, 4, 12, 0]    |0.3215908229047342  |0.274041622326802   |160       
 [10, 8, 4, 2, 0]    |1.334106039624362   |1.1289200122127308  |167       
 [20, 7, 16, 8, 15]  |0.4720150796566883  |0.2534105582863836  |622       
 [15, 5, 10, 0, 0]   |0.21528336058183092 |0.17696555632090066 |196       
 [14, 3, 11, 12, 16] |0.43976840853787047 |0.26673302295124945 |500       
 [16, 5, 7, 0, 0]    |0.347695866450028   |0.2895500454609997  |183       
Gen 2 Train time: 8.784167202313741 minutes:
 Average MSE:        0.5079495793016529
 Average Error:      0.6665014195527484
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 0, 0, 0]    |0.19881833292821843 |0.1730172858854798  |139       
 [15, 5, 10, 0, 0]   |0.2692491577295096  |0.2213261018304537  |196       
 [12, 4, 0, 0, 0]    |0.26669705060465326 |0.24301261905911092 |93        
 [6, 8, 17, 19, 18]  |1.0790348558854457  |0.4181424937680106  |948       
 [16, 8, 6, 2, 0]    |0.3622957575991473  |0.2807489597048879  |255       
 [7, 6, 8, 7, 16]    |1.2968756988514916  |0.9295618464615913  |333       
 [9, 5, 4, 6, 0]     |0.26747593261149744 |0.23299793497136273 |138       
