/tmp/tmp.lnoO5HRB7X ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k4.mat
  Evaluating with: datasets/N7dataset100k4.mat
Gen 0 Train time: 8.685620427131653 minutes:
 Average MSE:        1.0648578930084718
 Average Error:      1.528815214794266
 Structure           |Error               |MSE                 |weights&biases
 [11, 4, 8, 0, 0]    |0.23157993143198544 |0.2033492796833233  |130       
 [13, 20, 12, 18, 0] |0.5526321905420555  |0.24242506775369996 |824       
 [6, 9, 12, 16, 0]   |0.6005248195887095  |0.3922125735224566  |426       
 [4, 19, 14, 2, 3]   |4.422894858145695   |2.8771333302287676  |430       
 [13, 12, 0, 0, 0]   |0.23219789357873438 |0.18634317444422543 |220       
 [7, 6, 18, 0, 0]    |0.4233335111639367  |0.3417776265641856  |214       
 [6, 6, 6, 10, 0]    |0.3243285057946542  |0.27009045162358064 |183       
 [3, 0, 0, 0, 0]     |3.0036718398354254  |2.9648768199087465  |13        
 [5, 0, 0, 0, 0]     |1.5662527494822593  |1.5337043956020873  |21        
 [18, 13, 1, 20, 2]  |5.256825602875547   |3.5237555801208638  |400       
 [3, 7, 17, 11, 0]   |1.697586677662492   |1.1574364944863358  |383       
 [2, 19, 18, 7, 3]   |6.315172280678559   |3.521739475111965   |584       
 [15, 19, 20, 20, 0] |0.5722412772543933  |0.1740879647174768  |1190      
 [19, 11, 0, 0, 0]   |0.2250607495005034  |0.16857324833294976 |289       
 [12, 4, 19, 4, 17]  |0.3569233903770842  |0.24752737104379108 |366       
 [3, 2, 9, 0, 0]     |2.454149648290262   |2.32514017095029    |54        
 [15, 14, 14, 0, 0]  |0.31332439944471074 |0.19118452741459055 |494       
 [2, 8, 17, 17, 6]   |4.245060940914949   |2.3204384980261765  |604       
 [10, 0, 0, 0, 0]    |1.116925236793206   |1.0720573782479623  |41        
 [19, 2, 4, 10, 8]   |0.3062237132677953  |0.237060628280004   |256       
 [13, 12, 9, 4, 0]   |0.26147473296372165 |0.18079027456182606 |369       
 [14, 10, 0, 0, 0]   |0.21452636714131307 |0.17511320570953579 |203       
