/tmp/tmp.7EsvpUWIx6 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k0.mat
  Evaluating with: datasets/N8dataset100k0.mat
Gen 0 Train time: 8.447713112831115 minutes:
 Average MSE:        0.6136281851159108
 Average Error:      0.8017438567832087
 Structure           |Error               |MSE                 |weights&biases
 [17, 20, 7, 18, 18] |0.6085166916759475  |0.2101926188440625  |1063      
 [14, 0, 0, 0, 0]    |0.2654998691455305  |0.2507896018124561  |57        
 [18, 0, 0, 0, 0]    |0.3359822163824139  |0.31232934722299743 |73        
 [9, 0, 0, 0, 0]     |0.5458009073373311  |0.5259753090528461  |37        
 [14, 4, 9, 8, 14]   |0.3178645203032541  |0.21999949595112844 |368       
 [5, 6, 0, 0, 0]     |0.5460894034902857  |0.5153172368994007  |58        
 [11, 13, 7, 12, 0]  |0.2675991601276781  |0.18009602659314822 |396       
 [8, 1, 3, 3, 18]    |0.4046482102758801  |0.3510813886343354  |142       
 [8, 14, 0, 0, 0]    |0.25799650281816994 |0.2187536104162265  |165       
 [20, 6, 12, 1, 0]   |0.2365711694544633  |0.17790489159076253 |285       
 [10, 0, 0, 0, 0]    |0.47650819680173473 |0.4573664479492036  |41        
 [11, 9, 16, 11, 3]  |4.790658021986865   |2.82545037338235    |528       
 [9, 3, 2, 10, 0]    |0.31630342377064086 |0.28449109561011854 |106       
 [2, 17, 1, 17, 0]   |3.2581297279514767  |2.86954456109668    |127       
 [17, 0, 0, 0, 0]    |0.2416903618205253  |0.22557606300485028 |69        
 [8, 2, 16, 2, 0]    |2.627042612392216   |2.313724888081426   |127       
 [16, 0, 0, 0, 0]    |0.4310729252738083  |0.40394441261700453 |65        
 [14, 0, 0, 0, 0]    |0.32882064786236004 |0.31060203385604324 |57        
 [18, 13, 13, 6, 0]  |0.3032744496005513  |0.17082474873980902 |574       
 [10, 7, 5, 11, 0]   |0.2581887156709116  |0.20616787696387623 |225       
 [14, 3, 14, 8, 0]   |0.4820216895063195  |0.36723027808811215 |272       
 [7, 9, 13, 4, 9]    |0.5187467542485577  |0.37145057539776793 |334       
 [17, 0, 0, 0, 0]    |0.22208659096592995 |0.207279340636117   |69        
