/tmp/tmp.xYwT2fykvp ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k5.mat
  Evaluating with: datasets/N8dataset100k5.mat
Gen 0 Train time: 8.807607142130534 minutes:
 Average MSE:        1.0072949121581187
 Average Error:      1.3587004320032452
 Structure           |Error               |MSE                 |weights&biases
 [19, 13, 2, 1, 0]   |0.2118441191953513  |0.14928402767391552 |350       
 [15, 19, 2, 7, 5]   |0.30619164957374045 |0.1940685043038667  |456       
 [1, 0, 0, 0, 0]     |3.5334705973935985  |3.515847339267053   |5         
 [2, 2, 6, 17, 5]    |3.062743072912284   |2.3972229026372895  |245       
 [12, 15, 15, 16, 0] |0.48617654525743803 |0.23103560198267298 |744       
 [13, 4, 0, 0, 0]    |0.22299575304822258 |0.20177490142113816 |100       
 [9, 16, 7, 0, 0]    |0.30713736545444514 |0.2243696897232274  |314       
 [10, 11, 9, 0, 0]   |0.24778276972262586 |0.1893415323493753  |269       
 [13, 8, 20, 17, 0]  |1.800047869114765   |0.8885301116762451  |706       
 [10, 1, 20, 9, 12]  |1.304419654772626   |0.8717594378800074  |403       
 [5, 7, 11, 20, 18]  |3.3887556311670477  |1.5503222050487637  |782       
 [2, 10, 12, 18, 20] |2.9591181995319205  |1.325634640050232   |803       
 [16, 15, 19, 5, 19] |0.38552661862558324 |0.16626954561458782 |841       
 [4, 20, 5, 20, 2]   |5.143849630934677   |3.5106519275452883  |382       
 [6, 17, 5, 1, 16]   |0.3709352083354671  |0.2797866663142417  |282       
 [18, 11, 1, 0, 0]   |0.28257050650579396 |0.2142038432075113  |277       
 [17, 3, 17, 5, 0]   |0.2523583163069608  |0.19283790541269902 |269       
 [11, 13, 0, 0, 0]   |0.40764273557581426 |0.3327498953257506  |203       
 [2, 0, 0, 0, 0]     |2.998171979450299   |2.9713094941406704  |9         
 [15, 11, 20, 0, 0]  |0.3178220344433563  |0.19627006353456763 |482       
 [18, 15, 15, 2, 7]  |0.3754445728531527  |0.19796907891354582 |640       
 [15, 0, 0, 0, 0]    |0.4527129921926616  |0.42592290400339133 |61        
 [3, 4, 4, 0, 0]     |1.8102164254230446  |1.7219311285769023  |50        
 [3, 0, 0, 0, 0]     |3.049266896283856   |3.009882976764347   |13        
 [11, 4, 8, 14, 0]   |0.2903096560063965  |0.22339648058567635 |262       
Gen 1 Train time: 9.028651932875315 minutes:
 Average MSE:        0.4697200406948863
 Average Error:      0.6285713961701813
 Structure           |Error               |MSE                 |weights&biases
 [19, 13, 2, 1, 0]   |0.28143342663787313 |0.1983227838004345  |350       
 [13, 4, 0, 0, 0]    |0.2384245783946401  |0.21573547991091835 |100       
 [10, 11, 9, 0, 0]   |0.25454465600583437 |0.19450858214814915 |269       
 [13, 10, 12, 3, 0]  |0.26177429729134816 |0.1837328263658462  |354       
 [14, 13, 12, 1, 4]  |0.47211179186197644 |0.3068060548233393  |431       
 [17, 3, 17, 5, 0]   |0.25075045765214415 |0.19160927106558528 |269       
 [6, 10, 1, 4, 3]    |2.034827596864816   |1.7939342200406414  |126       
 [4, 9, 3, 1, 8]     |1.4413291755812472  |1.2834679194708731  |116       
 [15, 9, 5, 8, 0]    |0.23759707143259898 |0.1767217146659797  |296       
 [7, 10, 12, 3, 0]   |1.4943548193830516  |1.133935760093239   |276       
 [14, 2, 0, 0, 0]    |0.17143913014324896 |0.1590515362922323  |75        
 [16, 9, 1, 1, 11]   |0.26923014547388796 |0.21030662255502622 |247       
 [13, 13, 14, 3, 10] |0.2682958782518802  |0.16062788151044202 |513       
 [18, 14, 11, 3, 10] |0.2945653978715656  |0.1662513903517572  |572       
 [14, 15, 5, 1, 0]   |2.6568589732176813  |1.862918954370634   |355       
 [11, 13, 12, 8, 0]  |0.33390867555416376 |0.20869367962062474 |470       
 [13, 15, 4, 1, 8]   |0.3095713959436375  |0.21968369176764013 |343       
 [14, 11, 5, 0, 0]   |0.1883720980789592  |0.14336864523842607 |273       
 [11, 9, 4, 7, 0]    |0.22341490388382285 |0.17857891391801664 |224       
 [10, 14, 8, 0, 0]   |0.45598579893621505 |0.33343957560475906 |313       
 [14, 12, 1, 4, 3]   |1.0787759176182476  |0.8301299607174972  |262       
 [13, 15, 6, 4, 3]   |0.4798573994897431  |0.324241618949667   |392       
 [15, 4, 9, 3, 8]    |0.27684961544434955 |0.2210689080896096  |225       
 [19, 19, 2, 1, 0]   |1.3645256433041906  |0.8426588017250627  |482       
 [11, 19, 12, 8, 0]  |0.3754860599374109  |0.2032062242757524  |614       
Gen 2 Train time: 9.067946251233419 minutes:
 Average MSE:        0.3546820550258466
 Average Error:      0.48509353746352013
 Structure           |Error               |MSE                 |weights&biases
 [14, 2, 0, 0, 0]    |0.9713819306890297  |0.9011932589340012  |75        
 [14, 11, 5, 0, 0]   |0.19965536034808476 |0.15195625477238323 |273       
 [11, 9, 4, 7, 0]    |0.24959280654868624 |0.19950330770409008 |224       
 [13, 11, 9, 8, 0]   |0.28340340147408194 |0.19188022122419046 |390       
 [15, 4, 9, 3, 0]    |0.20562278747798313 |0.1703820658464367  |188       
 [13, 10, 5, 4, 0]   |0.22179402991223482 |0.17050236336701965 |263       
 [13, 15, 6, 4, 3]   |0.26399940486236695 |0.17838548394865825 |392       
 [12, 17, 8, 5, 4]   |1.4001502208764711  |0.8707324991692745  |475       
 [12, 8, 5, 0, 0]    |0.19512292082668656 |0.16119740359017107 |191       
 [13, 9, 5, 8, 0]    |0.24175321253946702 |0.18418071510535008 |272       
 [15, 6, 3, 4, 0]    |0.1889898368007493  |0.1573847178456138  |183       
 [15, 11, 8, 2, 11]  |0.2451598170403834  |0.16765533796347992 |380       
 [14, 7, 13, 3, 0]   |0.22655422254387417 |0.1683397585365401  |297       
 [14, 15, 9, 6, 0]   |0.27533105636661515 |0.17071136646580193 |478       
 [16, 9, 15, 1, 0]   |2.2113213265167886  |1.5289637558243914  |369       
 [13, 12, 11, 6, 4]  |0.36271725808488586 |0.23012522733170887 |455       
 [17, 8, 1, 1, 0]    |1.0929951207876072  |0.8877383281955102  |208       
 [15, 7, 7, 6, 4]    |0.34746832465200006 |0.2589599738843201  |294       
 [16, 6, 11, 7, 0]   |0.23896635660859944 |0.17369880172561003 |319       
 [14, 7, 3, 0, 0]    |0.2484165782652297  |0.20853504070021037 |175       
 [3, 1, 20, 8, 14]   |1.379234077644237   |0.9603363693901905  |362       
 [12, 7, 5, 17, 0]   |0.21706692909910053 |0.1629112762315192  |287       
 [12, 13, 7, 1, 4]   |0.3212366348058763  |0.23233447398463491 |324       
 [13, 15, 9, 4, 0]   |0.290040457030002   |0.18717058499317354 |438       
 [14, 9, 3, 4, 6]    |0.24936436478695892 |0.19227278891188365 |260       
Increasing Epochs
Gen 3 Train time: 10.736552647749583 minutes:
 Average MSE:        0.5542905262585596
 Average Error:      0.7339868022591325
 Structure           |Error               |MSE                 |weights&biases
 [15, 6, 3, 4, 0]    |0.1846225738886768  |0.1537478003647082  |183       
 [12, 8, 5, 0, 0]    |0.1860636006803052  |0.15371320399075078 |191       
 [14, 11, 5, 0, 0]   |0.23317030423323784 |0.1774642368411617  |273       
 [15, 8, 3, 4, 3]    |0.231415385140205   |0.18295025764745293 |235       
 [13, 10, 10, 2, 14] |0.28311639039481634 |0.19594971820994664 |368       
 [14, 11, 7, 3, 6]   |0.23811019379192133 |0.16846593541513336 |346       
 [13, 12, 7, 6, 0]   |0.3565852201360635  |0.25052864316300133 |353       
 [12, 10, 7, 8, 9]   |0.4123725520057288  |0.2769749844323254  |398       
 [14, 10, 5, 2, 2]   |0.8960492059107245  |0.6853950098521555  |268       
 [14, 13, 7, 2, 0]   |1.2014704572284298  |0.8432820379456745  |354       
 [13, 10, 4, 5, 6]   |0.27268106861316316 |0.20383337388706627 |291       
 [20, 8, 13, 14, 9]  |0.3176077579184445  |0.15994294466105707 |686       
 [15, 5, 13, 4, 11]  |0.29224633179663095 |0.2109449182986986  |326       
 [15, 10, 15, 7, 7]  |0.29480316420767816 |0.17076833871705474 |546       
 [14, 10, 9, 4, 0]   |0.32280033182758067 |0.2306805756890796  |336       
 [1, 9, 5, 1, 7]     |3.257424230728191   |2.950388243921276   |99        
 [14, 10, 4, 10, 3]  |1.3956757847955985  |1.0104327773664346  |323       
 [3, 10, 9, 2, 0]    |2.1201519033127942  |1.7869097631489388  |171       
 [13, 12, 8, 5, 2]   |3.1455024085077317  |2.170534880149339   |371       
 [14, 5, 5, 18, 0]   |0.2184548291055126  |0.16609821356455573 |274       
 [13, 14, 7, 3, 4]   |0.27988944680913425 |0.19045095214822547 |385       
 [6, 11, 9, 11, 10]  |0.4420108184719026  |0.2835346556813071  |444       
 [14, 11, 5, 2, 0]   |0.2441644172157372  |0.18416679460518845 |282       
 [19, 11, 8, 5, 12]  |0.28588507772229416 |0.172878650110107   |503       
 [14, 13, 6, 2, 2]   |1.2373966020358083  |0.8772262466533526  |344       
Increasing Epochs
Gen 4 Train time: 12.220697470506032 minutes:
 Average MSE:        0.43907868972603903
 Average Error:      0.6243649221692319
 Structure           |Error               |MSE                 |weights&biases
 [15, 6, 3, 4, 0]    |0.18689528184962503 |0.15564043918187606 |183       
 [12, 8, 5, 0, 0]    |0.23934905639493637 |0.19773405543109485 |191       
 [14, 5, 5, 18, 0]   |0.20832936794263512 |0.15839950066561165 |274       
 [14, 10, 6, 11, 2]  |3.8753958103368054  |2.69836977114539    |362       
 [15, 10, 5, 1, 0]   |1.0989591170413988  |0.840602379738899   |268       
 [15, 6, 8, 4, 8]    |0.2438647267429791  |0.18394074596808174 |282       
