/tmp/tmp.Z6q8Y9CaR5 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k7.mat
  Evaluating with: datasets/N8dataset100k7.mat
Gen 0 Train time: 8.069492133458455 minutes:
 Average MSE:        0.9874548393818526
 Average Error:      1.2585426636105297
 Structure           |Error               |MSE                 |weights&biases
 [11, 11, 11, 0, 0]  |0.2536114278449886  |0.18619663338269382 |309       
 [5, 8, 16, 9, 0]    |1.3287749434090261  |0.9178304711033224  |370       
 [10, 6, 3, 0, 0]    |1.0781879408080353  |0.9553111303794324  |121       
 [8, 17, 17, 0, 0]   |0.44627786960254345 |0.2704106647500172  |501       
 [5, 0, 0, 0, 0]     |1.8681905403746282  |1.8293676065641027  |21        
 [2, 19, 18, 0, 0]   |3.6013163593836444  |2.3147447771538783  |442       
 [15, 12, 12, 1, 0]  |1.229344958728118   |0.8174884323409959  |408       
 [9, 2, 9, 1, 3]     |2.409100092556756   |2.1929622867670515  |94        
 [17, 0, 0, 0, 0]    |0.23531171613000484 |0.2196227027991217  |69        
 [15, 19, 11, 1, 5]  |1.5064324010492192  |0.8292315976644236  |597       
 [9, 5, 5, 12, 0]    |0.2973384372011954  |0.24539545448872935 |192       
 [15, 9, 11, 0, 0]   |0.23306719145297924 |0.17077156518749217 |311       
 [16, 18, 0, 0, 0]   |0.2589702548411595  |0.17834381084984569 |373       
 [18, 17, 0, 0, 0]   |0.2926177274893496  |0.19713072213993948 |395       
 [6, 2, 9, 0, 0]     |0.20768756688671225 |0.19384034729589464 |69        
 [6, 0, 0, 0, 0]     |1.7606374325275582  |1.7171671394322423  |25        
 [3, 7, 6, 0, 0]     |1.2382832076219552  |1.1294444902671978  |92        
 [16, 0, 0, 0, 0]    |0.2573453247233517  |0.24114993065054535 |65        
 [4, 5, 9, 0, 0]     |0.6415205671346083  |0.579891631908646   |101       
 [8, 0, 0, 0, 0]     |1.5272314584211055  |1.4776553254398128  |33        
 [1, 1, 14, 0, 0]    |3.099482211718921   |2.9542212184350154  |48        
 [2, 7, 2, 18, 13]   |3.2696903542345535  |2.2857524902539255  |358       
 [13, 13, 0, 0, 0]   |0.24341712674312962 |0.1924384847035016  |235       
 [2, 11, 15, 17, 0]  |3.9563333135025696  |2.3781376120054323  |509       
 [13, 0, 0, 0, 0]    |0.2233961658771336  |0.2118644585830535  |53        
Gen 1 Train time: 8.290893574555716 minutes:
 Average MSE:        0.3972633701974928
 Average Error:      0.4898392145696734
 Structure           |Error               |MSE                 |weights&biases
 [6, 2, 9, 0, 0]     |0.407119286820895   |0.3799752923643512  |69        
 [13, 0, 0, 0, 0]    |0.3299246465949825  |0.3128939404559673  |53        
 [15, 9, 11, 0, 0]   |0.22012740194662325 |0.16129040186535676 |311       
 [9, 11, 11, 4, 0]   |1.189895680808541   |0.8623152465633174  |322       
 [15, 9, 0, 0, 0]    |0.20390441335102208 |0.16710984021194292 |199       
 [12, 10, 5, 0, 0]   |0.288846007406607   |0.23018738618385667 |227       
 [12, 18, 9, 0, 0]   |0.2768130717478541  |0.17632739169853986 |451       
 [15, 16, 0, 0, 0]   |0.27762085606408543 |0.20199770899427563 |318       
 [9, 7, 0, 0, 0]     |0.28707124445924487 |0.2584572811160148  |105       
 [7, 9, 9, 0, 0]     |0.3050713388837907  |0.2515258197361686  |193       
 [4, 0, 0, 0, 0]     |1.1868707296300427  |1.1668644623138038  |17        
 [14, 11, 3, 6, 18]  |0.25547286132080954 |0.16920587792526942 |412       
 [9, 5, 5, 12, 0]    |0.6441443537223644  |0.5316167594272032  |192       
 [16, 20, 3, 16, 12] |0.3817633597634051  |0.18360761247192375 |732       
 [12, 1, 5, 0, 0]    |0.18920961591774418 |0.17730217483465333 |65        
 [11, 5, 6, 0, 0]    |0.19998416812531364 |0.17455470776256538 |136       
 [13, 20, 0, 0, 0]   |0.26504052639909503 |0.18864798102025584 |340       
 [2, 12, 7, 3, 3]    |3.427129050645185   |2.8826871554244087  |173       
 [14, 13, 6, 0, 0]   |0.3033670619803629  |0.21853441284729952 |328       
 [10, 8, 5, 7, 0]    |0.22215560246331645 |0.17953641354775562 |213       
 [10, 1, 5, 0, 0]    |0.3090851799233017  |0.2919600278846356  |57        
 [11, 10, 5, 0, 0]   |0.244402698779192   |0.19731812415456554 |214       
