/tmp/tmp.zGJC497XiW ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k0.mat
  Evaluating with: datasets/N9dataset100k0.mat
Gen 0 Train time: 8.539333295822143 minutes:
 Average MSE:        0.9499939456713576
 Average Error:      1.250694054400366
 Structure           |Error               |MSE                 |weights&biases
 [8, 8, 14, 10, 20]  |0.6103327836531968  |0.3306314646979799  |613       
 [5, 19, 20, 0, 0]   |1.6409373899261572  |0.9467385159641472  |550       
 [3, 0, 0, 0, 0]     |2.465528358241259   |2.4336839268625625  |13        
 [14, 0, 0, 0, 0]    |0.7568950614597876  |0.7149585861877255  |57        
 [8, 11, 7, 9, 0]    |0.27945143984417964 |0.20931253926064036 |289       
 [5, 18, 16, 6, 0]   |1.6749719923648432  |0.9799991684493211  |536       
 [6, 16, 19, 1, 0]   |4.68789510196923    |2.9153319101902255  |475       
 [2, 8, 0, 0, 0]     |0.49212460728903745 |0.47330119004860904 |39        
 [4, 5, 0, 0, 0]     |0.46263527790609676 |0.4431636021530762  |43        
 [8, 14, 7, 0, 0]    |0.3642093455654879  |0.2799829833284692  |263       
 [3, 0, 0, 0, 0]     |2.428037444218844   |2.3966772404236276  |13        
 [8, 18, 14, 13, 19] |0.8763314528952421  |0.34472410114085345 |933       
 [1, 2, 3, 17, 0]    |2.698704290079528   |2.437009725157391   |102       
 [6, 18, 15, 18, 0]  |0.4781785733349974  |0.22906006164909187 |736       
 [20, 0, 0, 0, 0]    |0.2178912553783698  |0.20093794113087865 |81        
 [2, 11, 0, 0, 0]    |1.9076157546586572  |1.8127665632237413  |51        
 [5, 12, 7, 7, 2]    |4.596750192224847   |3.5692288850296863  |253       
 [13, 19, 5, 18, 0]  |0.25639961977868975 |0.15061655587958403 |532       
 [13, 8, 20, 10, 20] |0.931136491115755   |0.42598574085166485 |782       
 [10, 20, 8, 7, 5]   |1.480885630464281   |0.8742755379216753  |527       
 [10, 5, 5, 10, 0]   |0.827457874849245   |0.6870164244471928  |186       
 [14, 0, 0, 0, 0]    |0.36537422745941933 |0.3451303283575426  |57        
 [17, 3, 2, 9, 5]    |0.23706311464154523 |0.19486878062626772 |196       
 [13, 12, 0, 0, 0]   |0.22741413389228615 |0.18250411737091563 |220       
 [17, 17, 11, 0, 0]  |0.3031299467981642  |0.17194275143107335 |567       
Gen 1 Train time: 8.84717915058136 minutes:
 Average MSE:        0.5213313551658683
 Average Error:      0.6988862723374463
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.26373875767633553 |0.2432182185185548  |81        
 [13, 12, 0, 0, 0]   |0.2297891736090451  |0.18441013138952217 |220       
 [17, 3, 2, 9, 5]    |1.0553971983665253  |0.8675494095023648  |196       
 [11, 12, 4, 5, 0]   |0.2240677489720095  |0.17276779317230334 |260       
 [14, 9, 7, 7, 10]   |0.2860650993560802  |0.19290916009959838 |394       
 [8, 11, 11, 9, 0]   |0.3610839203641042  |0.2486659420937542  |373       
 [9, 10, 6, 5, 0]    |0.2499622825046987  |0.1978106057883233  |234       
 [14, 6, 4, 15, 0]   |0.2367214617927641  |0.18417459310290943 |251       
 [16, 2, 1, 5, 3]    |3.3328184585770493  |2.9648259522518474  |117       
 [11, 12, 2, 5, 0]   |0.2853273427635219  |0.2280664633202784  |224       
 [9, 10, 12, 5, 0]   |0.2961757234463712  |0.21292775685196688 |330       
 [20, 20, 20, 16, 18]|0.8597576327573254  |0.18048551534430388 |1561      
 [11, 13, 4, 0, 0]   |0.25753150074519776 |0.20056573444591413 |250       
