/tmp/tmp.FIsEKGb4tD ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k3.mat
  Evaluating with: datasets/N9dataset100k3.mat
Gen 0 Train time: 8.22517796754837 minutes:
 Average MSE:        1.306209518911635
 Average Error:      1.5982278989209435
 Structure           |Error               |MSE                 |weights&biases
 [10, 4, 18, 8, 2]   |4.92039448246192    |3.512713116838134   |337       
 [17, 4, 20, 17, 0]  |0.29072428805688405 |0.15987229724371904 |598       
 [3, 0, 0, 0, 0]     |3.5617763728240237  |3.5157729501046986  |13        
 [14, 7, 14, 4, 6]   |0.3050774433572873  |0.21369839612315084 |356       
 [4, 13, 2, 3, 0]    |2.5185609713350674  |2.238235193494711   |118       
 [11, 20, 20, 6, 0]  |0.5690551017522583  |0.24913060301868944 |826       
 [1, 0, 0, 0, 0]     |3.545855936620914   |3.528170906357267   |5         
 [4, 0, 0, 0, 0]     |1.8821951987211534  |1.850468322872851   |17        
 [9, 18, 15, 0, 0]   |0.39367481988437725 |0.23687326192327954 |508       
 [13, 7, 0, 0, 0]    |0.22189248406460216 |0.1919419453896008  |145       
 [6, 0, 0, 0, 0]     |1.4392617367295204  |1.4037262378354138  |25        
 [7, 13, 0, 0, 0]    |0.2606260064446979  |0.226804055753317   |139       
 [18, 15, 0, 0, 0]   |0.20801076455541329 |0.1458516240077668  |355       
 [9, 4, 5, 0, 0]     |0.975814418701773   |0.8847210729832321  |98        
 [11, 0, 0, 0, 0]    |0.4218887086679904  |0.4033245431004171  |45        
 [14, 19, 5, 15, 0]  |0.26576395005318637 |0.15596139504887835 |533       
 [18, 18, 11, 0, 0]  |0.26248098851263973 |0.14162442434468292 |617       
 [6, 15, 13, 20, 2]  |6.7679438427964325  |3.5120409116578912  |656       
 [16, 7, 0, 0, 0]    |0.20006717209896072 |0.16794779224391385 |175       
 [16, 12, 8, 16, 0]  |0.2540407413779692  |0.15148621841923654 |517       
 [1, 1, 14, 5, 13]   |3.7291305010349434  |3.053153823438411   |200       
 [9, 0, 0, 0, 0]     |0.44576593242099694 |0.4295739910257336  |37        
 [8, 3, 1, 1, 0]     |2.816845949613046   |2.655459744372977   |59        
 [4, 0, 0, 0, 0]     |2.4458723453117286  |2.404643949716401   |17        
 [6, 0, 0, 0, 0]     |1.2529773156258004  |1.2220411954764958  |25        
Gen 1 Train time: 8.851559472084045 minutes:
 Average MSE:        0.6988938855081095
 Average Error:      0.985022695261676
 Structure           |Error               |MSE                 |weights&biases
 [16, 7, 0, 0, 0]    |0.2073377893181526  |0.17405116291388997 |175       
 [18, 15, 0, 0, 0]   |0.2096906762095428  |0.14702953344657899 |355       
 [13, 7, 0, 0, 0]    |0.1850309574642824  |0.1600559031222296  |145       
 [14, 13, 3, 8, 0]   |0.22635243580897427 |0.16436560330197109 |320       
 [17, 15, 10, 8, 0]  |0.28144419427014256 |0.1578956203109721  |578       
 [5, 15, 4, 15, 9]   |2.4003729489693444  |1.6122393620497877  |398       
 [14, 7, 7, 2, 3]    |1.0621901289706632  |0.8422595449819138  |232       
 [17, 14, 4, 8, 0]   |0.1990510805930062  |0.13183636285115546 |412       
 [15, 9, 6, 16, 0]   |0.2570445870992846  |0.17613479111149472 |378       
 [3, 2, 3, 8, 0]     |1.7810776283096208  |1.6656552512034442  |67        
 [18, 15, 16, 0, 0]  |0.2656435675074792  |0.14404927642567342 |612       
 [13, 13, 8, 0, 0]   |0.20887065817719946 |0.14837089705259787 |342       
 [10, 4, 12, 0, 0]   |0.2276274279001815  |0.19650938760099415 |147       
 [16, 17, 3, 8, 0]   |0.2551376172965967  |0.1656377334940572  |432       
 [16, 13, 13, 2, 3]  |1.3803159069403457  |0.8439284110994343  |492       
 [7, 7, 0, 0, 0]     |0.2930523349886464  |0.2691721696596027  |85        
 [15, 7, 3, 2, 3]    |1.9179356915780486  |1.5671355257078095  |202       
 [15, 10, 4, 8, 0]   |0.28889947461495175 |0.2144504670591068  |298       
 [7, 13, 1, 2, 0]    |1.1466531063790695  |0.9908891147580725  |146       
 [11, 1, 9, 17, 2]   |4.6131837632547     |3.5145737072260452  |272       
 [18, 15, 6, 0, 0]   |0.2297552858631988  |0.14767512623255238 |442       
 [14, 6, 4, 8, 0]    |0.18687280899049352 |0.1516277068861877  |209       
 [16, 12, 13, 16, 0] |0.4111969135670211  |0.21210304294106921 |662       
 [15, 7, 5, 0, 0]    |0.2134786964663686  |0.17425801493339893 |203       
 [11, 17, 7, 18, 3]  |6.177351701004587   |3.5004434213326987  |568       
Gen 2 Train time: 8.774369966983794 minutes:
 Average MSE:        0.23377832889704483
 Average Error:      0.3182831776999442
 Structure           |Error               |MSE                 |weights&biases
 [13, 7, 0, 0, 0]    |0.20327125022476716 |0.1758341629929154  |145       
 [14, 6, 4, 8, 0]    |0.22534783605955105 |0.18284616054127228 |209       
 [17, 14, 4, 8, 0]   |0.27289411569504457 |0.1807443976166045  |412       
 [17, 13, 9, 12, 0]  |0.24442908395918703 |0.14187199702768863 |544       
 [15, 10, 4, 4, 0]   |0.23382370951217976 |0.1777836662985933  |274       
 [14, 10, 3, 0, 0]   |0.19081766292191907 |0.15176273201855925 |229       
 [15, 15, 6, 4, 0]   |0.2345970795759997  |0.15506889276394076 |414       
 [4, 14, 14, 15, 15] |1.0453930987926483  |0.4825807502260696  |773       
 [16, 10, 4, 0, 0]   |0.22965016943601257 |0.1758369505946153  |267       
 [14, 10, 7, 0, 0]   |0.24075465484063627 |0.18250514880223254 |277       
 [17, 16, 2, 4, 0]   |0.23378002740068643 |0.15828237467200404 |390       
 [10, 7, 0, 0, 0]    |0.9100616231433754  |0.8111981197389024  |115       
 [14, 7, 2, 4, 0]    |0.18794861491213244 |0.1569878793121126  |180       
 [16, 14, 2, 4, 0]   |0.2580137314030218  |0.1849365523525803  |333       
 [16, 8, 3, 8, 0]    |0.20449081319182197 |0.15893940853678346 |252       
 [16, 7, 19, 0, 0]   |0.2721060152240348  |0.1938707601387212  |339       
