/tmp/tmp.iZOnJ3sLqs ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k6.mat
  Evaluating with: datasets/N9dataset100k6.mat
Gen 0 Train time: 8.157835952440898 minutes:
 Average MSE:        1.092237365353979
 Average Error:      1.5210139348610567
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.3640493268011264  |0.3438788350532193  |57        
 [13, 3, 1, 1, 8]    |0.23678322099001914 |0.21169467899856467 |112       
 [16, 15, 7, 20, 1]  |6.430908107525782   |3.53642297788425    |598       
 [13, 13, 0, 0, 0]   |0.3289819806433001  |0.260083563949718   |235       
 [1, 5, 14, 5, 15]   |4.670532634755468   |3.536979519079291   |278       
 [13, 0, 0, 0, 0]    |0.29165706007429043 |0.2766017262738059  |53        
 [19, 1, 0, 0, 0]    |0.18243446544252143 |0.16857672966368728 |79        
 [5, 2, 18, 5, 0]    |1.0607691734246405  |0.884258604838472   |182       
 [13, 11, 9, 15, 7]  |1.552120445668355   |0.876886271090707   |571       
 [1, 12, 17, 17, 12] |7.7390377957103444  |3.5369945312743143  |783       
 [1, 13, 3, 0, 0]    |3.187266078762004   |2.956965343767398   |75        
 [6, 0, 0, 0, 0]     |1.238605313683881   |1.2080240395268513  |25        
 [18, 12, 20, 12, 12]|0.4891244932394011  |0.1867212838792569  |963       
 [7, 0, 0, 0, 0]     |1.3324105055697264  |1.294325502538705   |29        
 [18, 19, 10, 11, 0] |0.3039918371483294  |0.1438830547102235  |748       
 [19, 19, 13, 9, 0]  |0.35470784950267686 |0.1542067896343811  |833       
 [17, 5, 0, 0, 0]    |0.2142910276972345  |0.18499615362537622 |147       
 [8, 18, 0, 0, 0]    |0.46433096704392385 |0.3782659762290495  |205       
 [3, 0, 0, 0, 0]     |3.0770895880434592  |3.037346314393811   |13        
 [18, 0, 0, 0, 0]    |0.20076286413899466 |0.1866293251419649  |73        
 [5, 7, 10, 6, 0]    |1.3389230725601844  |1.0853099491832832  |210       
 [5, 0, 0, 0, 0]     |1.1966375488822716  |1.171770181581434   |21        
 [7, 1, 6, 0, 0]     |0.37567099481105143 |0.35806471797943107 |48        
 [16, 0, 0, 0, 0]    |0.30971528265898984 |0.2902241142904751  |65        
 [11, 0, 0, 0, 0]    |1.0845467367484343  |1.036823949261809   |45        
Gen 1 Train time: 8.230825567245484 minutes:
 Average MSE:        0.2814095053009336
 Average Error:      0.3395797078369099
 Structure           |Error               |MSE                 |weights&biases
 [19, 1, 0, 0, 0]    |0.2664004054255366  |0.2461646105015533  |79        
 [18, 0, 0, 0, 0]    |0.3045271303583099  |0.2830886731464577  |73        
 [17, 5, 0, 0, 0]    |0.28150206755334983 |0.2430190395490488  |147       
 [10, 1, 3, 0, 0]    |0.21720967474374317 |0.20640972094226515 |51        
 [19, 1, 6, 0, 0]    |0.16622167236869292 |0.15100640803771948 |96        
 [15, 10, 0, 0, 0]   |0.35208194346503385 |0.28368485100200047 |216       
 [12, 3, 3, 0, 0]    |0.1939955360478386  |0.1771213602470736  |91        
 [18, 3, 19, 0, 0]   |0.17773562083982009 |0.14450255224551417 |207       
 [19, 6, 10, 6, 6]   |0.21132827339860977 |0.14714415059389716 |362       
 [14, 3, 0, 0, 0]    |0.18828838323481525 |0.1719106286499747  |91        
 [17, 10, 7, 5, 0]   |0.23949992033503664 |0.1680989987667733  |354       
 [16, 7, 0, 0, 0]    |0.1904286364409339  |0.1598566558158489  |175       
 [14, 3, 5, 0, 0]    |0.19879274345323122 |0.1775518700415272  |113       
 [17, 0, 0, 0, 0]    |0.22475864668055315 |0.20977324152523025 |69        
 [16, 11, 7, 5, 4]   |0.23762658144328566 |0.1612088059387779  |388       
 [16, 2, 1, 6, 4]    |1.2762549668124297  |1.1206736550476672  |130       
 [11, 12, 1, 1, 4]   |1.8819073423801886  |1.5330907662049578  |205       
 [17, 10, 5, 6, 0]   |0.24726367075253788 |0.17794157395231197 |329       
 [17, 3, 0, 0, 0]    |0.20438421997541814 |0.1832775469086079  |109       
 [17, 3, 9, 0, 0]    |0.18727702526852294 |0.16102971918888132 |151       
 [17, 18, 14, 0, 0]  |0.2329013825856496  |0.12085785624434457 |656       
 [19, 14, 0, 0, 0]   |0.20224531776730456 |0.1422351117485338  |352       
 [18, 3, 0, 0, 0]    |0.1539366693113913  |0.13721393532995593 |115       
 [11, 9, 0, 0, 0]    |0.26741922912653715 |0.22993980874167175 |151       
 [7, 3, 1, 8, 19]    |0.3855056361539758  |0.29843609215274697 |256       
Gen 2 Train time: 8.488364923000336 minutes:
 Average MSE:        0.5869797376357518
 Average Error:      0.786698575057305
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 0, 0, 0]    |0.22002881081267886 |0.19612623264250328 |115       
 [19, 1, 6, 0, 0]    |0.1650380240678494  |0.14993110614872227 |96        
 [18, 3, 19, 0, 0]   |0.18043553170474744 |0.14669763283191503 |207       
 [17, 16, 6, 9, 3]   |1.4266439904734292  |0.8330387046503     |538       
 [17, 9, 3, 3, 0]    |0.19990981063160598 |0.1542949943777804  |259       
 [2, 3, 4, 0, 0]     |1.8855581452155306  |1.8188853625802026  |36        
 [14, 1, 2, 15, 0]   |0.22086065523549392 |0.19549444864811863 |122       
 [7, 10, 10, 18, 2]  |5.5362218294332575  |3.53005089206964    |450       
 [18, 6, 5, 3, 3]    |1.0764949845676952  |0.8493451644185628  |237       
 [18, 6, 7, 3, 2]    |3.637997710285727   |2.8276145774264556  |252       
 [18, 8, 0, 0, 0]    |0.1735037171764585  |0.13993793792762044 |215       
 [18, 3, 5, 13, 0]   |0.18109175762678958 |0.14489420436204467 |223       
 [18, 12, 12, 3, 3]  |1.3736909521770624  |0.8390384399845509  |493       
 [18, 2, 4, 0, 0]    |0.15209027092820557 |0.1363839721468695  |109       
 [18, 2, 0, 0, 0]    |0.1507240111652585  |0.1370643363281736  |95        
 [17, 2, 0, 0, 0]    |0.24971558806848193 |0.22822286338412945 |90        
 [18, 0, 0, 0, 0]    |0.229872915278602   |0.21369005284343717 |73        
 [4, 5, 20, 3, 7]    |1.1836793041473903  |0.9163358269312992  |256       
 [16, 2, 2, 0, 0]    |0.19791334324747312 |0.18069838760822857 |91        
 [19, 2, 13, 2, 0]   |0.23796751889567613 |0.20136802200039616 |167       
 [17, 2, 13, 0, 0]   |0.18757470433090834 |0.1630696139625712  |140       
 [12, 2, 4, 0, 0]    |0.1759938642673279  |0.16262535704038053 |79        
 [16, 3, 10, 0, 0]   |0.17497636232529362 |0.15060355073922121 |150       
 [15, 7, 4, 3, 0]    |0.2614092346684357  |0.212318419859186   |208       
 [19, 8, 3, 0, 0]    |0.1880713397012492  |0.14676333998149074 |248       
Gen 3 Train time: 8.56003083785375 minutes:
 Average MSE:        0.527231079497405
 Average Error:      0.6022054472219117
 Structure           |Error               |MSE                 |weights&biases
 [18, 2, 0, 0, 0]    |0.21502704662517375 |0.19553977637957148 |95        
 [18, 2, 4, 0, 0]    |0.24658473320378618 |0.2211200307545222  |109       
 [19, 1, 6, 0, 0]    |0.16303983095947033 |0.1481158196126034  |96        
 [17, 3, 4, 7, 0]    |0.1851393978390751  |0.15713558685162057 |164       
 [17, 3, 4, 7, 11]   |0.21945023379876305 |0.16988563604489362 |256       
 [18, 2, 2, 0, 0]    |0.22095608128767238 |0.1997295006929412  |101       
 [5, 3, 2, 0, 0]     |1.0937013978053944  |1.0466218809236751  |44        
 [3, 3, 1, 12, 1]    |3.770356533671705   |3.536613278597411   |64        
 [17, 3, 10, 7, 0]   |0.21995774420046    |0.1747638188980983  |230       
 [18, 6, 2, 2, 0]    |0.27414567070875584 |0.2264806724730694  |191       
 [18, 5, 20, 0, 0]   |0.2290709083194706  |0.17140541508758952 |290       
 [17, 3, 5, 0, 0]    |0.19050146175662974 |0.16711126830039122 |131       
 [19, 2, 6, 7, 0]    |0.19062453186641207 |0.16050188572651397 |172       
 [19, 2, 3, 1, 0]    |0.19065413540423304 |0.1704532349268501  |112       
 [18, 2, 7, 0, 0]    |0.1829967965727542  |0.16214137626016936 |121       
 [4, 3, 5, 0, 0]     |1.1091671517754278  |1.0519119572457352  |53        
 [14, 2, 3, 0, 0]    |0.20480770292591527 |0.18811839107749748 |85        
 [16, 5, 4, 0, 0]    |0.24672774252891796 |0.20982743854978544 |162       
 [18, 2, 4, 18, 0]   |0.22307944623994433 |0.1802830235656667  |213       
 [17, 3, 1, 0, 0]    |0.1947328118621393  |0.17427393902333532 |111       
 [19, 9, 3, 9, 6]    |0.2501422105419957  |0.17278181236287363 |370       
 [19, 2, 10, 1, 14]  |0.20843339499064312 |0.17392419471319848 |181       
 [1, 18, 5, 2, 9]    |3.5560412992876738  |2.961357954532725   |183       
 [5, 12, 6, 3, 12]   |1.2885563800128381  |1.0065438243375082  |247       
 [17, 5, 2, 2, 0]    |0.18124153636254078 |0.1541352704968816  |162       
Increasing Epochs
Gen 4 Train time: 10.270497167110443 minutes:
 Average MSE:        0.5581543914109435
 Average Error:      0.705646266339486
 Structure           |Error               |MSE                 |weights&biases
 [19, 1, 6, 0, 0]    |0.15243701083157005 |0.138483539057557   |96        
 [17, 5, 2, 2, 0]    |0.21047793520460736 |0.17899910874454739 |162       
 [18, 2, 7, 0, 0]    |0.144819139441613   |0.12831467554428516 |121       
 [17, 4, 4, 9, 0]    |0.22081821013950978 |0.18115260262230834 |198       
 [18, 16, 10, 4, 7]  |0.2665589356538391  |0.14411266162459008 |615       
 [17, 4, 6, 3, 0]    |0.19008052951955873 |0.1590864590341278  |178       
 [11, 2, 8, 4, 7]    |0.30017975302658884 |0.25579631211501896 |160       
 [11, 14, 7, 8, 18]  |0.3324953644712656  |0.19164140023120796 |551       
 [17, 5, 16, 2, 0]   |1.8369488297507879  |1.3966911158724653  |274       
 [19, 3, 13, 0, 0]   |0.20823898564409815 |0.17341479602739818 |183       
 [17, 5, 3, 5, 6]    |0.2500913182510129  |0.20030197927394516 |222       
 [18, 3, 7, 4, 13]   |0.2891898217156544  |0.22522125960843162 |250       
 [18, 6, 4, 5, 3]    |0.42593617915493126 |0.33404961199591077 |243       
 [19, 4, 12, 12, 0]  |0.25058243100019945 |0.17377961783258863 |366       
