/tmp/tmp.lqVGDYjsqW ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k7.mat
  Evaluating with: datasets/N9dataset100k7.mat
Gen 0 Train time: 8.02684153318405 minutes:
 Average MSE:        0.6184566096307077
 Average Error:      0.7142767657508989
 Structure           |Error               |MSE                 |weights&biases
 [11, 5, 1, 11, 13]  |0.2601214287922973  |0.19444484621070873 |291       
 [16, 18, 1, 10, 0]  |0.20664998432062268 |0.13796864719198007 |404       
 [6, 10, 7, 0, 0]    |0.4317576362683434  |0.36316758836170676 |173       
 [5, 14, 0, 0, 0]    |0.43024610524609574 |0.3838905103932489  |114       
 [14, 12, 6, 0, 0]   |0.24417875360893088 |0.17963024682119416 |307       
 [3, 7, 0, 0, 0]     |1.9190019191044114  |1.8345610022967034  |45        
 [6, 15, 1, 5, 7]    |1.924714288127876   |1.5773993895315588  |199       
 [19, 0, 0, 0, 0]    |0.23870398178104704 |0.22101359474654117 |77        
 [14, 4, 0, 0, 0]    |0.1980357694389494  |0.17794022301128498 |107       
 [19, 3, 0, 0, 0]    |0.1976053231706957  |0.17508502692556133 |121       
 [16, 17, 0, 0, 0]   |0.2224949335358136  |0.15600753864376887 |355       
 [20, 15, 0, 0, 0]   |0.25556421064505014 |0.17285856067415678 |391       
 [9, 19, 0, 0, 0]    |1.151217196029776   |0.908300338283554   |237       
 [8, 1, 5, 7, 4]     |2.4396001698349368  |2.159408110128126   |122       
 [9, 0, 0, 0, 0]     |1.2070608147688306  |1.1632157011077062  |37        
 [9, 2, 0, 0, 0]     |0.8987909452727748  |0.8549563936182742  |50        
 [6, 20, 0, 0, 0]    |0.6079128539483228  |0.5082795235054811  |179       
 [3, 15, 5, 0, 0]    |1.5236478634227917  |1.3048751553757587  |155       
 [17, 7, 10, 3, 0]   |0.307768843086719   |0.22937288355122995 |294       
 [13, 13, 3, 0, 0]   |0.28663379175428827 |0.21946777571827228 |267       
 [17, 6, 12, 13, 0]  |0.21547022539271285 |0.14072712544440613 |426       
 [12, 13, 0, 0, 0]   |0.30036286964990155 |0.24128801651671267 |219       
 [17, 0, 0, 0, 0]    |0.2032489887971153  |0.1896977039432633  |69        
 [6, 3, 5, 7, 0]     |1.9914106048435525  |1.7857584630917724  |109       
 [16, 1, 0, 0, 0]    |0.19471964293061503 |0.18210087567472175 |67        
Gen 1 Train time: 8.504783427715301 minutes:
 Average MSE:        0.32659702747282426
 Average Error:      0.42036440741462205
 Structure           |Error               |MSE                 |weights&biases
 [16, 1, 0, 0, 0]    |0.2656254049357815  |0.24841160404908097 |67        
 [19, 3, 0, 0, 0]    |0.17845913549228368 |0.15812085444574958 |121       
 [14, 4, 0, 0, 0]    |0.21261519280454716 |0.1910402092026693  |107       
 [15, 11, 1, 5, 0]   |0.21050077902060926 |0.16410219170634527 |249       
 [11, 6, 4, 1, 0]    |0.9809341338298821  |0.8527831676288024  |140       
 [17, 4, 0, 0, 0]    |0.2664108280711055  |0.2344024673190849  |128       
 [14, 9, 2, 0, 0]    |1.0155282535472712  |0.831444211798725   |200       
 [13, 5, 1, 11, 7]   |1.1308407672282437  |0.8993899290274143  |229       
 [10, 7, 4, 0, 0]    |0.26841448431724113 |0.2324168133719287  |144       
 [16, 7, 2, 0, 0]    |0.26118792574883093 |0.21685743807735594 |186       
 [18, 12, 0, 0, 0]   |0.1746390166768624  |0.1300242643199098  |295       
