/tmp/tmp.oZVqlkTkgQ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k1.mat
  Evaluating with: datasets/N10dataset100k1.mat
Gen 0 Train time: 8.123290892442068 minutes:
 Average MSE:        0.5192113241434478
 Average Error:      0.6741538948485258
 Structure           |Error               |MSE                 |weights&biases
 [19, 8, 8, 0, 0]    |0.16941251149194464 |0.12575513425050572 |298       
 [4, 1, 20, 12, 12]  |3.755251756838209   |2.3283394444953185  |478       
 [15, 1, 13, 12, 0]  |0.22920447201123506 |0.1753202841049673  |268       
 [13, 15, 15, 2, 2]  |1.417066512665108   |0.8340923917194585  |530       
 [19, 0, 0, 0, 0]    |0.19823530791473387 |0.18354406022481146 |77        
 [15, 12, 0, 0, 0]   |0.2282472422931814  |0.17775913103181837 |250       
 [17, 7, 14, 19, 8]  |0.398366143265643   |0.1894966867756917  |743       
 [4, 6, 5, 1, 12]    |0.5112545736363077  |0.45344212972315817 |120       
 [6, 17, 0, 0, 0]    |1.9791354710046767  |1.6949616556645855  |155       
 [14, 5, 0, 0, 0]    |0.23292050987188445 |0.20596314314484637 |123       
 [5, 20, 0, 0, 0]    |0.6000633082870918  |0.5133896782094591  |156       
 [8, 0, 0, 0, 0]     |0.7249825363270227  |0.7014485589250505  |33        
 [16, 0, 0, 0, 0]    |0.33905463612164116 |0.3177170678168548  |65        
 [7, 7, 0, 0, 0]     |0.31540978513865947 |0.28970776227028294 |85        
 [2, 15, 5, 15, 0]   |2.2366879434293074  |1.764727301379748   |237       
 [17, 11, 8, 0, 0]   |0.21208399459816946 |0.14885644678519175 |354       
 [16, 0, 0, 0, 0]    |0.18685791981310604 |0.17509847693124553 |65        
 [17, 14, 0, 0, 0]   |0.22877945830724003 |0.16646057179632853 |318       
 [17, 8, 0, 0, 0]    |0.19208033024017468 |0.1566342815560911  |204       
 [19, 11, 7, 0, 0]   |0.2784646733384419  |0.19253755105894327 |369       
 [10, 0, 0, 0, 0]    |0.6234887458014692  |0.5984426604148686  |41        
