/tmp/tmp.R2hnXCsR3P ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k4.mat
  Evaluating with: datasets/N10dataset100k4.mat
Gen 0 Train time: 8.086777079105378 minutes:
 Average MSE:        0.7721668749519303
 Average Error:      0.9010272808483525
 Structure           |Error               |MSE                 |weights&biases
 [1, 10, 8, 9, 8]    |3.9201582546295257  |2.959830561811928   |281       
 [10, 0, 0, 0, 0]    |0.6697964560883616  |0.6428901496894113  |41        
 [4, 10, 0, 0, 0]    |0.5673516419269472  |0.5274105572517864  |73        
 [20, 5, 20, 5, 15]  |0.2627398117010611  |0.15999846690866207 |496       
 [4, 0, 0, 0, 0]     |3.027657386137436   |2.9766222384192584  |17        
 [2, 9, 0, 0, 0]     |2.4771752692801248  |2.3729144056357954  |43        
 [5, 15, 7, 0, 0]    |1.39173677510181    |1.1113243871626668  |225       
 [9, 0, 0, 0, 0]     |0.9790969047461702  |0.9435323212980095  |37        
 [11, 10, 17, 0, 0]  |0.4485766574494141  |0.3135878632993108  |358       
 [8, 0, 0, 0, 0]     |0.567629024790835   |0.5492029690270513  |33        
 [5, 11, 12, 0, 0]   |0.5608881583289084  |0.4420935557974744  |238       
 [20, 16, 8, 0, 0]   |0.2606285458813761  |0.1517290247166226  |541       
 [13, 0, 0, 0, 0]    |0.5231157771119199  |0.4961125472270897  |53        
 [13, 4, 2, 14, 0]   |0.2568200845554026  |0.21841038205942107 |162       
 [19, 7, 0, 0, 0]    |0.15505751731894193 |0.12631719037329248 |205       
 [17, 16, 0, 0, 0]   |0.2934501330089957  |0.20555378357719456 |356       
 [2, 2, 20, 0, 0]    |1.4598049869838303  |1.3301648158395583  |93        
 [11, 0, 0, 0, 0]    |0.38681490031444843 |0.3697940706361343  |45        
 [8, 14, 0, 0, 0]    |0.3677702851111445  |0.3118301092963572  |165       
 [12, 11, 0, 0, 0]   |0.20735996377109236 |0.17130682354915033 |191       
 [7, 8, 6, 16, 0]    |0.23179182565995254 |0.17729937104333618 |268       
 [9, 3, 13, 12, 0]   |1.188441553900949   |0.8892675169805377  |290       
 [5, 4, 11, 15, 0]   |0.6512802769019433  |0.48732930348820397 |290       
 [6, 7, 1, 20, 0]    |1.2749415805513213  |1.112823365437744   |136       
 [8, 7, 16, 12, 0]   |0.39559824995690596 |0.256826093272258   |432       
Gen 1 Train time: 8.535909338792164 minutes:
 Average MSE:        0.2648099865882707
 Average Error:      0.3437969604052591
 Structure           |Error               |MSE                 |weights&biases
 [19, 7, 0, 0, 0]    |0.15206247377571605 |0.12387728618826818 |205       
 [12, 11, 0, 0, 0]   |0.21382536208824893 |0.17664809979433127 |191       
 [7, 8, 6, 16, 0]    |0.6539695164085412  |0.5002263717049702  |268       
 [12, 6, 7, 0, 0]    |0.1782087637408812  |0.15019819066252166 |171       
 [12, 6, 0, 0, 0]    |0.17120196708727875 |0.15169075678843075 |121       
 [14, 13, 19, 0, 0]  |0.3712065176666858  |0.22002882469862586 |523       
 [10, 4, 3, 8, 0]    |0.2426892015046819  |0.2131042789750206  |130       
 [16, 8, 10, 3, 8]   |0.22299558757251706 |0.15745693378572065 |348       
 [20, 16, 8, 0, 0]   |0.2331507658725983  |0.1357324010620236  |541       
 [17, 10, 5, 7, 0]   |0.21530727326564897 |0.1538635523258846  |336       
 [11, 5, 11, 0, 0]   |1.0400501286816848  |0.8765766859448583  |171       
 [15, 17, 1, 7, 0]   |0.240675326415914   |0.16841797430915695 |357       
 [20, 12, 4, 0, 0]   |0.17676967691986067 |0.12222304641948309 |369       
 [18, 4, 2, 14, 0]   |0.1801953809934548  |0.14797475903803084 |197       
 [20, 12, 4, 9, 0]   |0.2265630637937539  |0.14901147754988198 |419       
 [11, 7, 0, 0, 0]    |0.1718618285090276  |0.15166753133174177 |125       
 [6, 9, 8, 6, 0]     |1.115229943354144   |0.8932047963984054  |222       
 [7, 13, 6, 0, 0]    |0.2762794007093178  |0.2226080663319462  |216       
 [16, 9, 0, 0, 0]    |0.18937760171774462 |0.15335307071920065 |211       
 [13, 4, 2, 14, 0]   |0.19542758076894062 |0.16619966718952153 |162       
 [16, 6, 1, 7, 0]    |0.2098296281418544  |0.1754397899576907  |179       
 [17, 2, 11, 10, 8]  |1.2160515552046016  |0.8681499550380156  |337       
 [14, 11, 0, 0, 0]   |0.3278771630255591  |0.2633908459450288  |219       
 [14, 4, 0, 0, 0]    |0.17008796884389918 |0.1528284066730186  |107       
 [20, 12, 4, 19, 0]  |0.20403033406892165 |0.12637689587499196 |479       
Gen 2 Train time: 8.587259232997894 minutes:
 Average MSE:        0.2071566424752222
 Average Error:      0.2557554518442193
 Structure           |Error               |MSE                 |weights&biases
 [19, 7, 0, 0, 0]    |0.14533744538571144 |0.11839875985756035 |205       
 [14, 4, 0, 0, 0]    |0.1926468738191963  |0.1730981619478718  |107       
 [12, 6, 0, 0, 0]    |0.2206216796253684  |0.19547830037049602 |121       
 [7, 8, 1, 15, 0]    |0.1832531742120983  |0.1593126561642597  |140       
 [15, 7, 0, 0, 0]    |0.24948482901829572 |0.2115366157900631  |165       
 [19, 11, 5, 13, 0]  |0.22127110640915384 |0.14408287797919334 |429       
