/tmp/tmp.Hwuf5DlD1s ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k7.mat
  Evaluating with: datasets/N10dataset100k7.mat
Gen 0 Train time: 8.196645351250966 minutes:
 Average MSE:        0.8139739054167591
 Average Error:      1.0197652543636913
 Structure           |Error               |MSE                 |weights&biases
 [1, 4, 0, 0, 0]     |3.553832806815693   |3.497423956096079   |16        
 [13, 18, 16, 10, 0] |0.39960574792964165 |0.1839158711203893  |776       
 [15, 19, 19, 0, 0]  |0.32161175044630624 |0.15207062849784753 |749       
 [7, 10, 13, 0, 0]   |0.27720504971018406 |0.2141672997220522  |258       
 [4, 15, 16, 0, 0]   |0.5062183736608404  |0.35317657512534756 |360       
 [12, 0, 0, 0, 0]    |1.19875542219328    |1.1414322921362055  |49        
 [20, 18, 6, 10, 0]  |0.25102211385439416 |0.13329184376541356 |633       
 [2, 0, 0, 0, 0]     |2.9522228830616757  |2.9257720842514177  |9         
 [10, 5, 1, 16, 0]   |0.34041753163811067 |0.29594478460372503 |140       
 [6, 6, 6, 10, 0]    |0.32854068786700574 |0.27359822271960166 |183       
 [15, 17, 19, 1, 0]  |1.700932363155257   |0.8608599475180068  |681       
 [3, 0, 0, 0, 0]     |1.799480201517463   |1.7762383582009975  |13        
 [15, 4, 11, 14, 0]  |0.22627072536122042 |0.15992935431405647 |347       
 [3, 14, 4, 3, 0]    |0.43155151525983154 |0.37367516971987313 |144       
 [19, 9, 12, 0, 0]   |0.21573727341040952 |0.14901714114266718 |370       
 [6, 1, 9, 0, 0]     |0.2341281081343705  |0.2220424181149311  |53        
 [16, 18, 0, 0, 0]   |0.19322064340230116 |0.1330643393789047  |373       
 [9, 16, 12, 10, 2]  |5.460868998159478   |3.163275161151995   |546       
 [5, 10, 0, 0, 0]    |1.10691261361375    |1.0156966287167968  |86        
 [2, 10, 4, 0, 0]    |1.8854246842666065  |1.731785733812617   |85        
 [9, 9, 18, 16, 0]   |0.33739909117970185 |0.18186533152437062 |618       
 [11, 1, 5, 16, 9]   |1.1972036251775864  |0.8745800287736708  |314       
 [17, 2, 0, 0, 0]    |0.18534718963858585 |0.16939457671308386 |90        
 [15, 0, 0, 0, 0]    |0.19414946347716425 |0.18266032722935976 |61        
 [15, 0, 0, 0, 0]    |0.19607249616142922 |0.18446956106956508 |61        
Gen 1 Train time: 8.663345583279927 minutes:
 Average MSE:        0.5327429057374733
 Average Error:      0.8424725642351849
 Structure           |Error               |MSE                 |weights&biases
 [17, 2, 0, 0, 0]    |0.15363833024426513 |0.1404148612632336  |90        
 [16, 18, 0, 0, 0]   |0.24913174576105362 |0.1715683717033572  |373       
