/tmp/tmp.5Kd1uysFMx ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k3.mat
  Evaluating with: datasets/N2dataset100k3.mat
Gen 0 Train time: 8.770319044589996 minutes:
 Average MSE:        1.0710291221642851
 Average Error:      1.5737444113360939
 Structure           |Error               |MSE                 |weights&biases
 [19, 8, 11, 0, 0]   |0.5611287400224545  |0.40421639360600625 |328       
 [11, 3, 0, 0, 0]    |0.4413849681453084  |0.4103118327487868  |73        
 [6, 0, 0, 0, 0]     |1.393012219010774   |1.3586186247777905  |25        
 [14, 14, 0, 0, 0]   |0.5233165503367722  |0.40068939044502033 |267       
 [9, 12, 0, 0, 0]    |0.5302920091605327  |0.45188504194456114 |160       
 [7, 11, 10, 14, 0]  |0.7724093246179953  |0.5187980131579663  |398       
 [7, 6, 17, 9, 6]    |1.1640864887802957  |0.7671573487305118  |417       
 [3, 19, 0, 0, 0]    |1.5206826842575334  |1.3691079117093647  |105       
 [15, 4, 2, 0, 0]    |0.5470461257036955  |0.4842169856623091  |122       
 [9, 3, 2, 20, 0]    |0.6233469237701365  |0.5386700459324137  |146       
 [14, 15, 15, 8, 0]  |0.8750609855453297  |0.45957106252808605 |644       
 [5, 10, 1, 0, 0]    |0.7099268695303494  |0.6501232524505588  |88        
 [11, 10, 13, 19, 6] |2.20018361170952    |1.1046635585956985  |689       
 [2, 0, 0, 0, 0]     |3.0068704772920554  |2.97993005673652    |9         
 [1, 10, 13, 20, 20] |8.367464382613337   |3.446471304962029   |887       
 [4, 2, 14, 9, 0]    |2.0155421006830463  |1.635401257732937   |209       
 [10, 17, 0, 0, 0]   |0.49234933550896953 |0.38923703248746944 |235       
 [9, 0, 0, 0, 0]     |0.7890269495644845  |0.7603664414425548  |37        
 [4, 19, 11, 14, 10] |1.251189928488225   |0.6492710813169683  |656       
 [2, 5, 10, 0, 0]    |1.7838574043653839  |1.6270655245758054  |92        
 [15, 0, 0, 0, 0]    |0.508054378780675   |0.4779893666268228  |61        
 [11, 6, 3, 0, 0]    |0.6269938698601779  |0.5505604523394233  |130       
 [5, 17, 0, 0, 0]    |0.9590438878104292  |0.8379319047871261  |135       
 [18, 5, 0, 0, 0]    |0.5620860491295787  |0.48137902352637135 |155       
 [13, 8, 14, 17, 2]  |7.119254018715291   |4.022095145284034   |571       
Gen 1 Train time: 8.76104793548584 minutes:
 Average MSE:        0.6933664253856376
 Average Error:      0.8828261679351589
 Structure           |Error               |MSE                 |weights&biases
 [11, 3, 0, 0, 0]    |0.44241620935228765 |0.4112704754307515  |73        
 [10, 17, 0, 0, 0]   |0.4787810063035575  |0.3785103069395045  |235       
 [15, 0, 0, 0, 0]    |0.43745427357452765 |0.41156714691824803 |61        
 [12, 10, 8, 11, 4]  |1.7591853183472668  |1.1721630639993692  |406       
 [11, 5, 2, 0, 0]    |0.5479397019846635  |0.49184579768130227 |108       
 [13, 4, 1, 0, 0]    |0.5579197716203349  |0.5038180412335131  |102       
 [10, 9, 0, 0, 0]    |0.523582963389705   |0.45563656996495183 |139       
 [10, 5, 1, 0, 0]    |0.5735899963869945  |0.5226514765427162  |93        
 [8, 9, 12, 2, 3]    |5.229275947147551   |4.01594555897258    |264       
 [11, 10, 7, 0, 0]   |0.5081054235212458  |0.40049006217878586 |238       
 [11, 10, 0, 0, 0]   |0.5013152059291772  |0.42548728147962206 |164       
