/tmp/tmp.p4Oh8U6hGP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k4.mat
  Evaluating with: datasets/N2dataset100k4.mat
Gen 0 Train time: 8.48626055320104 minutes:
 Average MSE:        0.8010960432729943
 Average Error:      1.2519785063823592
 Structure           |Error               |MSE                 |weights&biases
 [6, 16, 20, 17, 20] |4.431893807221886   |1.324224478308142   |1208      
 [7, 3, 9, 0, 0]     |0.5947420643208418  |0.5430100381417188  |91        
 [19, 3, 1, 18, 8]   |0.707825009231426   |0.5150154504263723  |318       
 [18, 9, 18, 19, 7]  |5.388743594563301   |2.1604407642668724  |914       
 [19, 16, 0, 0, 0]   |0.8034582276764347  |0.5418153148533621  |394       
 [8, 14, 10, 8, 0]   |0.7494329039499119  |0.5038692412542168  |397       
 [13, 4, 1, 0, 0]    |0.49793041917902264 |0.4496458831935287  |102       
 [18, 9, 10, 16, 0]  |0.6984323520221983  |0.4160636804323271  |518       
 [8, 4, 9, 12, 17]   |1.3162597557748992  |0.8276161626430204  |464       
 [5, 4, 0, 0, 0]     |0.760478644152839   |0.727743048095796   |44        
 [7, 9, 0, 0, 0]     |0.6174035887412245  |0.5569764309277477  |103       
 [9, 16, 7, 3, 0]    |1.0719891288552241  |0.7676018702232336  |334       
 [2, 18, 4, 11, 1]   |4.9739006897448546  |4.05197484899753    |205       
 [14, 2, 0, 0, 0]    |0.5765471499913216  |0.5348878629657399  |75        
 [13, 0, 0, 0, 0]    |0.5356309325944668  |0.5079816705398454  |53        
 [18, 14, 13, 0, 0]  |0.8310494301116864  |0.489649229098175   |529       
 [12, 20, 5, 6, 16]  |1.0855637754660352  |0.6163745039445941  |566       
 [11, 0, 0, 0, 0]    |0.5930632943558545  |0.5669670159718394  |45        
 [17, 0, 0, 0, 0]    |0.4193986824937494  |0.39143597996106305 |69        
 [3, 16, 13, 0, 0]   |1.128237362560438   |0.8291589200958173  |308       
 [5, 7, 0, 0, 0]     |0.6225176058321132  |0.5833409938048726  |65        
 [18, 10, 0, 0, 0]   |0.6289309321615485  |0.48736895541002534 |255       
 [12, 20, 3, 8, 0]   |0.7145252224016274  |0.4789605799738843  |400       
 [10, 2, 20, 14, 0]  |0.9413563997888177  |0.6178970227195544  |421       
 [10, 8, 0, 0, 0]    |0.6101516863672608  |0.5373811355755863  |127       
Gen 1 Train time: 8.445400861899058 minutes:
 Average MSE:        0.8531294127160214
 Average Error:      1.1398349549234694
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.49970793939506075 |0.46639075208431136 |69        
 [13, 4, 1, 0, 0]    |0.6138958000599835  |0.5543660490995733  |102       
 [13, 0, 0, 0, 0]    |0.5019215868707727  |0.4760124008216383  |53        
 [9, 4, 0, 0, 0]     |0.4181630949317234  |0.38911367932200286 |72        
 [11, 14, 2, 4, 0]   |0.5558915955128141  |0.43379553394311554 |248       
 [17, 14, 2, 4, 16]  |0.9685485069705354  |0.6225341997763106  |442       
 [10, 5, 0, 0, 0]    |0.5848224819566997  |0.5339532837585331  |91        
 [12, 12, 0, 0, 0]   |0.5039974371046416  |0.41058015961552696 |205       
 [14, 3, 1, 3, 0]    |0.6638267791582059  |0.6000549537953317  |101       
 [9, 6, 1, 0, 0]     |0.5556573386768003  |0.5047946974523753  |96        
 [11, 14, 2, 4, 13]  |0.7928665504518214  |0.5745889542855476  |322       
 [18, 5, 7, 16, 0]   |0.7351153462146512  |0.5253304118449603  |336       
 [16, 7, 7, 0, 0]    |0.6636266901838809  |0.526746694713289   |231       
 [11, 2, 0, 0, 0]    |0.5653495136381999  |0.5324261210235611  |60        
 [9, 6, 5, 0, 0]     |0.6065279045385378  |0.5336556263537524  |128       
 [11, 4, 0, 0, 0]    |0.5044486279038999  |0.46287915091153903 |86        
 [16, 9, 7, 0, 0]    |0.5799853571674803  |0.43878206597763025 |279       
 [3, 12, 1, 17, 6]   |4.427591181756004   |3.5567801554100784  |219       
 [8, 4, 7, 0, 0]     |0.586026025948626   |0.5286698851704346  |103       
 [8, 14, 10, 8, 0]   |1.2354832598472072  |0.8306574336948312  |397       
 [15, 6, 16, 15, 2]  |6.9673936603313225  |4.0480740225290015  |543       
 [15, 6, 1, 9, 4]    |1.5298957813534473  |1.238869928771089   |211       
 [9, 5, 1, 9, 14]    |1.7042105764250752  |1.31930093087028    |256       
 [6, 7, 0, 0, 0]     |0.5155000678846072  |0.4782518301818712  |75        
 [6, 18, 13, 3, 12]  |1.2154207688047414  |0.7416263964939532  |494       
Gen 2 Train time: 8.409782862663269 minutes:
 Average MSE:        0.5737659975448873
 Average Error:      0.731826287200046
 Structure           |Error               |MSE                 |weights&biases
 [9, 4, 0, 0, 0]     |0.6753100045498162  |0.6283968234840098  |72        
 [17, 0, 0, 0, 0]    |0.4809937249904892  |0.44892427648382094 |69        
 [13, 0, 0, 0, 0]    |0.5517047469208914  |0.5232257547713781  |53        
 [6, 13, 7, 2, 6]    |1.9200491218105373  |1.4983294237871103  |248       
 [12, 4, 1, 2, 0]    |1.3027558937652208  |1.1787822792456513  |100       
 [9, 18, 0, 0, 0]    |0.6459270370273168  |0.5152676897919649  |226       
 [11, 15, 18, 8, 20] |1.281110524995155   |0.5453798794794407  |854       
 [13, 8, 1, 2, 0]    |0.6286092291951635  |0.5319288854279168  |167       
 [10, 4, 10, 0, 0]   |0.6459022169989646  |0.5643350443865729  |135       
 [10, 17, 7, 3, 6]   |0.7830315852531318  |0.5259325822745163  |398       
 [11, 3, 3, 0, 0]    |0.5051134034194239  |0.46395286605656993 |85        
 [14, 11, 4, 0, 0]   |0.599387515785641   |0.4621586945573786  |260       
 [14, 1, 0, 0, 0]    |0.4914328637098574  |0.463277087205541   |59        
 [12, 9, 2, 10, 7]   |0.7871557187995212  |0.590179125067196   |288       
 [14, 7, 4, 0, 0]    |0.531459709749822   |0.44214036083220787 |184       
 [17, 5, 4, 18, 0]   |0.6652865246771946  |0.5058386839509115  |274       
 [13, 6, 4, 0, 0]    |0.5522467497378444  |0.4724797820907366  |156       
 [9, 20, 16, 4, 18]  |1.0585659544759922  |0.5050565473773018  |740       
 [11, 10, 1, 2, 0]   |0.6547469891544977  |0.5518348876249994  |171       
 [10, 2, 0, 0, 0]    |0.5957425637773281  |0.5638614886189722  |55        
 [17, 5, 4, 0, 0]    |0.48956725637112836 |0.41303066955794276 |170       
 [13, 6, 12, 0, 0]   |0.6315829415496752  |0.5068571830660517  |220       
 [12, 12, 0, 0, 0]   |0.5747385146649235  |0.4682091886100624  |205       
 [15, 10, 5, 10, 0]  |0.6652183706789053  |0.4777632723623359  |331       
 [11, 9, 0, 0, 0]    |0.5780180179427095  |0.49700746251159406 |151       
Increasing Epochs
Gen 3 Train time: 9.75433127482732 minutes:
 Average MSE:        0.613095888294762
 Average Error:      0.7570911984816964
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.4229551721798151  |0.39475534667249107 |69        
 [17, 5, 4, 0, 0]    |0.578992287829683   |0.4884754223225502  |170       
 [14, 1, 0, 0, 0]    |0.5295481204776737  |0.4992085977687225  |59        
 [12, 11, 0, 0, 0]   |0.47746125613084855 |0.394446303269298   |191       
 [14, 5, 7, 0, 0]    |0.5312518504879558  |0.44954510940507025 |167       
 [10, 3, 10, 0, 0]   |0.5066694640113633  |0.4520798602668144  |114       
 [13, 9, 3, 1, 0]    |0.659072767893706   |0.5390638101588734  |201       
 [12, 15, 8, 5, 15]  |1.0272332636693173  |0.6168490332423197  |510       
 [13, 6, 8, 0, 0]    |0.6874540988489327  |0.5696345768536147  |188       
 [12, 8, 2, 0, 0]    |0.5198848264640178  |0.44257383065773553 |161       
 [10, 17, 7, 3, 6]   |0.8301471395145449  |0.5575783109841566  |398       
 [12, 6, 3, 5, 4]    |2.318450824379909   |1.9288022502131095  |184       
 [14, 4, 2, 0, 0]    |0.5631785049880581  |0.5019982523224196  |115       
 [12, 5, 0, 0, 0]    |0.5143881247609072  |0.4621909359790154  |107       
 [15, 6, 4, 9, 0]    |0.6832645881746531  |0.5461437261066517  |224       
 [11, 8, 6, 0, 0]    |0.61340727879697    |0.5072627520284969  |190       
 [15, 9, 3, 0, 0]    |0.5881803854433052  |0.4706118604569829  |223       
 [9, 6, 1, 10, 7]    |2.3496247003532584  |1.9256346725469204  |199       
 [12, 11, 6, 7, 10]  |0.6654986700885054  |0.4501300943184027  |391       
 [7, 10, 6, 9, 13]   |0.9229009941302669  |0.6349345758656362  |374       
 [17, 1, 2, 0, 0]    |0.6444938094912216  |0.5973273076636592  |76        
 [12, 12, 0, 0, 0]   |0.6262186173182362  |0.5101473160851677  |205       
 [13, 6, 4, 0, 0]    |0.5156209023153707  |0.4411442017233126  |156       
 [13, 6, 12, 0, 0]   |0.5959674684840939  |0.4782750964325963  |220       
 [13, 6, 3, 5, 0]    |0.5554148458097962  |0.4685839640250304  |170       
Increasing Epochs
Gen 4 Train time: 11.214371327559153 minutes:
 Average MSE:        0.5890435403341017
 Average Error:      0.7697891845672946
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.44603850760738123 |0.4162996394922329  |69        
 [12, 11, 0, 0, 0]   |0.5126243019726366  |0.42349564133785345 |191       
 [10, 3, 10, 0, 0]   |0.6300648851178172  |0.5621804064685081  |114       
 [17, 3, 2, 0, 0]    |0.4632424617684286  |0.4125059345841124  |116       
 [15, 4, 7, 0, 0]    |0.5257388236941012  |0.45160348828385655 |152       
 [12, 12, 5, 4, 3]   |1.591107064990059   |1.1787211048000459  |300       
 [13, 9, 5, 6, 5]    |0.6549810863510597  |0.4891192669446198  |292       
 [12, 5, 11, 0, 0]   |0.5740825825615392  |0.47999383402078866 |179       
 [16, 3, 2, 5, 0]    |0.572353259864357   |0.503586949756107   |128       
 [14, 9, 2, 5, 0]    |0.5868937857476052  |0.4719362246756523  |218       
 [15, 5, 2, 1, 0]    |0.7496664520073063  |0.6504265490359162  |142       
 [12, 10, 1, 0, 0]   |0.6145234901290051  |0.5138067154149171  |179       
 [16, 7, 3, 17, 9]   |0.7269530006382059  |0.4724168851791803  |431       
 [13, 9, 2, 0, 0]    |0.6287329183275077  |0.5209773430474967  |188       
 [5, 13, 13, 5, 17]  |3.240308706533199   |2.03535165022514    |465       
 [18, 4, 18, 16, 19] |1.1365020862372803  |0.47756987245266797 |867       
 [9, 9, 3, 0, 0]     |0.5435040191622937  |0.46733068008872697 |151       
 [14, 3, 19, 0, 0]   |0.5098009996841145  |0.42454603829986537 |183       
 [11, 7, 5, 0, 0]    |0.6455162308564705  |0.5484249017142557  |163       
 [14, 9, 4, 2, 3]    |0.716988660603522   |0.5640032564995214  |240       
 [13, 5, 4, 0, 0]    |0.5110907103740584  |0.44521044917027297 |138       
 [12, 2, 5, 0, 0]    |0.573432706153398   |0.5277594489618205  |83        
 [13, 9, 9, 4, 5]    |0.6726085723822424  |0.4854923566565432  |326       
 [13, 6, 2, 0, 0]    |0.5555668679285867  |0.4829866319484375  |140       
 [14, 3, 8, 1, 17]   |0.862407433490187   |0.720343239294001   |180       
Result:  [17]
Fold 0
Fold 0 Train time: 17.565403258800508 minutes, MSE: 0.045659501843620845
Fold 1
Fold 1 Train time: 17.616915222009023 minutes, MSE: 0.05102850085246497
Fold 2
Fold 2 Train time: 17.504730343818665 minutes, MSE: 0.054330807054601665
Fold 3
Fold 3 Train time: 17.169798421859742 minutes, MSE: 0.043943099372252534
Fold 4
Fold 4 Train time: 17.254209188620248 minutes, MSE: 0.06701143342886894
Total Time: 133.42629761298497 minutes
