/tmp/tmp.BOUZs04uW9 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k6.mat
  Evaluating with: datasets/N2dataset100k6.mat
Gen 0 Train time: 8.431339200337728 minutes:
 Average MSE:        0.9770399554212515
 Average Error:      1.3019880652079934
 Structure           |Error               |MSE                 |weights&biases
 [9, 16, 16, 7, 0]   |1.112902071961964   |0.6193845735438368  |586       
 [14, 8, 18, 0, 0]   |0.9626857287550207  |0.683158578848249   |343       
 [2, 2, 0, 0, 0]     |2.300010256771889   |2.265767565155494   |15        
 [2, 11, 0, 0, 0]    |1.6419853373067534  |1.5603436433696003  |51        
 [4, 0, 0, 0, 0]     |2.2122893127707366  |2.1749982664358543  |17        
 [4, 4, 18, 0, 0]    |0.931612074576742   |0.8090951294183911  |141       
 [2, 17, 0, 0, 0]    |2.3810711220472305  |2.209023223964337   |75        
 [7, 20, 7, 2, 2]    |4.026558612354594   |2.828968248837051   |353       
 [7, 4, 0, 0, 0]     |0.4820202575474699  |0.45485839069814205 |58        
 [17, 5, 4, 0, 0]    |0.5221302551865166  |0.44050292598135554 |170       
 [16, 0, 0, 0, 0]    |0.506214576708945   |0.4743572093213171  |65        
 [17, 6, 2, 8, 14]   |0.6815672502799134  |0.48609055128542344 |338       
 [7, 3, 15, 19, 5]   |5.4837782490793945  |3.2765607645794956  |515       
 [8, 16, 18, 8, 19]  |1.446822956589657   |0.6391411788231885  |817       
 [18, 15, 0, 0, 0]   |0.5236631175457368  |0.36717867121087966 |355       
 [7, 0, 0, 0, 0]     |0.8354939366412218  |0.8116125660153013  |29        
 [17, 10, 12, 6, 19] |1.0031079146397759  |0.5538303287469073  |594       
 [18, 11, 13, 20, 0] |0.8356215120526607  |0.40674065612031524 |720       
 [6, 11, 0, 0, 0]    |0.5274342287464024  |0.473913195342484   |107       
 [6, 4, 19, 13, 0]   |0.9908044677979625  |0.6542681003894577  |415       
 [16, 12, 0, 0, 0]   |0.49838026273650393 |0.38236030292197604 |265       
 [17, 10, 19, 15, 0] |0.8362420516095123  |0.3926497945556022  |756       
 [16, 0, 0, 0, 0]    |0.561351625672221   |0.5260243439314498  |65        
 [11, 12, 6, 1, 20]  |0.7363645139751428  |0.5331086554023408  |323       
 [16, 4, 20, 0, 0]   |0.5095899368458657  |0.402062020632832   |237       
Gen 1 Train time: 8.467809001604715 minutes:
 Average MSE:        0.655232251047823
 Average Error:      0.9798780272302071
 Structure           |Error               |MSE                 |weights&biases
 [7, 4, 0, 0, 0]     |0.4422703709217453  |0.41734841227315833 |58        
 [16, 12, 0, 0, 0]   |0.473305194011444   |0.3631225610000566  |265       
 [16, 0, 0, 0, 0]    |0.4608048117824222  |0.4318051960890562  |65        
 [16, 8, 10, 0, 0]   |0.6012775485332501  |0.4521692872992185  |285       
 [17, 8, 0, 0, 0]    |0.5807809697328145  |0.47360502671877613 |204       
 [11, 19, 13, 17, 3] |7.451032902714249   |3.2915305436654094  |817       
 [16, 12, 17, 0, 0]  |0.7230869544865136  |0.44253939287251987 |491       
 [5, 2, 10, 0, 0]    |0.6821939612086687  |0.6373468532703261  |68        
 [12, 8, 0, 0, 0]    |0.5515552665027003  |0.4752029827785905  |149       
 [14, 4, 9, 15, 7]   |3.0540977550473234  |2.012714312130561   |417       
 [7, 12, 3, 0, 0]    |0.5655711607516869  |0.4819479518529607  |160       
 [16, 6, 0, 0, 0]    |0.5447087457535414  |0.4655647758690423  |157       
 [17, 10, 10, 0, 0]  |0.601231896772496   |0.4228344416982278  |352       
 [17, 6, 2, 8, 14]   |0.6705948963184768  |0.4782651201429748  |338       
 [14, 1, 3, 1, 10]   |0.6224296480808249  |0.5643251580964187  |98        
 [11, 2, 10, 7, 0]   |0.7031546080172602  |0.5920415354679933  |172       
 [12, 2, 10, 18, 0]  |0.6794567858751828  |0.49884410625341163 |309       
 [12, 5, 2, 7, 0]    |0.5300166564948121  |0.45985371746649195 |142       
 [11, 10, 9, 0, 0]   |0.6571065619536997  |0.505650743173957   |262       
 [16, 12, 7, 0, 0]   |0.6203997022991865  |0.436751311315491   |351       
 [18, 11, 1, 4, 7]   |0.808664424005997   |0.5836981761390092  |326       
 [11, 2, 15, 7, 0]   |0.6941389091304078  |0.5559465173050434  |222       
 [11, 12, 0, 0, 0]   |0.5069690252487534  |0.41924266605581967 |190       
 [17, 14, 9, 0, 0]   |0.6592938161827     |0.42122590731240417 |448       
 [10, 8, 9, 0, 0]    |0.6128081089290193  |0.49722957994865497 |209       
Gen 2 Train time: 8.628975454966227 minutes:
 Average MSE:        0.7601359594653906
 Average Error:      0.9744324765656032
 Structure           |Error               |MSE                 |weights&biases
 [7, 4, 0, 0, 0]     |0.7743263548389688  |0.7306930240427207  |58        
 [16, 0, 0, 0, 0]    |0.4343556156041885  |0.40702051491794744 |65        
 [16, 12, 0, 0, 0]   |0.5020567263490233  |0.3851809076803706  |265       
 [14, 12, 9, 0, 0]   |0.6509767004087332  |0.45919449243412264 |349       
 [14, 6, 0, 0, 0]    |0.4932631056833267  |0.4292513799699956  |139       
 [6, 12, 1, 17, 7]   |4.375023089026143   |3.296666469924344   |283       
 [18, 10, 1, 2, 1]   |4.218682588308234   |3.2398366000311896  |264       
 [14, 7, 9, 9, 0]    |0.630770593463281   |0.45849172160990737 |319       
 [8, 2, 10, 4, 0]    |0.6467401139363859  |0.5730337039786034  |121       
 [13, 7, 7, 10, 5]   |0.9492114619039576  |0.6796864574297466  |334       
 [9, 3, 5, 4, 0]     |0.5311210932473193  |0.47770340237967013 |106       
 [10, 6, 0, 0, 0]    |0.6009770880104778  |0.5421576415386273  |103       
 [11, 12, 5, 0, 0]   |0.574578638574564   |0.4483781538068169  |248       
 [15, 11, 5, 2, 4]   |0.6735890669208824  |0.49404185087908026 |310       
