/tmp/tmp.ZgMMcZLoL0 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k7.mat
  Evaluating with: datasets/N2dataset100k7.mat
Gen 0 Train time: 8.40909704764684 minutes:
 Average MSE:        0.5481000030495738
 Average Error:      0.8013826809871244
 Structure           |Error               |MSE                 |weights&biases
 [18, 11, 18, 16, 17]|1.637624658460959   |0.5505964206754304  |1090      
 [17, 18, 0, 0, 0]   |0.6092094585706134  |0.410822869487138   |394       
 [15, 17, 4, 0, 0]   |0.6244671828567299  |0.42111197774847897 |394       
 [12, 1, 0, 0, 0]    |0.5957876331240538  |0.5661642799247872  |51        
 [2, 15, 18, 0, 0]   |1.783066316245516   |1.246493652638311   |358       
 [5, 15, 18, 2, 0]   |1.1025955117037511  |0.7143851448760017  |434       
 [15, 4, 6, 0, 0]    |0.5173882201574757  |0.4471050159860745  |146       
 [11, 3, 7, 0, 0]    |0.7083489430156329  |0.6377439239450355  |105       
 [17, 5, 13, 12, 15] |0.9782134253179978  |0.5379296946446933  |598       
 [5, 10, 13, 0, 0]   |0.8737805039180327  |0.6928608632027646  |232       
 [19, 11, 1, 11, 18] |0.7495625260299815  |0.4341932613875426  |546       
 [9, 5, 0, 0, 0]     |0.46778636192318485 |0.43052771484993163 |83        
 [18, 14, 15, 10, 0] |1.0128014713843858  |0.4949592837710329  |716       
 [18, 17, 19, 14, 0] |1.0645129552458492  |0.3861680566061839  |1014      
 [20, 12, 20, 0, 0]  |0.6350246547346895  |0.3509570405896049  |593       
 [6, 7, 0, 0, 0]     |0.5246050898790443  |0.4866989550300884  |75        
 [18, 1, 0, 0, 0]    |0.5654846394944767  |0.5246246909098508  |75        
 [18, 15, 0, 0, 0]   |0.49320449923334864 |0.34582189693340676 |355       
 [12, 5, 7, 0, 0]    |0.4835905556502232  |0.4158142263691708  |151       
 [14, 0, 0, 0, 0]    |0.6240745215377757  |0.5894970918873335  |57        
 [17, 0, 0, 0, 0]    |0.4501116755979787  |0.42010123585029807 |69        
 [15, 10, 18, 10, 0] |1.0050651431196511  |0.5493894866480677  |604       
 [5, 2, 0, 0, 0]     |0.774215102589782   |0.751333588314054   |30        
 [10, 15, 15, 0, 0]  |1.061473497319355   |0.6761488970070644  |451       
 [17, 3, 0, 0, 0]    |0.6925724775676214  |0.6210508069570004  |109       
Gen 1 Train time: 8.136797201633453 minutes:
 Average MSE:        0.470806694663272
 Average Error:      0.5937763073768483
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.46296068593260437 |0.43209356000820476 |69        
 [9, 5, 0, 0, 0]     |0.5223120654197859  |0.4807105086160128  |83        
 [12, 5, 7, 0, 0]    |0.5268367847425298  |0.45299939692987945 |151       
 [14, 10, 11, 0, 0]  |0.6326341668085823  |0.4570954903677622  |325       
 [16, 8, 0, 0, 0]    |0.5211337410326025  |0.42966537559705886 |193       
 [19, 11, 9, 11, 10] |0.9126406163875432  |0.4880130629012596  |626       
 [15, 11, 5, 0, 0]   |0.5544847532913635  |0.4161473108064963  |287       
 [18, 9, 0, 0, 0]    |0.45282452643345583 |0.357989870595227   |235       
 [12, 4, 19, 0, 0]   |0.49349226019136044 |0.40282699430615326 |203       
 [13, 1, 0, 0, 0]    |0.5553392089052029  |0.5256203133050117  |55        
 [18, 15, 1, 6, 9]   |0.9108476535809439  |0.586619062964248   |440       
 [11, 8, 8, 0, 0]    |0.45756263346038784 |0.3708930622276216  |210       
 [18, 1, 0, 0, 0]    |0.6386909639786464  |0.5925413816080937  |75        
 [12, 4, 7, 0, 0]    |0.5714360107754067  |0.5012738255792987  |131       
 [15, 9, 4, 0, 0]    |0.7653758985548057  |0.6056892609230452  |234       
 [12, 5, 3, 0, 0]    |0.5134083952026098  |0.4539883879313331  |123       
 [9, 10, 12, 0, 0]   |0.6645923151508065  |0.5063224871852021  |272       
 [18, 8, 8, 5, 0]    |0.6426695076724236  |0.46249262327274065 |329       
 [17, 3, 3, 0, 0]    |0.5827070669755534  |0.5162982498351005  |121       
 [10, 11, 5, 0, 0]   |0.6135519146424268  |0.4938663238201535  |217       
 [16, 10, 2, 0, 0]   |0.6451265374473634  |0.5059543660980463  |243       
 [11, 5, 4, 0, 0]    |0.5220007093359393  |0.46204807622592076 |122       
 [17, 9, 2, 0, 0]    |0.4898791414520884  |0.38689707848165317 |236       
 [15, 2, 0, 0, 0]    |0.4692262038988062  |0.43315037897193653 |80        
 [14, 15, 8, 8, 0]   |0.7226739231479685  |0.4489709180243414  |476       
Increasing Epochs
Gen 2 Train time: 9.466942143440246 minutes:
 Average MSE:        0.4571797025659356
 Average Error:      0.5879533745156181
 Structure           |Error               |MSE                 |weights&biases
 [18, 9, 0, 0, 0]    |0.5365828861473152  |0.42420678819772206 |235       
 [11, 8, 8, 0, 0]    |0.5568226799927551  |0.4513516922010262  |210       
 [17, 0, 0, 0, 0]    |0.3756168875041273  |0.35057326259553456 |69        
 [16, 10, 6, 0, 0]   |0.5491790839479344  |0.4105199752906943  |291       
 [15, 5, 0, 0, 0]    |0.43203631921343044 |0.37898993839650386 |131       
 [7, 1, 0, 0, 0]     |0.5277219826634529  |0.5116135715674677  |31        
 [12, 6, 14, 0, 0]   |0.5364870285359056  |0.42753766246934627 |227       
