/tmp/tmp.AOcQL2ikej ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k1.mat
  Evaluating with: datasets/N3dataset100k1.mat
Gen 0 Train time: 8.560354657967885 minutes:
 Average MSE:        1.0168479527380492
 Average Error:      1.363547498507306
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 11, 0, 0]   |0.3876184786810594  |0.2854370611546618  |306       
 [17, 8, 12, 15, 0]  |0.6055038908867497  |0.3621509047381185  |514       
 [7, 18, 2, 4, 0]    |0.5577623623323135  |0.4476147805676406  |220       
 [8, 3, 7, 13, 0]    |0.48114615200973954 |0.3951127132848264  |197       
 [16, 16, 2, 11, 0]  |0.4841008102510054  |0.32482714219609354 |399       
 [4, 0, 0, 0, 0]     |1.5916203138064653  |1.5647914598554595  |17        
 [17, 16, 0, 0, 0]   |0.3898996541440436  |0.2731140323670969  |356       
 [14, 13, 14, 11, 4] |2.1439981412370948  |1.1181464692873673  |651       
 [17, 8, 0, 0, 0]    |0.44999575080869364 |0.3669546019786634  |204       
 [20, 10, 8, 0, 0]   |0.4480621186167929  |0.31042175735673844 |367       
 [3, 12, 5, 7, 0]    |1.4569566085051673  |1.2267271205715624  |172       
 [12, 13, 17, 13, 3] |4.953558114042708   |2.4039329596360672  |723       
 [2, 3, 10, 20, 1]   |4.98890303030461    |3.703269403266843   |298       
 [6, 10, 3, 12, 0]   |1.3753806469217307  |1.146519150855816   |182       
 [10, 2, 15, 5, 0]   |0.8208200812593646  |0.6835528252623302  |183       
 [16, 2, 8, 16, 0]   |0.44554129043888047 |0.34113896831498386 |267       
 [8, 10, 2, 7, 5]    |2.2554812170280782  |1.8411002414041744  |203       
 [1, 1, 0, 0, 0]     |2.0479260474580996  |2.0336406224455414  |7         
 [15, 19, 11, 13, 17]|1.0346973121522864  |0.3879452459192483  |981       
 [20, 2, 5, 8, 5]    |1.3515244452847057  |1.0889709569108597  |216       
 [2, 9, 0, 0, 0]     |1.1082979376658397  |1.0616512180779079  |43        
 [16, 20, 1, 8, 0]   |0.6585353576668658  |0.4266731289027911  |434       
 [3, 0, 0, 0, 0]     |2.6435819579221738  |2.609437810290847   |13        
 [7, 12, 19, 3, 0]   |0.8723838040036217  |0.5686297215351004  |428       
 [7, 17, 0, 0, 0]    |0.5353919392545657  |0.4494385222704862  |175       
Gen 1 Train time: 8.74726646343867 minutes:
 Average MSE:        0.6216582460068731
 Average Error:      0.87076504609001
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 11, 0, 0]   |0.5131866867661753  |0.37790380941762036 |306       
 [17, 16, 0, 0, 0]   |0.5216576596505209  |0.3654069077211899  |356       
 [16, 2, 8, 16, 0]   |0.5385664319735194  |0.412365814157312   |267       
 [17, 5, 7, 8, 16]   |0.5988342024141288  |0.39821209652185463 |408       
 [17, 9, 4, 8, 0]    |0.37388800982068177 |0.27642963766622114 |302       
 [15, 8, 4, 16, 20]  |0.7320228780422586  |0.3821494519744054  |650       
 [12, 13, 14, 9, 3]  |2.9754689827905785  |1.682703401829507   |570       
 [17, 16, 1, 6, 0]   |0.5900850255342736  |0.4055591116248033  |375       
 [17, 8, 0, 0, 0]    |0.40722057211561985 |0.3320730533336493  |204       
 [9, 9, 0, 0, 0]     |0.47730056163385154 |0.42037467658046773 |127       
 [16, 11, 10, 12, 0] |0.6806704914733301  |0.41284752224024135 |500       
 [12, 13, 7, 2, 0]   |0.45546519483731474 |0.3300748024568586  |322       
 [19, 9, 10, 0, 0]   |0.3964055509843276  |0.2799015140751776  |348       
 [13, 6, 9, 7, 0]    |0.5608677464011499  |0.4307315884829709  |264       
 [17, 8, 6, 0, 0]    |0.3965057388909011  |0.3069517333424273  |256       
 [17, 5, 10, 8, 0]   |0.44187427755501624 |0.32800386822916844 |298       
 [17, 2, 6, 0, 0]    |0.412813064550667   |0.36907314978264816 |112       
 [17, 12, 15, 8, 0]  |0.5730741352777009  |0.3148244208460177  |599       
 [17, 8, 6, 13, 17]  |0.6426483022504477  |0.35410646296463294 |596       
 [17, 12, 0, 0, 0]   |0.37822722332530573 |0.28585798596520984 |280       
 [12, 6, 5, 12, 3]   |3.9247263682641216  |3.0140860012198067  |264       
 [17, 5, 10, 8, 10]  |0.4816300501654609  |0.3260909364294212  |390       
 [12, 10, 5, 12, 0]  |0.45992651212472474 |0.3386837294617611  |306       
 [18, 6, 1, 8, 0]    |0.4141392786064395  |0.3390685634526224  |200       
 [8, 14, 2, 6, 3]    |3.821921206801738   |3.0579759103958333  |223       
Gen 2 Train time: 8.788738652070363 minutes:
 Average MSE:        0.4115992316176932
 Average Error:      0.5672128887225649
 Structure           |Error               |MSE                 |weights&biases
 [17, 9, 4, 8, 0]    |0.4385787875193009  |0.3242579920661171  |302       
 [17, 12, 0, 0, 0]   |0.475380242280781   |0.35928465812509797 |280       
 [19, 9, 10, 0, 0]   |0.417424673279533   |0.2947430927068348  |348       
 [17, 7, 5, 4, 0]    |0.45881175875122776 |0.3587551112247313  |246       
 [17, 9, 13, 4, 0]   |0.5586202811622379  |0.3729595467395644  |404       
 [16, 6, 5, 13, 0]   |0.4539481710952257  |0.34411745255382636 |277       
 [18, 7, 4, 4, 0]    |0.4895575551274623  |0.38356229070232634 |244       
 [18, 7, 10, 4, 0]   |0.5296212851786094  |0.3861254029693873  |316       
 [17, 9, 5, 4, 0]    |0.39223701189446436 |0.2929102591269934  |292       
 [17, 14, 5, 6, 0]   |0.39296693928818044 |0.2579396091298204  |421       
 [18, 4, 4, 4, 0]    |0.4435485311833477  |0.37233992855373094 |175       
 [3, 9, 8, 6, 14]    |1.6484281560899898  |1.2309942807805823  |292       
 [17, 12, 4, 3, 0]   |0.48449445479075165 |0.34553916216961145 |338       
 [16, 8, 10, 4, 0]   |0.43087699714400657 |0.31194368038081965 |323       
 [17, 13, 2, 4, 0]   |0.5906735709876438  |0.42464924889400474 |330       
 [15, 9, 8, 6, 0]    |0.44162085080945773 |0.317491710825319   |330       
 [15, 9, 3, 6, 0]    |0.44748854311477276 |0.3485044277932672  |250       
 [17, 12, 6, 3, 0]   |0.5841448738895344  |0.4034889184613295  |370       
 [17, 8, 6, 7, 9]    |0.5629409560739809  |0.3849735955241035  |380       
 [17, 16, 0, 0, 0]   |0.43909763496020565 |0.30757587089967764 |356       
 [17, 14, 8, 7, 0]   |0.5861281214681714  |0.3576441161489179  |494       
 [17, 10, 6, 0, 0]   |0.40470074010337487 |0.2986128387458717  |304       
 [17, 9, 5, 4, 5]    |0.6292917279328843  |0.4578744159702056  |318       
 [16, 11, 9, 1, 0]   |1.4876859183506228  |1.0431258577828133  |355       
 [18, 6, 8, 0, 0]    |0.39205443558835834 |0.31056732216737604 |233       
Increasing Epochs
Gen 3 Train time: 10.386494386196137 minutes:
 Average MSE:        0.5655151824979834
 Average Error:      0.7797011379682941
 Structure           |Error               |MSE                 |weights&biases
 [18, 6, 8, 0, 0]    |0.4007099119263105  |0.31742378867904    |233       
 [17, 9, 5, 4, 0]    |0.4218014068806274  |0.3149880190877484  |292       
 [17, 14, 5, 6, 0]   |0.5392926314711106  |0.3539863450605411  |421       
 [18, 7, 7, 2, 0]    |0.3996701871745071  |0.30755061487805335 |262       
 [18, 9, 3, 2, 0]    |1.0233894902000868  |0.7843657479626673  |266       
 [18, 11, 6, 6, 0]   |0.4116418236697566  |0.2803821828429728  |384       
 [9, 16, 2, 2, 9]    |0.45512115079230986 |0.3495210011466037  |264       
 [3, 8, 6, 20, 4]    |3.529898224022643   |2.552999746100552   |324       
 [17, 11, 3, 2, 0]   |0.4363392445949057  |0.32454364448151296 |296       
 [17, 7, 15, 10, 5]  |1.682666316174773   |1.0023824618378083  |518       
 [17, 15, 3, 3, 0]   |0.4755668609246172  |0.3235997730739744  |385       
 [17, 11, 6, 7, 5]   |0.4434218589222282  |0.2925166518325061  |416       
 [16, 3, 15, 16, 14] |0.6473377770726617  |0.3319114527783321  |668       
 [15, 11, 14, 5, 7]  |0.5353080230659717  |0.32016686892466933 |514       
 [17, 12, 4, 2, 14]  |0.5136747112593997  |0.34918092850148924 |386       
 [18, 9, 7, 2, 0]    |0.45546138927677665 |0.3327232114586124  |314       
 [18, 11, 5, 5, 0]   |0.48299414467997553 |0.337310722497486   |359       
 [16, 9, 6, 1, 0]    |0.5098485646288545  |0.3892079394547454  |270       
 [5, 10, 10, 4, 0]   |2.2214014875152808  |1.7579323149932438  |234       
 [7, 10, 6, 2, 0]    |0.453937513489034   |0.37764687017158016 |184       
 [2, 13, 5, 5, 0]    |1.6770609923225994  |1.4420170347597105  |151       
 [18, 7, 5, 4, 0]    |0.36131974728252403 |0.27971278052481074 |256       
 [17, 12, 2, 17, 0]  |0.4383734638261967  |0.3052317133919032  |362       
