/tmp/tmp.L0APL8BT6n ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k4.mat
  Evaluating with: datasets/N3dataset100k4.mat
Gen 0 Train time: 8.32655884027481 minutes:
 Average MSE:        1.1738865611771634
 Average Error:      1.7292301851030993
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.38075522516961174 |0.35679333301738014 |65        
 [3, 8, 6, 8, 8]     |2.9791982541243445  |2.3623437061699395  |232       
 [19, 17, 0, 0, 0]   |0.5234123948167507  |0.3456302877177605  |415       
 [4, 7, 14, 0, 0]    |1.307647268375743   |1.098811942847659   |174       
 [1, 16, 17, 13, 0]  |5.458695361215179   |3.080863196648779   |572       
 [16, 12, 20, 0, 0]  |0.5424483174798711  |0.3183313474951989  |533       
 [18, 9, 13, 13, 1]  |6.3536478621714245  |3.6547552008445097  |553       
 [5, 12, 0, 0, 0]    |1.3350145544132797  |1.207971122455739   |100       
 [11, 0, 0, 0, 0]    |0.477762725966357   |0.45673996293755464 |45        
 [18, 8, 6, 10, 0]   |0.4307291155376662  |0.3062737746269254  |341       
 [19, 0, 0, 0, 0]    |0.3398148822829647  |0.3146311516102826  |77        
 [3, 15, 0, 0, 0]    |1.660909407281659   |1.525565693866147   |85        
 [14, 4, 7, 10, 0]   |0.5107917933724013  |0.40665373842862707 |228       
 [12, 18, 20, 8, 2]  |8.441804155199337   |3.6480619290328127  |839       
 [3, 6, 17, 2, 17]   |1.6978318824308838  |1.3130492101896025  |257       
 [11, 19, 0, 0, 0]   |0.46651479943086593 |0.35223189249116976 |281       
 [3, 0, 0, 0, 0]     |3.158465519302557   |3.1176712051121678  |13        
 [11, 15, 17, 18, 0] |0.769050438618252   |0.3360152538297008  |828       
 [10, 19, 2, 15, 10] |1.8141110931390174  |1.1058293449810503  |495       
 [3, 9, 0, 0, 0]     |1.3414706738595126  |1.2696820692231805  |55        
 [8, 12, 0, 0, 0]    |1.1992911417681744  |1.0374135735597054  |145       
 [16, 6, 4, 8, 0]    |0.46985831038225156 |0.37443985227534715 |227       
 [11, 7, 3, 0, 0]    |0.5747562027090987  |0.4971769284470466  |145       
 [18, 0, 0, 0, 0]    |0.38453445944220466 |0.357463552670993   |73        
 [7, 14, 1, 16, 0]   |0.6122387890880724  |0.502764758949809   |197       
Gen 1 Train time: 8.50939110914866 minutes:
 Average MSE:        0.3578665812831481
 Average Error:      0.46447890020973964
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.4087767094036589  |0.3784822076274986  |77        
 [16, 0, 0, 0, 0]    |0.3440686211958579  |0.3224155100917633  |65        
 [18, 0, 0, 0, 0]    |0.34812609142035245 |0.32361830353799464 |73        
 [16, 2, 4, 5, 0]    |0.3543282407005305  |0.3126935749164671  |125       
 [10, 5, 5, 17, 11]  |0.6968329540502686  |0.45465810450909955 |427       
 [18, 11, 7, 0, 0]   |0.4509012718962995  |0.31615999736265304 |355       
 [10, 8, 8, 0, 0]    |0.4457161238665952  |0.3652866017716332  |199       
 [12, 10, 17, 12, 0] |0.6220061518715703  |0.3475644040260125  |582       
 [17, 10, 13, 5, 0]  |0.5197204897213025  |0.3313884152209569  |450       
 [19, 4, 3, 5, 0]    |0.36642249052394454 |0.3066745272399003  |178       
 [17, 3, 2, 4, 0]    |0.3894423686372084  |0.3419675645072136  |130       
 [16, 3, 2, 16, 0]   |0.485140905507373   |0.4084785384893152  |172       
