/tmp/tmp.9M7aA6lqck ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k5.mat
  Evaluating with: datasets/N3dataset100k5.mat
Gen 0 Train time: 8.484116351604461 minutes:
 Average MSE:        0.8469572998852238
 Average Error:      1.1781779781408623
 Structure           |Error               |MSE                 |weights&biases
 [2, 10, 10, 0, 0]   |1.6334574831000583  |1.39612274071174    |157       
 [2, 19, 0, 0, 0]    |1.5352015940711246  |1.4129245483175237  |83        
 [14, 9, 14, 3, 2]   |3.3988091017543782  |2.3406416614518353  |373       
 [14, 8, 0, 0, 0]    |0.41542235695383645 |0.3501269245431214  |171       
 [8, 12, 10, 0, 0]   |0.6358166363721343  |0.4839154561973201  |273       
 [3, 0, 0, 0, 0]     |2.8362772485977232  |2.799644274609805   |13        
 [17, 19, 8, 10, 9]  |0.8384264561731588  |0.39525331716115575 |752       
 [15, 11, 0, 0, 0]   |0.33145784325051203 |0.262565515003555   |233       
 [12, 0, 0, 0, 0]    |0.36191708650896576 |0.34461062028929856 |49        
 [17, 18, 0, 0, 0]   |0.5174207265255117  |0.3489247657153564  |394       
 [8, 12, 19, 0, 0]   |0.6245796104945124  |0.4190871108967749  |399       
 [15, 9, 3, 18, 0]   |0.5046344701923805  |0.3701226161684583  |310       
 [20, 15, 9, 11, 0]  |0.5401706842652821  |0.2845432239602249  |641       
 [2, 13, 5, 20, 20]  |5.936851773841374   |3.0197649235372337  |676       
 [6, 7, 5, 17, 7]    |1.497613454014816   |1.0627637331155808  |343       
 [10, 20, 0, 0, 0]   |0.5690969595078537  |0.4340027293746547  |271       
 [12, 0, 0, 0, 0]    |0.4569263808003962  |0.4350766774595705  |49        
 [15, 18, 8, 6, 5]   |0.6764092577420118  |0.3787204385394684  |580       
 [14, 17, 0, 0, 0]   |0.43789661855950157 |0.3195720803047652  |315       
 [4, 3, 18, 11, 0]   |2.224533194175187   |1.615342636888774   |320       
 [17, 9, 9, 0, 0]    |0.4503114728248886  |0.32929022513196426 |313       
 [11, 14, 7, 5, 0]   |0.49462580611042944 |0.3478604972539888  |352       
 [5, 0, 0, 0, 0]     |1.4092753610630797  |1.3799891598534404  |21        
 [16, 19, 17, 0, 0]  |0.6312832747196367  |0.3045254586276158  |729       
 [18, 13, 4, 4, 0]   |0.49603460190280696 |0.3385411620173707  |382       
Gen 1 Train time: 8.644926039377848 minutes:
 Average MSE:        0.5143046399049556
 Average Error:      0.7107152715617572
 Structure           |Error               |MSE                 |weights&biases
 [15, 11, 0, 0, 0]   |0.3449331807856074  |0.27324005178642713 |233       
 [12, 0, 0, 0, 0]    |0.588061216200015   |0.559940793173207   |49        
 [14, 8, 0, 0, 0]    |0.2860530368468968  |0.24109167061163683 |171       
 [16, 15, 9, 2, 0]   |0.4897145393530101  |0.30607269790664926 |470       
 [8, 3, 14, 4, 9]    |0.6444189094214486  |0.5161250056234232  |222       
 [15, 7, 2, 2, 9]    |0.4953468313368224  |0.39911842867924624 |216       
 [14, 15, 5, 0, 0]   |0.40781548390439376 |0.2865218580973306  |353       
 [11, 15, 10, 0, 0]  |0.4943664689464303  |0.33672853854319534 |384       
 [15, 18, 4, 3, 3]   |0.5407705327138999  |0.3482759185162839  |440       
 [12, 9, 0, 0, 0]    |0.39981970544591455 |0.339683298701366   |163       
 [13, 9, 0, 0, 0]    |0.3898773085313465  |0.3272852438852412  |175       
 [17, 12, 5, 6, 0]   |0.49529123735143954 |0.34040835731075914 |375       
 [16, 13, 5, 0, 0]   |0.42849171136259023 |0.30346655127923616 |345       
 [13, 4, 0, 0, 0]    |0.31907600487300475 |0.28871190840651884 |100       
 [12, 17, 10, 7, 4]  |0.6679145105481187  |0.3849679896732672  |551       
 [11, 15, 2, 2, 0]   |0.5647118663509006  |0.4380423652467589  |254       
 [18, 9, 0, 0, 0]    |0.34414204837339596 |0.27206867157552905 |235       
 [4, 5, 5, 3, 0]     |1.3644216245369232  |1.248235083696867   |89        
 [18, 12, 6, 15, 0]  |0.4900240479862273  |0.3029156752958608  |481       
 [17, 12, 5, 6, 12]  |0.5391396557548935  |0.3386525443795068  |465       
 [8, 2, 16, 19, 2]   |5.7644186546599085  |3.653568306152452   |456       
 [10, 6, 10, 0, 0]   |0.3728012389849203  |0.3123253416666917  |177       
 [14, 6, 0, 0, 0]    |0.3493451233810693  |0.3040099179714126  |139       
 [15, 9, 3, 18, 0]   |0.5019746862175678  |0.3681718057079178  |310       
 [13, 9, 10, 0, 0]   |0.4849521651771785  |0.36798797373710446 |276       
Gen 2 Train time: 8.694341349601746 minutes:
