/tmp/tmp.u5NbyFsKA5 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k4.mat
  Evaluating with: datasets/N4dataset100k4.mat
Gen 0 Train time: 7.951856768131256 minutes:
 Average MSE:        1.1799685534207298
 Average Error:      1.4567737072483222
 Structure           |Error               |MSE                 |weights&biases
 [2, 0, 0, 0, 0]     |3.6955179056596728  |3.6624074649869356  |9         
 [5, 1, 11, 0, 0]    |0.6891181232090609  |0.652240068802955   |55        
 [17, 6, 2, 19, 0]   |0.4267291067613433  |0.3323369625050953  |250       
 [3, 10, 5, 2, 0]    |3.37896112457528    |2.9998680448693054  |119       
 [9, 0, 0, 0, 0]     |0.5267426320923851  |0.507609304018378   |37        
 [19, 11, 0, 0, 0]   |0.3194179226802094  |0.23924792271184298 |289       
 [19, 8, 6, 0, 0]    |0.2596763771275674  |0.1966520950210647  |278       
 [14, 0, 0, 0, 0]    |0.27958463833890707 |0.26409399126091593 |57        
 [4, 8, 9, 17, 2]    |5.100038983189952   |3.6228035356558004  |342       
 [13, 0, 0, 0, 0]    |0.3024364743620296  |0.28682470733056387 |53        
 [11, 0, 0, 0, 0]    |0.4839054796106462  |0.4626124199530163  |45        
 [4, 11, 15, 14, 4]  |6.257959101952766   |3.661431202467368   |536       
 [16, 16, 16, 6, 0]  |0.7226979919567124  |0.35852250006418274 |701       
 [3, 5, 0, 0, 0]     |1.22162995465341    |1.179612500875818   |35        
 [13, 3, 9, 1, 0]    |1.1904220895565336  |1.0463500247305657  |129       
 [12, 0, 0, 0, 0]    |0.3484961973248059  |0.3318315028643668  |49        
 [15, 8, 14, 18, 0]  |0.6023288645077018  |0.33455576684778643 |588       
 [14, 15, 0, 0, 0]   |0.332170231592211   |0.25029684244267597 |283       
 [1, 2, 7, 13, 6]    |3.5356385792162253  |2.8289169289696017  |223       
 [1, 0, 0, 0, 0]     |3.0949216266238984  |3.0794856406140947  |5         
 [16, 15, 0, 0, 0]   |0.451077518632326   |0.32787721913561196 |319       
 [13, 0, 0, 0, 0]    |0.39111864940518654 |0.3709291096049504  |53        
 [3, 11, 6, 0, 0]    |2.033636435872409   |1.7821589778420968  |132       
 [18, 0, 0, 0, 0]    |0.482288989268673   |0.44833624473645906 |73        
 [18, 0, 0, 0, 0]    |0.2928276830381478  |0.27221285720679195 |73        
Gen 1 Train time: 8.159610672791798 minutes:
 Average MSE:        0.3232689065456285
 Average Error:      0.4276673706289744
 Structure           |Error               |MSE                 |weights&biases
 [19, 8, 6, 0, 0]    |0.29815541958479086 |0.2257921515688352  |278       
 [14, 0, 0, 0, 0]    |0.4342130180061328  |0.41015504165033245 |57        
 [18, 0, 0, 0, 0]    |0.3093020015011037  |0.287527397324065   |73        
 [16, 6, 0, 0, 0]    |0.25868325413548027 |0.2210976272577617  |157       
 [19, 4, 3, 0, 0]    |0.31890423243102006 |0.2728414469045746  |156       
 [16, 4, 3, 15, 0]   |0.4355042488794538  |0.3540735119920736  |207       
 [19, 6, 0, 0, 0]    |0.36264022532072027 |0.3016933873520788  |184       
 [16, 6, 0, 0, 0]    |0.32122721977303687 |0.27455420854273516 |157       
 [13, 18, 15, 0, 0]  |0.6561528719937617  |0.362996719985402   |592       
 [18, 14, 8, 3, 0]   |0.45500305575333844 |0.2840937061210618  |471       
 [6, 10, 10, 10, 9]  |0.8928586623836317  |0.588412537064138   |417       
 [14, 2, 0, 0, 0]    |0.2693384385885471  |0.24987698201842753 |75        
 [13, 0, 0, 0, 0]    |0.5301828541594753  |0.5028148218456636  |53        
 [19, 10, 3, 0, 0]   |0.3561556226648413  |0.26543441286745273 |294       
 [14, 8, 0, 0, 0]    |0.3334351558266629  |0.28102634268458276 |171       
 [14, 0, 0, 0, 0]    |0.40353097535889637 |0.38117296612970214 |57        
 [11, 20, 6, 0, 0]   |0.38807796279314427 |0.25858029236260877 |406       
 [16, 0, 0, 0, 0]    |0.3314721444688262  |0.3106117615976712  |65        
 [7, 8, 0, 0, 0]     |0.4609675990619491  |0.41961085937760545 |94        
 [14, 8, 9, 0, 0]    |0.36364407093933154 |0.2823579415000238  |253       
 [14, 8, 15, 0, 0]   |0.37207119378630515 |0.2720770279256352  |313       
 [17, 14, 18, 20, 7] |0.8068910943910239  |0.2664505593409813  |1108      
 [17, 5, 8, 20, 10]  |0.6084630006490768  |0.33728764301121333 |590       
 [9, 1, 6, 0, 0]     |0.377088741863783   |0.35655216313587806 |56        
 [13, 4, 0, 0, 0]    |0.34772120141002566 |0.3146311540802095  |100       
Gen 2 Train time: 8.3469895362854 minutes:
 Average MSE:        0.34759462823437737
 Average Error:      0.4398433343854187
 Structure           |Error               |MSE                 |weights&biases
 [16, 6, 0, 0, 0]    |0.3262260603955782  |0.27882673791220397 |157       
 [14, 2, 0, 0, 0]    |0.3086846861634214  |0.2863802069174878  |75        
 [19, 8, 6, 0, 0]    |0.2801005677281633  |0.21211926964489894 |278       
 [16, 4, 3, 15, 0]   |0.37676519493009625 |0.30631750690956583 |207       
 [17, 8, 3, 0, 0]    |0.3827842707384744  |0.3053539418009753  |226       
 [15, 16, 19, 8, 0]  |0.6720975961934129  |0.30411428322068507 |793       
 [14, 1, 0, 0, 0]    |0.28602763857471847 |0.2696401910504075  |59        
 [14, 6, 4, 0, 0]    |0.3416393623216983  |0.2896738643811783  |165       
 [12, 2, 3, 0, 0]    |0.29460939244868256 |0.2733219448554776  |75        
 [17, 5, 6, 0, 0]    |0.3147224225360979  |0.26182885157484603 |184       
 [17, 9, 2, 0, 0]    |0.3527617746160461  |0.2786044320939923  |236       
 [16, 6, 7, 0, 0]    |0.3190178227111271  |0.25936775856039757 |207       
 [16, 7, 2, 0, 0]    |0.27366478238659325 |0.22721664269206507 |186       
 [13, 4, 3, 0, 0]    |0.3349396497673246  |0.2988525672453628  |114       
 [16, 5, 0, 0, 0]    |0.34153916264057843 |0.2972169521459927  |139       
 [15, 3, 2, 8, 0]    |0.32452151293559434 |0.2838232909635131  |134       
 [18, 6, 5, 8, 20]   |0.41303086962332314 |0.26283391610998047 |452       
 [3, 16, 7, 6, 4]    |2.3987019551953117  |1.825634757770575   |273       
 [17, 9, 15, 0, 0]   |0.4356378194763354  |0.29821395803402956 |379       
 [15, 7, 0, 0, 0]    |0.2792091236873845  |0.23673965809843747 |165       
