/tmp/tmp.vR8GHIDkjk ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k1.mat
  Evaluating with: datasets/N5dataset100k1.mat
Gen 0 Train time: 8.369823304812114 minutes:
 Average MSE:        1.306060615915331
 Average Error:      1.631401084326412
 Structure           |Error               |MSE                 |weights&biases
 [11, 9, 11, 0, 0]   |0.3144934403614919  |0.24176428403540756 |263       
 [17, 2, 0, 0, 0]    |0.29486523303147844 |0.269486531919736   |90        
 [8, 2, 5, 8, 0]     |0.42756468092605854 |0.38149798821059916 |114       
 [8, 13, 3, 6, 17]   |0.48983617875782653 |0.3472590371266545  |344       
 [1, 7, 11, 1, 0]    |3.9694347288409646  |3.5240951168804044  |119       
 [5, 15, 6, 9, 2]    |4.622074918362705   |3.468921437794843   |287       
 [10, 9, 11, 15, 1]  |5.386599301595512   |3.479589261287123   |437       
 [1, 15, 17, 6, 5]   |5.5499054753826815  |3.5246491385625753  |454       
 [15, 14, 6, 6, 17]  |0.46460163678025246 |0.27128782532031354 |538       
 [13, 11, 2, 9, 5]   |1.8697751669753861  |1.3851635122735675  |300       
 [17, 0, 0, 0, 0]    |0.2853937200276343  |0.26636557322855975 |69        
 [12, 19, 19, 15, 0] |0.6243588561076094  |0.23456325437518188 |979       
 [9, 13, 3, 6, 18]   |0.3696345134797818  |0.25583039772451166 |368       
 [14, 9, 12, 2, 18]  |0.41102525739571016 |0.2766227504267007  |396       
 [1, 0, 0, 0, 0]     |3.543659547750316   |3.525985472021862   |5         
 [1, 20, 0, 0, 0]    |3.1536376070145953  |2.9581278420878165  |64        
 [15, 0, 0, 0, 0]    |0.29826952600597356 |0.2806189017833949  |61        
 [14, 0, 0, 0, 0]    |0.2804682549161933  |0.2649286502394144  |57        
 [7, 14, 0, 0, 0]    |1.2383405095599418  |1.0679833863376813  |148       
 [13, 13, 17, 9, 0]  |0.4235977333348902  |0.22537918778431773 |631       
 [7, 4, 2, 13, 14]   |0.686939323369706   |0.5023243201542245  |313       
 [3, 0, 0, 0, 0]     |3.031464138177567   |2.992310156678025   |13        
 [16, 0, 0, 0, 0]    |0.3003932149750712  |0.281488707972473   |65        
 [6, 0, 0, 0, 0]     |2.4659796400106306  |2.4050943857624274  |25        
 [11, 6, 18, 0, 0]   |0.2827145050203226  |0.22017827789547187 |250       
Gen 1 Train time: 8.609315844376882 minutes:
 Average MSE:        0.29433724045392706
 Average Error:      0.40556612059399294
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.3937032989938038  |0.37188980131958216 |57        
 [11, 6, 18, 0, 0]   |0.36943278732790724 |0.28771454406322594 |250       
 [17, 0, 0, 0, 0]    |0.26729692080165296 |0.24947534768693283 |69        
