/tmp/tmp.KBQsGrOLp4 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k2.mat
  Evaluating with: datasets/N6dataset100k2.mat
Gen 0 Train time: 8.373317646980286 minutes:
 Average MSE:        0.8641111535189094
 Average Error:      1.119836473848002
 Structure           |Error               |MSE                 |weights&biases
 [1, 0, 0, 0, 0]     |3.527901610897915   |3.510306128207392   |5         
 [6, 1, 11, 0, 0]    |0.38588278475589155 |0.3637743132905711  |59        
 [2, 1, 20, 7, 0]    |1.4904796886115101  |1.2154301010816397  |204       
 [13, 10, 15, 14, 0] |0.40397949921695964 |0.22550991617876953 |583       
 [18, 8, 0, 0, 0]    |0.26888597968685785 |0.21686768530012981 |215       
 [10, 0, 0, 0, 0]    |0.29057829550944864 |0.2789055125605485  |41        
 [4, 12, 13, 1, 12]  |1.5039989095893052  |1.1231390638195309  |292       
 [19, 17, 6, 0, 0]   |0.3048398324816121  |0.18268922757376968 |512       
 [16, 3, 1, 6, 6]    |1.0877727898567162  |0.9232384770092625  |164       
 [4, 9, 2, 12, 9]    |2.0375851471951445  |1.602821246079095   |240       
 [8, 12, 0, 0, 0]    |0.40476719763537755 |0.35013264947456296 |145       
 [4, 0, 0, 0, 0]     |1.746548597760491   |1.717108223796184   |17        
 [11, 2, 0, 0, 0]    |0.2459180817146466  |0.2315969275259273  |60        
 [13, 16, 3, 7, 0]   |0.44279379827764187 |0.3120315158475648  |350       
 [8, 11, 18, 2, 0]   |1.3846863119068527  |0.94693353257768    |380       
 [17, 14, 17, 0, 0]  |0.3286984831979938  |0.18477536907740685 |576       
 [8, 10, 2, 7, 0]    |0.3689434478626074  |0.312824826607193   |165       
 [8, 0, 0, 0, 0]     |0.5584484285512247  |0.5403203881652103  |33        
 [13, 16, 0, 0, 0]   |0.2620070642737683  |0.19802067932465936 |280       
 [20, 8, 12, 11, 1]  |5.735212074692629   |3.503017461463494   |493       
 [8, 9, 3, 0, 0]     |1.0544471015036678  |0.9176094222550546  |139       
 [8, 7, 0, 0, 0]     |0.975518717573881   |0.8871103188288461  |95        
 [14, 12, 19, 0, 0]  |0.39880640658974315 |0.2445637723779607  |489       
 [6, 14, 17, 18, 0]  |1.1453639823236959  |0.5608636085585932  |714       
 [4, 14, 15, 8, 0]   |1.641847614534471   |1.0531884709916857  |444       
Gen 1 Train time: 8.43947538137436 minutes:
 Average MSE:        0.48465921990705985
 Average Error:      0.671113443208136
 Structure           |Error               |MSE                 |weights&biases
