/tmp/tmp.Jys4BALnZL ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k4.mat
  Evaluating with: datasets/N6dataset100k4.mat
Gen 0 Train time: 8.234039723873138 minutes:
 Average MSE:        0.5628018752344014
 Average Error:      0.7063529093287972
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.26457734402515015 |0.24991819005490318 |57        
 [11, 3, 12, 0, 0]   |0.3250473886903543  |0.28542262684165987 |130       
 [2, 11, 1, 6, 0]    |3.1769156320585727  |2.962136501694012   |70        
 [13, 8, 8, 7, 14]   |0.3474999259455096  |0.22992759428361415 |413       
 [14, 12, 7, 16, 0]  |0.4251931361870874  |0.26895484519583585 |458       
 [7, 14, 11, 0, 0]   |0.6235819032394876  |0.45736424888755145 |310       
 [15, 0, 0, 0, 0]    |0.40777663980131856 |0.3836457393628515  |61        
 [11, 2, 7, 0, 0]    |0.29058850118372415 |0.26664233234509527 |86        
 [19, 0, 0, 0, 0]    |0.29077784402228335 |0.26922825543380424 |77        
 [14, 0, 0, 0, 0]    |0.2885183505358593  |0.27253272281958435 |57        
 [3, 0, 0, 0, 0]     |2.4782918116745227  |2.4462825292546078  |13        
 [20, 8, 0, 0, 0]    |0.20889695301624225 |0.16481787602323908 |237       
 [6, 8, 0, 0, 0]     |0.45628838358093227 |0.4199455372919273  |83        
 [15, 10, 0, 0, 0]   |0.2287321633096057  |0.1842975786524392  |216       
 [4, 15, 9, 16, 13]  |0.7629442543086992  |0.40796646092945876 |626       
 [18, 3, 14, 6, 13]  |0.3387260944356853  |0.2358490070834743  |362       
 [7, 11, 9, 11, 0]   |0.6089950647096695  |0.4338982951875761  |339       
 [5, 11, 13, 16, 7]  |2.913845661965324   |1.618457834843543   |588       
 [10, 3, 3, 0, 0]    |0.2910102510486875  |0.2689050903917749  |79        
 [16, 0, 0, 0, 0]    |0.27382277495771457 |0.2565904131445872  |65        
 [8, 0, 0, 0, 0]     |1.072970882918286   |1.0381407025397302  |33        
 [15, 19, 9, 5, 0]   |0.4237600653685786  |0.23607921641874513 |585       
 [13, 17, 15, 14, 0] |0.5432781217779433  |0.24755217889576348 |786       
 [10, 5, 0, 0, 0]    |0.26221955024244686 |0.23941109351539386 |91        
 [19, 14, 7, 0, 0]   |0.35456403421624677 |0.2260800097688646  |450       
Gen 1 Train time: 8.42627553542455 minutes:
 Average MSE:        0.3644481986363456
 Average Error:      0.45557009049063085
 Structure           |Error               |MSE                 |weights&biases
 [20, 8, 0, 0, 0]    |0.20762522879311246 |0.16381449669042872 |237       
 [15, 10, 0, 0, 0]   |0.262534096347465   |0.2115329893726059  |216       
 [10, 5, 0, 0, 0]    |0.28170499630057483 |0.257201650871237   |91        
 [17, 8, 4, 10, 7]   |0.33887978603911667 |0.2350140808914901  |366       
 [13, 2, 6, 0, 0]    |0.2800441544091921  |0.25542971533662456 |92        
 [14, 4, 0, 0, 0]    |0.236931520346948   |0.2128890537723577  |107       
 [13, 3, 0, 0, 0]    |0.26224978627573364 |0.24087965027591807 |85        
 [13, 7, 6, 5, 0]    |0.26897957924430294 |0.21456987934159716 |226       
 [20, 4, 0, 0, 0]    |0.19831681367172782 |0.1708636416247322  |149       
 [13, 1, 4, 0, 0]    |0.23069871599481837 |0.21596418839519602 |66        
 [14, 10, 5, 8, 17]  |0.39616572774548636 |0.24859687985020837 |466       
 [16, 6, 6, 0, 0]    |0.26031716536338845 |0.21334290510629456 |199       
 [7, 18, 0, 0, 0]    |1.2707995583477565  |1.0572236520766203  |184       
