/tmp/tmp.uth3apc1I7 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k3.mat
  Evaluating with: datasets/N7dataset100k3.mat
Gen 0 Train time: 8.48677077293396 minutes:
 Average MSE:        0.5667296143055511
 Average Error:      0.7230146763283334
 Structure           |Error               |MSE                 |weights&biases
 [19, 15, 3, 5, 0]   |0.26571997255326185 |0.1726804919345591  |431       
 [3, 20, 9, 6, 0]    |2.458758849613082   |1.7413430615650582  |345       
 [17, 12, 0, 0, 0]   |0.24674375251066077 |0.18648491645333276 |280       
 [17, 1, 11, 7, 0]   |0.2350332120243893  |0.19572817451451535 |183       
 [13, 13, 3, 6, 0]   |0.3849032702866641  |0.2868593588242928  |294       
 [6, 20, 13, 15, 0]  |0.528144401939465   |0.2737922849674948  |657       
 [9, 0, 0, 0, 0]     |0.49613279803648175 |0.47811133743170914 |37        
 [14, 6, 1, 0, 0]    |0.238884876080576   |0.20746896160220213 |141       
 [16, 1, 3, 3, 9]    |0.9110926550156113  |0.8008267239585258  |129       
 [13, 2, 18, 0, 0]   |0.22434259145259328 |0.19503407943002168 |140       
 [8, 0, 0, 0, 0]     |0.9539693999191542  |0.9230021790897915  |33        
 [18, 14, 11, 13, 17]|0.6418199962644263  |0.2617285465339786  |897       
 [10, 16, 6, 11, 20] |0.6703768369884937  |0.35137006965049844 |646       
 [16, 0, 0, 0, 0]    |0.25379831829927635 |0.23782614633815374 |65        
 [3, 3, 0, 0, 0]     |1.2441732792633482  |1.2134545315463383  |25        
 [7, 7, 18, 12, 0]   |0.6217522653628086  |0.3917178170880614  |462       
 [9, 14, 9, 0, 0]    |0.33163658977354515 |0.24275185779886557 |312       
 [18, 16, 4, 9, 12]  |0.33704097218883095 |0.18423359715315862 |604       
 [1, 18, 6, 1, 0]    |3.4531351093100744  |2.9366883818018286  |162       
 [19, 4, 12, 0, 0]   |0.21834372500150911 |0.17698598369267016 |210       
 [14, 12, 0, 0, 0]   |0.24223318409240427 |0.19150249415620596 |235       
 [7, 2, 16, 0, 0]    |1.2208513875519222  |1.1024648811553386  |102       
 [6, 9, 1, 16, 0]    |1.1049322382760487  |0.9605819409029184  |140       
 [15, 0, 0, 0, 0]    |0.28167387549807216 |0.2650053281063607  |61        
 [17, 19, 20, 6, 8]  |0.5098733509056352  |0.19059721194290047 |984       
Gen 1 Train time: 8.69335237344106 minutes:
 Average MSE:        0.22010609027655523
 Average Error:      0.2895835447870083
 Structure           |Error               |MSE                 |weights&biases
 [19, 4, 12, 0, 0]   |0.2089013865484194  |0.16933217289747712 |210       
 [13, 2, 18, 0, 0]   |0.20984224745458124 |0.1824280859592343  |140       
 [17, 1, 11, 7, 0]   |0.25959157655306137 |0.2161795984509768  |183       
 [12, 10, 5, 0, 0]   |0.30365493272600547 |0.24198892653426798 |227       
 [18, 8, 6, 16, 0]   |0.28691922199800796 |0.19445498947379647 |389       
 [14, 9, 11, 0, 0]   |0.2600975927669291  |0.19287781728771183 |299       
 [12, 4, 15, 10, 0]  |0.39616541666495086 |0.28367574499055603 |334       
 [8, 8, 2, 3, 0]     |0.442102951151788   |0.3893749558339557  |127       
 [13, 18, 8, 10, 0]  |0.34534664213769384 |0.20044675941698484 |544       
 [17, 8, 2, 5, 6]    |0.34784382046504736 |0.265271435659207   |271       
 [19, 13, 6, 7, 10]  |0.31953210556922573 |0.18602066239411097 |541       
 [17, 9, 3, 17, 0]   |0.26116963844265295 |0.18794890649161372 |329       
 [17, 7, 6, 4, 0]    |0.26413592694435584 |0.2040701577853532  |258       
 [17, 9, 2, 0, 0]    |0.22255192888109313 |0.1757672123767549  |236       
 [17, 8, 3, 2, 6]    |0.27592458037424467 |0.21381850952499049 |255       
 [17, 5, 3, 0, 0]    |0.22029493376467182 |0.187160634578841   |163       
 [11, 5, 1, 8, 0]    |0.41913473450292554 |0.3702551750736284  |124       
 [18, 2, 5, 0, 0]    |0.22185488994235253 |0.19814984140197814 |113       
 [20, 4, 13, 16, 12] |0.3800646453790462  |0.19841114301630428 |650       
 [16, 12, 0, 0, 0]   |0.246864248858633   |0.1893957205606636  |265       
 [14, 9, 1, 0, 0]    |0.2335878211063975  |0.19336084644009915 |189       
 [13, 7, 7, 8, 0]    |0.24441948897473617 |0.18733265987404174 |266       
 [18, 8, 7, 6, 0]    |0.22731322433731854 |0.16440434459810913 |324       
 [17, 8, 2, 5, 12]   |0.3307768003904221  |0.24188050636531072 |313       
 [15, 6, 0, 0, 0]    |0.31149786374064775 |0.26864544992791217 |148       
Gen 2 Train time: 8.918114407857258 minutes:
 Average MSE:        0.4688207430839863
 Average Error:      0.6069458803231708
 Structure           |Error               |MSE                 |weights&biases
 [19, 4, 12, 0, 0]   |0.23809482798744766 |0.19299591661360668 |210       
 [13, 2, 18, 0, 0]   |0.455526444266161   |0.3960156657647222  |140       
 [17, 5, 3, 0, 0]    |0.18451500808151255 |0.1567623249963     |163       
 [2, 6, 10, 4, 0]    |3.27804275046737    |2.841256891980953   |143       
 [16, 9, 7, 0, 0]    |0.21983493647931796 |0.1663139015673493  |279       
 [11, 3, 14, 6, 10]  |0.3176692321775489  |0.23627838116248437 |296       
 [13, 8, 4, 4, 0]    |0.26932238109173207 |0.21787229856776266 |212       
 [15, 14, 4, 12, 0]  |0.2708127835144207  |0.18116853785795556 |402       
 [15, 10, 4, 9, 0]   |0.2544903464209572  |0.18777846751347857 |304       
 [16, 19, 9, 2, 0]   |1.5853719498431371  |0.892989057758734   |574       
 [15, 11, 6, 0, 0]   |0.2534524050039836  |0.18776215970255322 |300       
 [13, 12, 2, 2, 0]   |1.0993178103784476  |0.863026238130351   |242       
