/tmp/tmp.SwwaL88TQ6 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k4.mat
  Evaluating with: datasets/N7dataset100k4.mat
Gen 0 Train time: 8.865573676427205 minutes:
 Average MSE:        0.8294776345223245
 Average Error:      1.2115402193227418
 Structure           |Error               |MSE                 |weights&biases
 [2, 1, 6, 6, 9]     |2.816209909355747   |2.4581080709228877  |136       
 [12, 6, 0, 0, 0]    |0.2685003555152355  |0.2379004331492589  |121       
 [10, 18, 14, 15, 9] |0.6547814052476493  |0.27349995230866403 |873       
 [10, 17, 0, 0, 0]   |0.3833848702763578  |0.30309290262918276 |235       
 [14, 0, 0, 0, 0]    |0.3198530165764876  |0.30213126252714245 |57        
 [9, 2, 7, 16, 6]    |2.9824519842870743  |2.198435070618694   |305       
 [12, 11, 20, 0, 0]  |0.3087703271971972  |0.19885933646475346 |440       
 [12, 13, 5, 11, 0]  |0.34045539054718743 |0.2391961927607956  |353       
 [3, 9, 3, 10, 5]    |2.110667734956882   |1.77004391938417    |176       
 [5, 15, 8, 15, 0]   |0.628534551010471   |0.42811463576141795 |384       
 [6, 9, 4, 0, 0]     |1.7674802465578165  |1.5582368267617837  |126       
 [7, 5, 4, 0, 0]     |0.949992792265737   |0.8682280386345486  |90        
 [8, 20, 7, 2, 0]    |0.44094059167668076 |0.3045728044426312  |370       
 [8, 11, 16, 0, 0]   |1.332338065819916   |0.9559356719821986  |332       
 [15, 14, 0, 0, 0]   |0.34404306468472745 |0.25898414343715914 |284       
 [18, 10, 5, 18, 0]  |0.2430683273203085  |0.15875189682483096 |426       
 [11, 0, 0, 0, 0]    |0.26906221438173844 |0.2572227994053796  |45        
 [19, 11, 18, 11, 11]|0.43116214745401205 |0.18502375672136986 |846       
 [10, 19, 19, 16, 0] |0.564563611323145   |0.21703379166509137 |956       
 [5, 13, 9, 15, 19]  |3.2074229245815964  |1.6039475148125537  |693       
 [3, 6, 2, 0, 0]     |2.4294186244696774  |2.3109344800256073  |50        
 [1, 14, 20, 15, 9]  |6.579116401516703   |2.9561875575001224  |800       
 [14, 1, 3, 1, 17]   |0.3406039981927828  |0.30239088656626173 |119       
 [14, 19, 0, 0, 0]   |0.2291559074912071  |0.1619686164165251  |347       
 [11, 5, 19, 10, 0]  |0.34652702036220917 |0.2281403013350795  |418       
Gen 1 Train time: 8.942190488179525 minutes:
 Average MSE:        0.26309246405142067
 Average Error:      0.3951226205277649
 Structure           |Error               |MSE                 |weights&biases
 [14, 19, 0, 0, 0]   |0.33834965490169566 |0.23914733889868925 |347       
 [18, 10, 5, 18, 0]  |0.31710749711911396 |0.2071080885774784  |426       
 [12, 6, 0, 0, 0]    |0.23918262871171028 |0.21192393158326928 |121       
 [13, 15, 6, 10, 0]  |0.29494148296707823 |0.19263110249510568 |426       
