/tmp/tmp.xjgP4rd0Pn ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k6.mat
  Evaluating with: datasets/N9dataset100k6.mat
Gen 0 Train time: 8.851364203294118 minutes:
 Average MSE:        0.8502798219819961
 Average Error:      1.1748790846046524
 Structure           |Error               |MSE                 |weights&biases
 [2, 0, 0, 0, 0]     |3.5690963012086674  |3.5371185502267357  |9         
 [11, 4, 5, 20, 0]   |0.27729597312887905 |0.21660716876335048 |247       
 [10, 10, 16, 14, 0] |0.5172496053241866  |0.29281047408576133 |569       
 [9, 2, 2, 5, 0]     |0.24947001058400434 |0.23167573729165114 |74        
 [11, 20, 6, 0, 0]   |0.30626728180528573 |0.20406900381644477 |406       
 [4, 14, 3, 3, 13]   |2.8314348314554785  |2.3066207870390114  |205       
 [10, 4, 0, 0, 0]    |0.2388204478283231  |0.22067962856722545 |79        
 [9, 20, 15, 0, 0]   |0.4726718182512792  |0.27053495601367866 |558       
 [11, 3, 0, 0, 0]    |0.23151775256094737 |0.21521909494636277 |73        
 [12, 0, 0, 0, 0]    |0.4693251579428371  |0.4468825590859399  |49        
 [6, 1, 15, 16, 3]   |5.099573903098899   |3.536568786775254   |366       
 [9, 0, 0, 0, 0]     |0.6664570921328365  |0.64224879492254    |37        
 [18, 14, 0, 0, 0]   |0.19313370347821698 |0.13815589385629048 |335       
 [1, 20, 15, 0, 0]   |3.461985672598018   |2.381766211830157   |374       
 [11, 16, 15, 5, 0]  |0.35354136864245667 |0.20073798577825253 |566       
 [8, 11, 2, 0, 0]    |1.0943480708429052  |0.9419141135598628  |150       
 [6, 10, 11, 0, 0]   |0.515204222925166   |0.41304781927505385 |221       
 [12, 6, 20, 2, 0]   |0.2696329175342387  |0.19994882709092893 |299       
 [10, 20, 5, 5, 8]   |0.4169168881583414  |0.2679731778790284  |442       
 [15, 12, 6, 13, 0]  |0.27954710022858614 |0.1836755331937135  |420       
 [10, 3, 0, 0, 0]    |0.19420548950778083 |0.18162004186093633 |67        
 [9, 18, 14, 11, 1]  |6.788298308060557   |3.5367219410729485  |652       
 [12, 20, 4, 0, 0]   |0.34026396913990653 |0.23153283427874757 |385       
 [14, 0, 0, 0, 0]    |0.252528395324593   |0.2385368245702554  |57        
 [7, 13, 7, 3, 0]    |0.2831908333539186  |0.2203288037697732  |251       
Gen 1 Train time: 9.017760316530863 minutes:
 Average MSE:        0.38346893762549583
 Average Error:      0.5058564159339256
 Structure           |Error               |MSE                 |weights&biases
 [18, 14, 0, 0, 0]   |0.21881457531986104 |0.1565263995753575  |335       
 [10, 3, 0, 0, 0]    |0.23921584590657052 |0.22371351117554253 |67        
 [11, 3, 0, 0, 0]    |0.4434904253348721  |0.412269067499789   |73        
 [10, 3, 4, 2, 0]    |0.38276144203955886 |0.3491186823315863  |92        
 [6, 3, 0, 0, 0]     |1.046610022670682   |1.0025596616745596  |43        
 [12, 13, 13, 1, 0]  |0.278780268683124   |0.1863122266136048  |403       
 [12, 5, 13, 11, 0]  |0.3047870043629974  |0.21585635996235392 |345       
 [13, 2, 0, 0, 0]    |0.1913146829175828  |0.1783806280096203  |70        
 [13, 16, 0, 0, 0]   |0.19502303675718824 |0.14739524039040522 |280       
 [14, 2, 0, 0, 0]    |0.1709634002103667  |0.15861018094574927 |75        
 [8, 17, 11, 8, 0]   |0.5111516873934682  |0.31629217485276245 |480       
 [12, 12, 6, 0, 0]   |0.23841583321864682 |0.18073219455374415 |277       
 [20, 2, 0, 0, 0]    |0.19350772473820874 |0.1742197498916823  |105       
 [7, 5, 11, 8, 17]   |0.8571560489028104  |0.5780266584086428  |394       
 [13, 17, 3, 0, 0]   |0.24929645144332513 |0.17833124650995208 |335       
 [13, 8, 3, 7, 0]    |0.205568416533217   |0.16596532909976264 |214       
 [16, 1, 20, 6, 10]  |1.1791288258431047  |0.8631005199186916  |312       
 [11, 4, 3, 10, 0]   |0.22337818111419636 |0.19284103844209752 |147       
 [11, 7, 3, 19, 3]   |2.7821674036943502  |2.100615223838637   |281       
 [14, 9, 0, 0, 0]    |0.1859636910597748  |0.15424641874464054 |187       
 [14, 20, 13, 8, 0]  |0.5461238440169569  |0.2616076260090502  |736       
 [10, 9, 9, 5, 0]    |1.109722356650327   |0.8429141666311046  |275       
 [13, 10, 3, 7, 13]  |0.24124705228622975 |0.1686493186779947  |358       
 [9, 9, 6, 12, 0]    |0.2745555543345813  |0.20875339440161406 |274       
 [19, 7, 6, 19, 20]  |0.3772666229161405  |0.16968642247845306 |799       
Gen 2 Train time: 9.028733762105306 minutes:
 Average MSE:        0.5711647581522583
 Average Error:      0.7266073686935942
 Structure           |Error               |MSE                 |weights&biases
 [14, 2, 0, 0, 0]    |0.2728636762447961  |0.2531474982917727  |75        
 [14, 9, 0, 0, 0]    |0.18454831140172503 |0.15307244095266384 |187       
 [13, 2, 0, 0, 0]    |0.16068095207250316 |0.1498179266890058  |70        
 [12, 6, 3, 9, 0]    |0.26794223347611307 |0.2235804737003914  |181       
 [16, 8, 7, 3, 0]    |0.2244259397045961  |0.1704676875281788  |275       
 [17, 9, 5, 0, 0]    |0.22983776672699388 |0.1756289793376764  |269       
