/tmp/tmp.dvmeZOUuzK ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k7.mat
  Evaluating with: datasets/N9dataset100k7.mat
Gen 0 Train time: 8.014773035049439 minutes:
 Average MSE:        0.8631163684515105
 Average Error:      0.9890900624670218
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.44671411239225833 |0.42535274818992547 |49        
 [17, 0, 0, 0, 0]    |0.217787842589688   |0.20326720408562754 |69        
 [16, 5, 0, 0, 0]    |0.16580668613234742 |0.1442896255781488  |139       
 [17, 18, 0, 0, 0]   |0.9762020810265827  |0.6583058330506388  |394       
 [14, 0, 0, 0, 0]    |0.24947519234000423 |0.2356527871384407  |57        
 [15, 12, 11, 13, 0] |0.2764047798975613  |0.15947168535015815 |550       
 [1, 3, 0, 0, 0]     |2.986267557985776   |2.9476973294135362  |13        
 [19, 20, 0, 0, 0]   |0.2135492722449537  |0.13240528894122214 |478       
 [4, 3, 1, 1, 0]     |2.2854847748197367  |2.2068764773401424  |35        
 [1, 20, 0, 0, 0]    |1.9303290368279835  |1.8106582872839863  |64        
 [3, 0, 0, 0, 0]     |2.509400185277923   |2.476989111304808   |13        
 [4, 13, 15, 0, 0]   |2.868279204361191   |2.1185084284794224  |303       
 [17, 2, 18, 0, 0]   |0.18017018210507327 |0.1535309016377494  |160       
 [5, 12, 0, 0, 0]    |0.5161627087190351  |0.4670433326437788  |100       
 [8, 0, 0, 0, 0]     |0.7497472315320864  |0.7254093564524193  |33        
 [3, 6, 15, 17, 0]   |1.7853107661015442  |1.1636859363080556  |428       
 [9, 9, 14, 0, 0]    |0.23450215956061016 |0.17865646949601982 |272       
 [12, 0, 0, 0, 0]    |0.5307698153203024  |0.5053890023615524  |49        
 [19, 9, 12, 9, 8]   |0.2982484699928643  |0.1698519085149251  |563       
 [20, 9, 9, 16, 17]  |0.4206484323314012  |0.1878788625881495  |806       
 [2, 3, 0, 0, 0]     |2.9893357153740294  |2.933074510740332   |19        
 [17, 20, 13, 0, 0]  |0.3798951900654806  |0.18902804665669343 |698       
 [6, 9, 3, 7, 0]     |0.35608966894255967 |0.30741006661828274 |147       
 [7, 10, 0, 0, 0]    |0.6464649287468311  |0.577968257221482   |112       
 [7, 0, 0, 0, 0]     |0.5142055669877282  |0.49950775389226487 |29        
Gen 1 Train time: 8.330852715174357 minutes:
 Average MSE:        0.4312218913580505
 Average Error:      0.530567515878893
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 0, 0, 0]    |0.19351138950456026 |0.16839903497277026 |139       
 [17, 2, 18, 0, 0]   |0.13834898816270544 |0.11789323097260933 |160       
 [19, 20, 0, 0, 0]   |0.24695725280239134 |0.15311897844317635 |478       
 [16, 0, 0, 0, 0]    |0.31426425048106443 |0.294486804028492   |65        
 [17, 3, 0, 0, 0]    |0.16546814895831105 |0.14838032229804649 |109       
 [17, 1, 9, 0, 0]    |0.8997827628655001  |0.8166032506537748  |97        
 [16, 1, 9, 0, 0]    |0.21362930105123626 |0.19465763059069394 |93        
 [13, 15, 2, 15, 0]  |0.2196351343384311  |0.1560174233683635  |342       
 [17, 3, 15, 0, 0]   |0.20814124906269585 |0.17368041782102028 |181       
 [17, 1, 9, 3, 0]    |0.23992196187474576 |0.21257900587317194 |121       
 [13, 9, 8, 8, 4]    |2.1048950419748     |1.4714754495593134  |358       
 [14, 3, 0, 0, 0]    |0.16380600841520523 |0.14955778683479654 |91        
 [13, 5, 7, 0, 0]    |0.16327601905411884 |0.13927384976013793 |159       
 [11, 7, 2, 4, 0]    |1.0151510588258472  |0.8737486136077498  |150       
 [15, 1, 9, 0, 0]    |0.19432282802594822 |0.1777753790640082  |89        
 [16, 14, 0, 0, 0]   |0.23297264634273668 |0.17241787721623897 |301       
 [12, 5, 3, 0, 0]    |0.20026988570603996 |0.17709138263505989 |123       
 [16, 7, 15, 7, 0]   |0.23129981707135125 |0.15396337945134958 |407       
 [13, 15, 0, 0, 0]   |0.42959331069193085 |0.32958654403267573 |265       
 [13, 0, 0, 0, 0]    |0.49712249836609074 |0.47146104120566434 |53        
 [2, 10, 9, 5, 1]    |4.239036987375946   |3.4950095838004174  |193       
 [17, 13, 7, 0, 0]   |0.20437316593464758 |0.13823395386512047 |391       
 [19, 5, 5, 8, 9]    |0.23979922695346823 |0.1730883259571287  |326       
 [14, 3, 15, 0, 0]   |0.1909931068399127  |0.16226606061911625 |163       
 [13, 7, 7, 0, 0]    |0.31761585629263567 |0.2597819573203708  |201       
Gen 2 Train time: 8.753623366355896 minutes:
 Average MSE:        0.40513329552843574
 Average Error:      0.551097455072099
 Structure           |Error               |MSE                 |weights&biases
 [17, 2, 18, 0, 0]   |0.1751942055219413  |0.14929065409839218 |160       
 [13, 5, 7, 0, 0]    |0.2365247467560886  |0.20175474778903948 |159       
 [14, 3, 0, 0, 0]    |0.16682939725003887 |0.15231819438793476 |91        
 [11, 8, 11, 11, 18] |0.6366105529255125  |0.35113055003013355 |595       
 [17, 11, 5, 0, 0]   |0.21475629045003514 |0.15672675144972972 |315       
 [17, 4, 0, 0, 0]    |0.16808320669663465 |0.14788857738950162 |128       
 [14, 12, 6, 12, 10] |0.33580147871479965 |0.1986451660960486  |525       
 [9, 3, 0, 0, 0]     |0.20461554980756413 |0.192507064478502   |61        
 [19, 1, 15, 17, 16] |1.298131881102596   |0.6550303008582599  |684       
 [16, 10, 0, 0, 0]   |0.3327292543975142  |0.2646290699542183  |229       
 [15, 17, 2, 20, 18] |0.3805973600509528  |0.1693118056018233  |810       
 [12, 18, 12, 18, 20]|0.5425584439401231  |0.17473941558432776 |1133      
 [18, 4, 3, 4, 5]    |0.24630918212232028 |0.20328065977811965 |192       
 [16, 3, 0, 0, 0]    |0.1563631659299904  |0.1410594296444104  |103       
 [17, 6, 8, 9, 7]    |0.24844909793922657 |0.17092724314692476 |374       
 [14, 3, 8, 0, 0]    |0.1717341315670107  |0.1511008559737052  |128       
 [15, 2, 5, 0, 0]    |0.18474372520444557 |0.16749769593202618 |98        
 [17, 14, 4, 0, 0]   |0.2161470386698981  |0.1495990792345749  |368       
 [2, 7, 8, 0, 0]     |1.8026676660185248  |1.6311211564971113  |100       
 [10, 3, 10, 14, 1]  |4.597562144861075   |3.495673966743093   |274       
 [13, 6, 5, 3, 0]    |0.32704264080618756 |0.27316897572668497 |180       
 [16, 6, 8, 2, 0]    |0.19238787735917343 |0.15331789772821192 |227       
 [17, 3, 9, 0, 0]    |0.22512658529521648 |0.1935745762730972  |151       
 [7, 3, 19, 0, 0]    |0.45977213902894787 |0.39930718856301545 |141       
 [17, 3, 9, 17, 0]   |0.2566986143866565  |0.18473136525200767 |329       
Increasing Epochs
Gen 3 Train time: 10.0367103099823 minutes:
 Average MSE:        0.32713110923991545
 Average Error:      0.4471606258875193
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 0, 0, 0]    |0.16436236398849727 |0.14827572197921043 |103       
 [14, 3, 0, 0, 0]    |0.16204398481581883 |0.1479490280815343  |91        
 [17, 4, 0, 0, 0]    |0.20177396073345188 |0.17753150117472632 |128       
 [16, 9, 7, 11, 9]   |0.2430925717844884  |0.15087358860477135 |477       
 [17, 3, 3, 0, 0]    |0.17279017709997427 |0.1530979647946444  |121       
 [14, 8, 8, 0, 0]    |0.23172871822990865 |0.18173823263051292 |243       
 [15, 4, 8, 0, 0]    |0.17214282106166057 |0.14698411023093824 |158       
 [15, 3, 0, 0, 0]    |0.15955096787070602 |0.14480143917543606 |97        
 [16, 4, 18, 5, 4]   |1.285413121694333   |0.9241140004508768  |330       
 [17, 3, 4, 2, 3]    |0.8536116455616091  |0.7391318654924539  |144       
 [12, 8, 3, 6, 5]    |1.1376195771477657  |0.9020710334971096  |232       
 [16, 7, 7, 0, 0]    |0.17063239580429346 |0.13543766673401408 |231       
 [13, 9, 2, 0, 0]    |0.19287794550823611 |0.159821502348948   |188       
 [17, 5, 4, 5, 4]    |0.21931186282655    |0.1761779824572966  |219       
 [17, 5, 9, 1, 0]    |0.20631971365400387 |0.1677419813805141  |207       
 [5, 3, 16, 17, 13]  |1.0681991739869034  |0.5666430106707553  |634       
 [16, 14, 13, 0, 0]  |0.2409853505056892  |0.14689765875287208 |495       
 [1, 14, 16, 5, 9]   |2.812591593366757   |1.8480043618601911  |420       
 [16, 3, 3, 0, 0]    |0.17789211180992973 |0.15856700573545995 |115       
 [15, 14, 13, 0, 0]  |0.22204473885638829 |0.13767266681403098 |478       
 [15, 3, 3, 0, 0]    |0.1733483592643502  |0.15544674657575486 |109       
 [14, 5, 3, 2, 0]    |0.16875452900791194 |0.14583052618948336 |146       
 [18, 3, 8, 9, 8]    |0.22089063861658287 |0.16152626017566074 |313       
 [16, 4, 6, 2, 3]    |0.22898160267941456 |0.19260503912106194 |173       
 [11, 6, 15, 5, 6]   |0.29205572131275853 |0.2093368360696286  |333       
Increasing Epochs
Gen 4 Train time: 11.343835624059041 minutes:
 Average MSE:        0.5806814462385468
 Average Error:      0.7548912394731236
 Structure           |Error               |MSE                 |weights&biases
 [15, 3, 0, 0, 0]    |0.18196022234304482 |0.16513909266477603 |97        
 [14, 3, 0, 0, 0]    |0.2128041637841194  |0.19429397048800912 |91        
 [16, 3, 0, 0, 0]    |0.255015249077937   |0.23005613484231438 |103       
 [15, 6, 3, 0, 0]    |0.1522020831903844  |0.12892220140219682 |166       
 [17, 4, 8, 1, 0]    |1.0106921950024657  |0.8492815159481623  |174       
 [16, 3, 2, 0, 0]    |0.16898781157155301 |0.15138505005485484 |110       
 [7, 9, 8, 0, 0]     |1.2558107938862195  |1.0468455610921013  |182       
 [16, 5, 6, 3, 2]    |1.0715800822393622  |0.8764586706690813  |201       
 [15, 3, 14, 0, 0]   |0.2190726156868128  |0.18593613477661097 |164       
 [2, 7, 5, 1, 0]     |3.111838471510507   |2.886987872450473   |75        
 [10, 13, 5, 13, 20] |0.3599042537948331  |0.19322166137176847 |622       
 [17, 4, 5, 1, 2]    |0.2799601380122975  |0.23832784571593263 |161       
 [16, 6, 5, 6, 5]    |0.22442574586022493 |0.17269808544323792 |262       
 [15, 6, 4, 0, 0]    |0.18714607808906394 |0.157258268827183   |174       
 [17, 4, 2, 4, 0]    |0.22378196813070667 |0.19261092495019733 |150       
 [19, 9, 5, 14, 4]   |0.2466824074419402  |0.15950921732838694 |436       
 [12, 16, 18, 20, 7] |0.5285103818183016  |0.17858460188030076 |1085      
 [18, 4, 4, 5, 4]    |0.21901094627453874 |0.17859518556500814 |204       
 [20, 7, 15, 8, 1]   |5.567072159035804   |3.493378330612123   |466       
 [17, 4, 0, 0, 0]    |0.14547176586090038 |0.12799382476285165 |128       
 [16, 14, 13, 0, 0]  |0.20454065019744247 |0.12468202971983203 |495       
 [13, 6, 3, 0, 0]    |0.3949424700524124  |0.3406106747852674  |148       
 [16, 5, 4, 0, 0]    |0.1456011289407139  |0.1238251994787585  |162       
 [1, 7, 9, 3, 4]     |2.245426970163858   |1.9520804284985385  |140       
 [17, 9, 8, 14, 0]   |0.259840234862647   |0.16835367263570084 |434       
Result:  [17, 4]
Fold 0
Fold 0 Train time: 18.725746540228524 minutes, MSE: 0.03614207388490804
Fold 1
Fold 1 Train time: 18.68973412911097 minutes, MSE: 0.04405597202044109
Fold 2
Fold 2 Train time: 18.665072055657706 minutes, MSE: 0.012669287185146446
Fold 3
Fold 3 Train time: 18.554761052131653 minutes, MSE: 0.006075216795430501
Fold 4
Fold 4 Train time: 18.60812965234121 minutes, MSE: 0.0053206456622288505
Total Time: 139.72920566797256 minutes
CellsPerSensor: 9
 Resulting Network Architecture: [17, 4]
 MSE after 5-Fold CV: 0.020852639109630984
 Weights and Biases: 128
 Objective Function Value: 0.023700129594209248
~/workspace/SolarCellResearch
