/tmp/tmp.uhlNIsG4na ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k0.mat
  Evaluating with: datasets/N1dataset100k0.mat
Gen 0 Train time: 8.313589862982433 minutes:
 Average MSE:        1.7439606092119417
 Average Error:      3.589776575019615
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.7503294403810682  |0.6127839114546235  |81        
 [17, 16, 17, 13, 0] |5.771521487188214   |0.6459299194211555  |876       
 [14, 1, 0, 0, 0]    |1.5321663557065637  |1.3220487975989414  |59        
 [16, 6, 0, 0, 0]    |0.7395903023874992  |0.4994944003212486  |157       
 [2, 5, 0, 0, 0]     |4.9455059725583475  |4.622701525022414   |27        
 [8, 5, 0, 0, 0]     |1.1162888685769559  |0.9254359763509505  |75        
 [15, 0, 0, 0, 0]    |0.6979450831761244  |0.5992269586539972  |61        
 [6, 9, 15, 0, 0]    |1.9595040146342424  |1.0567428426523873  |247       
 [11, 12, 6, 8, 9]   |2.567300793052976   |0.9397466812251356  |402       
 [14, 18, 11, 14, 14]|9.529115391445758   |0.9698167816669448  |914       
 [16, 12, 5, 10, 6]  |2.882117909560655   |0.9356866905565557  |450       
 [1, 7, 9, 7, 0]     |9.690886219759882   |6.383304301423209   |167       
 [6, 4, 4, 9, 12]    |2.9761335377980305  |1.6170847442443255  |244       
 [4, 0, 0, 0, 0]     |2.134727868255347   |2.0459028354177806  |17        
 [18, 14, 15, 0, 0]  |3.549043197668633   |0.8729980519191315  |561       
 [2, 0, 0, 0, 0]     |3.564787832989685   |3.485475714037417   |9         
 [18, 0, 0, 0, 0]    |0.9249659334539582  |0.770667411910672   |73        
 [8, 0, 0, 0, 0]     |0.970959230703167   |0.8940703653241201  |33        
 [20, 7, 2, 12, 8]   |2.945065693111489   |1.1619865965052492  |372       
 [5, 7, 14, 0, 0]    |2.0507070283081243  |1.2945778086970274  |184       
 [5, 9, 9, 17, 18]   |8.397585382630645   |1.5650913768913033  |672       
 [18, 18, 15, 4, 18] |7.353107046978651   |0.8694651307655417  |854       
 [1, 7, 5, 10, 0]    |9.86437355937893    |7.163005361478186   |128       
 [13, 0, 0, 0, 0]    |0.7191998365659805  |0.6299492470568441  |53        
 [20, 1, 0, 0, 0]    |2.111486389219445   |1.7158217997033858  |83        
Gen 1 Train time: 8.052025361855824 minutes:
 Average MSE:        0.8706233117888881
 Average Error:      1.9095036403235952
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7299613671229109  |0.6267148239879442  |61        
 [13, 0, 0, 0, 0]    |0.7132069846179512  |0.6247000904519011  |53        
 [16, 6, 0, 0, 0]    |0.9047749322968911  |0.6110545402967584  |157       
 [15, 16, 0, 0, 0]   |1.5457739842871203  |0.6980425247355934  |318       
 [5, 4, 5, 4, 0]     |1.716065214457959   |1.3600670555813803  |93        
 [12, 3, 0, 0, 0]    |0.9526190095798895  |0.7818907646476256  |79        
 [15, 3, 0, 0, 0]    |0.8211358487017044  |0.6443155323135142  |97        
 [16, 0, 0, 0, 0]    |0.7439155841577524  |0.6323402163035158  |65        
 [13, 13, 0, 0, 0]   |1.1134075989620207  |0.6187371219971586  |235       
 [13, 12, 8, 2, 9]   |2.4829842010896686  |0.9944764548572413  |366       
 [16, 6, 2, 0, 0]    |1.265992058479437   |0.8338981976675861  |167       
 [13, 3, 0, 0, 0]    |0.8382734058221792  |0.6777946101754425  |85        
 [17, 3, 18, 0, 0]   |2.152690707790846   |1.3187951461082046  |196       
 [16, 5, 11, 0, 0]   |1.2640610351303445  |0.7458950158133171  |211       
 [17, 14, 15, 15, 6] |15.298230957363394  |1.7336641907998058  |871       
 [13, 18, 3, 4, 5]   |3.0175677880597966  |1.1240645051085885  |395       
 [18, 3, 0, 0, 0]    |1.0369333754367909  |0.7778416422203998  |115       
 [5, 3, 9, 0, 0]     |1.94814845927728    |1.5990015663692911  |79        
 [14, 0, 0, 0, 0]    |0.8110823184236523  |0.703360492043499   |57        
 [18, 18, 0, 0, 0]   |1.5333480093221044  |0.543325650614979   |415       
 [14, 11, 0, 0, 0]   |1.0674804031052365  |0.6174242489348822  |219       
 [14, 1, 0, 0, 0]    |1.4125281254212898  |1.2188174624985357  |59        
 [17, 4, 11, 6, 4]   |2.0856531492083232  |1.0279659739409668  |283       
 [18, 0, 0, 0, 0]    |0.8103788293672248  |0.6751951963933885  |73        
 [17, 17, 0, 0, 0]   |1.4713776606081266  |0.5761997708606879  |375       
Increasing Epochs
Gen 2 Train time: 9.17463931242625 minutes:
 Average MSE:        1.0390910588814561
 Average Error:      2.0129653326897627
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.6652062223513027  |0.5826560819432094  |53        
 [15, 0, 0, 0, 0]    |0.6933259389937886  |0.5952611513337859  |61        
 [16, 0, 0, 0, 0]    |0.7667852232014775  |0.6517797774683292  |65        
 [12, 9, 0, 0, 0]    |1.0666003176724401  |0.7096214054122493  |163       
 [17, 18, 0, 0, 0]   |1.5870572915176517  |0.5926694480485427  |394       
 [9, 6, 15, 4, 15]   |3.2351881164275684  |1.3587797802850585  |347       
 [2, 3, 0, 0, 0]     |2.8384632878402036  |2.7067883188868866  |19        
 [15, 3, 0, 0, 0]    |0.757793805572211   |0.5946133273722328  |97        
 [16, 3, 0, 0, 0]    |1.0449710651119188  |0.8077434333607438  |103       
 [13, 2, 12, 0, 0]   |1.0002438205408613  |0.748446009606319   |116       
 [16, 2, 0, 0, 0]    |0.8391075077820717  |0.6784690319199774  |85        
 [15, 3, 0, 0, 0]    |1.0414662140203654  |0.8172007824698438  |97        
 [18, 9, 0, 0, 0]    |0.9805164308959705  |0.5448875282413023  |235       
 [14, 7, 6, 0, 0]    |1.0797366638174648  |0.651627096606832   |202       
 [6, 2, 18, 17, 4]   |21.568837092266456  |6.399689961952315   |486       
 [13, 1, 0, 0, 0]    |1.3647351756362887  |1.18941358421643    |55        
 [15, 17, 0, 0, 0]   |1.448970917193249   |0.6271017895077458  |335       
 [17, 2, 5, 0, 0]    |0.8106876479940606  |0.6188623267908389  |108       
 [15, 6, 0, 0, 0]    |1.0410770839904449  |0.719107682752029   |148       
 [15, 3, 18, 0, 0]   |1.140072409162673   |0.719709066598076   |184       
 [15, 8, 6, 0, 0]    |1.2108961124051238  |0.6745973222664675  |234       
 [14, 6, 9, 0, 0]    |0.9550733209658658  |0.5720853041638285  |205       
 [16, 3, 6, 0, 0]    |0.9137488708911558  |0.6602085535784182  |130       
 [10, 6, 2, 0, 0]    |1.2901579820611315  |0.9726457702729009  |113       
 [14, 3, 0, 0, 0]    |0.9834147989323287  |0.7833119369820476  |91        
Gen 3 Train time: 9.394997990131378 minutes:
 Average MSE:        0.9553976368550391
 Average Error:      1.7720284459901934
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.7862254888810872  |0.6886572125800283  |53        
 [15, 0, 0, 0, 0]    |0.6747748661969261  |0.5793339627916071  |61        
 [15, 3, 0, 0, 0]    |1.0498544690613603  |0.8237827421059569  |97        
 [13, 6, 0, 0, 0]    |0.7563164818889925  |0.5464593461751359  |130       
 [13, 6, 11, 0, 0]   |1.1814215282062235  |0.6953905827871802  |212       
 [16, 1, 3, 0, 0]    |1.3233130676924534  |1.097065065585675   |75        
 [16, 3, 9, 0, 0]    |1.0019659157633911  |0.6973024619161876  |145       
 [15, 6, 5, 7, 0]    |1.3529876574573099  |0.7689842635535775  |226       
 [17, 9, 3, 18, 0]   |2.4147091671135557  |1.0476806876928833  |334       
 [19, 3, 8, 15, 3]   |9.781027468650697   |4.222572488165399   |336       
 [13, 16, 4, 0, 0]   |1.3369516242896275  |0.5771760855214335  |336       
 [15, 2, 0, 0, 0]    |0.91046535801094    |0.7454259882157113  |80        
 [16, 3, 0, 0, 0]    |0.8552442274746316  |0.6610880738485594  |103       
 [16, 3, 15, 0, 0]   |1.07044450120842    |0.6911309148280563  |175       
 [17, 6, 0, 0, 0]    |0.9734927813098766  |0.6428364964744384  |166       
 [17, 5, 17, 13, 19] |5.341872551782782   |0.7930065930124431  |763       
 [15, 6, 3, 0, 0]    |1.2310283080586255  |0.8128975784992128  |166       
 [13, 5, 0, 0, 0]    |1.1754794420835915  |0.8817701129944544  |115       
 [14, 1, 0, 0, 0]    |1.364340846161261   |1.1772384692201543  |59        
 [13, 5, 7, 0, 0]    |0.9113269644793943  |0.6124098452094253  |159       
 [16, 10, 3, 0, 0]   |1.3828561056350726  |0.730994752468059   |255       
 [16, 5, 0, 0, 0]    |0.70168013438968    |0.4957033440739561  |139       
 [14, 8, 0, 0, 0]    |1.0970482435319522  |0.7154261914013552  |171       
 [8, 5, 17, 5, 3]    |4.334247126630159   |2.136241383433492   |283       
 [16, 2, 0, 0, 0]    |1.291636823796822   |1.0443662788215946  |85        
Increasing Epochs
Gen 4 Train time: 11.039009177684784 minutes:
 Average MSE:        1.0160043270396983
 Average Error:      2.0812292368514074
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6739737845770245  |0.5786461870420556  |61        
 [16, 5, 0, 0, 0]    |0.7657213433270526  |0.5409453851022469  |139       
 [13, 6, 0, 0, 0]    |0.8024496617124556  |0.5797918305080766  |130       
 [12, 8, 18, 6, 17]  |3.420220799201704   |0.8583057509885366  |553       
 [16, 3, 4, 0, 0]    |0.9073123754672704  |0.672153539596166   |120       
 [16, 3, 11, 8, 11]  |2.1241171358979796  |0.8854637593041603  |350       
 [15, 2, 8, 0, 0]    |0.7642170961085466  |0.5804780022959886  |110       
 [19, 15, 16, 4, 3]  |5.456852956789427   |0.9482588571305202  |700       
 [19, 10, 9, 14, 19] |4.932841150368149   |0.6659205700840476  |801       
 [16, 4, 3, 0, 0]    |0.8659586994589282  |0.617906540013193   |135       
 [3, 7, 5, 5, 12]    |3.1943754031927107  |1.9766264466896941  |192       
 [14, 4, 4, 0, 0]    |0.8599982292664445  |0.6260500564308791  |127       
 [16, 3, 8, 19, 0]   |1.5151029850232813  |0.6773842520979505  |322       
 [14, 3, 0, 0, 0]    |1.0919831230923143  |0.869789041439884   |91        
 [16, 12, 8, 0, 0]   |1.3569794902232353  |0.5448532790477743  |365       
 [14, 3, 15, 0, 0]   |1.122935485038807   |0.7471018373775177  |163       
 [15, 2, 0, 0, 0]    |1.1333050811402732  |0.9278717225490792  |80        
 [1, 6, 20, 4, 3]    |13.3962275363418    |7.028498793855428   |258       
 [15, 5, 0, 0, 0]    |0.8974119008691814  |0.6467856588242759  |131       
 [8, 7, 12, 4, 5]    |2.1657296829108716  |1.1137774440895394  |266       
 [16, 4, 3, 4, 0]    |1.0244981557296948  |0.7006147525127687  |152       
 [14, 2, 0, 0, 0]    |0.7023313947534199  |0.5822531768628384  |75        
 [16, 3, 5, 0, 0]    |0.8487626767219041  |0.6209680395563311  |125       
 [15, 5, 2, 0, 0]    |1.0682586395548341  |0.7527891400334077  |140       
 [14, 3, 11, 0, 0]   |0.9391661345178658  |0.6568741125600959  |143       
Result:  [15]
Fold 0
Fold 0 Train time: 17.590377243359885 minutes, MSE: 0.1586350686215416
Fold 1
Fold 1 Train time: 17.62696219285329 minutes, MSE: 0.7355318092098988
Fold 2
Fold 2 Train time: 17.58480340242386 minutes, MSE: 0.27499001494497227
Fold 3
Fold 3 Train time: 17.5797243754069 minutes, MSE: 0.46642968466252493
Fold 4
Fold 4 Train time: 17.60776062409083 minutes, MSE: 0.2583684887636731
Total Time: 133.9689582546552 minutes
CellsPerSensor: 1
 Resulting Network Architecture: [15]
 MSE after 5-Fold CV: 0.3787910132405221
 Weights and Biases: 61
 Objective Function Value: 0.44119397738107935
~/workspace/SolarCellResearch
