/tmp/tmp.Hg4faFQ4H2 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k1.mat
  Evaluating with: datasets/N1dataset100k1.mat
Gen 0 Train time: 8.25928787390391 minutes:
 Average MSE:        1.6403147600703716
 Average Error:      3.8960700283960086
 Structure           |Error               |MSE                 |weights&biases
 [19, 15, 3, 0, 0]   |1.9400228529373387  |0.6978157028398088  |409       
 [15, 16, 10, 19, 0] |5.863797084534482   |1.01897514297278    |700       
 [11, 6, 17, 7, 19]  |4.102159634512771   |1.1123930272525595  |522       
 [3, 20, 19, 2, 18]  |16.759912299824663  |3.730304487393101   |601       
 [9, 8, 0, 0, 0]     |0.9066749935322314  |0.6784318652947     |116       
 [8, 11, 4, 20, 20]  |5.321973933149762   |0.8974878238981361  |712       
 [16, 6, 10, 12, 1]  |18.495814995651607  |7.3893848456613345  |367       
 [7, 1, 0, 0, 0]     |1.5628646439566656  |1.4463171769915264  |31        
 [1, 5, 0, 0, 0]     |6.797212056812142   |6.481892605479419   |19        
 [6, 5, 0, 0, 0]     |1.1990757824306044  |1.0346374533601825  |59        
 [16, 0, 0, 0, 0]    |0.7401152768682377  |0.6291098939596275  |65        
 [13, 9, 13, 14, 8]  |4.449978485633821   |0.9444989171483769  |620       
 [20, 0, 0, 0, 0]    |0.7606794627496584  |0.6212366348176392  |81        
 [15, 14, 16, 0, 0]  |2.275217649257049   |0.610837518606253   |526       
 [12, 7, 7, 0, 0]    |1.138102363322581   |0.7060016402823088  |191       
 [20, 4, 18, 0, 0]   |1.297862663716274   |0.6895050942923997  |253       
 [5, 17, 0, 0, 0]    |1.7853004471281972  |1.273904659492727   |135       
 [15, 0, 0, 0, 0]    |0.7342068981747435  |0.6303598624320631  |61        
 [19, 12, 0, 0, 0]   |1.1981980650372532  |0.5520143789483073  |310       
 [17, 12, 18, 0, 0]  |2.456979992471939   |0.6696051627970723  |520       
 [1, 17, 16, 0, 0]   |13.475365663532507  |5.730846510387611   |342       
 [20, 0, 0, 0, 0]    |0.8652007210786308  |0.7065977336390562  |81        
 [5, 0, 0, 0, 0]     |1.2862168789183772  |1.2204324433766085  |21        
 [13, 0, 0, 0, 0]    |0.7936524222492929  |0.6951624853086509  |53        
 [16, 4, 4, 0, 0]    |1.1951654424193618  |0.8401159351270362  |141       
Gen 1 Train time: 7.873057277997335 minutes:
 Average MSE:        1.112156610450568
 Average Error:      2.040301859331057
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7407340104081788  |0.6359637726919305  |61        
 [16, 0, 0, 0, 0]    |0.755072780285488   |0.6418240125338915  |65        
 [20, 0, 0, 0, 0]    |0.7579882612272977  |0.6190387669123798  |81        
 [13, 0, 0, 0, 0]    |0.7259540177332826  |0.6358652541587688  |53        
 [18, 16, 0, 0, 0]   |1.431709888404077   |0.5606656480678486  |375       
 [8, 4, 0, 0, 0]     |0.8960843052029189  |0.7616860776209275  |65        
 [13, 4, 0, 0, 0]    |0.8195054802288915  |0.6382315097335685  |100       
 [2, 6, 13, 13, 2]   |19.76867217537962   |8.706748993589157   |328       
 [13, 4, 4, 0, 0]    |1.085994131573374   |0.8045242402229744  |120       
 [11, 0, 0, 0, 0]    |0.7347134018765707  |0.6565379468019763  |45        
 [14, 1, 0, 0, 0]    |1.3916881759988047  |1.2008354529253562  |59        
 [19, 8, 5, 10, 0]   |2.201766218925905   |0.957681389685429   |333       
 [15, 4, 0, 0, 0]    |1.0062639870716523  |0.7567248618861375  |114       
 [19, 6, 9, 0, 0]    |1.2981970757946988  |0.6948748212890463  |250       
 [20, 4, 0, 0, 0]    |0.7536058575975766  |0.5192417093552842  |149       
 [6, 3, 2, 0, 0]     |2.0053830393269636  |1.7697443207017272  |50        
