/tmp/tmp.rnxVACfR06 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k2.mat
  Evaluating with: datasets/N1dataset100k2.mat
Gen 0 Train time: 8.406965565681457 minutes:
 Average MSE:        1.2499678759256083
 Average Error:      2.441654304537751
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.618656436126911   |0.5052483487571698  |81        
 [9, 9, 0, 0, 0]     |0.9409942346066784  |0.6850124495943876  |127       
 [13, 0, 0, 0, 0]    |0.6453008571846712  |0.5652209141893014  |53        
 [12, 12, 0, 0, 0]   |0.9939301079839605  |0.5953603725089428  |205       
 [14, 8, 14, 0, 0]   |1.5369550538540695  |0.7205814822746518  |303       
 [18, 12, 10, 19, 0] |3.4563349560407914  |0.696079616543844   |641       
 [15, 3, 2, 9, 0]    |1.458207790163525   |1.0327324365791113  |138       
 [8, 9, 8, 18, 6]    |4.183887534491577   |1.298540376678942   |468       
 [18, 19, 0, 0, 0]   |1.5884307628002574  |0.5353934334371103  |435       
 [13, 19, 1, 13, 17] |4.609959330880857   |1.0107766897076218  |607       
 [18, 16, 15, 0, 0]  |3.2160152863425826  |0.6674058846160554  |629       
 [3, 5, 8, 0, 0]     |2.589456226557617   |2.088503754243927   |86        
 [12, 11, 16, 0, 0]  |1.5282286343087201  |0.5793255536103576  |388       
 [8, 1, 10, 7, 18]   |3.8623844717489004  |1.8566703173942627  |293       
 [5, 11, 2, 0, 0]    |2.032137566143799   |1.5512921476657768  |108       
 [11, 3, 20, 0, 0]   |1.1903042453927017  |0.7781849507495315  |170       
 [12, 2, 9, 8, 0]    |1.255584223220122   |0.804608850842636   |178       
 [3, 13, 1, 5, 11]   |7.263360435805854   |4.832396873573009   |163       
 [8, 14, 1, 13, 11]  |4.087992030813043   |1.6745657927954531  |357       
 [3, 0, 0, 0, 0]     |2.885105016309162   |2.792846425908185   |13        
 [18, 8, 19, 9, 0]   |2.4614008684558937  |0.5964443396210897  |567       
