/tmp/tmp.PKolDQ9E4b ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k3.mat
  Evaluating with: datasets/N1dataset100k3.mat
Gen 0 Train time: 8.508534133434296 minutes:
 Average MSE:        1.512621677488651
 Average Error:      3.342589326870122
 Structure           |Error               |MSE                 |weights&biases
 [10, 7, 17, 12, 17] |5.3640692538290935  |0.9368078156521913  |698       
 [4, 5, 0, 0, 0]     |1.5264718949699807  |1.370888571053527   |43        
 [2, 0, 0, 0, 0]     |4.0091332876985835  |3.9199350321202777  |9         
 [6, 2, 20, 0, 0]    |1.4029294549276463  |1.057663804975773   |113       
 [8, 4, 1, 0, 0]     |1.471709917174165   |1.2447378353780103  |67        
 [14, 12, 8, 7, 0]   |2.0314938646751663  |0.7529709856071498  |397       
 [6, 12, 15, 6, 0]   |3.11573534367401    |1.1462149770689067  |400       
 [12, 3, 15, 11, 0]  |1.408326351694568   |0.6280735602309434  |323       
 [5, 16, 0, 0, 0]    |1.947378303713878   |1.4140868800600301  |128       
 [19, 3, 0, 0, 0]    |0.7945602539865465  |0.5871549897190811  |121       
 [9, 19, 11, 7, 2]   |23.669438746234157  |6.136071469915706   |540       
 [16, 5, 0, 0, 0]    |1.0725471953989365  |0.7577031262240836  |139       
 [18, 19, 11, 5, 0]  |4.533201477215131   |0.7857853760839506  |701       
 [15, 2, 19, 10, 0]  |2.384190520608561   |1.0063799279633532  |345       
 [11, 7, 0, 0, 0]    |1.0547986630982091  |0.7717071873146732  |125       
 [3, 0, 0, 0, 0]     |2.406818659847465   |2.329854495405244   |13        
 [19, 20, 0, 0, 0]   |1.7386440076932865  |0.5262944160438459  |478       
 [7, 4, 6, 2, 11]    |2.235148650513345   |1.5672268753634362  |142       
 [1, 0, 0, 0, 0]     |6.679057620033626   |6.596089033764706   |5         
 [14, 2, 4, 14, 17]  |2.5809337833915422  |0.8874982450874386  |427       
 [17, 20, 19, 0, 0]  |4.267531651606574   |0.5358160283898649  |830       
 [15, 19, 9, 0, 0]   |2.3170094815289164  |0.6021656758997306  |539       
 [14, 2, 10, 0, 0]   |0.9282306952846626  |0.6997900041386728  |113       
 [19, 11, 15, 9, 0]  |3.0259416291149757  |0.6568643999277821  |611       
 [7, 7, 17, 0, 0]    |1.5994324638399957  |0.8977612238278947  |231       
Gen 1 Train time: 8.4618155002594 minutes:
 Average MSE:        1.0456041462430026
 Average Error:      1.8975785189138248
 Structure           |Error               |MSE                 |weights&biases
 [19, 3, 0, 0, 0]    |0.8557822754405239  |0.6323961343610833  |121       
 [14, 2, 10, 0, 0]   |1.1346242892659875  |0.8553894415631091  |113       
 [11, 7, 0, 0, 0]    |0.7562170109933073  |0.553260184118018   |125       
 [18, 4, 10, 0, 0]   |1.0618629649899178  |0.6587078800621303  |191       
 [13, 13, 5, 0, 0]   |1.5303852371942934  |0.7283449524164212  |297       
 [9, 3, 0, 0, 0]     |0.7612650355343474  |0.6535908669160448  |61        
 [13, 3, 9, 0, 0]    |0.8934208219920386  |0.6503805903202015  |127       
 [4, 10, 10, 0, 0]   |3.3675572656675414  |2.1312051856183283  |183       
 [13, 18, 9, 0, 0]   |1.91272864120427    |0.5877408441555039  |472       
 [16, 4, 10, 5, 0]   |1.414374208029552   |0.8018667576285667  |227       
 [12, 5, 14, 1, 9]   |2.6618294372093363  |1.5053322602211516  |228       
 [7, 10, 14, 2, 6]   |3.014838250075101   |1.3889473809099047  |310       
 [9, 10, 8, 6, 0]    |1.8098525928872102  |0.907778749129375   |276       
 [10, 7, 17, 12, 17] |8.60791874415533    |1.5033298741002121  |698       
 [13, 5, 5, 0, 0]    |1.024624648700532   |0.7130714516716244  |145       
 [17, 3, 5, 0, 0]    |1.1086156074368712  |0.7990050893513349  |131       
 [15, 3, 5, 0, 0]    |1.0947482309116368  |0.8130394966275267  |119       
 [12, 5, 1, 0, 0]    |3.4200814270972053  |2.604301132350139   |109       
 [19, 3, 9, 0, 0]    |0.8395326757504946  |0.5585507029996319  |163       
 [10, 5, 1, 0, 0]    |1.7264499362240397  |1.3682974642141237  |93        
 [6, 1, 4, 4, 18]    |4.439986999711794   |2.9613683693208577  |162       
 [13, 5, 5, 4, 0]    |1.3002950004613663  |0.8543546948745586  |168       
 [18, 4, 0, 0, 0]    |0.8404105347718173  |0.599676596650578   |135       
 [13, 5, 9, 0, 0]    |0.8916530512126134  |0.5785801591829839  |173       
 [10, 2, 15, 0, 0]   |0.9704080859284859  |0.7315873973116577  |113       
Gen 2 Train time: 8.531574515501658 minutes:
 Average MSE:        0.9064305433516665
 Average Error:      1.946221409251586
 Structure           |Error               |MSE                 |weights&biases
 [11, 7, 0, 0, 0]    |0.7632596732287584  |0.5584127058788664  |125       
 [9, 3, 0, 0, 0]     |0.8847244928709426  |0.7595880820554086  |61        
 [19, 3, 9, 0, 0]    |1.3679641060056473  |0.9101221848270236  |163       
 [12, 4, 12, 0, 0]   |1.1489562793507782  |0.7682454097741196  |161       
 [18, 4, 5, 7, 0]    |1.1156093862874263  |0.668245799638533   |205       
 [15, 5, 0, 0, 0]    |0.8580044820934535  |0.6183838142635597  |131       
 [16, 5, 3, 2, 0]    |1.3413816200786262  |0.8946704351042157  |162       
 [15, 5, 18, 0, 0]   |1.2224348301421812  |0.6510587677989847  |252       
 [16, 5, 5, 0, 0]    |0.8400906333034056  |0.5506006552684484  |169       
 [17, 4, 3, 0, 0]    |0.9036275969080036  |0.6335996735022729  |142       
 [13, 17, 11, 20, 4] |10.467660535594636  |1.402547962047278   |804       
 [15, 5, 15, 0, 0]   |1.032515561983076   |0.5795508441299234  |231       
 [16, 2, 5, 20, 0]   |1.5529785165080539  |0.856564815302798   |238       
 [15, 11, 7, 0, 0]   |1.4118757038577574  |0.6455962999436016  |313       
 [11, 8, 9, 3, 0]    |1.658534668504213   |0.9011662535219516  |244       
 [2, 3, 8, 18, 10]   |10.00280516238955   |3.5889711364097763  |410       
 [16, 5, 3, 13, 0]   |1.3763971099563472  |0.8000902823268508  |217       
 [15, 5, 5, 0, 0]    |0.9081218914664239  |0.6072123780277234  |161       
 [10, 6, 0, 0, 0]    |0.8550307463801176  |0.6609230568849347  |103       
 [11, 3, 5, 0, 0]    |1.039714877315626   |0.819915919757874   |95        
 [12, 3, 3, 4, 0]    |1.2628373333075065  |0.9640241249299845  |108       
 [9, 14, 3, 4, 5]    |2.7916407908711824  |1.4610122538818375  |259       
 [15, 10, 5, 0, 0]   |1.356286513796047   |0.6975022500308226  |266       
 [13, 3, 13, 3, 0]   |1.3773362486134424  |0.8804266840330971  |179       
 [19, 4, 0, 0, 0]    |1.1157464704764402  |0.7823317944517773  |142       
Increasing Epochs
Gen 3 Train time: 9.713844505945842 minutes:
 Average MSE:        0.811988822959884
 Average Error:      1.6000274424741392
 Structure           |Error               |MSE                 |weights&biases
 [11, 7, 0, 0, 0]    |0.8337800363375082  |0.6100065056882199  |125       
 [16, 5, 5, 0, 0]    |0.8722266085079576  |0.571662774406404   |169       
 [10, 6, 0, 0, 0]    |0.9883153906875864  |0.7639496380043361  |103       
 [13, 9, 3, 0, 0]    |1.254053370170712   |0.7625257513945101  |199       
 [15, 5, 8, 0, 0]    |0.9547960675288565  |0.6057684248486422  |182       
 [13, 6, 0, 0, 0]    |0.6577504165802799  |0.4752426678487202  |130       
 [13, 13, 1, 3, 6]   |2.284868115160905   |1.1575530124548514  |272       
 [15, 5, 17, 0, 0]   |1.128443045879659   |0.611609572873959   |245       
 [16, 5, 9, 0, 0]    |0.9182073279896221  |0.561113505753753   |197       
 [14, 4, 0, 0, 0]    |0.87439266271122    |0.6691642499404424  |107       
 [18, 4, 4, 4, 0]    |1.307729550556712   |0.8443336572831506  |175       
 [18, 4, 2, 0, 0]    |0.9583929276662081  |0.670321768115923   |143       
 [16, 20, 12, 0, 0]  |2.9793349826988482  |0.5822823074235103  |653       
 [11, 5, 1, 0, 0]    |1.3037906268729018  |1.0128578487278768  |101       
 [11, 5, 2, 8, 0]    |1.170828969149502   |0.8292049063814002  |138       
 [15, 5, 5, 0, 0]    |0.9781483362364806  |0.6540353039512368  |161       
 [12, 5, 7, 2, 0]    |1.483473143819868   |0.9894421864591705  |162       
 [16, 5, 3, 0, 0]    |1.1658622204999054  |0.7913308874762937  |155       
 [15, 12, 18, 2, 0]  |4.050660074928781   |1.1262345922867314  |512       
 [12, 4, 9, 0, 0]    |0.9429298019515797  |0.659506506994507   |143       
 [13, 10, 8, 15, 0]  |1.906123095669841   |0.6703678994746795  |418       
 [16, 4, 11, 0, 0]   |0.9278076463439351  |0.5871758996658268  |183       
 [17, 17, 8, 4, 0]   |2.524106624760668   |0.6510864747649439  |542       
 [15, 5, 11, 0, 0]   |0.9917636246888867  |0.59704040867674    |203       
 [12, 14, 7, 1, 0]   |6.5429013944550585  |2.8459038231012657  |333       
Gen 4 Train time: 9.78936159213384 minutes:
 Average MSE:        1.0545630746969707
 Average Error:      1.7533583641343993
 Structure           |Error               |MSE                 |weights&biases
 [13, 6, 0, 0, 0]    |1.0081221561541727  |0.7283958336340143  |130       
 [11, 7, 0, 0, 0]    |0.8575870308914522  |0.6274240749821329  |125       
 [16, 5, 5, 0, 0]    |0.867484333329318   |0.5685546575945847  |169       
 [13, 6, 20, 11, 0]  |2.5670003383815705  |0.7245083686972995  |506       
 [16, 5, 13, 0, 0]   |1.0281782666880974  |0.5858383171204884  |225       
 [16, 5, 1, 0, 0]    |2.7912873824006486  |1.962075647641591   |141       
 [3, 2, 5, 13, 4]    |6.112773026584231   |3.9863679205487172  |171       
 [3, 9, 1, 8, 12]    |5.941406436648977   |3.6764436269684913  |192       
 [15, 5, 5, 0, 0]    |0.9517643296980886  |0.6363937345731371  |161       
 [11, 6, 1, 4, 0]    |1.5284807864207035  |1.1182604318900407  |125       
 [16, 5, 7, 0, 0]    |0.9709532995547352  |0.6144812229626884  |183       
 [14, 5, 5, 1, 0]    |1.9640071804891381  |1.3330730834385152  |155       
 [20, 5, 5, 0, 0]    |0.9485272812959609  |0.5738743968348933  |201       
 [13, 5, 5, 0, 0]    |1.2542830446950666  |0.8728986098686187  |145       
 [13, 13, 5, 0, 0]   |1.5709474827988814  |0.7476494426367657  |297       
 [16, 5, 11, 0, 0]   |0.9628944082727926  |0.5681831176855552  |211       
 [16, 5, 8, 0, 0]    |0.8182418749304485  |0.5088523945931659  |190       
 [15, 5, 4, 0, 0]    |0.9872935252090508  |0.6718045073491686  |154       
 [15, 9, 6, 2, 3]    |1.996047576042428   |1.0011696968601895  |276       
 [16, 13, 7, 0, 0]   |2.028840179515005   |0.7945052299260428  |375       
 [16, 5, 14, 0, 0]   |1.0715978130763757  |0.5999858651565197  |232       
 [13, 6, 4, 0, 0]    |0.9986120919448459  |0.6761171818082512  |156       
 [15, 7, 6, 14, 0]   |1.5206605880305282  |0.6867017862409411  |318       
 [13, 5, 4, 1, 0]    |1.9969448143256976  |1.4072232264808666  |140       
 [14, 6, 6, 0, 0]    |1.0900238559817632  |0.69329449193159    |181       
Increasing Epochs
Gen 5 Train time: 11.22850958108902 minutes:
 Average MSE:        1.0980668048559803
 Average Error:      3.488911780269678
 Structure           |Error               |MSE                 |weights&biases
 [16, 5, 8, 0, 0]    |1.1812615591427162  |0.7346089114074257  |190       
 [11, 7, 0, 0, 0]    |0.8912488611412025  |0.6520515960917991  |125       
 [16, 5, 5, 0, 0]    |0.7955305712263442  |0.52139571188995    |169       
 [14, 6, 3, 0, 0]    |1.0533188177204356  |0.7113760814682747  |157       
 [2, 18, 17, 19, 2]  |53.3185746372925    |7.816874252693789   |768       
 [18, 5, 7, 11, 0]   |1.7065098008071187  |0.8244409428107119  |291       
 [17, 6, 13, 6, 0]   |1.5088857718317683  |0.6433100224096988  |341       
 [18, 5, 5, 0, 0]    |0.7715887834139935  |0.48587517246866296 |185       
 [15, 5, 5, 1, 0]    |2.0737773005288553  |1.3797077856911382  |163       
 [16, 5, 10, 0, 0]   |0.9370814620493173  |0.5627132749475492  |204       
 [14, 6, 3, 18, 0]   |1.4379693903841235  |0.7813219179677422  |244       
 [16, 2, 3, 0, 0]    |0.7952711476816893  |0.6271483545487327  |95        
 [6, 8, 3, 2, 6]     |1.5825833644093872  |1.1320821553900071  |134       
 [15, 6, 9, 0, 0]    |0.7708656669330622  |0.4514723479496796  |214       
 [15, 9, 8, 0, 0]    |1.0221935283428867  |0.5101506708917046  |278       
 [13, 6, 3, 0, 0]    |1.061309648055947   |0.7330830093488909  |148       
 [15, 5, 4, 0, 0]    |0.7876705470042088  |0.5359709248286294  |154       
 [16, 5, 7, 0, 0]    |0.8440358892104447  |0.5341597846819994  |183       
 [4, 6, 15, 8, 0]    |5.934658475654335   |2.9177404034679904  |284       
 [13, 6, 2, 0, 0]    |1.1461336914558244  |0.8076667615942622  |140       
 [18, 5, 5, 2, 0]    |1.3332960368774835  |0.8209066323623976  |194       
 [15, 5, 7, 19, 0]   |1.6187079367923585  |0.6935917563707581  |339       
 [15, 5, 6, 1, 0]    |2.2336338174575605  |1.4602823008979897  |170       
 [15, 6, 7, 20, 0]   |1.456342887942007   |0.5760438008752993  |371       
 [16, 5, 14, 0, 0]   |0.960344913386362   |0.5376955483444166  |232       
Result:  [15, 6, 9]
Fold 0
Fold 0 Train time: 19.742049662272134 minutes, MSE: 0.24489422713303274
Fold 1
Fold 1 Train time: 19.336071674029032 minutes, MSE: 0.33322322001357896
Fold 2
Fold 2 Train time: 19.191869004567465 minutes, MSE: 0.19320880610604288
Fold 3
Fold 3 Train time: 19.217963778972624 minutes, MSE: 0.8134837870937083
Fold 4
Fold 4 Train time: 19.16987730662028 minutes, MSE: 0.3367215324015528
Total Time: 152.896957608064 minutes
CellsPerSensor: 1
 Resulting Network Architecture: [15, 6, 9]
 MSE after 5-Fold CV: 0.38430631454958314
 Weights and Biases: 214
 Objective Function Value: 0.6561831412648799
~/workspace/SolarCellResearch
