/tmp/tmp.MgBe0A1y1F ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k6.mat
  Evaluating with: datasets/N1dataset100k6.mat
Gen 0 Train time: 8.765456227461497 minutes:
 Average MSE:        1.4104008279431923
 Average Error:      3.977382685174717
 Structure           |Error               |MSE                 |weights&biases
 [12, 17, 18, 0, 0]  |2.81121980716051    |0.6272679257841627  |600       
 [17, 9, 17, 12, 20] |6.905908192561822   |0.7651964390961664  |880       
 [20, 7, 18, 0, 0]   |1.7362274963339177  |0.6884687529583103  |370       
 [5, 6, 9, 5, 0]     |3.653973569783434   |2.3888575155874565  |170       
 [4, 7, 20, 0, 0]    |2.623077555163599   |1.4834170851268034  |228       
 [11, 4, 2, 20, 9]   |6.0708697772748454  |2.530715036560008   |350       
 [8, 9, 14, 14, 0]   |3.761894576492523   |1.1617444448063163  |470       
 [7, 3, 8, 18, 8]    |4.612593613644166   |1.6968783609383795  |400       
 [12, 0, 0, 0, 0]    |0.8570843107553489  |0.7582675507596728  |49        
 [3, 0, 0, 0, 0]     |2.0262668001286395  |1.961471751872367   |13        
 [9, 0, 0, 0, 0]     |0.7795232915383149  |0.7106517936593248  |37        
 [3, 0, 0, 0, 0]     |2.310332533374273   |2.2364537588819315  |13        
 [17, 15, 6, 16, 11] |5.662895453698186   |0.9175348883455079  |728       
 [4, 3, 12, 0, 0]    |1.8161667869894316  |1.4575079867941354  |88        
 [7, 10, 10, 12, 6]  |4.632140678453246   |1.58886370659113    |428       
 [7, 8, 16, 16, 16]  |10.210063622835536  |1.4167618263887207  |790       
 [1, 9, 15, 19, 0]   |22.025998236200554  |6.389931149879713   |495       
 [7, 6, 0, 0, 0]     |0.8559720343560613  |0.7078538922108264  |76        
 [9, 14, 1, 19, 20]  |7.729637201461313   |1.5566902420185234  |641       
 [18, 10, 18, 0, 0]  |1.610699801608254   |0.5087333571105472  |461       
 [18, 7, 10, 0, 0]   |1.1889762913592863  |0.59338768627755    |278       
 [14, 6, 2, 4, 0]    |1.3168506408675822  |0.876115811150035   |163       
 [15, 2, 13, 14, 0]  |1.7665998342398987  |0.7800140875491698  |327       
 [6, 6, 14, 0, 0]    |1.4205302861330957  |0.9217605860905168  |173       
 [17, 9, 5, 0, 0]    |1.0490647369540942  |0.535475062142529   |269       
Gen 1 Train time: 8.398699768384297 minutes:
 Average MSE:        1.1138813210815062
 Average Error:      1.9295382095573421
 Structure           |Error               |MSE                 |weights&biases
 [9, 0, 0, 0, 0]     |1.104905136041394   |1.007285895462718   |37        
 [7, 6, 0, 0, 0]     |1.1860684470864926  |0.9808301358001945  |76        
 [12, 0, 0, 0, 0]    |0.7738525924010929  |0.6846319580530696  |49        
 [12, 15, 0, 0, 0]   |1.0838286855541974  |0.584499035249248   |247       
 [16, 7, 6, 2, 0]    |1.8565506204922368  |1.039479659859587   |232       
 [15, 4, 8, 9, 0]    |1.453552391395502   |0.7977264660701502  |240       
 [13, 7, 16, 0, 0]   |1.4108293124292883  |0.6971028600832083  |282       
 [11, 0, 0, 0, 0]    |0.7446832245052565  |0.6654469538541123  |45        
 [8, 0, 0, 0, 0]     |0.9133910407247601  |0.8410609175352894  |33        
 [14, 5, 9, 12, 0]   |1.4351764287613737  |0.6711838325676732  |304       
 [12, 3, 1, 2, 0]    |1.6323632041634952  |1.3165685695785014  |86        
 [19, 7, 19, 14, 5]  |7.910904902156665   |1.3407674514797794  |710       
 [11, 14, 0, 0, 0]   |1.0811698147177067  |0.6300498200462538  |216       
 [17, 5, 20, 7, 0]   |1.7195258879407076  |0.6077744758419718  |416       
 [6, 10, 1, 0, 0]    |3.7744766248797994  |2.9322256162546347  |101       
 [9, 14, 0, 0, 0]    |0.9878881153248424  |0.6267636073280511  |182       
 [5, 3, 0, 0, 0]     |1.2438379581695689  |1.1339438931329346  |37        
 [11, 4, 7, 7, 0]    |1.2242445793757923  |0.7806128082803617  |180       
 [15, 5, 9, 0, 0]    |0.9828413226517083  |0.6127442788994811  |189       
 [11, 4, 5, 0, 0]    |0.8340785911672753  |0.6303830383005238  |112       
