/tmp/tmp.JRK64PD4PV ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k11.mat
  Evaluating with: datasets/N1dataset100k11.mat
Gen 0 Train time: 9.134670225779216 minutes:
 Average MSE:        1.7634365878333074
 Average Error:      4.116855834987259
 Structure           |Error               |MSE                 |weights&biases
 [12, 17, 0, 0, 0]   |1.3277437671108347  |0.6676314935574226  |275       
 [12, 13, 3, 4, 0]   |1.6764777953446235  |0.8578680683465155  |268       
 [8, 0, 0, 0, 0]     |0.9966709884368363  |0.9177460459326859  |33        
 [15, 0, 0, 0, 0]    |0.7526665669932789  |0.6462085752757062  |61        
 [2, 9, 0, 0, 0]     |3.3528440370615935  |3.0111105131241858  |43        
 [13, 19, 0, 0, 0]   |1.4723771453710295  |0.6533633976832535  |325       
 [17, 14, 1, 0, 0]   |3.6766657052769944  |1.6520323927574256  |320       
 [15, 20, 6, 19, 12] |7.993743245998806   |0.8923999623926434  |877       
 [6, 17, 6, 0, 0]    |1.7890295320949348  |0.9528224605529678  |252       
 [13, 18, 19, 1, 2]  |24.472380451798138  |4.4818914372403995  |679       
 [13, 0, 0, 0, 0]    |0.6940684798722198  |0.6079366179907094  |53        
 [1, 11, 15, 3, 18]  |14.395034379757679  |6.091432723173844   |344       
 [14, 0, 0, 0, 0]    |0.7933778929078291  |0.6880074345802829  |57        
 [17, 0, 0, 0, 0]    |0.7673862436597437  |0.6458002540719884  |69        
 [14, 2, 0, 0, 0]    |0.8624649956957317  |0.7150085948430952  |75        
 [9, 7, 16, 19, 0]   |3.61849982119647    |0.874642126922607   |568       
 [10, 0, 0, 0, 0]    |1.012911449297005   |0.9142317417700452  |41        
 [16, 11, 1, 1, 13]  |3.1721737401742276  |1.540207388693498   |289       
 [1, 0, 0, 0, 0]     |6.196185598181582   |6.119215344504032   |5         
 [14, 0, 0, 0, 0]    |0.7206565705122799  |0.624944408867188   |57        
 [3, 14, 6, 9, 0]    |4.084492158156651   |2.309884219606359   |228       
 [2, 0, 0, 0, 0]     |4.767831768578747   |4.661753410457562   |9         
 [20, 12, 19, 17, 0] |8.026122135100573   |0.810747586364012   |917       
 [4, 17, 0, 0, 0]    |2.602946430560514   |1.9525652989094457  |115       
 [10, 17, 10, 18, 0] |3.6966449755431605  |0.7964631982148057  |614       
Gen 1 Train time: 8.608866572380066 minutes:
 Average MSE:        1.0498458218769569
 Average Error:      1.57242516662549
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.8319712200494886  |0.7287260327332646  |53        
 [14, 0, 0, 0, 0]    |0.8071342084199092  |0.6999367401852763  |57        
