/tmp/tmp.KqqDbPJLWj ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k13.mat
  Evaluating with: datasets/N1dataset100k13.mat
Gen 0 Train time: 9.008537526925405 minutes:
 Average MSE:        1.7884354369584554
 Average Error:      5.159544840865728
 Structure           |Error               |MSE                 |weights&biases
 [1, 17, 14, 0, 0]   |16.64750159411293   |7.785477589160564   |304       
 [10, 8, 6, 11, 0]   |2.338545571457786   |1.2177795816541022  |261       
 [7, 5, 12, 7, 0]    |1.9933090763624899  |1.1160504959153483  |232       
 [12, 16, 7, 19, 3]  |24.507890267284914  |5.763212917821378   |579       
 [16, 6, 14, 16, 0]  |2.8926791084750056  |0.8184713382892775  |505       
 [4, 14, 7, 0, 0]    |3.0425210025122555  |1.8685943223110495  |195       
 [17, 3, 5, 0, 0]    |0.9563179331703636  |0.6892406083003673  |131       
 [16, 0, 0, 0, 0]    |0.670537700524429   |0.569967834548504   |65        
 [18, 15, 0, 0, 0]   |1.4252040029836384  |0.5867332237158642  |355       
 [20, 9, 12, 5, 1]   |18.219141400521497  |6.0343778969581265  |442       
 [17, 0, 0, 0, 0]    |0.6815227648854922  |0.5735411318033032  |69        
 [13, 9, 0, 0, 0]    |1.1093761339044048  |0.7162670661096509  |175       
 [7, 2, 14, 0, 0]    |1.3502356926409986  |1.0674569787302386  |94        
 [20, 3, 13, 1, 3]   |3.252838777607764   |1.977884986444326   |199       
 [12, 19, 6, 9, 7]   |4.093407554340521   |1.050617163284593   |544       
 [6, 7, 0, 0, 0]     |0.9739060258196144  |0.8073964537758131  |75        
 [5, 12, 13, 16, 0]  |3.9235105404605597  |1.1325670694298966  |497       
 [8, 7, 0, 0, 0]     |1.3241702326576776  |1.0442365286035333  |95        
 [10, 14, 4, 20, 17] |5.919742159215527   |0.9809761749165551  |719       
 [6, 8, 0, 0, 0]     |0.9990045509984175  |0.8118043267329019  |83        
 [4, 5, 0, 0, 0]     |1.8383678671505168  |1.650995021115835   |43        
 [12, 0, 0, 0, 0]    |0.8931028071170131  |0.7901333271780225  |49        
 [3, 9, 15, 18, 14]  |27.522773345592064  |4.075582917194562   |764       
 [18, 0, 0, 0, 0]    |0.7197917471713761  |0.5997194305695338  |73        
 [9, 8, 11, 0, 0]    |1.6932231646759417  |0.9818015393980364  |218       
Gen 1 Train time: 8.355448456605275 minutes:
 Average MSE:        0.7366147880755828
 Average Error:      1.0352504830393767
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.7006446387064345  |0.59555921643063    |65        
 [17, 0, 0, 0, 0]    |0.7627810267556298  |0.6419246956145551  |69        
 [18, 0, 0, 0, 0]    |0.7352426135191704  |0.6125928551459051  |73        
 [14, 4, 3, 6, 0]    |1.2999238637304178  |0.8979020398933539  |148       
 [18, 2, 3, 0, 0]    |1.1752085864844515  |0.9038839074975129  |105       
 [8, 8, 6, 5, 0]     |1.1756148528144814  |0.7292718486272219  |191       
 [12, 1, 7, 0, 0]    |1.341192981167152   |1.123062695012225   |71        
 [11, 3, 0, 0, 0]    |0.7845702859378766  |0.6536919143258981  |73        
 [12, 4, 0, 0, 0]    |0.7508758646858719  |0.595106478347333   |93        
 [16, 6, 0, 0, 0]    |0.8536996290218385  |0.576559999335036   |157       
 [7, 0, 0, 0, 0]     |1.0309491846666476  |0.9588505232057909  |29        
 [10, 6, 7, 13, 0]   |1.491606933095335   |0.7728687926855533  |263       
 [9, 4, 0, 0, 0]     |0.7526201707732737  |0.62864120915418    |72        
 [13, 0, 0, 0, 0]    |0.7450852645685981  |0.6526223693949317  |53        
 [12, 18, 0, 0, 0]   |1.4880091506335151  |0.7224833429594558  |289       
 [18, 1, 8, 0, 0]    |1.3878105906911833  |1.086245647554117   |98        
 [12, 3, 17, 0, 0]   |1.0880052634112771  |0.7274907361123422  |161       
 [17, 20, 0, 0, 0]   |1.4515682583651361  |0.4929460857090172  |432       
 [17, 2, 3, 0, 0]    |1.0275366899125422  |0.8002463787384873  |100       
 [9, 4, 6, 0, 0]     |1.0559501914934424  |0.8141920696805982  |104       
 [13, 4, 6, 0, 0]    |1.1073741685322536  |0.7961175715472828  |132       
 [18, 8, 0, 0, 0]    |1.0376624811191815  |0.6062096286705325  |215       
 [9, 4, 4, 0, 0]     |0.8839811188582326  |0.7023527029113594  |92        
 [9, 4, 7, 0, 0]     |0.9852459672079446  |0.7483653712109761  |110       
 [13, 5, 0, 0, 0]    |0.7681022998325391  |0.5761816221252761  |115       
Increasing Epochs
Gen 2 Train time: 9.987870434919992 minutes:
 Average MSE:        1.1261937403418028
 Average Error:      3.2334481201708214
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.7416935895519445  |0.6304514851361851  |65        
 [18, 0, 0, 0, 0]    |0.6251410631458544  |0.5208579341021566  |73        
 [13, 0, 0, 0, 0]    |0.7600845399748165  |0.6657602787327054  |53        
 [8, 4, 3, 3, 0]     |1.2266943658682166  |0.9770895667386821  |91        
 [16, 3, 3, 3, 0]    |1.0301064578834613  |0.7498831789896065  |127       
 [15, 2, 0, 0, 0]    |0.8972560994538318  |0.7346111620096483  |80        
 [18, 4, 0, 0, 0]    |0.7690480115054453  |0.5487557272538196  |135       
 [18, 1, 2, 0, 0]    |2.4764454080359863  |2.027542013877813   |80        
 [13, 4, 9, 0, 0]    |0.8711776289349538  |0.5987510442895336  |150       
 [11, 3, 4, 0, 0]    |0.8785742600079042  |0.7015557960008294  |90        
