/tmp/tmp.Fh8DgveZlM ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k16.mat
  Evaluating with: datasets/N1dataset100k16.mat
Gen 0 Train time: 9.047651406129201 minutes:
 Average MSE:        2.618656346418175
 Average Error:      4.654222247462439
 Structure           |Error               |MSE                 |weights&biases
 [6, 14, 0, 0, 0]    |1.359262949901543   |0.9796524669619406  |131       
 [4, 18, 17, 13, 0]  |11.239896104712965  |2.0895936078605026  |673       
 [12, 11, 7, 4, 6]   |3.788156869829723   |1.651823099563273   |332       
 [1, 17, 0, 0, 0]    |6.530240340574176   |5.691328770547533   |55        
 [3, 0, 0, 0, 0]     |4.235821794513113   |4.100370590573422   |13        
 [16, 9, 5, 15, 2]   |18.68838082798614   |7.300201749191912   |376       
 [2, 16, 20, 0, 0]   |9.583794242970159   |3.395916133040097   |415       
 [2, 0, 0, 0, 0]     |4.491232233808389   |4.391307873128744   |9         
 [1, 10, 11, 0, 0]   |9.357151336040468   |6.335323637785885   |156       
 [12, 1, 9, 0, 0]    |1.3246704033790955  |1.0927130892398913  |77        
 [12, 0, 0, 0, 0]    |0.6736011179202922  |0.5959388866006143  |49        
 [1, 15, 0, 0, 0]    |6.305981130939866   |5.578938743004686   |49        
 [6, 13, 11, 0, 0]   |2.4701894764017864  |1.2420892723063226  |275       
 [17, 0, 0, 0, 0]    |0.7034939732248664  |0.5920311842965139  |69        
 [5, 0, 0, 0, 0]     |1.4774780428075014  |1.4019114251829659  |21        
 [11, 17, 0, 0, 0]   |1.3877205703537103  |0.7335661683719988  |255       
 [14, 9, 2, 16, 0]   |1.669472012451842   |0.8671939855793349  |262       
 [10, 12, 2, 18, 7]  |8.766264674286226   |3.364942229245172   |383       
 [20, 0, 0, 0, 0]    |0.7677391439778533  |0.6270021810481576  |81        
 [8, 0, 0, 0, 0]     |1.011575582475024   |0.9314703665996615  |33        
 [10, 0, 0, 0, 0]    |0.7734093826014476  |0.6980624095499671  |41        
 [4, 6, 20, 0, 0]    |3.571099410586618   |2.1497971880050857  |203       
 [12, 7, 10, 0, 0]   |1.083945704543228   |0.6285170103659115  |218       
 [18, 12, 1, 0, 0]   |3.2343806385482714  |1.5393149091002085  |297       
 [6, 6, 11, 3, 2]    |11.860598221726661  |7.4874016833045705  |184       
Gen 1 Train time: 8.89050906499227 minutes:
 Average MSE:        0.9199901552604114
 Average Error:      1.6707225175972298
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.868640878904425   |0.7684917148420423  |49        
 [17, 0, 0, 0, 0]    |0.736457500400268   |0.6197719138194453  |69        
 [20, 0, 0, 0, 0]    |0.6817002941382373  |0.5567354154058546  |81        
 [12, 3, 0, 0, 0]    |0.9658063253227763  |0.7927146515175745  |79        
 [5, 9, 2, 9, 10]    |2.8912541245163363  |1.639170565430513   |227       
 [13, 5, 1, 8, 0]    |1.5207778840422528  |1.071674061992202   |140       
 [11, 0, 0, 0, 0]    |0.90020363087755    |0.804419576409632   |45        
 [16, 5, 1, 8, 0]    |1.2587215490113903  |0.8353508708533844  |164       
 [12, 4, 5, 0, 0]    |0.9101403683693633  |0.6759362984703894  |119       
 [14, 0, 0, 0, 0]    |0.6501110945015651  |0.5637682500590733  |57        
 [13, 8, 0, 0, 0]    |0.9585197612644258  |0.6425150104968399  |160       
 [11, 1, 0, 0, 0]    |1.1967043848471794  |1.0640383491522394  |47        
 [3, 12, 10, 11, 10] |12.964564000384403  |4.326330786924116   |439       
 [11, 14, 0, 0, 0]   |1.1638401552369793  |0.6782258165070225  |216       
 [15, 4, 5, 0, 0]    |1.0134613520738969  |0.7141741441966988  |140       
 [11, 9, 9, 7, 0]    |1.5947995019481236  |0.7365692838302829  |309       
 [11, 8, 0, 0, 0]    |0.9190090227769542  |0.6508608949511919  |138       
